"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08000133",-3.88744566345071,1.79926375578162,2.50222822041242e-06,0.000156912638204349,"BraA08000133","AT1G53990","GLIP3","GDSL-motif lipase 3","-","-"
"BraA10002318",-2.54987162259449,1.03769490615838,3.2284382972301e-06,0.000194720733833574,"BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA10000314",-2.22941090756457,1.94851027716673,3.25259240180564e-06,0.000195008486116353,"BraA10000314","AT1G04570","AT1G04570","Major facilitator superfamily protein","-","-"
"BraA03003091",-3.7102569360453,-1.07016747706582,4.13984618233769e-06,0.000231068010319132,"BraA03003091","AT2G46450","CNGC12","cyclic nucleotide-gated channel 12","-","-"
"BraA09005457",-4.46532929853893,-1.0188645223593,4.44344568237751e-06,0.000243692805019589,"BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA08000134",-2.74918663125627,2.84257518546472,5.27425171726634e-06,0.00028528083171743,"BraA08000134","AT1G53990","GLIP3","GDSL-motif lipase 3","-","-"
"BraA07002546",-2.90928953455238,2.51389851102598,8.31874478070632e-06,0.000422377557575218,"BraA07002546","AT1G77330","AT1G77330","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","YES"
"BraA06000985",-2.1871216000067,0.940072626082369,1.25487242484592e-05,0.000581437119002702,"BraA06000985","AT3G19820","DWF1","cell elongation protein / DWARF1 / DIMINUTO (DIM)","-","YES"
"BraA09004508",-2.18167855510775,3.69442892902174,1.25596328120025e-05,0.000581437119002702,"BraA09004508","AT3G50930","BCS1","cytochrome BC1 synthesi","-","-"
"BraA04000209",-2.69920554014357,2.20028356743246,5.41935390427626e-05,0.00196359494143395,"BraA04000209","AT3G60130","BGLU16","beta glucosidase 16","-","-"
"BraA07003776",-2.46180626431778,2.47813039785596,6.68590982595122e-05,0.0023078118565893,"BraA07003776","AT1G75450","CKX5","cytokinin oxidase 5","-","YES"
"BraA05000164",-2.71514846893573,1.14323262734403,7.60688358517136e-05,0.00256386183363163,"BraA05000164",NA,NA,NA,NA,NA
"BraA07001513",-4.00134411363566,-1.52842063603409,9.46357051757912e-05,0.00305591921182579,"BraA07001513","AT3G43660","AT3G43660","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA03004409",-2.69166933870632,1.8127080177191,0.000100281196889645,0.00317034494369482,"BraA03004409","AT3G25190","AT3G25190","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA03002724",-2.32801742538433,0.309194025639627,0.000167175497217913,0.00464901471061828,"BraA03002724","AT2G24210","TPS10","terpene synthase 10","-","-"
"BraA06004018",-2.43346240229751,-0.151742869688991,0.000170791744898131,0.0047079896054231,"BraA06004018",NA,NA,NA,NA,NA
"BraA01003850",-9.25318013190982,3.90194125710788,0.000273073729266144,0.00684423646281706,"BraA01003850",NA,NA,NA,NA,NA
"BraA07002315",-3.85216292220547,-1.62600682415724,0.000278696339915224,0.00695511293403874,"BraA07002315","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA01000624",-2.22132112239154,1.27069310020268,0.000323198117872132,0.00776662347375169,"BraA01000624","AT4G32280","IAA29","indole-3-acetic acid inducible 29","-","YES"
"BraA05002634",-4.32939355810861,0.423534268650607,0.00035226459560678,0.00833781163135447,"BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06003015",-2.78182747637161,-1.07702627252079,0.000467901069609049,0.0104316754045983,"BraA06003015","AT5G62480","GSTU9","glutathione S-transferase tau 9","-","-"
"BraA03004270",-2.13360912884691,1.86036478451773,0.00054187945676657,0.0118790844700638,"BraA03004270","AT3G52590","UBQ1","ubiquitin extension protein 1","-","-"
"BraA09000592",-2.09291866562308,1.7997248481555,0.000710773893935767,0.0145104813106991,"BraA09000592","AT5G26280","AT5G26280","TRAF-like family protein","-","-"
"BraA06005002",-2.9678576574323,-0.397465038274812,0.00128850908973149,0.0229944819414668,"BraA06005002","AT4G38540","AT4G38540","FAD/NAD(P)-binding oxidoreductase family protein","-","-"
"BraA01003639",-2.07328917934523,2.34567869586655,0.00136849795541176,0.0239402006518489,"BraA01003639","AT3G49160","AT3G49160","pyruvate kinase family protein","-","-"
"BraA02001921",-2.43018458340914,2.76688548002773,0.00199499526231801,0.0315907700491805,"BraA02001921","AT1G67260","TCP1","TCP family transcription factor","YES","-"
"BraA02002771",-2.12009156189659,2.20536996646804,0.00206385317983492,0.0323556265444239,"BraA02002771",NA,NA,NA,NA,NA
"BraA06003425",-2.64703448865551,2.42522671846475,0.0023236073271609,0.0354738887774128,"BraA06003425","AT2G18193","AT2G18193","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA04002350",-2.73924286162338,-0.11311468174205,0.00288243776539782,0.0418152722832826,"BraA04002350","AT2G32020","AT2G32020","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA01000130",-2.99520687513893,1.51392773277907,0.00292860904221986,0.0421064577853984,"BraA01000130","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8","-","-"
