"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","WT.P_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03003147",-1.57278456926756,3.62552890247485,1.07004286648738e-08,4.43223018908194e-06,FALSE,"22.983556"," 7.548570","BraA03003147","AT4G01450","UMAMIT30","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraSca000802",-1.9937292117182,4.09736207222627,1.7565656104058e-08,6.9120856769468e-06,FALSE,"21.255845"," 5.167423","BraSca000802","AT3G05640","AT3G05640","Protein phosphatase 2C family protein","-","-"
"BraA03001901",-1.64861305792415,4.16925861403801,4.51707236511777e-08,1.61587997788531e-05,FALSE,"38.424324","12.250137","BraA03001901","AT2G34360","AT2G34360","MATE efflux family protein","-","-"
"BraA06002115",-1.35876194070098,7.16200632316486,6.47577367016435e-08,2.21584081670406e-05,FALSE,"254.29031"," 99.19219","BraA06002115","AT1G19450","AT1G19450","Major facilitator superfamily protein","-","-"
"BraA09000270",-1.00909539125482,5.28235755393472,1.82691646745071e-07,5.86850310156617e-05,FALSE,"49.000155","24.272289","BraA09000270","AT4G03400","DFL2","Auxin-responsive GH3 family protein","-","-"
"BraA03004409",-3.60569775679998,1.65261924973435,2.65334253670647e-07,8.35272230555197e-05,FALSE," 7.8113810"," 0.6487041","BraA03004409","AT3G25190","AT3G25190","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA05000507",-2.69756605759819,4.33972200219822,1.36399855894494e-06,0.000306704818825619,FALSE,"32.871413"," 4.981583","BraA05000507","AT2G43520","TI2","trypsin inhibitor protein 2","-","-"
"BraA05004336",-1.14023936493231,6.39491565954814,1.94169982104295e-06,0.000407498069109548,FALSE," 85.23632"," 38.55996","BraA05004336","AT3G06510","SFR2","Glycosyl hydrolase superfamily protein","-","-"
"BraA01004729",-1.05887804230323,3.22056810483195,2.58705900111679e-06,0.000510853350943599,FALSE,"14.591523"," 7.051787","BraA01004729","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA09005327",-1.92734313980553,2.42385353445228,2.87659148638168e-06,0.000545512650549972,FALSE,"12.242430"," 3.208651","BraA09005327","AT3G60390","HAT3","homeobox-leucine zipper protein 3","YES","YES"
"BraA01003871",-1.37706704348453,4.83448219193433,4.18841827159138e-06,0.000766577948777307,FALSE,"47.22359","18.25274","BraA01003871","AT3G16800","AT3G16800","Protein phosphatase 2C family protein","-","-"
"BraA07003776",-3.62981486300024,2.44949883888318,5.04770271434391e-06,0.000913228054296242,FALSE,"15.411574"," 1.211780","BraA07003776","AT1G75450","CKX5","cytokinin oxidase 5","-","YES"
"BraA09006599",-1.7408276855063,4.05895466051166,5.62514356976617e-06,0.0010061336339559,FALSE,"10.451546"," 3.053231","BraA09006599","AT1G09500","AT1G09500","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA09002904",-2.67542627891397,3.20186712430831,8.01347195095677e-06,0.001392198888011,FALSE,"20.149496"," 3.199682","BraA09002904","AT4G08780","AT4G08780","Peroxidase superfamily protein","-","-"
"BraA01000130",-4.78180988276185,1.36880098544484,8.75066944472881e-06,0.00148102728021539,FALSE," 9.6990927"," 0.4010328","BraA01000130","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8","-","-"
"BraA03005048",-6.67444152570231,-0.911041151988909,1.21136689772442e-05,0.00185115679322159,FALSE," 1.3281360"," 0.0000000","BraA03005048","AT4G17030","EXLB1","expansin-like B1","-","YES"
"BraSca001053",-1.44531332418521,2.843294909276,1.33869289313954e-05,0.0020067643940968,FALSE," 9.014404"," 3.153037","BraSca001053","AT3G21240","4CL2","4-coumarate:CoA ligase 2","-","-"
"BraA02001060",-3.91356388930802,-0.25521810328566,1.51590762074627e-05,0.00222994261220059,FALSE," 2.0367080"," 0.1116154","BraA02001060","AT5G22500","FAR1","fatty acid reductase 1","-","-"
"BraA10000357",-1.81142649104143,5.77422333110554,1.7027523126972e-05,0.00242963233925876,FALSE," 92.57843"," 26.00833","BraA10000357","AT1G04980","PDIL2-2","PDI-like 2-2","-","YES"
"BraA08002141",-2.05154644438709,2.53419612409665,1.74316803972708e-05,0.00244977365583073,FALSE," 6.616155"," 1.543589","BraA08002141","AT4G27940","MTM1","manganese tracking factor for mitochondrial SOD2","-","-"
"BraA10002904",-3.04584046685966,0.286992085229097,2.35564163358124e-05,0.00322249673173974,FALSE," 1.8469444"," 0.1894183","BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA03002351",-2.09937511202682,6.08145221769569,2.39524860902588e-05,0.00322249673173974,FALSE," 90.197493"," 20.981738","BraA03002351","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA01001344",-2.24271281007777,2.02013807804033,2.93798282330709e-05,0.00382180575527715,FALSE," 4.8907519"," 0.9987305","BraA01001344","AT4G21895","AT4G21895","DNA binding protein","-","-"
"BraA10002784",-2.87502441163836,3.62703374361362,3.09677781617103e-05,0.00399535105135508,FALSE,"30.432903"," 4.089213","BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA05003570",-1.04049936973749,5.08765187037556,3.18833531859832e-05,0.00408003235079167,FALSE,"29.06078","14.18459","BraA05003570","AT3G15430","AT3G15430","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA01001281",-1.17420737137511,3.45620999135911,3.42532684789288e-05,0.00434795520853499,FALSE,"16.753779"," 7.397574","BraA01001281","AT4G21215","AT4G21215","transmembrane protein","-","-"
"BraA01000624",-3.31253778118407,1.24084425256139,3.66073229099004e-05,0.00448118936225708,FALSE," 5.6565384"," 0.5800318","BraA01000624","AT4G32280","IAA29","indole-3-acetic acid inducible 29","-","YES"
"BraA03005695",-1.13332984755754,5.03734121473876,3.77630604645205e-05,0.00453374040838898,FALSE,"58.18787","26.44209","BraA03005695","AT4G26940","AT4G26940","Galactosyltransferase family protein","-","-"
"BraA03004408",-2.39605107718956,6.36325576125134,3.85972817486736e-05,0.00453374040838898,FALSE,"111.3564655"," 21.0421212","BraA03004408","AT3G25180","CYP82G1","cytochrome P450, family 82, subfamily G, polypeptide 1","-","-"
"BraA06004605",-1.28565606126942,2.07826395996804,4.19229077480055e-05,0.0048519600584824,FALSE," 5.011603"," 1.901695","BraA06004605","AT5G47550","AT5G47550","Cystatin/monellin superfamily protein","-","-"
"BraA09006121",-1.82620939488413,2.88666789240731,4.48311622386123e-05,0.00504030352596969,FALSE,"11.1711796"," 3.0912764","BraA09006121","AT1G17180","GSTU25","glutathione S-transferase TAU 25","-","-"
"BraA07000076",-1.01957727367539,3.31908263902723,4.54020630059088e-05,0.00504061745632037,FALSE,"15.260366"," 7.417280","BraA07000076","AT2G20010","AT2G20010","Gls protein (DUF810)","-","-"
"BraA09005457",-5.42485977338953,-1.19035608741729,4.6613700466479e-05,0.00509513642598875,FALSE," 0.5517046"," 0.0000000","BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA10003068",-1.58903285224528,3.62751049182882,4.85912017314398e-05,0.00523853092638947,FALSE," 16.558034","  5.435176","BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA03002147",-1.69459093813637,4.21106320212784,5.15523523975464e-05,0.00548266234282013,FALSE,"26.415338"," 8.234357","BraA03002147","AT2G38750","ANNAT4","annexin 4","-","-"
"BraA09003735",-1.55667979476214,3.27818485589313,5.57755019023763e-05,0.00585270933295602,FALSE,"19.405205"," 6.518529","BraA09003735","AT1G30230","eEF-1Bb1","translation elongation factor EF1B/ribosomal protein S6 family protein","-","-"
"BraA08001546",-2.35399346963581,2.07119542840602,5.77212866914333e-05,0.00597413236608201,FALSE,"12.368912"," 2.432598","BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA05002410",-1.32898202935099,2.14778872432654,6.12732559343427e-05,0.00622862664776103,FALSE," 7.8925856"," 3.0045752","BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA10001437",-2.36603228968982,2.92349518966062,6.26664365782324e-05,0.00632288276757294,FALSE,"21.202513"," 4.093235","BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA02001554",-1.60958298521799,4.25881234571806,6.79153375390579e-05,0.00672319127587906,FALSE,"17.815053"," 5.675867","BraA02001554","AT5G53970","TAT7","Tyrosine transaminase family protein","-","-"
"BraA06003425",-3.43992134162548,2.98569114199937,6.99076205106322e-05,0.00686345109045361,FALSE," 10.6613332","  0.9206137","BraA06003425","AT2G18193","AT2G18193","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA01000203",-4.43795922445077,1.94637223148837,7.07522712389052e-05,0.00687432561296523,FALSE," 1.58697171"," 0.05220689","BraA01000203","AT4G37150","MES9","methyl esterase 9","-","-"
"BraA02002177",-1.36292087338816,1.63994151786266,7.6356077490137e-05,0.00728390702845307,FALSE," 4.790583"," 1.792549","BraA02002177","AT1G70660","MMZ2","MMS ZWEI homologue 2","-","-"
"BraA04002151",-1.53065488382659,2.19226191458759,8.00065662257591e-05,0.00754073863708652,FALSE,"6.524971","2.158810","BraA04002151","AT2G29460","GSTU4","glutathione S-transferase tau 4","-","-"
"BraA10003047",-1.30488350499149,2.16721927157739,8.43865652638624e-05,0.00785943513167571,FALSE," 6.828323"," 2.661844","BraA10003047","AT5G03640","AT5G03640","Protein kinase superfamily protein","-","-"
"BraA06000871",-1.24122565774462,8.10746025166694,9.31462338639477e-05,0.00847469202900889,FALSE,"346.88395","146.45514","BraA06000871","AT1G52030","MBP2","myrosinase-binding protein 2","-","-"
"BraA04000504",-4.31059497241945,-0.445207681490929,0.000108638412149611,0.00960619901505688,FALSE," 1.49180114"," 0.05940851","BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA08000203",-2.23945739146378,5.41728710416408,0.000113301451275685,0.00983852554904692,FALSE,"105.54740"," 21.95518","BraA08000203","AT2G18660","PNP-A","plant natriuretic peptide A","-","-"
"BraA10000910",-2.94505713166784,0.6565431187646,0.000114744352240584,0.00986926832932669,FALSE," 2.24720455"," 0.29099646","BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA01003642",-1.78692772186371,6.89858174951474,0.00011750034706716,0.0100513883849842,FALSE,"171.44467"," 49.79236","BraA01003642","AT3G49120","PRXCB","peroxidase CB","-","-"
"BraA06004754",-1.23191061560511,2.07271127840733,0.000122762645477755,0.0103913787412217,FALSE," 6.847057"," 3.111809","BraA06004754","AT5G45430","AT5G45430","Protein kinase superfamily protein","-","-"
"BraA09000099",-1.93392505547616,4.94393393084464,0.000167488123350224,0.0133820459976271,FALSE," 18.054387","  4.650084","BraA09000099","AT1G64780","AMT1;2","ammonium transporter 1;2","-","-"
"BraA05002063",-2.00859498520678,2.72293877914286,0.000176755989002416,0.0140512084186769,FALSE,"14.68921678"," 3.65155069","BraA05002063","AT1G48330","AT1G48330","SsrA-binding protein","-","-"
"BraA06002134",-2.83913816801829,2.53693282376061,0.000182515026937011,0.0143639326199427,FALSE,"12.2114353"," 1.6652196","BraA06002134","AT1G19670","CLH1","chlorophyllase 1","-","-"
"BraA09006826",-1.19726575578442,4.00449538669946,0.000190562467013537,0.0146314791746004,FALSE,"22.440959"," 9.743905","BraA09006826","AT1G05200","GLR3.4","glutamate receptor 3.4","-","-"
"BraA09000592",-2.64086443098543,2.17488355652503,0.000201293905267469,0.0151596462627271,FALSE,"5.2661717","0.7769490","BraA09000592","AT5G26280","AT5G26280","TRAF-like family protein","-","-"
"BraA05002634",-4.21268166460715,-0.00380920503029203,0.00020887582656418,0.0155893929837788,FALSE," 3.70488438"," 0.18234998","BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA03005505",-1.59008822424891,5.558091551287,0.00021313228736353,0.0158148464470146,FALSE,"82.1015531","27.2550925","BraA03005505","AT4G24130","AT4G24130","DUF538 family protein (Protein of unknown function, DUF538)","-","-"
"BraA08002297",-2.40835729683707,3.96366080118268,0.000214012852173705,0.0158148464470146,FALSE," 23.585169","  4.363940","BraA08002297","AT4G35720","AT4G35720","DUF241 domain protein, putative (DUF241)","-","-"
"BraA09001287",-1.02581401083273,5.36808109745564,0.000219344698537676,0.0159837294212177,FALSE,"55.718345","27.444939","BraA09001287","AT2G20610","SUR1","Tyrosine transaminase family protein","-","-"
"BraA04000325",-1.11656680146594,4.23936582478224,0.000223469316968048,0.016134894720537,FALSE,"36.84299","17.27404","BraA04000325","AT3G57800","AT3G57800","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA02003347",-3.0389703621309,-0.0930497646741192,0.000246241680570337,0.0175377558922041,FALSE," 1.3083598"," 0.1279475","BraA02003347","AT2G01520","MLP328","MLP-like protein 328","-","-"
"BraA01004368",-1.40788729414715,4.69479514188172,0.000249942536713623,0.0176416839814907,FALSE,"27.4449987","10.2259285","BraA01004368","AT3G10185","AT3G10185","Gibberellin-regulated family protein","-","-"
"BraA01000104",-1.03376885227428,4.35765798421515,0.000257672001910215,0.018106059419941,FALSE,"30.24357","14.47083","BraA01000104","AT4G40060","HB16","homeobox protein 16","YES","YES"
"BraA01001689",-1.38315658326262,2.66630230945541,0.000315203435605603,0.021102094051318,FALSE,"12.284633"," 4.750302","BraA01001689","AT4G25260","AT4G25260","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA05001140",-1.70591698556906,5.49540096202627,0.000316397344098542,0.021102094051318,FALSE,"62.229635","18.821487","BraA05001140","AT2G34810","AT2G34810","FAD-binding Berberine family protein","-","-"
"BraA02002842",-2.22745938511535,3.28272060859037,0.000325509778259889,0.0214373385347726,FALSE," 12.482636","  2.606239","BraA02002842","AT1G80130","AT1G80130","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05002624",-1.93541450190381,2.89531977921568,0.000364585552996348,0.0234929452558107,FALSE," 5.504010"," 1.435454","BraA05002624","AT3G21420","LBO1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA01004734",-1.10646530559588,4.24775999560239,0.000365677991592988,0.0234929452558107,FALSE,"19.891269"," 9.049474","BraA01004734","AT3G02510","AT3G02510","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA06000867",-2.03087415630838,2.4681249552544,0.000375182270630382,0.0238143535857176,FALSE,"9.2483485","2.2058844","BraA06000867","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA09004858",-1.02754574364718,2.77715713727097,0.000375219802367088,0.0238143535857176,FALSE,"10.568591"," 5.253506","BraA09004858","AT3G54880","AT3G54880","zinc finger protein","-","-"
"BraA05001011",-1.47147385814779,5.51556035989351,0.000386300550788135,0.0243869082419494,FALSE," 32.16623"," 11.42156","BraA05001011","AT2G36800","DOGT1","don-glucosyltransferase 1","-","YES"
"BraA05001365",-1.11112760061086,4.18498798603662,0.000388713655607616,0.0243869082419494,FALSE,"22.010583","10.088330","BraA05001365","AT2G32440","KAO2","ent-kaurenoic acid hydroxylase 2","-","-"
"BraA07003127",-1.29427055247741,2.60318352813897,0.000432390192546076,0.0265852407448251,FALSE,"10.270205"," 4.190413","BraA07003127","AT1G67480","AT1G67480","Galactose oxidase/kelch repeat superfamily protein","-","-"
"BraA02001825",-1.60305728264749,2.33238458621776,0.000434366761811821,0.0266028514821715,FALSE,"10.594577"," 3.395958","BraA02001825","AT3G20440","EMB2729","Alpha amylase family protein","-","-"
"BraA02001089",-1.00111240343168,2.89024724986229,0.000443903338299242,0.0269769827985717,FALSE,"11.976725"," 5.869397","BraA02001089","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA03001189",-1.07542846979695,4.31032544685038,0.000449975812873485,0.0271364723932133,FALSE,"15.031399"," 6.964118","BraA03001189","AT5G59480","AT5G59480","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA08002882",-1.02493548500518,4.4454489724095,0.000454414021990606,0.0272995294127181,FALSE,"32.74925","15.98348","BraA08002882","AT1G27450","APT1","adenine phosphoribosyl transferase 1","-","-"
"BraA03002593",-1.0568951010178,3.18006190968865,0.000492215565817218,0.0289084813655336,FALSE," 8.7223673"," 4.1094880","BraA03002593","AT4G22100","BGLU3","beta glucosidase 2","-","-"
"BraA10000781",-1.05050702724241,3.76312856889768,0.000529005169006419,0.0307803401095925,FALSE,"21.036545","10.182679","BraA10000781","AT5G51750","SBT1.3","subtilase 1.3","-","-"
"BraA09002844",-1.37443683552297,2.19715957410332,0.000658545360334757,0.0361167385772442,FALSE," 5.913516"," 2.225741","BraA09002844","AT4G06744","AT4G06744","Leucine-rich repeat (LRR) family protein","-","-"
"BraA07002948",-1.46962962365837,1.65820550419244,0.000675481495340689,0.0362782750610795,FALSE," 4.480574"," 1.606323","BraA07002948","AT3G45140","LOX2","lipoxygenase 2","-","YES"
"BraA05004259",-2.92970268828937,1.80614914887524,0.00069858689604122,0.0371906854428808,FALSE,"3.6885972","0.4329723","BraA05004259","AT3G07390","AIR12","auxin-induced in root cultures-like protein","-","-"
"BraA01001448",-1.48080213161543,2.07322580640749,0.000699392813919486,0.0371906854428808,FALSE," 3.653472"," 1.230001","BraA01001448","AT4G22920","NYE1","non-yellowing 1","-","YES"
"BraA09006785",-8.24891348617223,-0.344639437633857,0.000713331035196548,0.0375187308549233,FALSE," 3.98637469"," 0.00000000","BraA09006785","AT1G06080","ADS1","delta 9 desaturase 1","-","-"
"BraA06003711",-1.25855246010476,6.9143045009127,0.000715096522012516,0.0375187308549233,FALSE,"201.89888"," 84.04470","BraA06003711","AT5G25460","DGR2","transmembrane protein, putative (Protein of unknown function, DUF642)","-","-"
"BraA05002958",-1.23793009497482,3.01595998154549,0.000762599492149585,0.0390987492066269,FALSE," 8.665305"," 3.660530","BraA05002958","AT3G20660","42647","organic cation/carnitine transporter4","-","-"
"BraA05001016",-1.18669762467145,4.77757410390318,0.000814203429296436,0.0412075947817553,FALSE,"25.5329455","11.1127987","BraA05001016","AT2G36750","UGT73C1","UDP-glucosyl transferase 73C1","-","-"
"BraA09006262",-1.16575916495084,3.78167666958176,0.000863038081059884,0.0429491867512905,FALSE,"19.646984"," 8.873536","BraA09006262","AT1G14720","XTH28","xyloglucan endotransglucosylase/hydrolase 28","-","YES"
"BraA06000517",-1.08000636956265,3.29875512593611,0.000868535489331883,0.042989775478251,FALSE," 5.3707518"," 2.3952955","BraA06000517","AT3G44990","XTH31","xyloglucan endo-transglycosylase-related 8","-","-"
"BraA01000166",-1.7510817442246,5.40147916299882,0.000878225431036897,0.0433331294185604,FALSE,"78.04617","23.17358","BraA01000166","AT4G37370","CYP81D8","cytochrome P450, family 81, subfamily D, polypeptide 8","-","-"
"BraA06002109",-1.24656832534997,3.65618192869966,0.000900113610046958,0.0441364119069754,FALSE,"10.988484"," 4.651282","BraA06002109","AT1G19390","AT1G19390","Wall-associated kinase family protein","-","-"
"BraA01000666",-1.45842537522651,2.02412870395566,0.000932811607704782,0.0451767837085331,FALSE," 4.422737"," 1.662126","BraA01000666","AT4G31820","ENP","Phototropic-responsive NPH3 family protein","-","YES"
"BraA05001456",-1.25305580163457,4.60246416558816,0.000952317766426388,0.0458393934053558,FALSE,"18.8098073"," 7.8980071","BraA05001456","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA01000738",-1.33259979514501,2.62340086310286,0.000981931026765906,0.0468351344281678,FALSE,"10.841890"," 4.207809","BraA01000738","AT5G04590","SIR","sulfite reductase","-","-"
"BraA01001223",-1.29386904156374,4.19276008747319,0.000992558166264586,0.0471989895377782,FALSE," 18.147393","  7.513611","BraA01001223","AT4G20320","AT4G20320","CTP synthase family protein","-","-"
"BraA06002044",-3.59366474103195,-1.04049858541401,0.00100079603245583,0.0473048935461103,FALSE," 0.52305549"," 0.02353374","BraA06002044","AT1G18710","MYB47","myb domain protein 47","YES","-"
