"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07000076",2.98938841388691,3.76854762263523,23.149815642026,7.26979288046322e-05,0.0127676303448739,FALSE," 7.417280","15.260366","14.503563","33.902302"," 7.003078","11.727149","BraA07000076","AT2G20010","AT2G20010","Gls protein (DUF810)","-","-"
"BraA07000404",2.89775548947037,3.00132097404244,23.1336331032592,7.30042395831415e-05,0.0127676303448739,FALSE," 4.004800"," 7.704262"," 5.009749","13.765023"," 9.123791","12.928402","BraA07000404","AT2G16990","AT2G16990","Major facilitator superfamily protein","-","-"
"BraA05002410",3.79133678500452,2.59169421424531,22.7473412554914,8.07496666563232e-05,0.0136666640125863,FALSE," 3.0045752"," 7.8925856"," 9.3712030","10.9342624"," 0.8067085"," 3.7346402","BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03004240",7.63853674786682,2.26503983942762,22.2775633127213,9.13968958985974e-05,0.0149459606200155,FALSE," 0.0573463"," 1.9479724","16.8494381","15.8400098"," 0.1267003"," 1.0991042","BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA04001731",1.14145219275413,4.91342341691358,22.2483953153098,9.21066188145809e-05,0.0149459606200155,FALSE,"25.53532","35.44708","20.11965","25.12669","34.08116","43.26605","BraA04001731","AT2G23740","SUVR5","histone-lysine N-methyltransferase SUVR5","-","-"
"BraA01004327",2.11402609573829,6.02011572418984,22.1535811313831,9.44554327956855e-05,0.0151706991041234,FALSE," 81.87949","106.87388"," 38.00399"," 44.05391"," 22.99861"," 65.81401","BraA01004327","AT3G10720","AT3G10720","Plant invertase/pectin methylesterase inhibitor superfamily","-","-"
"BraA01002149",2.57074094484133,6.24969123871413,21.4407965203766,0.000114349613336835,0.0181804334739574,FALSE," 14.54003"," 59.06520","223.10889","203.54660"," 21.05738"," 33.81252","BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA06000596",2.00893346478621,3.48556327821696,21.1290006034274,0.000124449677546068,0.0195883792457511,FALSE," 7.225717"," 9.055958"," 7.202127","15.613061","14.819905","21.950173","BraA06000596","AT3G43600","AAO2","aldehyde oxidase 2","-","-"
"BraA01000630",2.35598061661607,7.93917717775501,20.992186355583,0.00012918478458624,0.0201323614790833,FALSE,"124.6496","191.8129","270.1463","349.0088","241.2326","621.0794","BraA01000630","AT4G32190","AT4G32190","Myosin heavy chain-related protein","-","-"
"BraA07002918",3.21893342083796,3.35187316572038,20.8838624163662,0.000133073075668606,0.0201400981829218,FALSE,"10.111473","17.899349"," 1.657014"," 3.602037"," 6.053100","14.328094","BraA07002918","AT1G68570","AT1G68570","Major facilitator superfamily protein","-","-"
"BraA10000235",2.69441857174823,2.61322353750079,20.6913272930122,0.000140302514349625,0.02103201500822,FALSE," 4.049138"," 6.971595"," 5.178032","10.352490"," 4.185359"," 7.941635","BraA10000235","AT1G03710","AT1G03710","Cystatin/monellin superfamily protein","-","-"
"BraA10002022",2.17321884238648,4.8498627947039,20.1556723572893,0.000162765377754544,0.0234764324668688,FALSE,"11.24598","15.26297","42.37987","40.05075","23.26828","82.07354","BraA10002022","AT5G17290","APG5","autophagy protein Apg5 family","-","YES"
"BraA08000799",3.34481295859699,4.42703786665849,18.9615180163364,0.000228300691724848,0.0306245663889389,FALSE,"15.38441","30.12647","12.26058","27.77326","13.25544","30.35182","BraA08000799","AT5G37600","GSR 1","hypothetical protein","-","YES"
"BraA06000621",2.30226792427868,3.89157045690661,18.9202568579727,0.000231028252122136,0.0306245663889389,FALSE," 5.705168","10.266298","20.290995","39.890892","10.280425","14.627010","BraA06000621","AT1G65930","cICDH","cytosolic NADP -dependent isocitrate dehydrogenase","-","-"
"BraA10001353",1.39924196989124,7.7657414007654,18.8283216250956,0.000237234204277968,0.0311172197944601,FALSE,"158.0242","240.7574","161.1940","179.9323","265.9667","412.2111","BraA10001353","AT5G58140","PHOT2","phototropin 2","-","YES"
"BraA06004265",2.27211277088067,3.71013767179806,18.7787340211819,0.000240656782759465,0.0312859416742339,FALSE," 7.274557","11.886924"," 4.853743","13.846935","24.020764","24.865825","BraA06004265","AT3G27170","CLC-B","chloride channel B","-","-"
"BraA08001546",6.13759142943599,3.12060634233021,18.7524051867507,0.000242495863040441,0.0312859416742339,FALSE," 2.432598","12.368912","11.897063","33.745412"," 1.091185"," 5.310186","BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA06000867",7.90755796452568,2.15268655688333,19.4567728669198,0.000262885647043615,0.0333695168102137,FALSE,"2.2058844","9.2483485","0.0000000","0.2841338","3.5989335","8.1735130","BraA06000867","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA10000910",6.57467464439943,1.97885817019423,18.2996535468102,0.000276640147127941,0.0342859520928645,FALSE," 0.29099646"," 2.24720455"," 9.43413299","12.30128773"," 0.25209040"," 2.51627715","BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA01000624",6.51640004673647,2.16723613581063,18.0440558988574,0.000298205209079199,0.0363856588442372,FALSE," 0.5800318"," 5.6565384"," 9.9907941","11.0834086"," 0.5467774"," 4.5958592","BraA01000624","AT4G32280","IAA29","indole-3-acetic acid inducible 29","-","YES"
"BraA04002319",4.01843225658977,4.69339122841454,17.8437260986995,0.000316388850402243,0.0373471163512595,FALSE," 10.971799"," 22.712984","  7.407457"," 15.464719"," 30.180057","108.831240","BraA04002319","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA06001228",1.04502552384602,4.58000263676909,17.5457846700343,0.000345706956171808,0.0394306339865526,FALSE,"20.90808","22.86808","24.42641","33.83442","19.36646","26.42089","BraA06001228","AT1G08620","PKDM7D","Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein","-","-"
"BraA06000868",5.5863050381287,2.85421494595241,17.5165079607208,0.000348743916601394,0.0394350308847214,FALSE," 4.7469649","15.2556708"," 0.1736227"," 0.9767283"," 5.6972384","12.2157322","BraA06000868","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA06000550",1.43354720571226,7.02064913773768,17.4734662146985,0.000353261712499728,0.0394350308847214,FALSE," 83.39047","151.91682","101.35595","115.01706","169.22823","221.03851","BraA06000550","AT3G44300","NIT2","nitrilase 2","-","YES"
"BraA09004924",1.64695982805256,5.92964884949011,17.2678455828128,0.000375743160172102,0.0413580233643978,FALSE," 44.01310"," 69.88188"," 59.64874"," 65.98510"," 57.87495","102.96744","BraA09004924","AT3G55610","P5CS2","delta 1-pyrroline-5-carboxylate synthase 2","-","-"
"BraA01003773",1.6111283714221,7.41105334202774,16.654213244072,0.000452642094635546,0.048466575303153,FALSE,"124.1556","243.5166","185.8036","162.4159","103.6790","184.7371","BraA01003773","AT3G18080","BGLU44","B-S glucosidase 44","-","-"
"BraA10002773",1.31295869895354,4.51022619890712,16.6083375073808,0.000459045337622832,0.0484924403636468,FALSE,"16.85609","23.18453","22.74619","33.84888","21.75624","26.40007","BraA10002773","AT5G07290","ML4","MEI2-like 4","-","-"
