"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.R_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03000167",1.14981984608255,5.07482650934414,8.52764826349267e-11,3.94779951962866e-08,FALSE," 25.68112"," 57.22285","BraA03000167","AT5G04410","NAC2","NAC domain containing protein 2","YES","YES"
"BraA02003652",1.99858955759941,9.32109801584467,9.75282500381081e-11,4.38598473028521e-08,FALSE," 111.0569"," 444.1162","BraA02003652","AT3G26740","CCL","CCR-like protein","-","-"
"BraA07001444",2.35522691521893,3.65220200664557,1.01193608288806e-10,4.42440942907168e-08,FALSE," 2.057462","10.529419","BraA07001444","AT1G22400","UGT85A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA09005305",8.16834322518816,-0.245504009791916,1.71786228994849e-10,7.30787903886194e-08,FALSE,"  0.00000000","  3.35922610","BraA09005305","AT3G60140","DIN2","Glycosyl hydrolase superfamily protein","-","-"
"BraA06001326",1.22837422529286,6.6722065795843,2.24144761058232e-10,9.20838671829313e-08,FALSE," 35.02003"," 82.17488","BraA06001326","AT1G09800","AT1G09800","Pseudouridine synthase family protein","-","-"
"BraA03000304",1.14977177337683,5.46568645527232,2.82974135498459e-10,1.11350322318643e-07,FALSE,"23.16265","51.58429","BraA03000304","AT5G07240","IQD24","IQ-domain 24","-","-"
"BraA09005649",5.23885155660339,3.12754907174904,3.46172476378499e-10,1.32896458004819e-07,FALSE," 0.02915130"," 1.53484136","BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA08002753",1.14191901641014,14.1716020500934,1.38358223014892e-09,4.97681641293331e-07,FALSE," 7294.154","16162.409","BraA08002753","AT1G29930","CAB1","chlorophyll A/B binding protein 1","-","YES"
"BraA05004056",4.77936909110592,-0.252466052355949,1.39123203411096e-09,4.97681641293331e-07,FALSE," 0.09952447"," 3.42055577","BraA05004056","AT3G10320","AT3G10320","Glycosyltransferase family 61 protein","-","-"
"BraA01001824",1.6261001790235,8.73883780992775,2.58511705255418e-09,8.84559617547887e-07,FALSE,"125.285829","387.993907","BraA01001824","AT4G26530","FBA5","Aldolase superfamily protein","-","-"
"BraA09003764",1.57089406005088,11.6657410976852,2.84528161874912e-09,9.52866652747045e-07,FALSE,"1187.2988","3530.7082","BraA09003764","AT2G34420","LHB1B2","photosystem II light harvesting complex protein B1B2","-","-"
"BraA06004622",1.73508000429607,5.47982616221747,4.22164992644414e-09,1.35609734371899e-06,FALSE,"  8.555152"," 28.339251","BraA06004622","AT5G47240","NUDT8","nudix hydrolase homolog 8","-","-"
"BraA05004474",1.08374419356546,6.6825556430051,8.26613491985951e-09,2.55115614977625e-06,FALSE," 37.24906"," 79.02380","BraA05004474","AT3G05030","NHX2","sodium hydrogen exchanger 2","-","YES"
"BraA06002586",1.09852788680646,12.5155865100812,1.0595379721282e-08,3.15333431861979e-06,FALSE,"3165.1738","6810.3291","BraA06002586","AT3G47470","LHCA4","light-harvesting chlorophyll-protein complex I subunit A4","-","YES"
"BraA06001774",1.42577308346981,11.4259778227998,1.0817620784365e-08,3.15333431861979e-06,FALSE," 977.3759","2641.2580","BraA06001774","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES"
"BraA03004932",2.3847088323279,6.41598080272232,1.1622373448971e-08,3.3261119652146e-06,FALSE," 36.66430","192.78656","BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA05004167",1.2734313421785,5.41018491095568,1.22233410478505e-08,3.43563193023511e-06,FALSE,"15.088302","36.707553","BraA05004167","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA07002218",2.58303270344131,8.65930911919174,1.43637739615961e-08,3.85617476222859e-06,FALSE," 16.666202","100.894356","BraA07002218","AT3G59960","ASHH4","histone-lysine N-methyltransferase ASHH4","-","-"
"BraA03000354",1.06929235826464,3.8855132717928,1.45949261884718e-08,3.85617476222859e-06,FALSE,"10.645501","22.537360","BraA03000354","AT5G08160","PK3","serine/threonine protein kinase 3","-","-"
"BraA03000835",1.23277578095631,5.99054143710949,1.46995226006172e-08,3.85617476222859e-06,FALSE," 17.637289"," 41.757624","BraA03000835","AT5G17230","PSY","PHYTOENE SYNTHASE","-","-"
"BraA01001352",1.6380369052635,7.94562967156425,1.88833701403461e-08,4.71784517474678e-06,FALSE,"177.7086","558.5302","BraA01001352","AT4G21960","PRXR1","Peroxidase superfamily protein","-","-"
"BraA05001097",1.33388665273345,5.61681473907772,2.68011297143215e-08,6.48999664159109e-06,FALSE,"26.2419640","66.7908717","BraA05001097","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA04002028",2.47200266887881,2.40004887923335,3.15935163956093e-08,7.53457497071045e-06,FALSE," 2.202479","12.311014","BraA04002028","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA10002318",3.82630230838852,1.30418510037088,3.22720489110014e-08,7.5815231322263e-06,FALSE,"  0.3944738","  5.7251013","BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA09006500",6.37377430639725,1.83757957356717,3.98167724579436e-08,9.21641174247106e-06,FALSE,"  0.20366566"," 17.83747737","BraA09006500","AT1G11190","BFN1","bifunctional nuclease i","-","YES"
"BraA06002625",1.2659136138295,9.826108379559,4.65184268527334e-08,1.04600005523146e-05,FALSE," 377.4295"," 910.1203","BraA06002625","AT3G46970","PHS2","alpha-glucan phosphorylase 2","-","-"
"BraA02004375",1.02530639874589,3.46798154368806,5.89956834526857e-08,1.27204391444558e-05,FALSE," 9.050243","18.541830","BraA02004375","AT5G63380","AT5G63380","AMP-dependent synthetase and ligase family protein","-","-"
"BraA05003710",1.89253636807865,3.91338705728211,7.40601831706445e-08,1.53382537250782e-05,FALSE," 7.662716","28.280238","BraA05003710","AT3G14150","HAOX2","Aldolase-type TIM barrel family protein","-","-"
"BraA04002120",1.77620267415386,3.04637328425031,7.9388481586355e-08,1.60201884637081e-05,FALSE," 2.178085"," 7.610249","BraA04002120","AT2G29120","GLR2.7","glutamate receptor 2.7","-","-"
"BraA07000956",1.0138279648443,8.53502810647247,1.09365317000339e-07,2.15176261198166e-05,FALSE,"195.55578","396.93463","BraA07000956","AT1G31330","PSAF","photosystem I subunit F","-","YES"
"BraA04001271",3.62013167940181,-0.270851673273671,1.4663805027803e-07,2.7808227847906e-05,FALSE," 0.24911076"," 3.04649749","BraA04001271","AT5G39520","AT5G39520","hypothetical protein (DUF1997)","-","-"
"BraA03000160",1.31456705422714,3.07536532162814,1.52993016126082e-07,2.86679770693396e-05,FALSE," 4.617456","11.625562","BraA03000160","AT5G04250","AT5G04250","Cysteine proteinases superfamily protein","-","-"
"BraA08002786",3.18817029651866,3.33796684337772,1.57892252189142e-07,2.92379299936129e-05,FALSE," 0.9509979"," 8.6413034","BraA08002786","AT1G29280","WRKY65","WRKY DNA-binding protein 65","YES","-"
"BraA09000909",1.00584541494451,4.02123359495331,1.79594839048759e-07,3.21229859844031e-05,FALSE," 8.009781","16.286121","BraA09000909","AT5G65110","ACX2","acyl-CoA oxidase 2","-","-"
"BraA03000270",1.45868807460749,3.86173750715892,2.53450821051887e-07,4.48237744197382e-05,FALSE," 6.916146","19.040160","BraA03000270","AT5G06610","AT5G06610","lipase (DUF620)","-","-"
"BraA09006514",1.62214754998076,7.91801895990373,2.70411613099145e-07,4.67722943975884e-05,FALSE," 57.424341","177.170522","BraA09006514","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES"
"BraA07001020",1.4168994017831,5.08809232932802,2.74060632270277e-07,4.68881994775452e-05,FALSE,"11.593033","31.105999","BraA07001020","AT1G29930","CAB1","chlorophyll A/B binding protein 1","-","YES"
"BraA03000218",1.20260163739929,4.5844639842531,4.23927471292264e-07,6.95605819059581e-05,FALSE," 10.83684"," 24.85695","BraA03000218","AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA08003182",1.96345986499144,4.29516985326033,5.72165077942454e-07,8.73138976706701e-05,FALSE," 3.681741","14.329431","BraA08003182","AT1G20640","AT1G20640","Plant regulator RWP-RK family protein","YES","-"
"BraA07001128",1.85463257017329,5.1236705735885,7.45585586434906e-07,0.000107665294775096,FALSE,"17.01548","61.30782","BraA07001128","AT1G28290","AGP31","arabinogalactan protein 31","-","-"
"BraA01001915",1.25556708528052,8.43623377007044,8.7377874258592e-07,0.000121860120472777,FALSE,"144.4871","346.0568","BraA01001915","AT4G27440","PORB","protochlorophyllide oxidoreductase B","-","YES"
"BraA03000159",1.17826193893311,3.7496197702911,8.74853469721968e-07,0.000121860120472777,FALSE," 6.653326","15.169779","BraA03000159","AT5G04170","AT5G04170","Calcium-binding EF-hand family protein","-","-"
"BraA04003292",1.08445830116039,5.56707522700415,1.08982543718658e-06,0.000146614122917238,FALSE,"16.98460","36.21273","BraA04003292","AT2G46550","AT2G46550","transmembrane protein","-","-"
"BraA03000163",1.04389779975144,3.96255898553726,1.19362202298254e-06,0.000159217039336823,FALSE,"10.720108","22.181236","BraA03000163","AT5G04320","AT5G04320","Shugoshin C terminus","-","-"
"BraA10001880",5.04721553745356,1.4010325924672,1.97639415036838e-06,0.00025087454779676,FALSE,"  0.1243586","  4.3617269","BraA10001880","AT5G18840","AT5G18840","Major facilitator superfamily protein","-","-"
"BraA05004164",1.17539742541547,9.09979161657641,2.04282146979933e-06,0.000255486658385985,FALSE,"243.5109","554.2742","BraA05004164","AT3G08940","LHCB4.2","light harvesting complex photosystem II","-","YES"
"BraA05003527",2.17373917123785,6.78169737428201,2.19350266972055e-06,0.00027185615764883,FALSE," 12.124403"," 54.363333","BraA05003527","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-"
"BraA08003629",1.67004365084265,5.12255315754591,2.64875766294858e-06,0.000318271839753588,FALSE,"10.346127","33.123958","BraA08003629","AT1G10670","ACLA-1","ATP-citrate lyase A-1","-","YES"
"BraA06003597",2.11639042743989,2.86920355811639,2.66038905573346e-06,0.000318271839753588,FALSE," 2.203471"," 9.477774","BraA06003597","AT5G24150","SQP1","FAD/NAD(P)-binding oxidoreductase family protein","-","-"
"BraA04003129",1.38248917782861,5.43638218519558,2.70980268874839e-06,0.000320693942262404,FALSE,"14.34382184","37.19727059","BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA10001433",1.39376286491457,4.64759110150267,2.83325208064508e-06,0.000332801401114578,FALSE,"13.91198","36.49219","BraA10001433","AT5G58960","GIL1","glucose-6-phosphate isomerase, putative (DUF641)","-","-"
"BraA03001717",1.78505873807816,5.60592168085359,3.17182119591909e-06,0.000364412157837711,FALSE,"13.541463","47.077176","BraA03001717","AT2G30620","AT2G30620","winged-helix DNA-binding transcription factor family protein","-","-"
"BraA05004548",1.07364367988015,3.91874219649147,3.66265872160183e-06,0.000408867009063921,FALSE," 5.635532","12.047946","BraA05004548","AT3G03720","CAT4","cationic amino acid transporter 4","-","-"
"BraA03000328",1.13669576422407,5.301377914578,4.12506785200042e-06,0.000454045930003403,FALSE,"21.04904","46.34352","BraA03000328","AT5G07740","AT5G07740","actin binding protein","-","-"
"BraA01004062",1.26616344332842,6.46794600993756,5.11278917960498e-06,0.000529442774256463,FALSE," 34.08320"," 81.84663","BraA01004062","AT3G14200","AT3G14200","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA04000766",1.02972028163735,6.87787963898382,5.42174649651634e-06,0.00055776660036057,FALSE," 51.8860","106.1055","BraA04000766","AT3G52070","AT3G52070","RNA/RNP complex-1-interacting phosphatase","-","-"
"BraA02003838",1.24590057524241,3.81451178116608,5.66505372041745e-06,0.000575277068124972,FALSE," 4.506366","10.660866","BraA02003838","AT3G29635","AT3G29635","HXXXD-type acyl-transferase family protein","-","-"
"BraA06004285",1.43356454630034,4.84875226868015,6.50108838426543e-06,0.000655943148514986,FALSE," 20.30828"," 55.01107","BraA06004285","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-"
"BraA06002227",1.65053974268541,6.66646488794009,6.90394878626747e-06,0.000683447508778931,FALSE," 11.46835"," 36.21816","BraA06002227","AT1G20620","CAT3","catalase 3","-","YES"
"BraA10000458",1.05090686226983,5.37122049322562,7.03576522676382e-06,0.000687844376827718,FALSE,"22.49580","47.16948","BraA10000458","AT1G05805","AT1G05805","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA07001801",1.62992245991086,2.52143480173096,8.29644546739733e-06,0.00079625641254167,FALSE," 2.694961"," 8.344425","BraA07001801","AT2G27180","AT2G27180","hypothetical protein","-","-"
"BraA03000179",1.04202441459993,4.46972735089845,8.55000926937755e-06,0.000815619066060622,FALSE,"14.50602","30.01029","BraA03000179","AT5G04740","ACR12","ACT domain-containing protein","-","-"
"BraA03002969",1.09328577398131,7.48943213517136,8.81283592454723e-06,0.000824890910674804,FALSE," 90.54674","194.34822","BraA03002969","AT4G04340","AT4G04340","ERD (early-responsive to dehydration stress) family protein","-","-"
"BraA04001893",4.85936466683933,0.164223384790463,1.01603844458935e-05,0.000919228247316669,FALSE," 0.13682267"," 4.46650488","BraA04001893","AT2G25625","AT2G25625","histone deacetylase-like protein","-","-"
"BraA10000072",1.61392223791935,5.48843483686843,1.19927668707689e-05,0.00106048399183091,FALSE,"11.74647599","35.76838537","BraA10000072","AT1G01190","CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","-","-"
"BraA03004934",1.18945185957021,8.19770479704617,1.29331685313274e-05,0.00112639669967177,FALSE,"121.09800","276.65145","BraA03004934","AT4G15560","CLA1","Deoxyxylulose-5-phosphate synthase","-","YES"
"BraA01002849",1.07359532539767,5.58759568612881,1.60156209970231e-05,0.00133378769573092,FALSE,"19.15233","40.48969","BraA01002849","AT1G62810","CuAO1","Copper amine oxidase family protein","-","-"
"BraA08003627",1.48920435136035,7.62211894647861,1.66759067329437e-05,0.00137423440825411,FALSE," 41.86901","117.62496","BraA08003627","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES"
"BraA09000386",2.76141203747778,3.07992551766641,1.800630615269e-05,0.0014761419731424,FALSE," 2.061444","14.005720","BraA09000386","AT3G29030","EXPA5","expansin A5","-","YES"
"BraA02000388",1.31564376483687,6.2053872334182,2.0930027005404e-05,0.00166383143972252,FALSE," 52.30037","129.81202","BraA02000388","AT5G10770","AT5G10770","Eukaryotic aspartyl protease family protein","-","-"
"BraA09003933",1.52102848118802,4.05094591640643,2.11399648941002e-05,0.00166466886028108,FALSE," 5.013399","14.523750","BraA09003933","AT1G27930","AT1G27930","glucuronoxylan 4-O-methyltransferase-like protein (DUF579)","-","-"
"BraA10002002",1.26922732909218,5.57787504905233,2.11520820874343e-05,0.00166466886028108,FALSE,"10.54808","25.57902","BraA10002002","AT5G17520","RCP1","root cap 1 (RCP1)","-","-"
"BraA09005648",2.18549633728457,3.65100625748601,2.18440239905296e-05,0.00170685660472159,FALSE," 0.8060753"," 3.6814298","BraA09005648","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA07001428",1.22019243338312,4.20814430208388,2.45229637784701e-05,0.00188451304351133,FALSE," 8.841932","20.641843","BraA07001428","AT1G22550","AT1G22550","Major facilitator superfamily protein","-","-"
"BraA09006498",1.47295115367556,6.56340750745241,2.54552701680468e-05,0.00194418716462696,FALSE," 29.70425"," 82.35388","BraA09006498","AT1G11260","STP1","sugar transporter 1","-","-"
"BraA10002074",1.08583196972317,7.41880480531342,2.56861137956134e-05,0.00194418716462696,FALSE," 92.09188","195.35408","BraA10002074","AT5G16570","GLN1;4","glutamine synthetase 1;4","-","-"
"BraA09004765",1.09793977876214,5.03721377080459,2.81794013038923e-05,0.00205089413705727,FALSE,"13.499062","28.811060","BraA09004765","AT3G53800","Fes1B","Fes1B","-","-"
"BraA06001469",3.00623622175309,0.993816837477406,2.88144928427486e-05,0.00207095943993088,FALSE," 0.4314255"," 3.5920565","BraA06001469","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA03000381",1.36048512016506,5.73111006588138,2.91690292202405e-05,0.00208691145421175,FALSE," 23.32188"," 60.25946","BraA03000381","AT5G08520","AT5G08520","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA02001413",2.79581275605895,3.0600303827718,3.01258767115232e-05,0.00212637354008688,FALSE," 1.295204"," 9.285890","BraA02001413","AT5G56100","AT5G56100","glycine-rich protein / oleosin","-","-"
"BraA03000025",1.7276113491743,2.92498229875011,3.40896722822507e-05,0.00238476196321167,FALSE," 1.961468"," 6.552710","BraA03000025","AT5G01610","AT5G01610","hypothetical protein (Protein of unknown function, DUF538)","-","-"
"BraA01002026",1.01997929752222,3.87945803756987,3.44014692203207e-05,0.00239592533419402,FALSE," 5.745224","11.742063","BraA01002026","AT4G26420","GAMT1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA02003103",2.50309350458966,3.86829202186133,3.67998044304996e-05,0.00250996886539704,FALSE," 2.5078887","14.2020368","BraA02003103","AT4G11320","AT4G11320","Papain family cysteine protease","-","-"
"BraA09003896",1.55144285936453,2.24045463566589,3.6836264797123e-05,0.00250996886539704,FALSE," 3.515421","10.297218","BraA09003896","AT1G28290","AGP31","arabinogalactan protein 31","-","-"
"BraA03000618",1.15447638050798,4.81339305272604,4.08397703837892e-05,0.00274708540957625,FALSE," 9.754232","21.877726","BraA03000618","AT5G13710","SMT1","sterol methyltransferase 1","-","-"
"BraA08003146",1.48975081546422,4.34978091228487,4.66159608650451e-05,0.00305239824479112,FALSE," 6.597632","18.603632","BraA08003146","AT1G21230","WAK5","wall associated kinase 5","-","-"
"BraA01001128",1.30650093439994,2.5029272048911,6.43682435773096e-05,0.00403647870082411,FALSE,"3.101798","7.815525","BraA01001128","AT4G19020","CMT2","chromomethylase 2","-","-"
"BraA05003987",3.51441254774928,3.34946651828384,6.84372221124835e-05,0.00424095226791531,FALSE," 0.3867673"," 4.6445597","BraA05003987","AT3G11110","AT3G11110","RING/U-box superfamily protein","-","-"
"BraA03003091",7.01438564239092,1.91494080448295,7.33156936301563e-05,0.00441314062551643,FALSE,"  0.13677573"," 18.26731793","BraA03003091","AT2G46450","CNGC12","cyclic nucleotide-gated channel 12","-","-"
"BraA07002008",2.79823308513333,-0.265905273678503,7.3458884617872e-05,0.00441314062551643,FALSE," 0.3735633"," 2.7929602","BraA07002008","AT3G55890","AT3G55890","Yippee family putative zinc-binding protein","-","-"
"BraA02001296",1.78482232792749,1.11115321131363,9.03833458482582e-05,0.00515447052047675,FALSE," 1.3914981"," 4.8729508","BraA02001296","AT5G57910","AT5G57910","ribosomal RNA small subunit methyltransferase G","-","-"
"BraA06002313",1.2623698239456,5.39791637919834,9.92662662921066e-05,0.00548228432083424,FALSE," 18.15122"," 43.55817","BraA06002313","AT1G21400","AT1G21400","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein","-","-"
"BraA03000209",2.60107817915841,1.5171697172775,0.000103723644184628,0.00561115975003948,FALSE," 1.4387117"," 8.7644150","BraA03000209","AT5G05110","AT5G05110","Cystatin/monellin family protein","-","-"
"BraA01000399",2.15410824284578,2.6217633624154,0.000106099481739732,0.00569967864362931,FALSE," 2.538755","11.356080","BraA01000399","AT4G34560","AT4G34560","transmembrane protein","-","-"
"BraA08000121",1.24301201211182,4.18706396037267,0.000110813106184425,0.00589421436730106,FALSE," 17.714025"," 42.283395","BraA08000121","AT1G54100","ALDH7B4","aldehyde dehydrogenase 7B4","-","-"
"BraA10002972",1.21003813034134,2.5332473517734,0.000112657180898968,0.00595041619916026,FALSE," 5.825231","13.430027","BraA10002972","AT5G04470","SIM","cyclin-dependent protein kinase inhibitor","-","YES"
"BraA07001929",1.03054475276269,9.58591555511632,0.00012249399062,0.00644834586073178,FALSE,"337.46850","691.68448","BraA07001929","AT2G28900","OEP16-1","outer plastid envelope protein 16-1","-","-"
"BraA06003389",2.19603135804547,3.36306096128705,0.000140100946531635,0.00715970421561017,FALSE," 4.528363","20.958886","BraA06003389","AT5G67480","BT4","BTB and TAZ domain protein 4","-","-"
"BraA06003444",1.52836222533,5.66664732300947,0.000141526258478297,0.00720913692054496,FALSE,"24.39574","70.65732","BraA06003444","AT2G17840","ERD7","Senescence/dehydration-associated protein-like protein","-","YES"
"BraA03003743",1.05655632135036,3.85081287362689,0.000144086199459266,0.00722266490283071,FALSE,"10.31345","21.40157","BraA03003743","AT3G11580","AT3G11580","AP2/B3-like transcriptional factor family protein","YES","-"
"BraA03005531",1.45199697950193,4.48485803757922,0.000147080427642829,0.00726966104196662,FALSE,"14.63750","40.15950","BraA03005531","AT4G24540","AGL24","AGAMOUS-like 24","YES","-"
"BraA03002624",1.2052216088962,3.30029381668981,0.000157553035517745,0.00753764370531703,FALSE," 3.173752"," 7.281483","BraA03002624","AT2G28550","RAP2.7","related to AP2.7","YES","-"
"BraA08000335",1.38387546694207,8.72044521423956,0.000161744370248623,0.00771471632640402,FALSE," 98.83481","258.20430","BraA08000335","AT3G19320","AT3G19320","Leucine-rich repeat (LRR) family protein","-","-"
"BraA08000492",1.03193015659543,3.92041560273251,0.000163859978939364,0.00776854237501682,FALSE," 9.59593522","19.65985081","BraA08000492","AT1G47580","DYW1","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA01004052",2.10412725383285,7.65503578900536,0.000166268621330577,0.00785906336259246,FALSE," 21.85865"," 93.74514","BraA01004052","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA05000115",1.14614439289051,3.81594805224246,0.000177372335220081,0.00833385240705694,FALSE," 7.983214","17.614903","BraA05000115","AT2G47500","AT2G47500","P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein","-","-"
"BraA08001363",1.68426843752347,6.31850897419148,0.00018809234242799,0.0087332550732052,FALSE," 24.63415"," 79.69343","BraA08001363","AT4G18220","AT4G18220","Drug/metabolite transporter superfamily protein","-","-"
"BraA03004184",3.7371892835933,3.64155388940515,0.000211206858418992,0.00958039179110932,FALSE," 0.1457565"," 2.1017932","BraA03004184","AT3G20080","CYP705A15","cytochrome P450, family 705, subfamily A, polypeptide 15","-","-"
"BraA01000675",2.21737185424577,5.94644925620441,0.000212206074141263,0.00959805634190655,FALSE," 22.698568","106.677048","BraA01000675","AT1G77520","AT1G77520","O-methyltransferase family protein","-","-"
