"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.24_Avg_CPM","WT.24_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10001615",-1.60102829986215,4.00707351397296,1.08037090798502e-07,2.88220984604818e-05,FALSE,"31.931813","10.355167","BraA10001615","AT5G22650","HD2B","histone deacetylase 2B","-","-"
"BraA08003639",-1.68705376233609,3.59360003724926,1.15193195439515e-07,3.0219014936966e-05,FALSE,"25.798915"," 7.896305","BraA08003639","AT1G10490","AT1G10490","GNAT acetyltransferase (DUF699)","-","-"
"BraA03002351",-2.66042787203064,6.08145221769569,1.27655464242567e-07,3.2278855315909e-05,FALSE,"165.812942"," 25.692390","BraA03002351","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA10001437",-3.2329163671863,2.92349518966062,1.29197451391504e-07,3.2278855315909e-05,FALSE,"18.946721"," 1.989918","BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA05003460",-1.65897623007678,4.97887975017394,1.68357042203357e-07,3.95513409594155e-05,FALSE,"64.66995","20.16686","BraA05003460","AT3G16810","PUM24","pumilio 24","-","-"
"BraA08002297",-3.58222953921608,3.96366080118268,2.2652048567145e-07,5.09347492066946e-05,FALSE," 14.171746","  1.150758","BraA08002297","AT4G35720","AT4G35720","DUF241 domain protein, putative (DUF241)","-","-"
"BraA04001090",-1.37976852646162,4.1214172417027,2.74461891121993e-07,6.00004189758356e-05,FALSE,"30.320771","11.492501","BraA04001090","AT1G77550","AT1G77550","tubulin-tyrosine ligase","-","-"
"BraA03003380",-2.77610174512145,2.46067848241803,3.16471110879726e-07,6.71171262023377e-05,FALSE,"21.3525634"," 3.0301535","BraA03003380","AT3G04720","PR4","pathogenesis-related 4","-","-"
"BraA06003550",-1.33030588359495,2.87563183549355,3.19808415830707e-07,6.71171262023377e-05,FALSE,"13.672806"," 5.416080","BraA06003550","AT5G23690","AT5G23690","Polynucleotide adenylyltransferase family protein","-","-"
"BraA02003868",-1.05110133438204,4.64050613600864,3.77104809199634e-07,7.70860999584706e-05,FALSE,"42.48455","20.21854","BraA02003868","AT5G48030","GFA2","gametophytic factor 2","-","-"
"BraA09001613",-1.67696633944681,4.27457754443558,3.85382744703707e-07,7.77682615594403e-05,FALSE,"39.23758","12.03682","BraA09001613","AT1G63250","AT1G63250","DEA(D/H)-box RNA helicase family protein","-","-"
"BraA02000665",-1.11493297497623,3.73646962866611,4.02140087844917e-07,7.91210622834875e-05,FALSE,"24.526924","11.196338","BraA02000665","AT5G15700","AT5G15700","DNA/RNA polymerases superfamily protein","-","YES"
"BraA10001366",-1.75154429376392,3.71945245136547,6.59931558840625e-07,0.000123658604001803,FALSE,"29.097230"," 8.518971","BraA10001366","AT5G58370","AT5G58370","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA01002253",-1.60601012254026,4.17027308366002,6.92074305550737e-07,0.000128155877286689,FALSE,"25.036793"," 8.105315","BraA01002253","AT5G48930","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","-","YES"
"BraA09004899",-1.07521852999793,3.54596005532526,7.6144723491314e-07,0.00013787967341224,FALSE,"19.763007"," 9.276022","BraA09004899","AT3G55340","PHIP1","phragmoplastin interacting protein 1","-","-"
"BraA05003568",-1.35314630169741,3.70839862612676,7.68759362151265e-07,0.00013787967341224,FALSE,"25.700354"," 9.953695","BraA05003568","AT3G15460","AT3G15460","Ribosomal RNA processing Brix domain protein","-","-"
"BraA01000121",-1.36845997282017,6.74831722726719,7.70864756053185e-07,0.00013787967341224,FALSE,"215.15485"," 81.65032","BraA01000121","AT4G37910","mtHsc70-1","mitochondrial heat shock protein 70-1","-","YES"
"BraA10002697",-1.57525857635275,4.03631220910194,1.09795481569617e-06,0.000185825901065137,FALSE,"33.815048","11.211427","BraA10002697","AT5G06550","AT5G06550","transferring glycosyl group transferase","-","-"
"BraA03001855",-1.34560409832318,4.31928657811183,1.18835681698086e-06,0.000196019545220801,FALSE,"35.258078","13.653405","BraA03001855","AT2G33210","HSP60-2","heat shock protein 60-2","-","YES"
"BraA05001678",-1.73563560301366,3.35266120597457,1.43835293682871e-06,0.000231017094139632,FALSE,"23.832118"," 7.048034","BraA05001678","AT4G13850","GR-RBP2","glycine-rich RNA-binding protein 2","-","-"
"BraA01004248",-1.31968013215626,5.51589311185101,1.48982525537084e-06,0.000236867166864011,FALSE,"79.01295","31.12330","BraA01004248","AT3G11964","AT3G11964","RIBOSOMAL RNA PROCESSING 5","-","-"
"BraA03003147",-1.32580852669204,3.62552890247485,1.80651828014606e-06,0.00027877056597548,FALSE,"17.288373"," 6.778867","BraA03003147","AT4G01450","UMAMIT30","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA04000461",-1.48503125413537,2.61225438464581,2.07540104715316e-06,0.00031410396617491,FALSE,"12.234599"," 4.306172","BraA04000461","AT3G55620","eIF6A","Translation initiation factor IF6","-","-"
"BraA02000242",-3.44392518670738,0.958280266674312,2.13211856152611e-06,0.000317071148413438,FALSE," 6.24752124"," 0.55092973","BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA10000533",-1.2627097555888,5.58222682556481,2.13529490037004e-06,0.000317071148413438,FALSE,"79.68563","32.66124","BraA10000533","AT1G06720","AT1G06720","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA06002902",-2.35473444057359,3.49421923090226,2.33741079730978e-06,0.000334462235905963,FALSE,"28.656724"," 5.456757","BraA06002902","AT3G49240","emb1796","Pentatricopeptide repeat (PPR) superfamily protein","-","YES"
"BraA01004464",-1.60405671494247,4.83343591159094,2.41520655051209e-06,0.000342480640586129,FALSE,"56.38312","18.19709","BraA01004464","AT3G07770","Hsp89.1","HEAT SHOCK PROTEIN 89.1","-","-"
"BraA03003044",-1.09516331948091,5.66102285822112,2.60810210667948e-06,0.000360101115431009,FALSE,"82.80146","38.13301","BraA03003044","AT4G02930","AT4G02930","GTP binding Elongation factor Tu family protein","-","-"
"BraA07003035",-1.70480132831476,2.54228784796125,2.94321235085024e-06,0.000395950106003272,FALSE,"13.5658723"," 4.1409760","BraA07003035","AT5G38890","AT5G38890","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA08001892",-1.90359053749968,2.14896453782648,3.9912490519452e-06,0.000519192232046425,FALSE," 9.289068"," 2.436060","BraA08001892","AT4G31120","SKB1","SHK1 binding protein 1","-","YES"
"BraA08003400",-1.3619027967957,2.35121340232459,4.05944454805122e-06,0.000523734894969887,FALSE,"10.137103"," 3.934530","BraA08003400","AT1G15440","PWP2","periodic tryptophan protein 2","-","-"
"BraA03002626",-3.66973889880747,0.829990519274773,4.58392740326634e-06,0.000581863042963002,FALSE,"3.4598398","0.2461316","BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA01001223",-1.77255452824124,4.19276008747319,5.75261183363531e-06,0.00069650854047246,FALSE," 19.876784","  5.779358","BraA01001223","AT4G20320","AT4G20320","CTP synthase family protein","-","-"
"BraSca000408",-1.54717417530941,1.97117639984826,6.21182991956049e-06,0.000741227172565302,FALSE,"8.108042","2.732238","BraSca000408","AT1G44130","AT1G44130","Eukaryotic aspartyl protease family protein","-","-"
"BraA09005457",-4.45858680529698,-1.19035608741729,6.21613639000126e-06,0.000741227172565302,FALSE," 0.7612970"," 0.0210869","BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA02001910",-1.28420761037321,6.56706690353287,6.54611902616204e-06,0.000774706116329252,FALSE,"165.31362"," 66.46140","BraA02001910","AT1G67120","AT1G67120","midasin-like protein","-","-"
"BraA03003811",-1.45155054785721,4.7923178217762,7.26546072124362e-06,0.000840870233473342,FALSE,"54.68116","19.60560","BraA03003811","AT3G12860","AT3G12860","NOP56-like pre RNA processing ribonucleoprotein","-","-"
"BraA03006017",-1.1913996102109,5.15306346314591,8.03696324489353e-06,0.000923370813683388,FALSE,"62.56782","26.93799","BraA03006017","AT4G30990","AT4G30990","ARM repeat superfamily protein","-","-"
"BraA06003864",-1.41329614799922,6.32824778308412,8.30808771480732e-06,0.000947603627761357,FALSE,"159.78431"," 58.96222","BraA06003864","AT5G27120","AT5G27120","NOP56-like pre RNA processing ribonucleoprotein","-","-"
"BraA10002723",-1.08870062513447,4.54471446634364,8.66908950946997e-06,0.000978434341504699,FALSE,"31.216742","14.438104","BraA10002723","AT4G34710","ADC2","arginine decarboxylase 2","-","YES"
"BraA06002115",-1.11335951095446,7.16200632316486,8.70271968301511e-06,0.000978434341504699,FALSE,"241.55263","109.91163","BraA06002115","AT1G19450","AT1G19450","Major facilitator superfamily protein","-","-"
"BraA03004213",-1.07712981402839,5.22234489560103,8.83218363993874e-06,0.00098594730845841,FALSE," 62.42709"," 29.11764","BraA03004213","AT3G20770","EIN3","Ethylene insensitive 3 family protein","YES","YES"
"BraA03003112",-1.6301147711849,3.55498097878965,9.42847971414081e-06,0.00104510049789138,FALSE,"20.390476"," 6.497510","BraA03003112","AT4G01990","AT4G01990","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05002124",-1.88055277796849,3.0059400555697,9.80768149072819e-06,0.00107203407405598,FALSE,"15.917963"," 4.279962","BraA05002124","AT1G47380","AT1G47380","Protein phosphatase 2C family protein","-","-"
"BraA01002297",-1.17325434986525,4.83225433204343,1.00974333350301e-05,0.00109609379788534,FALSE,"48.51613","21.21568","BraA01002297","AT3G21540","AT3G21540","transducin family protein / WD-40 repeat family protein","-","-"
"BraA10002318",-2.53856650990636,1.30418510037088,1.04307591220419e-05,0.00110483603724963,FALSE,"  4.9584924","  0.8173170","BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA09003802",-1.054292909471,3.43493629713523,1.04587401239005e-05,0.00110483603724963,FALSE,"20.242404"," 9.615105","BraA09003802","AT1G29320","AT1G29320","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA04001433",-1.2063801056596,2.70882043840445,1.10385206338197e-05,0.00114306786037054,FALSE,"11.319018"," 4.850263","BraA04001433","AT3G12340","AT3G12340","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA07002401",-1.73502531633003,3.72065206175756,1.13374208222653e-05,0.00116634642968925,FALSE,"26.644565"," 7.859539","BraA07002401","AT1G80270","PPR596","PENTATRICOPEPTIDE REPEAT 596","-","-"
"BraA08003458",-1.26663839870944,3.74535387774151,1.17197526705657e-05,0.0011978500456799,FALSE,"25.534306","10.441951","BraA08003458","AT1G14060","AT1G14060","GCK domain-containing protein","-","-"
"BraA02001089",-1.24678628308742,2.89024724986229,1.21514012946149e-05,0.00122604523318743,FALSE,"13.215358"," 5.519622","BraA02001089","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA01003817",-1.09272468947252,4.12954227621739,1.23220454052501e-05,0.00123534391515055,FALSE,"30.24689","14.00886","BraA01003817","AT3G17465","RPL3P","ribosomal protein L3 plastid","-","-"
"BraA10001086",-2.88208709796343,5.90815238592415,1.43751376042899e-05,0.00139669546846619,FALSE,"234.137375"," 31.015361","BraA10001086","AT5G55410","AT5G55410","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA06004754",-1.28390346620752,2.07271127840733,1.60351967883671e-05,0.00153898778932255,FALSE," 6.935515"," 2.821563","BraA06004754","AT5G45430","AT5G45430","Protein kinase superfamily protein","-","-"
"BraA06004229",-1.06887917092676,4.4096401250666,1.66607846006394e-05,0.00158933787644887,FALSE,"36.79085","17.24019","BraA06004229","AT3G27550","AT3G27550","RNA-binding CRS1 / YhbY (CRM) domain protein","-","-"
"BraA07003252",-1.12511802787876,3.26256968054828,1.83527600741339e-05,0.00167949095097016,FALSE,"16.737880"," 7.572391","BraA07003252","AT1G68990","MGP3","male gametophyte defective 3","-","YES"
"BraA04000226",-1.49597833814464,3.59520266757358,2.07505322702944e-05,0.00185346235619005,FALSE,"24.191447"," 8.392716","BraA04000226","AT3G59820","LETM1","LETM1-like protein","-","-"
"BraA10000115",-1.11046220557762,3.16615458303856,2.19574594774364e-05,0.00192152453723018,FALSE,"16.240020"," 7.405249","BraA10000115","AT1G02370","AT1G02370","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA08000395",-1.3087800212797,4.19331222653804,2.19742323190236e-05,0.00192152453723018,FALSE,"31.67191","12.60478","BraA08000395","AT1G48920","NUC-L1","nucleolin like 1","-","YES"
"BraA09001212",-1.04169669832784,4.0279305673313,2.23492446672106e-05,0.00193284126957085,FALSE,"27.428963","13.108736","BraA09001212","AT2G18330","AT2G18330","AAA-type ATPase family protein","-","-"
"BraA08002406",-1.3504408154322,4.89674716610009,2.36869162244892e-05,0.00202626120311663,FALSE,"54.27684","20.90344","BraA08002406","AT4G37910","mtHsc70-1","mitochondrial heat shock protein 70-1","-","YES"
"BraA09004753",-1.24905781544681,2.88266741561209,2.49028696878168e-05,0.00210737187573245,FALSE,"13.527637"," 5.589772","BraA09004753","AT3G53630","AT3G53630","hypothetical protein","-","-"
"BraA06003511",-1.21037230748675,3.20858335034887,2.78919825239143e-05,0.00231063055224427,FALSE,"15.830102"," 6.785951","BraA06003511","AT5G23300","PYRD","pyrimidine d","-","-"
"BraA10003068",-1.62690665733396,3.62751049182882,2.80867991897332e-05,0.00231458753532147,FALSE," 17.932620","  5.710710","BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA03000547",-1.19419317638046,3.54829302547006,2.8283242600493e-05,0.00231863665901959,FALSE,"20.880357"," 8.985749","BraA03000547","AT5G12220","AT5G12220","las1-like family protein","-","-"
"BraA01001705",-1.33759848751517,5.0826468076057,2.97278817760186e-05,0.00241194257296151,FALSE,"60.12180","23.34548","BraA01001705","AT4G25340","FKBP53","FK506 BINDING PROTEIN 53","-","-"
"BraA04000325",-1.2513379986926,4.23936582478224,3.08227431872056e-05,0.00248794860393137,FALSE,"30.66815","12.73027","BraA04000325","AT3G57800","AT3G57800","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06003807",-1.37323415793534,2.55390292482984,3.53214439931255e-05,0.00282937676834668,FALSE,"10.768985"," 4.067239","BraA06003807","AT5G26860","LON1","lon protease 1","-","YES"
"BraA01003729",-1.50291872990965,2.89444019328589,3.54216779601172e-05,0.00282937676834668,FALSE,"12.912784"," 4.523909","BraA01003729","AT3G18600","AT3G18600","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA02001073",-1.18601584935134,6.64388698951278,3.5630487838253e-05,0.00282937676834668,FALSE,"193.80113"," 83.69216","BraA02001073","AT5G22650","HD2B","histone deacetylase 2B","-","-"
"BraA01003377",-1.30610890539338,3.62964923613923,4.13244088335198e-05,0.00317290826848586,FALSE,"24.282435"," 9.657103","BraA01003377","AT3G22660","AT3G22660","rRNA processing protein-like protein","-","-"
"BraA01001834",-1.18500432228101,4.78766283789326,4.6953002173206e-05,0.00356540679729412,FALSE,"47.21043","20.41498","BraA01001834","AT4G26600","AT4G26600","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA03004409",-2.68696430278306,1.65261924973435,4.93473429556887e-05,0.00371639798144756,FALSE," 5.7892320"," 0.8886106","BraA03004409","AT3G25190","AT3G25190","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA05003741",-1.71873565975081,2.78321126650543,5.19724114066346e-05,0.00387699410208734,FALSE,"16.964817"," 5.150854","BraA05003741","AT3G13784","CWINV5","cell wall invertase 5","-","-"
"BraA07002546",-2.91125185081278,1.9787990718678,5.38086470808297e-05,0.00399503823137858,FALSE,"13.4782993"," 1.7839638","BraA07002546","AT1G77330","AT1G77330","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","YES"
"BraA02000656",-1.24471054701954,3.90908813236167,6.21965923384829e-05,0.00451140259634895,FALSE,"26.333785","10.945754","BraA02000656","AT5G15550","AT5G15550","Transducin/WD40 repeat-like superfamily protein","-","YES"
"BraA09000730",-1.16070295596011,3.3664594666869,6.2714917358444e-05,0.00452813210652252,FALSE,"17.355437"," 7.621166","BraA09000730","AT5G61030","GR-RBP3","glycine-rich RNA-binding protein 3","-","-"
"BraA05000156",-1.04528960154254,2.86589734901969,7.2455630603929e-05,0.00502401597227243,FALSE,"10.667976"," 5.005809","BraA05000156","AT1G02500","SAM1","S-adenosylmethionine synthetase 1","-","-"
"BraA01003642",-1.82499644044656,6.89858174951474,8.29703825829058e-05,0.00570285511727047,FALSE,"166.78075"," 46.19226","BraA01003642","AT3G49120","PRXCB","peroxidase CB","-","-"
"BraA07003499",-1.95499265645146,2.60328261470406,8.65766079203564e-05,0.00592049550276146,FALSE,"13.864076"," 3.479766","BraA07003499","AT1G71850","AT1G71850","Ubiquitin carboxyl-terminal hydrolase family protein","-","-"
"BraA01000742",-1.1158921821294,2.69222756744917,8.68891017241358e-05,0.00592049550276146,FALSE,"10.494767"," 4.750843","BraA01000742","AT4G30930","NFD1","Ribosomal protein L21","-","-"
"BraA06001687",-1.10818469601247,2.93858534248183,8.91131665316596e-05,0.00596908500032996,FALSE,"13.874705"," 6.392598","BraA06001687","AT1G14980","CPN10","chaperonin 10","-","-"
"BraA05004208",-1.40294056814836,4.6373667099722,9.18738585589272e-05,0.00612751921066744,FALSE,"31.91528","11.86271","BraA05004208","AT3G08030","AT3G08030","DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)","-","-"
"BraA09002904",-2.2929623989986,3.20186712430831,9.22901724013569e-05,0.00612931355948252,FALSE,"16.193074"," 3.281843","BraA09002904","AT4G08780","AT4G08780","Peroxidase superfamily protein","-","-"
"BraA07000129",-1.2309496706533,2.2578675067517,9.55495443798145e-05,0.0062664576189095,FALSE," 7.944818"," 3.295894","BraA07000129","AT2G19490","RECA2","recA DNA recombination family protein","-","-"
"BraA05004335",-1.08840114512618,4.54133460090807,9.80131524416746e-05,0.00637943905465802,FALSE,"39.08625","18.09303","BraA05004335","AT3G06530","AT3G06530","ARM repeat superfamily protein","-","-"
"BraA06000860",-1.05989086844561,2.20586154592821,0.000104069366014148,0.00663178874924164,FALSE," 8.607979"," 4.111272","BraA06000860","AT1G52160","TRZ3","tRNAse Z3","-","-"
"BraA09004915",-1.34426370121449,3.16233457141046,0.000113054411636304,0.0071179057566217,FALSE,"16.945626"," 6.603252","BraA09004915","AT3G55510","RBL","Noc2p family","-","-"
"BraA09000515",-1.03704989569109,6.67775250608253,0.000116705323975148,0.00728945158479697,FALSE,"174.79271"," 83.76334","BraA09000515","AT5G27120","AT5G27120","NOP56-like pre RNA processing ribonucleoprotein","-","-"
"BraA06003738",-1.29733233711134,4.22785066287581,0.000120559739483104,0.00741972832435769,FALSE,"31.713233","12.749757","BraA06003738","AT5G25880","NADP-ME3","NADP-malic enzyme 3","-","-"
"BraA03006435",-1.75615758690398,2.69079604339256,0.000131920516042775,0.00804817411826851,FALSE,"8.3798976","2.4364834","BraA03006435","AT4G36410","UBC17","ubiquitin-conjugating enzyme 17","-","-"
"BraA05003879",-1.36901954837856,4.04429833116153,0.0001340615355408,0.00811587911312382,FALSE,"30.259206","11.585076","BraA05003879","AT3G12270","PRMT3","protein arginine methyltransferase 3","-","-"
"BraA07003516",-1.36445218037856,2.82142669117818,0.000145017189905068,0.0086001469853899,FALSE," 8.611852"," 3.341347","BraA07003516","AT1G72040","dNK","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA05003612",-1.01440125712066,5.68357565410434,0.000145111221536324,0.0086001469853899,FALSE,"93.94213","45.68306","BraA05003612","AT3G15000","RIP1","cobalt ion binding protein","-","-"
"BraA07004087",-1.05719656765237,5.52424587167977,0.000145339205725141,0.0086001469853899,FALSE,"82.12867","38.77439","BraA07004087","AT1G79150","AT1G79150","binding protein","-","-"
"BraA08002141",-1.8065613644338,2.53419612409665,0.000146706578352106,0.00861627441515725,FALSE," 5.224868"," 1.458688","BraA08002141","AT4G27940","MTM1","manganese tracking factor for mitochondrial SOD2","-","-"
"BraA08002340",-1.16172961123748,3.31988540507601,0.000153479085038628,0.00890417798011158,FALSE,"17.263788"," 7.603935","BraA08002340","AT1G63810","AT1G63810","nucleolar protein","-","-"
"BraA10002059",-1.00393671771693,3.78449280226426,0.000153871436505105,0.00890417798011158,FALSE,"22.344558","11.033863","BraA10002059","AT5G16750","TOZ","Transducin family protein / WD-40 repeat family protein","-","YES"
"BraSca000802",-1.32421386043443,4.09736207222627,0.000158542119153549,0.00908241733293285,FALSE,"17.301225"," 6.817631","BraSca000802","AT3G05640","AT3G05640","Protein phosphatase 2C family protein","-","-"
"BraA05004225",-1.46745022133818,3.31154017711171,0.000161684248481756,0.00918740097871059,FALSE,"18.971166"," 6.743378","BraA05004225","AT3G07770","Hsp89.1","HEAT SHOCK PROTEIN 89.1","-","-"
"BraA08000275",-1.17942294039704,3.82350419170541,0.000163668427152344,0.00926669440063993,FALSE,"25.902431","11.299322","BraA08000275","AT4G12750","AT4G12750","Homeodomain-like transcriptional regulator","YES","-"
"BraA05004412",-1.8575574170388,1.90548295386397,0.000166321884479259,0.0093496659346555,FALSE,"4.8761527","1.3125804","BraA05004412","AT3G05770","AT3G05770","hypothetical protein","-","-"
"BraA05000164",-2.71070226052261,1.0774886133474,0.000189854441082062,0.0104036938135245,FALSE," 5.4272440"," 0.8096124","BraA05000164","AT2G47000","ABCB4","ATP binding cassette subfamily B4","-","-"
"BraA10003047",-1.23959215955441,2.16721927157739,0.000190578489863291,0.0104036938135245,FALSE," 6.752846"," 2.820465","BraA10003047","AT5G03640","AT5G03640","Protein kinase superfamily protein","-","-"
