"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10001774",-3.33262753105797,8.56802804333963,27.4413684508335,2.51043179126509e-05,0.00489520452889309,FALSE," 105.02923","  10.40081","BraA10001774","AT5G20250","DIN10","Raffinose synthase family protein","-","-"
"BraA06002344",-6.33528292302632,3.52605295715618,27.3038252627372,2.59355751402082e-05,0.00489520452889309,FALSE,"29.3632543"," 0.3489874","BraA06002344","AT1G21670","AT1G21670","DPP6 amino-terminal domain protein","-","-"
"BraA06003230",-1.35748152353063,7.14113019129167,27.1602271257058,2.68354901972555e-05,0.00489520452889309,FALSE,"233.24636"," 91.02102","BraA06003230","AT5G64570","XYL4","beta-D-xylosidase 4","-","-"
"BraA03003552",-1.57726472059558,4.78109652513829,27.1513558119795,2.68921894112566e-05,0.00489520452889309,FALSE,"41.670633","13.950354","BraA03003552","AT3G07470","AT3G07470","transmembrane protein, putative (Protein of unknown function, DUF538)","-","-"
"BraA04002260",-1.65283221252465,3.8455988084441,27.1102630114181,2.71565313729942e-05,0.00489520452889309,FALSE,"11.014677"," 3.510241","BraA04002260","AT2G30990","AT2G30990","arginine N-methyltransferase, putative (DUF688)","-","-"
"BraA04000127",-1.23969127503975,5.8346759826651,27.1086494426384,2.71669686668078e-05,0.00489520452889309,FALSE," 43.88638"," 18.58766","BraA04000127","AT3G61460","BRH1","brassinosteroid-responsive RING-H2","-","-"
"BraA01004536",-2.88613726919242,2.46273952552383,26.7679551902139,2.94716617316089e-05,0.00504547982891963,FALSE,"10.445464"," 1.397940","BraA01004536","AT3G07460","AT3G07460","transmembrane protein, putative (Protein of unknown function, DUF538)","-","-"
"BraSca000955",-2.3506235361319,4.60814613390214,26.7063791067738,2.99104706260364e-05,0.00506226674896574,FALSE,"51.694777","10.142060","BraSca000955","AT4G19810","ChiC","Glycosyl hydrolase family protein with chitinase insertion domain-containing protein","-","-"
"BraA07002007",-2.12427839471532,4.45224129456489,26.5181974547869,3.12961583149957e-05,0.00513126595706283,FALSE,"34.364957"," 7.863063","BraA07002007","AT3G55880","SUE4","Alpha/beta hydrolase related protein","-","-"
"BraA06003560",-2.25036138900828,4.39962627932351,26.4349423505696,3.1931367787824e-05,0.00518144050495206,FALSE,"39.437718"," 8.282033","BraA06003560","AT5G23870","AT5G23870","Pectinacetylesterase family protein","-","-"
"BraA02004429",-1.51216765516795,5.43910499284998,25.7875617242789,3.73771326006407e-05,0.00545271879617396,FALSE,"54.79318","19.22828","BraA02004429","AT5G64410","OPT4","oligopeptide transporter 4","-","-"
"BraA03004274",-2.75432743223465,10.3754169250048,25.7634987302223,3.75981396276186e-05,0.00545271879617396,FALSE,"2024.0961"," 299.9692","BraA03004274","AT3G22142","AT3G22142","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA07003764",-2.75116622985755,4.59060044427953,25.7459458947063,3.77602508756646e-05,0.00545271879617396,FALSE,"44.7251940"," 6.6587949","BraA07003764","AT1G75250","RL6","RAD-like 6","YES","-"
"BraA09004692",-1.43481343794454,3.76018447939341,25.5747833703078,3.93815256355005e-05,0.00558437129281782,FALSE,"23.720553"," 8.736688","BraA09004692","AT3G53000","PP2-A15","phloem protein 2-A15","-","-"
"BraA09004461",-1.36605919745365,6.56335864873302,24.6016190612979,5.01656241514627e-05,0.00644119374352067,FALSE,"124.27775"," 48.22451","BraA09004461","AT3G50630","KRP2","KIP-related protein 2","-","YES"
"BraA04003037",-2.10749234210121,3.89298399002774,24.5982967333874,5.02075406675719e-05,0.00644119374352067,FALSE,"32.922916"," 7.619129","BraA04003037","AT2G42320","AT2G42320","nucleolar protein gar2-like protein","-","-"
"BraA10002120",-1.2727536121683,5.36869634835181,24.3811667441262,5.30314194735851e-05,0.0064515137391923,FALSE,"67.55153","27.89522","BraA10002120","AT5G16000","NIK1","NSP-interacting kinase 1","-","-"
"BraA01001845",-1.98243820262171,5.69329188850043,24.3320202888217,5.3694301133049e-05,0.0064515137391923,FALSE,"114.074057"," 28.804822","BraA01001845","AT4G26690","SHV3","PLC-like phosphodiesterase family protein","-","-"
"BraA06003357",-2.20033764661162,6.98764343566879,24.0655358768369,5.74492773144691e-05,0.00674814645469958,FALSE,"229.0690147"," 49.8279006","BraA06003357","AT5G65730","XTH6","xyloglucan endotransglucosylase/hydrolase 6","-","-"
"BraA09002774",-1.00011465186713,3.86961638360022,24.0284377474858,5.79943008984922e-05,0.00676170589735013,FALSE,"21.474116","10.684829","BraA09002774","AT3G57350","AT3G57350","Nucleoporin interacting component (Nup93/Nic96-like) family protein","-","-"
"BraSca000717",-2.04678529497691,3.33355225342457,23.4638895379585,6.70217737706756e-05,0.00736121534288623,FALSE,"17.099165"," 4.106725","BraSca000717","AT2G47160","BOR1","HCO3- transporter family","-","-"
"BraA10002100",-1.11916612705755,5.53232822684545,23.352280462805,6.89815841477255e-05,0.00743678174304931,FALSE,"60.41372","27.77221","BraA10002100","AT5G16150","PGLCT","plastidic GLC translocator","-","-"
"BraA09005648",-2.41975196680297,3.3602342577856,23.2919570620319,7.00667413774464e-05,0.0075023844168776,FALSE,"19.7469571"," 3.6814298","BraA09005648","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA05003457",-1.19137583124047,4.7027870561308,23.2112179246544,7.15483404063204e-05,0.00756331672439335,FALSE,"39.19547","17.16580","BraA05003457","AT3G16850","AT3G16850","Pectin lyase-like superfamily protein","-","-"
"BraA10002744",-1.30881675092112,3.24382000119344,23.2086060458148,7.15968355739904e-05,0.00756331672439335,FALSE,"12.860444"," 5.194136","BraA10002744","AT5G07590","AT5G07590","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA02003147",-2.66282293052999,4.28803664370425,22.8772874377297,7.80486510283155e-05,0.00792571462700443,FALSE,"41.466848"," 6.508316","BraA02003147","AT5G46600","AT5G46600","aluminum activated malate transporter family protein","-","-"
"BraA03000162",-2.9012429602688,3.21219612884869,22.7890557978261,7.98716739239824e-05,0.00801383297139248,FALSE,"20.943727"," 2.782871","BraA03000162","AT5G04310","AT5G04310","Pectin lyase-like superfamily protein","-","-"
"BraA09005533",-2.16673502276897,2.78967987050068,22.7618164804129,8.04438125463794e-05,0.00801383297139248,FALSE,"10.099046"," 2.253443","BraA09005533","AT3G62950","AT3G62950","Thioredoxin superfamily protein","-","-"
"BraA02000857",-1.91871077218286,6.15759454720131,22.1383811300326,9.48380085977271e-05,0.00888541818647752,FALSE," 81.59769"," 21.62752","BraA02000857","AT5G18600","AT5G18600","Thioredoxin superfamily protein","-","-"
"BraA01003988",-3.41645177145645,3.08667283426126,21.9611601538613,9.94252681157632e-05,0.00915177614118194,FALSE,"21.109222"," 1.980493","BraA01003988","AT3G16530","AT3G16530","Legume lectin family protein","-","-"
"BraA06002884",-1.60103679606584,6.23069786611136,21.7542133307638,0.000105090051763792,0.00951797645068304,FALSE,"162.43359"," 53.47165","BraA06002884","AT4G12730","FLA2","FASCICLIN-like arabinogalactan 2","-","-"
"BraA09002755",-3.70930438050769,3.00790012043675,21.6844645444139,0.000107077728204684,0.0095761559201234,FALSE,"11.8943947"," 0.8955024","BraA09002755","AT5G49690","AT5G49690","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA03000774",-1.12604898510667,6.37750198185869,21.5829931918724,0.000110042897813894,0.00978442390696996,FALSE,"166.61533"," 76.32373","BraA03000774","AT5G16150","PGLCT","plastidic GLC translocator","-","-"
