"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003669",-4.49652375809182,9.01720054294972,327.718014618522,3.40467585474442e-15,4.86516943786709e-12,FALSE,"577.02542"," 25.64127","BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA05004133",-6.74856318479956,5.30219232204615,325.146574025758,3.70915077855179e-15,4.86516943786709e-12,FALSE,"42.327704"," 0.417879","BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA09001106",-6.38903462514713,10.6070830398973,322.677078920652,4.029569030701e-15,4.87887819563336e-12,FALSE,"2021.40886","  24.17015","BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA05003475",-4.18358578830912,3.70565560839199,310.248983042527,6.17102365002793e-15,6.80667596203018e-12,FALSE,"21.979651"," 1.234153","BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA01000119",-5.45689603024253,9.39944309652242,307.699553263219,6.74810426310203e-15,6.80667596203018e-12,FALSE,"882.83860"," 20.14519","BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA04001451",-8.59066149838192,11.8173790627989,305.201345188127,7.37086547239138e-15,6.80667596203018e-12,FALSE,"5446.84887","  14.19763","BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA06002244",-2.93975419802789,6.53466724803957,303.416114671072,7.85405082163903e-15,6.80667596203018e-12,FALSE,"105.31237"," 13.72675","BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA05003526",-3.9941746683947,9.41762957542658,303.077629546323,7.94948694305492e-15,6.80667596203018e-12,FALSE,"1079.80383","  67.81111","BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA08003464",-6.21946404447868,7.98803974367136,301.775382471459,8.32857352265065e-15,6.80667596203018e-12,FALSE,"258.747717","  3.497761","BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA08002432",-7.55005207352444,6.93907624463704,300.724245393926,8.64888940537507e-15,6.80667596203018e-12,FALSE,"164.0091147","  0.9525366","BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA07003370",-3.2319757531159,6.94236209490025,297.583869382943,9.68826394546261e-15,7.17388732831617e-12,FALSE,"127.86146"," 13.64576","BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA09006403",-5.16156699597424,10.6908169053563,294.429906969161,1.08701219037407e-14,7.17388732831617e-12,FALSE,"2378.76661","  66.57958","BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA04003076",-5.65123091229047,9.04005405928589,294.258769676217,1.09385829656663e-14,7.17388732831617e-12,FALSE,"677.73621"," 13.52704","BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA06002613",-5.47642630233476,5.87198419318427,290.216164494298,1.26999643331741e-14,7.99589754416641e-12,FALSE," 59.659192","  1.384731","BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA01002230",-2.31185796858219,6.72304219076014,286.996975780933,1.43231893560006e-14,8.02844651601739e-12,FALSE,"130.1784"," 26.2507","BraA01002230","AT1G54350","ABCD2","ABC transporter family protein","-","-"
"BraA09003100",-3.99881874639405,7.10310914188974,286.60784647725,1.45341916839989e-14,8.02844651601739e-12,FALSE,"176.90101"," 11.12955","BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA01000670",-2.42684673147445,5.70341239839435,285.1192993882,1.53730558791068e-14,8.02844651601739e-12,FALSE,"60.38715","11.21935","BraA01000670","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-"
"BraA03004376",-3.38415237815037,8.01382098673585,284.168143817546,1.5936526495597e-14,8.02844651601739e-12,FALSE,"429.49958"," 41.17974","BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA05000807",-5.54536522368567,7.52363486766713,283.973279974807,1.60547111756155e-14,8.02844651601739e-12,FALSE,"244.749686","  5.251896","BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA08003566",-4.63349234462931,8.51855926149464,283.963508650498,1.60606624827975e-14,8.02844651601739e-12,FALSE,"447.67905"," 18.09460","BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA04002623",-2.70004337844775,6.75708713247123,283.538053208038,1.63221276056262e-14,8.02844651601739e-12,FALSE,"124.73636"," 19.18909","BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA10002909",-4.87561665350029,7.84565199032383,278.294537155167,1.99536663734129e-14,9.51729420356116e-12,FALSE,"265.867992","  9.120594","BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA10003025",-2.50377957991354,5.59626246065255,276.587894325639,2.13180736928352e-14,9.86901411544781e-12,FALSE,"58.026006","10.269499","BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA07002742",-11.2109195423263,5.81653029568302,325.73088730451,2.3274380525486e-14,1.04668214134614e-11,FALSE,"87.79642552"," 0.02416943","BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA03004149",-5.75572965470629,6.95760844099694,272.49261955555,2.50237374433755e-14,1.08381210719981e-11,FALSE,"184.996942","  3.535355","BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA08003415",-3.67188138355997,6.92498702925403,272.037275232675,2.54771588096525e-14,1.08381210719981e-11,FALSE,"219.06922"," 17.15193","BraA08003415","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-"
"BraA04001910",-2.05236939009956,7.31584138748949,267.962915184856,2.99554514758221e-14,1.24078633218273e-11,FALSE,"197.82663"," 47.68502","BraA04001910","AT2G25870","AT2G25870","haloacid dehalogenase-like hydrolase family protein","-","-"
"BraA04002534",-4.00274185164171,6.27500240910833,264.857819327621,3.39419861465673e-14,1.36986374858197e-11,FALSE," 97.273369","  6.077150","BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA07003829",-5.81282189561806,8.22511746167431,264.102303258867,3.49968247878356e-14,1.37712505540133e-11,FALSE,"399.638344","  7.172466","BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA08002568",-5.35942285357098,10.585320799473,262.406879466686,3.74958727094442e-14,1.43419185397309e-11,FALSE,"2181.96621","  53.26454","BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA10001684",-4.49744469293528,5.70448700745725,261.906865832807,3.82694141466772e-14,1.43419185397309e-11,FALSE,"63.159123"," 2.910894","BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06004302",-3.86329818979994,8.46293656729554,261.22897815791,3.93459406943258e-14,1.44024443378765e-11,FALSE,"499.02539"," 34.34968","BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
"BraA04000162",-3.28136048428199,10.9126859072333,259.25510862836,4.26723357389026e-14,1.52650582847801e-11,FALSE,"2764.8631"," 284.4009","BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA06003059",-2.34092879186288,5.49983334862175,255.672453303923,4.95172481562787e-14,1.72021480540056e-11,FALSE,"53.62317","10.61382","BraA06003059","AT5G62840","AT5G62840","Phosphoglycerate mutase family protein","-","YES"
"BraA09004850",-7.68011088485913,6.44844526441035,254.82803577262,5.1298675912449e-14,1.72021480540056e-11,FALSE,"136.8072131","  0.6832359","BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA04000314",-2.38323487904304,5.48481208661431,254.79674723202,5.13660075310205e-14,1.72021480540056e-11,FALSE,"62.82701","12.05124","BraA04000314","AT3G58010","PGL34","plastoglobulin 34kD","-","-"
"BraA03006148",-2.92428238150516,6.99123210101888,250.937574455044,6.04555339767905e-14,1.98243771832225e-11,FALSE,"163.37989"," 21.59433","BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA09000299",-2.59861601585348,6.35999159209029,249.828471763934,6.33807214561227e-14,1.99904803192618e-11,FALSE,"102.04385"," 16.86480","BraA09000299","AT3G26290","CYP71B26","cytochrome P450, family 71, subfamily B, polypeptide 26","-","-"
"BraA08002093",-4.62788038068777,3.84379616079605,249.75078903077,6.35912897882486e-14,1.99904803192618e-11,FALSE,"21.5808917"," 0.8811168","BraA08002093","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA03004636",-3.08373702417444,10.0903668997246,249.000219528854,6.56653899961511e-14,1.99904803192618e-11,FALSE,"1565.5949"," 184.7171","BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA04003129",-9.32615312556695,5.09895600712998,248.866610149579,6.60422475604584e-14,1.99904803192618e-11,FALSE,"55.12792850"," 0.06173992","BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA06000973",-3.03685569267752,5.89360066781633,247.810733370033,6.91044165633752e-14,2.05227078624061e-11,FALSE," 62.046912","  7.590754","BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA09005291",-2.66602478026443,5.97407730899969,246.48231292145,7.31779522637651e-14,2.07468560681418e-11,FALSE,"81.76965","12.93139","BraA09005291","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA05004167",-3.54438360210348,5.1323383287686,246.282327607723,7.38134650454854e-14,2.07468560681418e-11,FALSE,"61.934213"," 5.362437","BraA05004167","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA03000235",-3.63013280483406,7.66897999109289,245.659695412572,7.58307535555426e-14,2.09399308941095e-11,FALSE,"337.35773"," 27.32365","BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA09001262",-5.19188904332107,5.90414612071197,245.021459251219,7.79609105580138e-14,2.11569781410886e-11,FALSE,"97.002362"," 2.591863","BraA09001262","AT4G29840","MTO2","Pyridoxal-5'-phosphate-dependent enzyme family protein","-","-"
"BraA08002692",-2.22237171101387,7.61790620058872,244.507392483087,7.97239129092929e-14,2.12687184608859e-11,FALSE,"231.16140"," 49.51358","BraA08002692","AT4G14210","PDS3","phytoene desaturase 3","-","-"
"BraA01002037",-4.15959282585522,9.25643685938331,243.194001229337,8.44279708637763e-14,2.2148271023264e-11,FALSE,"887.03075"," 49.74899","BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA05001563",-3.37897802631687,5.59054542304874,242.509238533841,8.69993900386428e-14,2.24486950689875e-11,FALSE,"67.333458"," 6.416251","BraA05001563","AT2G29970","AT2G29970","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA08001067",-2.62153455681387,7.4313523139216,238.753060824583,1.0270579511688e-13,2.60740195990272e-11,FALSE,"214.40544"," 34.86402","BraA08001067","AT2G04700","AT2G04700","ferredoxin thioredoxin reductase catalytic beta chain family protein","-","-"
"BraA07003594",-4.14204581077326,7.16470813110013,232.914978954044,1.33570416829682e-13,3.33714025539555e-11,FALSE,"213.70562"," 12.24550","BraA07003594","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03003901",-4.28987446887273,8.5609845846274,231.436673747981,1.42896232385541e-13,3.51435421523189e-11,FALSE,"512.73611"," 26.26755","BraA03003901","AT3G14415","GOX2","Aldolase-type TIM barrel family protein","-","-"
"BraA09005883",-6.38682205758346,4.48482303548752,230.143243642417,1.51637368461885e-13,3.6361738063771e-11,FALSE,"33.1990569"," 0.4320158","BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA09005567",-3.96190522846544,8.25738889760998,230.024312935287,1.52469803825215e-13,3.6361738063771e-11,FALSE,"380.58858"," 24.50067","BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA03001437",-5.46734463059054,10.1397564090551,228.81800702946,1.61199342885237e-13,3.78698157763229e-11,FALSE,"1531.92611","  34.69874","BraA03001437","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA09004114",-6.66386375680558,6.4919468750567,228.159518255329,1.66192425989216e-13,3.82733635370938e-11,FALSE,"145.247408","  1.576221","BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA07002023",-4.6644823164162,6.99670285120533,227.954602060634,1.67780310296028e-13,3.82733635370938e-11,FALSE," 85.038986","  3.367264","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA05000178",-2.66244170399783,4.70054242296884,226.980686632934,1.75555770917528e-13,3.92932395649215e-11,FALSE,"30.853146"," 4.938630","BraA05000178","AT2G46910","AT2G46910","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA05001006",-3.11338832844223,8.26491094874402,226.775423383204,1.77243965000599e-13,3.92932395649215e-11,FALSE,"362.41041"," 41.91670","BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA05001825",-3.31125542168073,7.37152466774394,225.566311963228,1.8755314849734e-13,4.0744202128274e-11,FALSE,"217.02088"," 21.97324","BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05000276",-3.13774668490005,7.63356869096261,225.34731803834,1.89489081516662e-13,4.0744202128274e-11,FALSE,"266.78279"," 30.33305","BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA04000967",-4.12878933005316,9.35914943509849,225.11631787517,1.91554698697095e-13,4.0744202128274e-11,FALSE,"1020.88060","  58.49478","BraA04000967","AT4G12800","PSAL","photosystem I subunit l","-","-"
"BraA07002006",-6.31365195180902,8.25679677582112,223.405879442335,2.07632448514156e-13,4.28473779804201e-11,FALSE,"455.618711","  5.798610","BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA02002954",-9.11312817182902,4.2382756313115,223.283341090728,2.0883928742552e-13,4.28473779804201e-11,FALSE,"20.39864878"," 0.02185446","BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA03000987",-2.60376979900433,5.37464466565348,223.205572440767,2.09609155304469e-13,4.28473779804201e-11,FALSE,"44.645763"," 7.353292","BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA09003335",-2.72161051782284,5.11137763604507,222.685937545947,2.14833048261638e-13,4.33522074312587e-11,FALSE,"43.681267"," 6.613725","BraA09003335","AT1G34000","OHP2","one-helix protein 2","-","-"
"BraA04003031",-3.63074947425301,8.69699700828263,220.780334866536,2.35234835128126e-13,4.68683076571734e-11,FALSE,"663.35088"," 53.65107","BraA04003031","AT2G42220","AT2G42220","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA05001505",-2.36035563121095,9.04541839497069,219.596834057606,2.4895897370122e-13,4.8982678075715e-11,FALSE,"737.7033","143.6699","BraA05001505","AT2G30950","VAR2","FtsH extracellular protease family","-","YES"
"BraA03000453",-2.46043557993528,6.77050808726292,218.825144090772,2.58374736290217e-13,5.02076339408396e-11,FALSE,"103.88627"," 18.92097","BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA04002224",-3.84256673386424,8.80375122789547,218.483731051512,2.62663290432978e-13,5.04185389196961e-11,FALSE,"694.10541"," 48.47050","BraA04002224","AT2G30570","PSBW","photosystem II reaction center W","-","-"
"BraA10002738",-2.54901045582899,9.13205208423825,217.732801788039,2.72370406095723e-13,5.15567773102259e-11,FALSE,"769.3076","131.4901","BraA10002738","AT5G61410","RPE","D-ribulose-5-phosphate-3-epimerase","-","YES"
"BraA05003370",-2.27987894682003,9.20588885872612,217.287606301169,2.78308849489119e-13,5.15567773102259e-11,FALSE,"685.6801","141.2275","BraA05003370","AT3G17930","DAC","transmembrane protein","-","-"
"BraA03001809",-5.61269998784749,3.81312609855329,217.279394439025,2.78419699578729e-13,5.15567773102259e-11,FALSE,"16.3704850"," 0.3125379","BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA06001278",-4.91534072802246,7.42782494870909,215.274187622112,3.06979135787849e-13,5.58230450022392e-11,FALSE,"200.390359","  6.769836","BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA05000754",-6.22886978654696,7.94300524302003,215.169722103341,3.08551773519365e-13,5.58230450022392e-11,FALSE,"312.886663","  4.248010","BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA09006470",-3.46212998058386,9.14250515653088,214.705133350044,3.15652529515383e-13,5.60965653213346e-11,FALSE,"607.36339"," 55.13481","BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA03005881",-3.77378122736368,4.25186482643815,214.605937879379,3.17191506581879e-13,5.60965653213346e-11,FALSE,"18.058780"," 1.353421","BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA03000586",-3.52554831027672,7.18463863047571,213.102486732139,3.41542672832115e-13,5.84776293333555e-11,FALSE,"183.00039"," 16.00060","BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA02001404",-3.89536154414915,4.44674395866252,212.980223651751,3.43610417615463e-13,5.84776293333555e-11,FALSE,"25.475642"," 1.759375","BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA07000048",-3.87571955739948,4.84457949265946,212.854765733404,3.45746336832049e-13,5.84776293333555e-11,FALSE,"42.231830"," 2.847677","BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA09001039",-4.66370048058946,11.3550665175889,212.651877985952,3.49231077340242e-13,5.84776293333555e-11,FALSE,"4029.0303"," 159.1112","BraA09001039","AT5G66190","FNR1","ferredoxin-NADP[ ]-oxidoreductase 1","-","YES"
"BraA01002846",-9.76500707391621,8.02502296602867,212.349208479604,3.54500742167563e-13,5.87351755970258e-11,FALSE,"366.0123255","  0.3608619","BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA07003591",-2.69896498660818,6.51750929313367,211.492707762543,3.69886650088197e-13,6.06459986707107e-11,FALSE,"117.03832"," 18.00243","BraA07003591","AT1G73060","LPA3","Low PSII Accumulation 3","-","-"
"BraA04001528",-3.43656163105741,5.48584139739443,210.949599861833,3.8001772785572e-13,6.16647323345261e-11,FALSE,"52.034638"," 4.797213","BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03002984",-4.20873194424665,10.8971482935108,210.065478806915,3.97160558684857e-13,6.37888489153025e-11,FALSE,"2923.4009"," 158.2379","BraA03002984","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA07003967",-7.31921395578035,9.84074620748935,209.858133258292,4.01301367380778e-13,6.38028638643782e-11,FALSE,"1239.46563","   7.82892","BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA03006095",-4.95074172606205,6.94848505398134,206.948679271836,4.64628545066461e-13,7.10888638476308e-11,FALSE,"115.354319","  3.724301","BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA07002219",-2.21392488415671,6.71795575127942,206.621353208475,4.72406265516854e-13,7.14968713388008e-11,FALSE,"120.20546"," 25.92819","BraA07002219","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA09002953",-5.66318789240479,9.0200332226649,205.64965303536,4.9634023211322e-13,7.37018420137933e-11,FALSE,"1080.17163","  21.39674","BraA09002953","AT4G09650","ATPD","F-type H -transporting ATPase subunit delta","-","-"
"BraA01000215",-2.79408471197202,7.42802554160545,205.245217192261,5.06687325278049e-13,7.45351261670701e-11,FALSE,"213.62989"," 30.84042","BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA03005149",-2.65370212415487,8.1781478333522,204.232157330476,5.33648448437192e-13,7.77743201703834e-11,FALSE,"405.58870"," 64.48280","BraA03005149","AT4G18480","CHLI1","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03000567",-3.24396659910715,4.97702598632732,201.51922618888,6.1383256152205e-13,8.67188546427238e-11,FALSE,"47.296520"," 5.088374","BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA05001543",-2.7400481502636,4.873793272551,201.516923920267,6.13905927983898e-13,8.67188546427238e-11,FALSE,"38.765116"," 5.873817","BraA05001543","AT4G24610","AT4G24610","pesticidal crystal cry8Ba protein","-","-"
"BraA07000653",-3.06519972824804,6.10873191974914,201.207786142951,6.23844272555342e-13,8.67188546427238e-11,FALSE,"87.83356","10.57995","BraA07000653","AT2G05310","AT2G05310","transmembrane protein","-","-"
"BraA07002785",-2.85479196423093,6.75304835874236,201.195485505303,6.24243318916308e-13,8.67188546427238e-11,FALSE,"168.41836"," 23.26498","BraA07002785","AT1G71710","AT1G71710","DNAse I-like superfamily protein","-","-"
"BraA02004550",-1.97704039912499,6.25790822882037,200.930315888349,6.32913475576471e-13,8.67188546427238e-11,FALSE," 93.41908"," 23.72500","BraA02004550","AT5G66200","ARO2","armadillo repeat only 2","-","-"
"BraA09003092",-3.87347236920526,8.00589443189272,200.613839415756,6.43432780768589e-13,8.67188546427238e-11,FALSE,"331.84611"," 22.76961","BraA09003092","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA04002017",-4.0427727376742,5.31823295237701,200.578877245368,6.44606479872852e-13,8.67188546427238e-11,FALSE,"66.918332"," 4.145839","BraA04002017","AT2G27920","SCPL51","serine carboxypeptidase-like 51","-","-"
"BraA09005917",-2.42810012008098,9.24574802982866,199.696693227618,6.75005081520422e-13,9.00388134163681e-11,FALSE,"735.5013","136.6582","BraA09005917","AT2G20890","PSB29","photosystem II reaction center PSB29 protein","-","YES"
"BraA06000927",-2.62785466408701,5.80572984910062,199.285541592413,6.89701609555097e-13,9.12260784403128e-11,FALSE,"66.37729","10.83198","BraA06000927","AT1G51100","CRR41","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel protein","-","-"
"BraA03006568",-1.70866500102721,7.71171409366734,197.906211618509,7.41600562473811e-13,9.72732737778149e-11,FALSE,"212.89877"," 65.16561","BraA03006568","AT5G42310","AT5G42310","Pentatricopeptide repeat (PPR-like) superfamily protein","-","-"
"BraA08000221",-4.92220548549767,5.15907376336664,197.566310867192,7.55031256925315e-13,9.72994423640671e-11,FALSE,"54.810485"," 1.890745","BraA08000221","AT1G52191","AT1G52191","Thioesterase superfamily protein","-","-"
"BraA09000182",-2.17825613050687,7.4143026796677,197.553070292543,7.55559757671032e-13,9.72994423640671e-11,FALSE,"228.85159"," 50.59717","BraA09000182","AT4G02260","RSH1","RELA/SPOT homolog 1","-","-"
"BraA04000964",-4.25117176724761,6.79609815171692,197.433639372924,7.60345070570537e-13,9.72994423640671e-11,FALSE,"122.191543","  6.566476","BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06000926",-4.0029387098683,6.73986024147721,196.269366546608,8.08758264971859e-13,1.02660121698847e-10,FALSE,"135.231244","  8.626825","BraA06000926","AT1G51110","AT1G51110","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA03005774",-2.5085956582902,4.84133678369642,195.769568501052,8.30559444696108e-13,1.04584045276134e-10,FALSE,"34.202426"," 6.011794","BraA03005774","AT4G28030","AT4G28030","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA08002073",-3.50121058388041,10.1268141593661,195.383395752485,8.47841392733613e-13,1.05912885092278e-10,FALSE,"1510.2085"," 133.5072","BraA08002073","AT1G55480","ZKT","protein containing PDZ domain, a K-box domain, and a TPR region","-","-"
"BraA09000422",-2.58589292503474,6.1317367040649,194.76800593643,8.76193700342783e-13,1.08592825538546e-10,FALSE,"92.44465","15.32864","BraA09000422","AT5G47840","AMK2","adenosine monophosphate kinase","-","YES"
"BraA06004063",-2.63928368010929,6.86393152601881,194.227637911311,9.01939825445393e-13,1.10639800563829e-10,FALSE,"128.88446"," 20.74908","BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
