"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003837",4.92891819685712,5.79950150758294,155.254486718509,9.04977297499483e-12,1.25355033627712e-09,FALSE," 3.199347","98.033407","BraA08003837","AT1G06690","AT1G06690","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA08003752",2.35624808761079,6.48888586048888,155.046420634957,9.17393699191845e-12,1.25563276741562e-09,FALSE," 23.75974","121.74225","BraA08003752","AT1G08540","SIG2","RNApolymerase sigma subunit 2","-","-"
"BraA09003100",3.24757862281728,7.10310914188974,154.19396983574,9.70230699860983e-12,1.31650269101827e-09,FALSE," 21.65085","205.75038","BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA03005569",6.83045266096632,4.2176314839537,152.559256329989,1.08104061303453e-11,1.45432301274902e-09,FALSE," 0.3413074","38.2555414","BraA03005569","AT4G25130","PMSR4","peptide met sulfoxide reductase 4","-","-"
"BraA02001404",3.62615283843564,4.44674395866252,152.325629960089,1.09796936703543e-11,1.46457947772353e-09,FALSE," 2.737500","34.148035","BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA02000306",2.92985191015685,3.98947116571309,152.0406364179,1.1190111447274e-11,1.48010381663943e-09,FALSE," 2.762795","21.001518","BraA02000306","AT5G09230","SRT2","sirtuin 2","-","-"
"BraA05002362",4.47487912742361,4.22216361575118,151.374141044359,1.1699501409008e-11,1.51197135436806e-09,FALSE," 1.346445","30.442077","BraA05002362","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA06000196",3.03442574699424,8.85808195477422,151.319044478275,1.1742724080342e-11,1.51197135436806e-09,FALSE," 83.83227","686.93230","BraA06000196","AT5G45930","CHLI2","magnesium chelatase i2","-","-"
"BraA03000235",3.24057194996822,7.66897999109289,151.218773960784,1.18218309538864e-11,1.51197135436806e-09,FALSE," 17.16122","162.50004","BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA06001278",4.63599618180667,7.42782494870909,150.70334455994,1.22377119450442e-11,1.54097268811996e-09,FALSE," 11.731374","292.469756","BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA06003165",2.47691047208316,5.46100108169601,150.291889108213,1.25811092275236e-11,1.55926503339544e-09,FALSE,"14.00115","77.97852","BraA06003165","AT5G63980","SAL1","SAL1 phosphatase-like protein","-","YES"
"BraA04000964",4.22055264809983,6.79609815171692,149.749040610403,1.30502742400149e-11,1.60477591045183e-09,FALSE,"  9.034440","168.703027","BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09000210",4.23533905738683,6.60129127303639,149.586872974121,1.31940910617917e-11,1.60988366908993e-09,FALSE,"  7.429990","140.322281","BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA01000743",2.35539610676037,6.66362190606832,149.449434060796,1.33173255705723e-11,1.61064957751136e-09,FALSE," 26.19662","134.00290","BraA01000743","AT4G30920","LAP2","Cytosol aminopeptidase family protein","-","YES"
"BraA03002283",3.13852452567135,3.80756658202115,149.128830402084,1.3609681944664e-11,1.61064957751136e-09,FALSE," 2.569577","22.829636","BraA03002283","AT2G40890","CYP98A3","cytochrome P450, family 98, subfamily A, polypeptide 3","-","YES"
"BraA01004338",3.84763934719029,9.25176883516904,148.989491912661,1.3738910695344e-11,1.61380936078145e-09,FALSE,"  78.07117","1124.16393","BraA01004338","AT5G04590","SIR","sulfite reductase","-","-"
"BraA08000983",3.21330460991445,8.07870582411689,148.525361131441,1.4179071645252e-11,1.65317472367604e-09,FALSE," 41.38795","384.01718","BraA08000983","AT5G40950","RPL27","ribosomal protein large subunit 27","-","-"
"BraA05000931",5.58239658350765,3.17725043164652,147.844392736808,1.48528331771028e-11,1.71312659221422e-09,FALSE," 0.2028947","11.0360800","BraA05000931","AT2G37770","ChlAKR","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA10002206",4.70539711029819,5.53875635367452,147.728426055841,1.49709994040374e-11,1.71312659221422e-09,FALSE," 2.734675","71.712177","BraA10002206","AT5G14760","AO","L-aspartate oxidase","-","-"
"BraA09004850",5.96929736466968,6.44844526441035,147.680834880272,1.50197884196672e-11,1.71312659221422e-09,FALSE,"  2.1128719","135.5952910","BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA07002006",5.73569513302217,8.25679677582112,147.342799048185,1.53713424687838e-11,1.74061101049394e-09,FALSE,"  7.447516","399.391432","BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA06003059",2.00833119186408,5.49983334862175,146.654500557089,1.61151123294216e-11,1.79084968116961e-09,FALSE,"13.25688","53.36078","BraA06003059","AT5G62840","AT5G62840","Phosphoglycerate mutase family protein","-","YES"
"BraA03003212",1.83056504629477,5.48580508529516,146.599134386872,1.61766172479252e-11,1.79084968116961e-09,FALSE,"17.58879","62.62062","BraA03003212","AT4G00370","ANTR2","Major facilitator superfamily protein","-","-"
"BraA05003370",2.15042983660339,9.20588885872612,146.552973363828,1.62280913160989e-11,1.79084968116961e-09,FALSE,"187.5858","832.8697","BraA05003370","AT3G17930","DAC","transmembrane protein","-","-"
