"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08001833",-4.10895971633258,5.11139774675753,143.12643372044,2.05946560771055e-11,2.14675421624928e-09,FALSE,"102.960813","  5.982723","BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA07003945",-2.26669472559316,3.87862863101748,142.474564821994,2.15617963531638e-11,2.20378360129089e-09,FALSE,"33.300474"," 6.913391","BraA07003945","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA03005909",-3.21857944174011,8.04268726173098,141.694602762223,2.27843020333036e-11,2.30079265409028e-09,FALSE,"779.27518"," 83.70111","BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA03000536",-3.21378835858719,4.03829534720179,141.436052521826,2.32060050548756e-11,2.32369562537861e-09,FALSE,"46.148943"," 4.939683","BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA10002216",-2.26353019240478,4.43261345219913,140.729777381489,2.44017853594532e-11,2.37422286274822e-09,FALSE,"53.12197","11.05310","BraA10002216","AT5G14620","DRM2","domains rearranged methyltransferase 2","-","-"
"BraA01001016",-2.63285028064846,4.01393092480036,140.710072384341,2.44360929965191e-11,2.37422286274822e-09,FALSE,"36.783465"," 5.924261","BraA01001016","AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA04001122",-1.47995780029619,5.77127476184923,139.915320392678,2.58644412874745e-11,2.43776231056795e-09,FALSE,"101.24502"," 36.28606","BraA04001122","AT5G37720","ALY4","ALWAYS EARLY 4","-","-"
"BraA06002456",-1.86671187012444,6.60694059198802,138.421002230092,2.88018610660332e-11,2.68249285904948e-09,FALSE,"208.85224"," 57.28061","BraA06002456","AT3G48860","AT3G48860","coiled-coil protein","-","-"
"BraA05001344",-2.37425268205835,6.55168309486814,138.206609723747,2.92522216773309e-11,2.7084115835364e-09,FALSE,"224.31055"," 43.26149","BraA05001344","AT2G32260","CCT1","phosphorylcholine cytidylyltransferase","-","-"
"BraA05002442",-2.09976963583513,6.66934552718901,135.282013071294,3.62234276283576e-11,3.16753750483527e-09,FALSE,"241.22450"," 56.26107","BraA05002442","AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-"
"BraA09004695",-2.30060808987517,5.53870984500409,134.82489027822,3.74675279078509e-11,3.20510265907377e-09,FALSE,"114.29835"," 23.18973","BraA09004695","AT3G53030","SRPK4","ser/arg-rich protein kinase 4","-","-"
"BraA09000856",-2.82695704334992,5.75333696909003,132.165165670737,4.5692193061459e-11,3.61404582305208e-09,FALSE,"132.44972"," 18.65875","BraA09000856","AT5G63860","UVR8","Regulator of chromosome condensation (RCC1) family protein","-","YES"
"BraA10002642",-2.86134265903342,4.76654008616598,129.579891073711,5.55972743587799e-11,4.18708659524974e-09,FALSE,"73.09366","10.06481","BraA10002642","AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA07001790",-1.67868300706261,7.0823910640279,129.249146313781,5.7024261774332e-11,4.23378245437729e-09,FALSE,"290.66326"," 90.77708","BraA07001790","AT2G26990","FUS12","proteasome family protein","-","-"
"BraA05004538",-2.45978791779203,5.70463589735487,128.710347876823,5.94348094333843e-11,4.37151355365172e-09,FALSE,"118.89041"," 21.60307","BraA05004538","AT3G03880","AT3G03880","sterol O-acyltransferase, putative (DUF1639)","-","-"
"BraA01003887",-2.01488217007115,7.79894687867051,128.045388385924,6.25635319643487e-11,4.58023252613418e-09,FALSE,"498.3036","123.2780","BraA01003887","AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA05000552",-1.68780872275944,4.69319791804347,127.656838829372,6.44741905139075e-11,4.69825814207826e-09,FALSE,"52.13226","16.17442","BraA05000552","AT2G44150","ASHH3","histone-lysine N-methyltransferase ASHH3","-","-"
"BraA06003826",-2.11446459390259,5.67116817788434,125.867220632263,7.41312809838831e-11,5.23240521384e-09,FALSE,"95.96172","22.13302","BraA06003826","AT5G27860","AT5G27860","hypothetical protein","-","-"
"BraA02003289",-2.73854056507411,5.68338114647477,125.743649147529,7.4853824727086e-11,5.24748600285642e-09,FALSE,"138.17200"," 20.71103","BraA02003289","AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA03002883",-2.56351873026012,4.33449108837303,125.69597630178,7.51346178393739e-11,5.24748600285642e-09,FALSE,"51.991043"," 8.774194","BraA03002883","AT4G10610","CID12","CTC-interacting domain 12","-","-"
"BraA04002500",-2.18263135472272,5.94986457190021,125.352185637169,7.71937420631659e-11,5.30580567718005e-09,FALSE,"168.76386"," 37.18244","BraA04002500","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA09003406",-2.10389659036717,4.80177373614252,125.169430342588,7.83132370987883e-11,5.33614870967502e-09,FALSE,"66.17931","15.37968","BraA09003406","AT1G33230","AT1G33230","TMPIT-like protein","-","-"
"BraA06000263",-1.92924565382707,5.36930734154813,124.523319740286,8.24146969864022e-11,5.54362107079474e-09,FALSE,"95.81481","25.16812","BraA06000263","AT5G45190","AT5G45190","Cyclin family protein","-","YES"
"BraA09004419",-1.95481194536202,6.20710187854684,123.399132120847,9.01181182936884e-11,5.88572274665002e-09,FALSE,"162.49600"," 41.92318","BraA09004419","AT3G50000","CKA2","casein kinase II, alpha chain 2","-","-"
"BraA09005163",-2.48371153530871,4.34940851519539,121.958887658386,1.01151151520174e-10,6.39405271055239e-09,FALSE,"55.203482"," 9.860600","BraA09005163","AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-"
"BraA01001678",-2.09552282393456,6.02107460291512,121.263460953058,1.0699662731038e-10,6.65437058458975e-09,FALSE,"153.33109"," 35.87996","BraA01001678","AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-"
"BraA08001534",-1.8770161539467,7.75785832571785,121.218945109831,1.07383108544206e-10,6.65437058458975e-09,FALSE,"436.1514","118.7370","BraA08001534","AT5G53300","UBC10","ubiquitin-conjugating enzyme 10","-","-"
"BraA04000006",-2.90670312171548,5.88423623556806,120.242727766686,1.1625140502629e-10,7.00816447445395e-09,FALSE,"169.01574"," 22.56054","BraA04000006","AT3G63340","AT3G63340","kinase superfamily protein","-","-"
"BraA06002912",-2.65708043234332,6.73669791724269,119.994614141312,1.18630066428018e-10,7.0997613900266e-09,FALSE,"326.15269"," 51.71158","BraA06002912","AT3G49490","AT3G49490","hypothetical protein","-","-"
"BraA10002262",-2.64297455541795,4.90984896493924,119.062472085421,1.28050317931122e-10,7.60570567636176e-09,FALSE,"83.39045","13.33036","BraA10002262","AT5G13970","AT5G13970","midasin-like protein","-","-"
"BraA05002514",-2.03336033710873,4.66974295756857,117.405570176083,1.46863677960754e-10,8.5300158343257e-09,FALSE,"58.12330","14.18689","BraA05002514","AT3G22590","PHP","PLANT HOMOLOGOUS TO PARAFIBROMIN","-","-"
"BraA05002388",-2.910066842614,4.24597405098162,117.038251903823,1.51428718450363e-10,8.66722919421352e-09,FALSE,"54.104034"," 7.191700","BraA05002388","AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA08002252",-2.18940316186116,5.61876085325803,116.75125943557,1.55102729698394e-10,8.8448372797586e-09,FALSE,"118.39313"," 25.93980","BraA08002252","AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-"
"BraA09004304",-1.77686379128518,6.01842952796118,116.708708542673,1.55655649713668e-10,8.8448372797586e-09,FALSE,"145.56970"," 42.48803","BraA09004304","AT1G22860","AT1G22860","Vacuolar sorting protein 39","-","-"
"BraA03002440",-2.55305457966871,5.13401895365708,116.356966147351,1.60309166547839e-10,9.07649741533448e-09,FALSE,"106.88149"," 18.18614","BraA03002440","AT2G44120","AT2G44120","Ribosomal protein L30/L7 family protein","-","-"
"BraA06004577",-2.01470950893682,5.72404129862522,116.234613679175,1.61963126219946e-10,9.13727457599268e-09,FALSE,"127.10699"," 31.45581","BraA06004577","AT2G01060","AT2G01060","myb-like HTH transcriptional regulator family protein","YES","-"
"BraA07003495",-2.53898992019252,4.82819409424005,116.02708769636,1.64810999397592e-10,9.18511718561537e-09,FALSE,"75.08451","12.90238","BraA07003495","AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA09001196",-2.33851255895757,5.08743869773012,116.002977587251,1.65145372524088e-10,9.18511718561537e-09,FALSE,"92.51040","18.27718","BraA09001196","AT2G18090","AT2G18090","PHD finger family protein / SWIB complex BAF60b domain-containing protein / GYF domain-containing protein","-","-"
"BraA08003387",-2.39531968351192,6.00453946576054,115.944858755643,1.65954431520752e-10,9.19761532442479e-09,FALSE,"165.88905"," 31.55044","BraA08003387","AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA08002510",-2.38420124330653,4.64407611003312,115.758611369604,1.68576279328421e-10,9.31014258466436e-09,FALSE,"64.35165","12.33832","BraA08002510","AT4G38800","MTN1","methylthioadenosine nucleosidase 1","-","-"
"BraA06003767",-3.15223606663218,4.90363045445795,115.50018857583,1.7228896209579e-10,9.44887896650781e-09,FALSE,"83.594980"," 9.421821","BraA06003767","AT5G26230","MAKR1","membrane-associated kinase regulator","-","-"
"BraA09002834",-2.7081153201359,4.55623373544997,114.53784885532,1.86915938237255e-10,1.00755372186794e-08,FALSE,"62.748006"," 9.575988","BraA09002834","AT4G09830","AT4G09830","nuclear receptor family 2 group C protein","-","-"
"BraA09004831",-2.17122811159956,4.84169072764769,113.607874787539,2.02340525059315e-10,1.07233665469146e-08,FALSE,"62.32005","13.83110","BraA09004831","AT3G54650","FBL17","RNI-like superfamily protein","-","-"
"BraA02001604",-2.13278905102824,7.14183285515054,113.542453224035,2.03476515419287e-10,1.07473837338912e-08,FALSE,"329.97487"," 75.24383","BraA02001604","AT5G53300","UBC10","ubiquitin-conjugating enzyme 10","-","-"
"BraA03003478",-1.71848337659311,5.39015834992403,112.64162861642,2.19843537236726e-10,1.14580704506823e-08,FALSE,"83.98208","25.54121","BraA03003478","AT3G06340","AT3G06340","DNAJ heat shock N-terminal domain-containing protein","-","-"
"BraA10002966",-2.17202497853165,6.16618494369115,112.151148050983,2.29352023553352e-10,1.17589604258299e-08,FALSE,"170.49309"," 37.84471","BraA10002966","AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-"
"BraA01001623",-1.86775149632865,5.92895726807496,111.612361169097,2.40314629917205e-10,1.21625475077068e-08,FALSE,"127.16414"," 34.82275","BraA01001623","AT4G24520","ATR1","P450 reductase 1","-","YES"
"BraA10001873",-2.12502339600411,4.08479094081437,111.43312806588,2.44086586958889e-10,1.23138553805542e-08,FALSE,"39.487549"," 9.060863","BraA10001873","AT5G18940","AT5G18940","Mo25 family protein","-","-"
"BraA04000074",-1.81575774837395,5.86685583568955,111.359349030014,2.45657907898443e-10,1.23141893959283e-08,FALSE,"120.54077"," 34.22290","BraA04000074","AT3G62290","ARFA1E","ADP-ribosylation factor A1E","-","-"
"BraA05002380",-1.97901770200509,5.6995709372294,110.797083224982,2.58000091123767e-10,1.27301612360128e-08,FALSE,"102.00122"," 25.83661","BraA05002380","AT3G48110","EDD1","glycine-tRNA ligase","-","-"
"BraA09000797",-2.42493727523046,6.59498607023574,110.554657538041,2.63527945991691e-10,1.29218999062593e-08,FALSE,"247.47496"," 46.09589","BraA09000797","AT5G62810","PEX14","peroxin 14","-","-"
"BraA06003214",-1.64208823040927,4.77924745126534,109.881088364831,2.79573572470324e-10,1.36238019525786e-08,FALSE,"58.91012","18.88446","BraA06003214","AT5G64390","HEN4","RNA-binding KH domain-containing protein","-","-"
"BraA02000212",-4.91920260894526,4.89054605427127,109.726605284733,2.83401334621183e-10,1.37677068115352e-08,FALSE,"101.294476","  3.354005","BraA02000212","AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA06001804",-3.566869705732,3.37927483947755,109.664520576414,2.84955665665549e-10,1.38006220848485e-08,FALSE,"34.151891"," 2.893775","BraA06001804","AT1G16240","SYP51","syntaxin of plants 51","-","-"
"BraA07001008",-2.55166312312803,6.14708859674754,109.476742931732,2.89713430746933e-10,1.39880042943458e-08,FALSE,"181.88363"," 31.03707","BraA07001008","AT1G30410","ABCC12","multidrug resistance-associated protein 13","-","-"
"BraA07000242",-2.03050826306316,5.7826619833761,108.673554376333,3.11060465218422e-10,1.46917165989289e-08,FALSE,"120.84957"," 29.59669","BraA07000242","AT2G18250","COAD","4-phosphopantetheine adenylyltransferase","-","YES"
"BraA03001683",-4.17747194418099,6.73335552499583,108.62863859684,3.12303658528066e-10,1.46917165989289e-08,FALSE,"308.80781"," 17.10851","BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA02003047",-2.62718623805968,5.1888707652565,108.149750960114,3.25899232836077e-10,1.50429733866271e-08,FALSE,"112.18025"," 18.16807","BraA02003047","AT4G12400","Hop3","stress-inducible protein","-","-"
"BraA04000569",-1.89726531494422,6.83897768681243,107.847094743217,3.34822347145409e-10,1.53647339477223e-08,FALSE,"248.98937"," 66.84346","BraA04000569","AT3G54300","VAMP727","vesicle-associated membrane protein 727","-","-"
"BraA08000907",-2.12476502972141,5.73062769426859,107.42610475272,3.47678458042943e-10,1.56355969417026e-08,FALSE,"144.05300"," 33.03408","BraA08000907","AT5G35180","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336)","-","-"
"BraA04003105",-2.15027593675343,7.72527055464509,107.207077778911,3.54578302211383e-10,1.58552911272931e-08,FALSE,"487.4136","109.8013","BraA04003105","AT2G43160","AT2G43160","ENTH/VHS family protein","-","-"
"BraA01001803",-2.49660851468017,4.8245438105418,106.854303346732,3.6600622414761e-10,1.60920054974396e-08,FALSE,"76.24816","13.50042","BraA01001803","AT4G26400","AT4G26400","RING/U-box superfamily protein","-","-"
"BraA09000642",-1.55179269123287,7.32596330713712,106.801557317696,3.6774901358491e-10,1.61235918490988e-08,FALSE,"336.02006","114.61190","BraA09000642","AT5G25060","RRC1","RNA recognition motif (RRM)-containing protein","-","YES"
"BraA10002837",-2.00402005645834,5.88007791640671,106.769123682085,3.68825132394755e-10,1.6125854399704e-08,FALSE,"139.25135"," 34.70663","BraA10002837","AT5G23150","HUA2","Tudor/PWWP/MBT domain-containing protein","-","-"
"BraA09006846",-2.06015868817618,4.75854330948469,106.498123071772,3.77951547015621e-10,1.62800415912047e-08,FALSE,"60.85430","14.58278","BraA09006846","AT1G04590","AT1G04590","PPR containing-like protein","-","-"
"BraA07000520",-3.57647560505323,6.05775453051384,106.38062866763,3.81984353928571e-10,1.63381351381405e-08,FALSE,"252.327176"," 21.175418","BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA03002202",-2.19810716218321,4.60678533523576,106.115589793711,3.91254088126793e-10,1.65443804359613e-08,FALSE,"58.47741","12.74741","BraA03002202","AT2G39630","AT2G39630","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA06000360",-1.91598215541714,5.77855116429944,106.092817496734,3.92061874371891e-10,1.65443804359613e-08,FALSE,"119.44820"," 31.62623","BraA06000360","AT5G43720","AT5G43720","rRNA-processing EFG1-like protein (DUF2361)","-","-"
"BraA07002276",-3.09800821009089,4.48588908008422,105.870315491237,4.00050556430445e-10,1.67023760164859e-08,FALSE,"64.685361"," 7.551132","BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA06001323",-1.88975628453156,8.77639213304156,105.815440516647,4.02047846980817e-10,1.67413574377727e-08,FALSE," 969.8006"," 261.6940","BraA06001323","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA03002359",-2.30748387135482,5.95577147485471,105.471403544268,4.14819293075353e-10,1.72275875277205e-08,FALSE,"147.47167"," 29.79208","BraA03002359","AT2G42780","AT2G42780","transcription elongation factor B polypeptide","-","-"
"BraA09002237",-3.43505074370948,6.13921427283029,104.986160225336,4.33587640170456e-10,1.78189803036109e-08,FALSE,"212.68603"," 19.66995","BraA09002237","AT5G45370","UMAMIT1","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA09001739",-2.90837130597222,5.88158656107698,104.92194473521,4.3613971650966e-10,1.78771852548491e-08,FALSE,"140.21793"," 18.63657","BraA09001739","AT1G57570","AT1G57570","Mannose-binding lectin superfamily protein","-","-"
"BraA01002675",-2.3018483423408,6.17660769000039,104.419190495525,4.56693575837226e-10,1.85266929991699e-08,FALSE,"185.54523"," 37.62894","BraA01002675","AT3G46510","PUB13","plant U-box 13","-","-"
"BraA08001424",-5.45188350649092,6.09728462270491,104.085744021331,4.70904835936777e-10,1.89489925071346e-08,FALSE,"254.749415","  5.859703","BraA08001424","AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA06004775",-2.77571987237447,4.81883928736915,104.07232996926,4.71486495385052e-10,1.89489925071346e-08,FALSE,"75.77772","11.06153","BraA06004775","AT5G45160","RL2","Root hair defective 3 GTP-binding protein (RHD3)","-","-"
"BraA01004496",-1.3741101373596,5.35438473820681,104.062367323437,4.71919000177686e-10,1.89489925071346e-08,FALSE,"82.10068","31.67360","BraA01004496","AT3G06670","AT3G06670","binding protein","-","-"
"BraA03002093",-1.83783781726976,5.20373450988634,103.816718286085,4.82720768292075e-10,1.92401314296255e-08,FALSE,"78.07443","21.85140","BraA03002093","AT2G38020","VCL1","vacuoleless1 (VCL1)","-","-"
"BraA07000905",-3.77597515595502,6.67377805132086,103.792872197045,4.83783551466755e-10,1.92401314296255e-08,FALSE,"351.95769"," 25.70120","BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA09003758",-2.42511344546887,4.17162720692297,103.689416630291,4.88423929536792e-10,1.93647170048088e-08,FALSE,"49.684661"," 9.246466","BraA09003758","AT1G29970","RPL18AA","60S ribosomal protein L18A-1","-","-"
"BraA02002760",-3.73287983089478,5.83168107621139,103.661477792431,4.8968536902906e-10,1.93659490163754e-08,FALSE,"189.13086"," 14.21702","BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA09006467",-1.77664359780544,4.85050100912624,103.378195687095,5.02677318166994e-10,1.97803524698712e-08,FALSE,"65.54480","19.13205","BraA09006467","AT1G11890","SEC22","Synaptobrevin family protein","-","-"
"BraA03000218",-3.00721638704597,5.66782191495427,103.224349455175,5.09889556359771e-10,2.00141187458923e-08,FALSE," 87.15692"," 10.83684","BraA03000218","AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA09001507",-1.81258011283313,5.29805893821514,103.167111322354,5.12601476784004e-10,2.00705155337817e-08,FALSE,"85.86965","24.45754","BraA09001507","AT1G58030","CAT2","cationic amino acid transporter 2","-","-"
"BraA06001645",-1.84955690120387,5.26473052669224,103.116251712243,5.15024334325893e-10,2.01153424870709e-08,FALSE,"82.32253","22.83523","BraA06001645","AT1G14570","AT1G14570","UBX domain-containing protein","-","-"
"BraA01001354",-2.31377505478483,5.05276031220741,102.634867690106,5.38582652889454e-10,2.0801451103393e-08,FALSE,"72.25489","14.51334","BraA01001354","AT4G21980","APG8A","Ubiquitin-like superfamily protein","-","YES"
"BraA04000012",-2.57332799765736,5.37963893030988,102.622582567144,5.39198986669908e-10,2.0801451103393e-08,FALSE,"76.67269","12.87466","BraA04000012","AT3G63260","ATMRK1","Protein kinase superfamily protein","-","-"
"BraA10001974",-1.87553011682073,6.12187806668938,101.965717967335,5.73295723213006e-10,2.16395076339873e-08,FALSE,"141.36801"," 38.53090","BraA10001974","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-"
"BraA08002778",-2.32438776490346,5.15256324087675,101.908815446278,5.76357836067838e-10,2.1703043874899e-08,FALSE,"93.59781","18.66419","BraA08002778","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA09001972",-1.5300061268549,6.72295527627631,101.392241042393,6.04983414062239e-10,2.25650211785299e-08,FALSE,"233.57052"," 80.87884","BraA09001972","AT1G56290","AT1G56290","CwfJ-like family protein","-","-"
"BraA08002505",-2.08557338743192,3.62868748060632,100.956206694863,6.30349408924477e-10,2.34555548379935e-08,FALSE,"33.219208"," 7.795655","BraA08002505","AT4G38910","BPC5","basic pentacysteine 5","YES","-"
"BraA07003266",-1.51451987132257,4.64893745894609,100.665417705208,6.47906833336541e-10,2.38994706016229e-08,FALSE,"49.07283","17.16815","BraA07003266","AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA10000200",-1.56814350417489,5.59987887298431,100.5342039914,6.56002648039036e-10,2.39015779632741e-08,FALSE,"102.28363"," 34.49715","BraA10000200","AT1G03365","AT1G03365","RING/U-box superfamily protein","-","-"
"BraA09006430",-2.69513953202252,5.60763184971025,100.297182858339,6.70906647541622e-10,2.40382070902038e-08,FALSE,"137.40851"," 21.21428","BraA09006430","AT1G12360","KEU","Sec1/munc18-like (SM) proteins superfamily","-","-"
"BraA09006915",-2.27371933278376,5.58174527263083,100.247947893436,6.74048470941995e-10,2.40382070902038e-08,FALSE,"120.66868"," 24.95123","BraA09006915","AT1G03140","AT1G03140","splicing factor Prp18 family protein","-","-"
"BraA09005643",-3.42539650278584,7.17539838424336,99.923204161299,6.9517594279732e-10,2.45889198643367e-08,FALSE,"521.59238"," 48.54897","BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA03003841",-2.21324176914475,5.32922994809062,99.840763319634,7.00653213918515e-10,2.47270887602633e-08,FALSE,"104.28301"," 22.46657","BraA03003841","AT3G13340","AT3G13340","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA05003867",-2.74798470888896,5.04474393560547,99.2971574348813,7.37964690411371e-10,2.57048287160063e-08,FALSE,"77.89110","11.57830","BraA05003867","AT3G12500","HCHIB","basic chitinase","-","-"
"BraA10002487",-2.21286797105686,7.83187839584271,99.1755491153285,7.46603600316663e-10,2.58716927952867e-08,FALSE,"547.8382","118.1977","BraA10002487","AT5G10860","CBSX3","Cystathionine beta-synthase (CBS) family protein","-","-"
"BraA08000821",-2.45525958110637,4.5863279429414,99.0734238049006,7.53943348157271e-10,2.60242725877093e-08,FALSE,"66.01611","12.02671","BraA08000821","AT1G33050","AT1G33050","hypothetical protein","-","-"
"BraA06001483",-2.0605625823908,5.62413240145452,98.8742555736632,7.68484074572921e-10,2.6468138585947e-08,FALSE,"129.48805"," 31.03536","BraA06001483","AT1G11480","AT1G11480","eukaryotic translation initiation factor-like protein","-","-"
"BraA03001631",-2.03770616432437,5.58095661950968,98.2128070807919,8.19002759377076e-10,2.79028212826736e-08,FALSE,"114.98664"," 27.98320","BraA03001631","AT5G51300","AT5G51300","splicing factor-like protein","-","-"
