"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","phyB.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA04002623",-2.55149898450014,6.75708713247123,193.376851216782,9.44156575040835e-13,5.76498297802052e-10,FALSE,"130.75207"," 22.28613","BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA03006148",-2.95690497613993,6.99123210101888,192.518912897467,9.88910676026391e-13,5.76498297802052e-10,FALSE,"157.97398"," 20.34432","BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA04002534",-3.85187600048857,6.27500240910833,189.392179575577,1.17258733763131e-12,6.3749122021964e-10,FALSE,"108.108979","  7.475326","BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA05001006",-3.30573345088587,8.26491094874402,188.920536477834,1.20337387804479e-12,6.3749122021964e-10,FALSE,"410.03165"," 41.43648","BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA08002432",-6.34720064121042,6.93907624463704,188.745221902402,1.21504044514544e-12,6.3749122021964e-10,FALSE,"152.3280542","  1.8426552","BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA03004376",-3.12884010473878,8.01382098673585,186.343459004495,1.38786808875078e-12,6.98644272470844e-10,FALSE,"308.78331"," 35.26748","BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA05000981",-2.89630792108659,5.83719635276723,185.928216597039,1.42036955013132e-12,6.98644272470844e-10,FALSE,"66.171323"," 8.892876","BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA05003669",-3.73676359508441,9.01720054294972,183.353447388963,1.64130384107448e-12,7.59827131132714e-10,FALSE,"651.75065"," 48.86636","BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA05003526",-3.48793306517519,9.41762957542658,181.737914423632,1.79882113146065e-12,7.97178816489139e-10,FALSE," 756.66664","  67.41512","BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA08002568",-5.05967512723395,10.585320799473,180.72297863777,1.9061312378323e-12,8.03592523236616e-10,FALSE,"2043.94030","  61.24969","BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA09005883",-6.74275753296865,4.48482303548752,179.806680717878,2.00900189482387e-12,8.03592523236616e-10,FALSE,"28.4601304"," 0.2463888","BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA03001809",-5.72784438239212,3.81312609855329,179.67300824836,2.02450642153858e-12,8.03592523236616e-10,FALSE,"20.6537749"," 0.3653216","BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA06000973",-2.94502007060915,5.89360066781633,179.522099493125,2.04216651394312e-12,8.03592523236616e-10,FALSE," 74.211381","  9.648983","BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA03002180",-2.03715123827925,7.86470082831801,178.087792485994,2.2186230247282e-12,8.33474319488189e-10,FALSE,"276.15308"," 67.27862","BraA03002180","AT2G39190","ATATH8","Protein kinase superfamily protein","-","-"
"BraA04003076",-4.88469126412024,9.04005405928589,178.045973385887,2.22401025530521e-12,8.33474319488189e-10,FALSE,"526.71786"," 17.80403","BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA04003129",-8.27020045392505,5.09895600712998,177.354976197237,2.31511413386778e-12,8.47439452722763e-10,FALSE,"52.44084170"," 0.14668345","BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA03000494",-9.15234524778849,2.37376735618524,202.72876280402,2.46602256649566e-12,8.48730995916923e-10,FALSE,"6.9041929","0.0000000","BraA03000494","AT5G11410","AT5G11410","Protein kinase superfamily protein","-","-"
"BraA09006403",-4.45417616151231,10.6908169053563,176.208610268742,2.47532266408462e-12,8.48730995916923e-10,FALSE,"2111.03043","  96.27426","BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA06002613",-4.52774885618439,5.87198419318427,176.173551779067,2.48040824727945e-12,8.48730995916923e-10,FALSE," 75.852772","  3.274142","BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA03000235",-3.53358825025016,7.66897999109289,175.391707565731,2.59682277283595e-12,8.69659371158252e-10,FALSE,"199.11401"," 17.16122","BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA08003415",-3.34090590019187,6.92498702925403,173.356924690642,2.92856424130902e-12,9.0778888329901e-10,FALSE,"142.15206"," 14.03598","BraA08003415","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-"
"BraA10001878",-4.79343200771926,4.71197765930545,172.373881284351,3.10509348580048e-12,9.0778888329901e-10,FALSE,"32.484392"," 1.141234","BraA10001878","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-"
"BraA09000299",-2.4700306845142,6.35999159209029,172.370477010954,3.10572452998493e-12,9.0778888329901e-10,FALSE,"104.47104"," 18.82442","BraA09000299","AT3G26290","CYP71B26","cytochrome P450, family 71, subfamily B, polypeptide 26","-","-"
"BraA05000807",-4.76408922018845,7.52363486766713,172.163778591041,3.14430209173675e-12,9.0778888329901e-10,FALSE,"244.455325","  8.939496","BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA05003475",-3.41904518175714,3.70565560839199,172.133718211206,3.1499556870361e-12,9.0778888329901e-10,FALSE,"17.295480"," 1.593899","BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA05000754",-6.49270847587275,7.94300524302003,172.016693637622,3.17207043084152e-12,9.0778888329901e-10,FALSE,"328.603581","  3.607607","BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA06000927",-2.77905434718108,5.80572984910062,167.266714107679,4.22903332281065e-12,1.14767214656965e-09,FALSE,"75.41375","10.98956","BraA06000927","AT1G51100","CRR41","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel protein","-","-"
"BraA07002023",-4.45704773678151,6.99670285120533,165.587039184588,4.68984565409251e-12,1.25115543382061e-09,FALSE,"140.647945","  6.407719","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA03000453",-2.42945227590658,6.77050808726292,162.271489709505,5.76785748837006e-12,1.51310128111575e-09,FALSE,"138.10126"," 25.63235","BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA03000987",-2.5309087587294,5.37464466565348,160.665092187158,6.38458970826848e-12,1.64743347554338e-09,FALSE,"42.772580"," 7.384077","BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA01000119",-4.28170236995613,9.39944309652242,159.838371623383,6.72960605202243e-12,1.68133332156878e-09,FALSE,"867.60915"," 44.56912","BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA09004114",-6.28224646654662,6.4919468750567,159.252489721166,6.98635610778385e-12,1.71820695525809e-09,FALSE,"108.789322","  1.367330","BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA10001271",-5.37952840623859,4.2450120379457,158.29695597749,7.4282156834715e-12,1.79877099781295e-09,FALSE,"22.5986373"," 0.5085723","BraA10001271","AT5G57170","AT5G57170","Tautomerase/MIF superfamily protein","-","-"
"BraA04001910",-1.8020712266095,7.31584138748949,157.908742164369,7.61632733680735e-12,1.81637867092951e-09,FALSE,"183.59121"," 52.64639","BraA04001910","AT2G25870","AT2G25870","haloacid dehalogenase-like hydrolase family protein","-","-"
"BraA01002230",-1.94312720519487,6.72304219076014,156.604564411255,8.28714702449236e-12,1.89454101666711e-09,FALSE,"107.0022"," 27.7933","BraA01002230","AT1G54350","ABCD2","ABC transporter family protein","-","-"
"BraA02000306",-2.97610406144787,3.98947116571309,156.519940705366,8.33283896198174e-12,1.89454101666711e-09,FALSE,"21.698208"," 2.762795","BraA02000306","AT5G09230","SRT2","sirtuin 2","-","-"
"BraA10001684",-3.81273444833004,5.70448700745725,156.511323594714,8.33750703465382e-12,1.89454101666711e-09,FALSE,"61.817923"," 4.383786","BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA07003594",-3.84832667269943,7.16470813110013,156.163651789369,8.52823810375726e-12,1.89454101666711e-09,FALSE,"195.67823"," 13.55688","BraA07003594","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03000586",-3.46739016046284,7.18463863047571,156.131891257141,8.54589658089993e-12,1.89454101666711e-09,FALSE,"175.64315"," 15.87512","BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA03004636",-2.76331410225116,10.0903668997246,154.156533392367,9.72625647796293e-12,2.0186794208036e-09,FALSE,"1323.1696"," 194.8687","BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA02002440",-4.25972163019711,5.66188639941414,154.079747023229,9.77558073274549e-12,2.0186794208036e-09,FALSE,"61.576014"," 3.194612","BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA01000215",-2.78979345224676,7.42802554160545,153.926808315197,9.87463338321503e-12,2.0186794208036e-09,FALSE,"214.97491"," 31.06669","BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA09005567",-3.68532581321884,8.25738889760998,153.925678038848,9.87536946644707e-12,2.0186794208036e-09,FALSE,"432.54489"," 33.61233","BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA01002846",-9.59023942684494,8.02502296602867,153.416865969945,1.02128613726028e-11,2.06090305134317e-09,FALSE,"285.8552735","  0.3820788","BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA09004880",-2.37524868575101,6.08791784612232,153.067718984891,1.04516872507724e-11,2.08053795337991e-09,FALSE,"86.59634","16.68256","BraA09004880","AT3G55040","GSTL2","glutathione transferase lambda 2","-","-"
"BraA04002652",-2.58258258677246,6.48401215023619,152.814798034215,1.06284788240549e-11,2.08053795337991e-09,FALSE,"118.04324"," 19.69818","BraA04002652","AT2G36530","LOS2","Enolase","-","YES"
"BraA01000537",-3.78437597372583,11.6687695467769,152.704337577828,1.07067073839754e-11,2.08053795337991e-09,FALSE,"4026.9571"," 292.2269","BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA05003559",-3.5241144718343,5.59803143111614,151.599160835308,1.15247613103881e-11,2.18553907259649e-09,FALSE,"62.690771"," 5.427682","BraA05003559","AT3G15520","AT3G15520","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA04001564",-4.68978072971411,5.14400464141162,151.411705927039,1.16701312439037e-11,2.18676030689339e-09,FALSE,"42.582958"," 1.620584","BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA05000931",-5.64032698541624,3.17725043164652,150.87283766556,1.20992267961783e-11,2.22342876206433e-09,FALSE,"11.4720932"," 0.2028947","BraA05000931","AT2G37770","ChlAKR","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA08003752",-2.32094825964854,6.48888586048888,150.812487423713,1.21483401230961e-11,2.22342876206433e-09,FALSE,"118.79920"," 23.75974","BraA08003752","AT1G08540","SIG2","RNApolymerase sigma subunit 2","-","-"
"BraA08001067",-2.37371249188432,7.4313523139216,150.340435599693,1.25400534231651e-11,2.26874069977723e-09,FALSE,"231.18636"," 44.58682","BraA08001067","AT2G04700","AT2G04700","ferredoxin thioredoxin reductase catalytic beta chain family protein","-","-"
"BraA03003892",-8.15125193900713,5.0867797432748,150.115816694446,1.2731243283698e-11,2.27715646915235e-09,FALSE,"57.6573446"," 0.1874549","BraA03003892","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA01002037",-3.68342673300998,9.25643685938331,149.764728190347,1.30364524471636e-11,2.30554788222871e-09,FALSE,"720.82655"," 56.08567","BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA04000162",-2.81677662889375,10.9126859072333,149.203720501188,1.35407715016208e-11,2.36813048261679e-09,FALSE,"2344.8559"," 332.7764","BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA06004063",-2.66263456758865,6.86393152601881,148.920908577523,1.38030068876094e-11,2.38746514737333e-09,FALSE,"143.21671"," 22.62732","BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA07002219",-2.15594524910103,6.71795575127942,148.434588485367,1.42669341978075e-11,2.41689944857125e-09,FALSE,"127.92934"," 28.68795","BraA07002219","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA02001332",-3.03655015322481,8.19258992574236,148.344272562177,1.43549418892211e-11,2.41689944857125e-09,FALSE,"402.27091"," 49.02487","BraA02001332","AT5G57345","AT5G57345","transmembrane protein","-","-"
"BraA03005881",-3.44550594470312,4.25186482643815,148.081349646232,1.46145194772572e-11,2.41689944857125e-09,FALSE,"21.288337"," 1.942072","BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA09004965",-2.40486464506406,6.42059640754607,147.987446350774,1.47084599359882e-11,2.41689944857125e-09,FALSE,"110.46161"," 20.83564","BraA09004965","AT3G56010","AT3G56010","transmembrane protein","-","-"
"BraA06003059",-2.01614141102489,5.49983334862175,147.764467664033,1.49341651996735e-11,2.41689944857125e-09,FALSE,"53.64519","13.25688","BraA06003059","AT5G62840","AT5G62840","Phosphoglycerate mutase family protein","-","YES"
"BraA09002725",-2.31751009623362,6.38289232654062,147.653353845581,1.50480397687409e-11,2.41689944857125e-09,FALSE,"106.15223"," 21.27476","BraA09002725","AT4G11175","AT4G11175","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA09006470",-3.28180044219403,9.14250515653088,147.473994475681,1.52338504016521e-11,2.42202833658589e-09,FALSE,"812.21590"," 83.46863","BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA05000536",-1.67740762995433,5.49080057302193,146.282057976644,1.65337973015601e-11,2.57793851361564e-09,FALSE,"51.57128","16.12525","BraA05000536","AT2G43945","AT2G43945","hypothetical protein","-","-"
"BraA01001280",-2.20853548682088,5.85896389976282,146.015162142891,1.68410934720476e-11,2.59881187500029e-09,FALSE,"75.37908","16.30066","BraA01001280","AT4G21210","RP1","PPDK regulatory protein","-","-"
"BraA05000178",-2.3910198634764,4.70054242296884,144.316053706071,1.89489327349734e-11,2.82739906021713e-09,FALSE,"32.417932"," 6.168166","BraA05000178","AT2G46910","AT2G46910","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA03006305",-5.62335639995934,3.71985036010633,144.246636016286,1.90409339506363e-11,2.82739906021713e-09,FALSE,"16.2874366"," 0.3152658","BraA03006305","AT4G34610","BLH6","BEL1-like homeodomain 6","YES","-"
"BraA03003168",-3.58390389427985,7.32720860078294,143.38156659862,2.02290487738073e-11,2.93932099639909e-09,FALSE,"185.36092"," 15.43239","BraA03003168","AT4G01040","AT4G01040","Glycosyl hydrolase superfamily protein","-","-"
"BraA02001049",-4.93647521052239,5.70602224004572,143.293188229412,2.03548912711246e-11,2.93932099639909e-09,FALSE,"68.039931"," 2.203307","BraA02001049","AT5G22300","NIT4","nitrilase 4","-","-"
"BraA07002006",-5.61314316316046,8.25679677582112,142.674353027347,2.12602411476748e-11,3.0152357877201e-09,FALSE,"366.881882","  7.447516","BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA03005538",-3.12945737202524,7.53270843787732,142.672021372365,2.12637339540617e-11,3.0152357877201e-09,FALSE,"233.82440"," 26.69879","BraA03005538","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA07003365",-4.55302845206195,4.78526576489209,141.305012958678,2.34229652850217e-11,3.20589107466297e-09,FALSE,"41.516226"," 1.736439","BraA07003365","AT1G56130","AT1G56130","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA08001298",-4.31793472327236,8.43484372048752,140.665719267617,2.45135063924505e-11,3.29779991980488e-09,FALSE,"482.54835"," 24.16971","BraA08001298","AT4G16980","AT4G16980","arabinogalactan-protein family","-","-"
"BraA07000048",-3.52206667930628,4.84457949265946,140.189657419613,2.53614016874973e-11,3.3265705213434e-09,FALSE,"43.797507"," 3.784423","BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA08000983",-3.09219465403558,8.07870582411689,138.972892263539,2.76768154392336e-11,3.56120850421190e-09,FALSE,"353.10500"," 41.38795","BraA08000983","AT5G40950","RPL27","ribosomal protein large subunit 27","-","-"
"BraA09000210",-4.04915279489122,6.60129127303639,138.896821261924,2.78290118181743e-11,3.56120850421190e-09,FALSE,"123.352147","  7.429990","BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA06000196",-2.88368949826875,8.85808195477422,138.409348380676,2.88261470201299e-11,3.62978843277476e-09,FALSE,"618.77635"," 83.83227","BraA06000196","AT5G45930","CHLI2","magnesium chelatase i2","-","-"
"BraA07003002",-3.75781190450581,4.48310380027607,138.086938547753,2.9506929173263e-11,3.68602432688222e-09,FALSE,"34.761182"," 2.573920","BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA04000967",-3.63472090166384,9.35914943509849,137.238937315446,3.13823299762865e-11,3.85904588927149e-09,FALSE," 848.83551","  68.30207","BraA04000967","AT4G12800","PSAL","photosystem I subunit l","-","-"
"BraA01001284",-3.70083556262666,7.32965484396594,136.950320187616,3.20498395254046e-11,3.88049595484514e-09,FALSE,"213.39236"," 16.38553","BraA01001284","AT4G21280","PSBQA","photosystem II subunit QA","-","-"
"BraA04000314",-1.98013597370562,5.48481208661431,136.793839226975,3.24181811133639e-11,3.89513107423166e-09,FALSE,"52.63116","13.32988","BraA04000314","AT3G58010","PGL34","plastoglobulin 34kD","-","-"
"BraA03004049",-4.46170075518372,6.98228525712599,136.025693107716,3.42942645350395e-11,4.05858438933475e-09,FALSE,"160.171356","  7.250466","BraA03004049","AT3G17390","MTO3","S-adenosylmethionine synthetase family protein","-","-"
"BraA03005774",-2.37803321263162,4.84133678369642,135.761120164322,3.49674864918963e-11,4.10737490583917e-09,FALSE,"34.561046"," 6.629574","BraA03005774","AT4G28030","AT4G28030","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA01001123",-1.94215071301395,6.05576402291328,135.557845560092,3.54944816841974e-11,4.13839364229087e-09,FALSE,"77.06366","20.04022","BraA01001123","AT4G18975","AT4G18975","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA03003893",-8.75783938909271,4.94003991212204,135.391908546822,3.59310750286743e-11,4.15849353640686e-09,FALSE,"46.59454829"," 0.09354992","BraA03003893","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA10000194",-3.20954397594218,4.9464396635821,135.267337151326,3.62626648273895e-11,4.16623609038766e-09,FALSE,"41.287900"," 4.440641","BraA10000194","AT1G03310","DBE1","debranching enzyme 1","-","-"
"BraA02001698",-3.91806317445086,6.13907797634585,134.803142842518,3.75278608308886e-11,4.28035166288541e-09,FALSE," 78.801670","  5.214994","BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA05004075",-6.50319715038062,7.02398655053399,134.060305747865,3.96533957108395e-11,4.45817463206152e-09,FALSE,"168.507249","  1.819691","BraA05004075","AT3G10060","AT3G10060","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA02002954",-6.03812174666279,4.2382756313115,133.346640196091,4.18191167661697e-11,4.5717282261863e-09,FALSE,"19.48823248"," 0.27449437","BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA08002093",-3.60897503946715,3.84379616079605,133.331263200521,4.18671721299781e-11,4.5717282261863e-09,FALSE,"18.4899054"," 1.4873280","BraA08002093","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA04001213",-2.07650310428219,5.83868250268996,133.094156125081,4.26158097654761e-11,4.5717282261863e-09,FALSE,"66.70313","15.81127","BraA04001213","AT5G39040","ABCB27","transporter associated with antigen processing protein 2","-","-"
"BraA07000779",-2.1460685419907,6.87063517096445,133.068847883692,4.26965723792494e-11,4.5717282261863e-09,FALSE,"162.74869"," 36.76749","BraA07000779","AT3G25530","GLYR1","glyoxylate reductase 1","-","-"
"BraA06003357",-8.3721029240286,6.98764343566879,132.918072546363,4.31811791419738e-11,4.5923767546937e-09,FALSE,"223.3553131","  0.6501141","BraA06003357","AT5G65730","XTH6","xyloglucan endotransglucosylase/hydrolase 6","-","-"
"BraA05000276",-2.71778976318476,7.63356869096261,132.189954899338,4.56070390308233e-11,4.75400526056396e-09,FALSE,"316.83215"," 48.12009","BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA04000488",-3.42383847858896,8.04594926699116,131.52975654137,4.79349317677617e-11,4.89193143162478e-09,FALSE,"364.27313"," 33.90050","BraA04000488","AT3G55330","PPL1","PsbP-like protein 1","-","-"
"BraA09006307",-5.39180257021135,4.31637111105258,131.464099668082,4.81734035515782e-11,4.89193143162478e-09,FALSE,"25.6196655"," 0.5839598","BraA09006307","AT1G14150","PnsL2","PsbQ-like 2","-","-"
"BraA09005917",-2.25487404766804,9.24574802982866,130.961962832175,5.00403990922497e-11,5.04894795969238e-09,FALSE,"729.3821","152.8078","BraA09005917","AT2G20890","PSB29","photosystem II reaction center PSB29 protein","-","YES"
"BraA08003681",-3.63067718655915,7.14647744718975,130.540836951049,5.16668394573143e-11,5.14706362695017e-09,FALSE,"166.75950"," 13.46425","BraA08003681","AT1G09780","iPGAM1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","-","-"
"BraA01004807",-9.45693256338124,7.94126191607919,130.37628259567,5.23178946613552e-11,5.16130945526306e-09,FALSE,"233.6626495","  0.3252089","BraA01004807","AT3G01500","CA1","carbonic anhydrase 1","-","-"
