"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","phyB.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA02003289",2.75615832647828,5.68338114647477,127.252015429039,6.65325031293934e-11,5.88326741155423e-09,FALSE," 20.44006","138.17200","BraA02003289","AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA06001323",2.06783210768485,8.77639213304156,125.170309263169,7.83078111233433e-11,6.4910183812802e-09,FALSE," 231.3075"," 969.8006","BraA06001323","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA09003406",2.1030424265721,4.80177373614252,125.141623837022,7.84851102809619e-11,6.4910183812802e-09,FALSE,"15.38926","66.17931","BraA09003406","AT1G33230","AT1G33230","TMPIT-like protein","-","-"
"BraA10001974",2.09098975087131,6.12187806668938,124.803443519205,8.06085327013855e-11,6.60822033708233e-09,FALSE," 33.17540","141.36801","BraA10001974","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-"
"BraA08000907",2.30466678597967,5.73062769426859,124.658967474801,8.15346466975463e-11,6.61523370628546e-09,FALSE," 29.15030","144.05300","BraA08000907","AT5G35180","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336)","-","-"
"BraA09002834",2.84136867229482,4.55623373544997,124.470851787426,8.27578592852995e-11,6.64596278138069e-09,FALSE," 8.744827","62.748006","BraA09002834","AT4G09830","AT4G09830","nuclear receptor family 2 group C protein","-","-"
"BraA07000520",3.9190002824686,6.05775453051384,123.531819870879,8.91694496064115e-11,6.9827220736563e-09,FALSE," 16.674503","252.327176","BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA07000928",2.92549754897914,6.63610292893446,123.258988336188,9.11320128157748e-11,7.03146020451125e-09,FALSE," 38.96990","296.14710","BraA07000928","AT3G23280","XBAT35","hypothetical protein","-","-"
"BraA01004324",2.00806288001442,5.62211897790823,122.531110339867,9.66011884913273e-11,7.32263943499087e-09,FALSE," 28.26833","113.74375","BraA01004324","AT3G10770","AT3G10770","Single-stranded nucleic acid binding R3H protein","-","-"
"BraA04002650",1.91918667946937,4.77202627870994,122.131334232465,9.97559322160239e-11,7.33707030434992e-09,FALSE,"14.30886","54.17415","BraA04002650","AT2G36480","AT2G36480","pre-mRNA cleavage complex 2 Pcf11-like protein","-","-"
"BraA09001196",2.40587260302727,5.08743869773012,122.112156444247,9.99100565049258e-11,7.33707030434992e-09,FALSE,"17.45059","92.51040","BraA09001196","AT2G18090","AT2G18090","PHD finger family protein / SWIB complex BAF60b domain-containing protein / GYF domain-containing protein","-","-"
"BraA01003887",1.95865521203047,7.79894687867051,121.475781964184,1.05173954003327e-10,7.61803703906325e-09,FALSE,"128.1848","498.3036","BraA01003887","AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA03002440",2.59318879395391,5.13401895365708,119.627939386337,1.22242708599787e-10,8.58973318464577e-09,FALSE," 17.70448","106.88149","BraA03002440","AT2G44120","AT2G44120","Ribosomal protein L30/L7 family protein","-","-"
"BraA05004510",2.28171982932179,5.67412861863659,119.368655845024,1.24869350995658e-10,8.67326023026468e-09,FALSE," 24.92409","121.26020","BraA05004510","AT3G04560","AT3G04560","nucleolar/coiled-body phosphoprotein","-","-"
"BraA03004964",1.67916501710573,6.01551427823431,119.347680633952,1.2508450268552e-10,8.67326023026468e-09,FALSE," 41.72374","133.63544","BraA03004964","AT4G15900","PRL1","pleiotropic regulatory locus 1","-","YES"
"BraA09004304",1.79607027561298,6.01842952796118,119.137756553414,1.27260103499896e-10,8.74704816195791e-09,FALSE," 41.90892","145.56970","BraA09004304","AT1G22860","AT1G22860","Vacuolar sorting protein 39","-","-"
"BraA10000416",1.73604445462777,5.82032598855546,119.044187992071,1.28243038094441e-10,8.77628443307171e-09,FALSE," 35.88734","119.58436","BraA10000416","AT1G05380","AT1G05380","Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein","-","-"
"BraA08003854",1.91921728889965,6.57241715615558,118.83206094894,1.3050210285002e-10,8.78334261085023e-09,FALSE," 54.57227","206.43228","BraA08003854","AT1G06230","GTE4","global transcription factor group E4","-","-"
"BraA07003495",2.565898147648,4.82819409424005,118.257343057945,1.36842716959064e-10,9.12671341074432e-09,FALSE,"12.66976","75.08451","BraA07003495","AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA10002262",2.63148794403587,4.90984896493924,118.19837567026,1.37511968677323e-10,9.13265142186101e-09,FALSE,"13.44434","83.39045","BraA10002262","AT5G13970","AT5G13970","midasin-like protein","-","-"
"BraA06003214",1.70461102157259,4.77924745126534,117.977158386636,1.40054547040451e-10,9.26243096813742e-09,FALSE,"18.07114","58.91012","BraA06003214","AT5G64390","HEN4","RNA-binding KH domain-containing protein","-","-"
"BraA09004178",2.24410198227013,6.01195606880727,117.703714520117,1.43268200536211e-10,9.31835320842959e-09,FALSE," 33.27570","157.70953","BraA09004178","AT1G24120","ARL1","ARG1-like 1","-","-"
"BraA06004577",2.0223842160681,5.72404129862522,117.106537216945,1.50568538148861e-10,9.673260369237e-09,FALSE," 31.27663","127.10699","BraA06004577","AT2G01060","AT2G01060","myb-like HTH transcriptional regulator family protein","YES","-"
"BraA04001122",1.34766018662182,5.77127476184923,116.941357187141,1.5265846119916e-10,9.72811408613272e-09,FALSE," 39.77404","101.24502","BraA04001122","AT5G37720","ALY4","ALWAYS EARLY 4","-","-"
"BraA09005308",3.09803343616035,6.78469552957665,116.322223670493,1.60776941977591e-10,1.020414946261e-08,FALSE," 40.30357","345.19505","BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA07003137",2.44152931826816,5.62977185999954,115.67566220741,1.69758425829002e-10,1.06454088547749e-08,FALSE," 25.22583","137.08796","BraA07003137","AT1G67580","AT1G67580","Protein kinase superfamily protein","-","-"
"BraA03000872",1.64462983051425,6.93270620240551,114.991115427072,1.79865150822885e-10,1.11900295413131e-08,FALSE," 74.10904","231.73599","BraA03000872","AT5G17900","AT5G17900","microfibrillar-associated protein-like protein","-","-"
"BraA05002380",2.01345001906145,5.6995709372294,114.388472613713,1.89304887243634e-10,1.14442053054028e-08,FALSE," 25.24965","102.00122","BraA05002380","AT3G48110","EDD1","glycine-tRNA ligase","-","-"
"BraA09002488",1.83241685112174,7.44627917090628,113.855076196452,1.98109870212948e-10,1.17592574224148e-08,FALSE," 99.43417","354.15626","BraA09002488","AT2G02470","AL6","alfin-like 6","-","-"
"BraA05004019",2.02439817799462,5.82118191774571,113.804731291904,1.98963628224736e-10,1.17592574224148e-08,FALSE," 31.07039","126.43477","BraA05004019","AT3G10730","SUN2","SAD1/UNC-84 domain protein 2","-","-"
"BraA07003320",2.67125634672338,7.11051689053182,113.774743707498,1.99474061739818e-10,1.17592574224148e-08,FALSE," 59.91284","381.70861","BraA07003320","AT1G14400","UBC1","ubiquitin carrier protein 1","-","YES"
"BraA03002359",2.39088867186854,5.95577147485471,112.514711641937,2.22262186096425e-10,1.26753869897019e-08,FALSE," 28.10603","147.47167","BraA03002359","AT2G42780","AT2G42780","transcription elongation factor B polypeptide","-","-"
"BraA09000797",2.44512448083877,6.59498607023574,112.265542300604,2.27095094095688e-10,1.28578301477199e-08,FALSE," 45.42635","247.47496","BraA09000797","AT5G62810","PEX14","peroxin 14","-","-"
"BraA09006863",1.70353662283132,6.46236676471183,111.631286663384,2.39920054176004e-10,1.34389382659441e-08,FALSE," 58.30273","189.89496","BraA09006863","AT1G04300","AT1G04300","TRAF-like superfamily protein","-","YES"
"BraA06002456",1.66477295745872,6.60694059198802,111.589910170448,2.40783622856071e-10,1.34394830629594e-08,FALSE," 65.86608","208.85224","BraA06002456","AT3G48860","AT3G48860","coiled-coil protein","-","-"
"BraA01002210",2.49588011903846,5.95777148245235,111.467179635176,2.43365053253261e-10,1.35355686862415e-08,FALSE," 27.39220","154.55028","BraA01002210","AT4G16430","AT4G16430","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06003335",2.13712449652721,4.3104775769731,110.598096734079,2.62528048096227e-10,1.42982404049641e-08,FALSE,"11.352068","49.958202","BraA06003335","AT5G65540","AT5G65540","transcription initiation factor TFIID subunit","-","-"
"BraA06001207",1.44800840721264,4.5330344896078,110.437468939265,2.66246124577278e-10,1.44010790407091e-08,FALSE,"16.06427","43.85319","BraA06001207","AT1G08370","DCP1","decapping 1","-","-"
"BraA05002514",1.95965423138675,4.66974295756857,109.750116368429,2.82815125538581e-10,1.5192867153506e-08,FALSE,"14.93304","58.12330","BraA05002514","AT3G22590","PHP","PLANT HOMOLOGOUS TO PARAFIBROMIN","-","-"
"BraA07002149",2.80618030853507,5.74607409444725,109.354044690389,2.92868838297514e-10,1.56794405265404e-08,FALSE," 21.53195","150.64862","BraA07002149","AT3G58490","SPP1","Phosphatidic acid phosphatase (PAP2) family protein","-","-"
"BraA10002837",2.02462502016848,5.88007791640671,108.842275298781,3.06438353816876e-10,1.62950665171542e-08,FALSE," 34.21145","139.25135","BraA10002837","AT5G23150","HUA2","Tudor/PWWP/MBT domain-containing protein","-","-"
"BraA01002675",2.35288250607305,6.17660769000039,108.696745412581,3.10420681455754e-10,1.63853622788432e-08,FALSE," 36.30656","185.54523","BraA01002675","AT3G46510","PUB13","plant U-box 13","-","-"
"BraA01001623",1.84066683039285,5.92895726807496,108.628755183461,3.12300424628524e-10,1.63853622788432e-08,FALSE," 35.48739","127.16414","BraA01001623","AT4G24520","ATR1","P450 reductase 1","-","YES"
"BraA10002642",2.57234440234798,4.76654008616598,107.785724515414,3.36663870114087e-10,1.73172853450841e-08,FALSE,"12.27559","73.09366","BraA10002642","AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA10000200",1.62591184735406,5.59987887298431,107.717533788097,3.38722967324322e-10,1.73603078505506e-08,FALSE," 33.13781","102.28363","BraA10000200","AT1G03365","AT1G03365","RING/U-box superfamily protein","-","-"
"BraA06001302",3.01556872808613,8.95925991543334,107.685132537243,3.39706151078118e-10,1.73603078505506e-08,FALSE," 182.61980","1476.90145","BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA01001803",2.49683752696969,4.8245438105418,106.942424617472,3.63114577527165e-10,1.81516516677484e-08,FALSE,"13.49413","76.24816","BraA01001803","AT4G26400","AT4G26400","RING/U-box superfamily protein","-","-"
"BraA03005093",3.74799138666842,5.04706308564907,106.295650646895,3.84930209495677e-10,1.8993108142514e-08,FALSE,"  7.757158","104.257983","BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA09006915",2.34380463141472,5.58174527263083,105.956615223716,3.96931265010325e-10,1.93286913089863e-08,FALSE," 23.76288","120.66868","BraA09006915","AT1G03140","AT1G03140","splicing factor Prp18 family protein","-","-"
"BraA09003573",2.68096255346343,4.40470226775047,105.918548020244,3.98303929832276e-10,1.93286913089863e-08,FALSE," 7.755183","49.800769","BraA09003573","AT1G31830","PUT2","Amino acid permease family protein","-","-"
"BraA08002185",1.95727697588965,4.45016050266238,105.839161237623,4.01183155287784e-10,1.93700087859807e-08,FALSE,"10.98998","42.73768","BraA08002185","AT4G26780","AR192","Co-chaperone GrpE family protein","-","-"
"BraA02002760",3.77887947884679,5.83168107621139,105.791428132171,4.02925233026455e-10,1.93738439319003e-08,FALSE," 13.76487","189.13086","BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA01004074",1.3997557177395,5.73268457175659,105.624341973725,4.09088268970262e-10,1.95122707684604e-08,FALSE," 39.07788","103.11092","BraA01004074","AT3G14010","CID4","CTC-interacting domain 4","-","-"
"BraA06001007",2.14038164429327,3.79512220951706,105.360999325536,4.1901062855604e-10,1.98163993763254e-08,FALSE," 7.388528","32.594706","BraA06001007","AT1G49590","AT1G49590","C2H2 and C2HC zinc fingers superfamily protein","-","-"
"BraA06001997",4.18158038492335,7.13416509406168,105.13975903617,4.27548819948923e-10,2.00286262678454e-08,FALSE," 26.08042","473.50061","BraA06001997","AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA05002388",2.72622856104833,4.24597405098162,104.742852067917,4.4334389566571e-10,2.05242144640537e-08,FALSE," 8.161251","54.104034","BraA05002388","AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA01001004",2.54491272109754,5.51147848220242,104.495705641546,4.53498700006414e-10,2.05860552383987e-08,FALSE," 19.29182","112.64289","BraA01001004","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA03002557",2.1284504406969,3.7779031603435,104.457440578467,4.55093405273415e-10,2.05860552383987e-08,FALSE," 7.596097","33.228743","BraA03002557","AT2G46800","ZAT","zinc transporter","-","-"
"BraA09006272",2.87839964193901,3.99251895355027,104.231946505855,4.64615510529425e-10,2.08509075427644e-08,FALSE," 5.921567","43.634545","BraA09006272","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-"
"BraA05002550",1.64799638109273,5.80980447577288,104.218722629006,4.65180603708362e-10,2.08509075427644e-08,FALSE," 37.66761","118.07126","BraA05002550","AT3G22270","AT3G22270","Topoisomerase II-associated protein PAT1","-","-"
"BraA05001344",2.03463543324326,6.55168309486814,104.192475518085,4.66304428802898e-10,2.08509075427644e-08,FALSE," 54.73258","224.31055","BraA05001344","AT2G32260","CCT1","phosphorylcholine cytidylyltransferase","-","-"
"BraA01003715",2.13575528524686,3.79588819378979,104.16179067817,4.67622005247512e-10,2.08509075427644e-08,FALSE," 6.423478","28.281897","BraA01003715","AT5G57030","LUT2","Lycopene beta/epsilon cyclase protein","-","YES"
"BraA08002510",2.2456485250541,4.64407611003312,104.09233074969,4.70619507934232e-10,2.08663409996755e-08,FALSE,"13.55220","64.35165","BraA08002510","AT4G38800","MTN1","methylthioadenosine nucleosidase 1","-","-"
"BraA08001524",1.51430418847234,5.59594429028048,103.85054728286,4.81217410929816e-10,2.11574358883668e-08,FALSE," 31.30880"," 89.46519","BraA08001524","AT5G53400","BOB1","HSP20-like chaperones superfamily protein","-","YES"
"BraA09001507",1.81436162184555,5.29805893821514,103.429702583627,5.00287520828862e-10,2.18736821606841e-08,FALSE,"24.40735","85.86965","BraA09001507","AT1G58030","CAT2","cationic amino acid transporter 2","-","-"
"BraA07002537",2.00417893374592,4.16761293708037,102.879918251794,5.26447196873695e-10,2.27645024142636e-08,FALSE," 9.420413","37.822158","BraA07002537","AT1G77540","AT1G77540","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA06000360",1.88168791669718,5.77855116429944,102.583181981662,5.41180853739355e-10,2.32063297644963e-08,FALSE," 32.40928","119.44820","BraA06000360","AT5G43720","AT5G43720","rRNA-processing EFG1-like protein (DUF2361)","-","-"
"BraA06003545",2.87998465709222,6.43810707131873,102.320564487345,5.54594490121363e-10,2.36025402376162e-08,FALSE," 30.92697","227.76572","BraA06003545","AT5G23590","AT5G23590","DNAJ heat shock N-terminal domain-containing protein","-","-"
"BraA08002129",2.09985651114405,6.68279033462175,102.195365289916,5.6111600859664e-10,2.37418440196535e-08,FALSE," 54.43258","233.36673","BraA08002129","AT4G28260","AT4G28260","acyl-UDP-N-acetylglucosamine O-acyltransferase","-","-"
"BraA04001691",1.57393736508852,5.73660278951848,101.972874956281,5.72911834795773e-10,2.39830645736316e-08,FALSE," 35.55590","105.88214","BraA04001691","AT2G23070","AT2G23070","Protein kinase superfamily protein","-","-"
"BraA07002276",3.02121383334845,4.48588908008422,101.568128307205,5.95067023132681e-10,2.45836087771874e-08,FALSE," 7.963461","64.685361","BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA10001873",2.01673310677905,4.08479094081437,101.46645784144,6.00777405424256e-10,2.4591355379517e-08,FALSE," 9.743171","39.487549","BraA10001873","AT5G18940","AT5G18940","Mo25 family protein","-","-"
"BraA07000242",1.95491430459947,5.7826619833761,101.371036709517,6.0619097123587e-10,2.4591355379517e-08,FALSE," 31.15717","120.84957","BraA07000242","AT2G18250","COAD","4-phosphopantetheine adenylyltransferase","-","YES"
"BraA08000821",2.48513430238477,4.5863279429414,101.276341811827,6.116157600249e-10,2.4637112873194e-08,FALSE,"11.78309","66.01611","BraA08000821","AT1G33050","AT1G33050","hypothetical protein","-","-"
"BraA02003739",1.2986762925673,3.8824541871043,100.976549879573,6.29140606369686e-10,2.50700585930604e-08,FALSE,"10.58850","26.06401","BraA02003739","AT3G27700","AT3G27700","zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein","-","-"
"BraA03005909",2.64932228261573,8.04268726173098,100.856366253325,6.36318667712567e-10,2.51885264143524e-08,FALSE,"124.20583","779.27518","BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA01001245",1.54861397461781,6.8814307565248,100.824226215552,6.38253298602602e-10,2.51885264143524e-08,FALSE," 83.31661","243.75087","BraA01001245","AT4G20850","TPP2","tripeptidyl peptidase ii","-","-"
"BraA09005643",3.44325104932199,7.17539838424336,100.819890972306,6.38514742015667e-10,2.51885264143524e-08,FALSE," 47.93984","521.59238","BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA08003167",3.14092580994048,3.12534429821024,100.537552649793,6.5579467658775e-10,2.5657674020122e-08,FALSE," 2.703964","23.940400","BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA06004628",2.17358169966963,4.60359290256681,100.190865445449,6.77711084659344e-10,2.6338697463057e-08,FALSE,"12.34165","55.69063","BraA06004628","AT5G47180","AT5G47180","Plant VAMP (vesicle-associated membrane protein) family protein","-","-"
"BraA09006430",2.69229783150752,5.60763184971025,100.161098316084,6.79629621458265e-10,2.63482025658943e-08,FALSE," 21.24761","137.40851","BraA09006430","AT1G12360","KEU","Sec1/munc18-like (SM) proteins superfamily","-","-"
