"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.D_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07001630",-2.62593442454829,4.6698964572499,154.83581063912,9.30150585434546e-12,4.49097245850913e-10,FALSE,"70.103388","11.351232","BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA08001524",-1.60274064665518,5.59594429028048,154.266463705263,9.65611189642202e-12,4.6056727651419e-10,FALSE,"100.81647"," 33.19564","BraA08001524","AT5G53400","BOB1","HSP20-like chaperones superfamily protein","-","YES"
"BraA02003047",-2.73730753325698,5.1888707652565,153.469666822121,1.01772630867617e-11,4.82500364414544e-10,FALSE," 87.72381"," 13.14468","BraA02003047","AT4G12400","Hop3","stress-inducible protein","-","-"
"BraA09000797",-2.47638010309409,6.59498607023574,153.001347997456,1.04977692960856e-11,4.91770502144008e-10,FALSE,"252.69891"," 45.40739","BraA09000797","AT5G62810","PEX14","peroxin 14","-","-"
"BraA04002500",-2.06973145480369,5.94986457190021,150.852571796712,1.21156951676135e-11,5.47991499822519e-10,FALSE,"134.85475"," 32.13032","BraA04002500","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA05004538",-2.28984995640431,5.70463589735487,150.627173877162,1.23005074541287e-11,5.5475641068191e-10,FALSE,"120.67422"," 24.67268","BraA05004538","AT3G03880","AT3G03880","sterol O-acyltransferase, putative (DUF1639)","-","-"
"BraA07001790",-1.56331927470382,7.0823910640279,150.258193027048,1.26096918570729e-11,5.65460255926861e-10,FALSE,"257.13196"," 86.99473","BraA07001790","AT2G26990","FUS12","proteasome family protein","-","-"
"BraA07003495",-2.49313650943965,4.82819409424005,148.930331535065,1.37941812229606e-11,6.04792235235097e-10,FALSE,"70.79896","12.57503","BraA07003495","AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA09005163",-2.36846663814991,4.34940851519539,148.38450738874,1.43156627379959e-11,6.18707059664864e-10,FALSE,"51.452837"," 9.964094","BraA09005163","AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-"
"BraA07000520",-3.67572168582938,6.05775453051384,147.470026795011,1.52379888647386e-11,6.49100200172985e-10,FALSE,"202.898116"," 15.871958","BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA09006467",-1.83919864789137,4.85050100912624,146.58330929359,1.61942437741519e-11,6.76120416459285e-10,FALSE,"64.95843","18.14315","BraA09006467","AT1G11890","SEC22","Synaptobrevin family protein","-","-"
"BraA08002185",-1.99328997505978,4.45016050266238,146.453024340655,1.63401549616281e-11,6.80407510836047e-10,FALSE,"52.97698","13.29470","BraA08002185","AT4G26780","AR192","Co-chaperone GrpE family protein","-","-"
"BraA03003103",-1.57051029823194,6.08473860152338,145.094294924731,1.79499158641099e-11,7.28174421910025e-10,FALSE,"134.16987"," 45.17645","BraA03003103","AT4G02080","SAR2","secretion-associated RAS super family 2","-","-"
"BraA09004695",-2.05050805727818,5.53870984500409,145.039323943971,1.80185697838969e-11,7.29080432901123e-10,FALSE,"102.28377"," 24.68850","BraA09004695","AT3G53030","SRPK4","ser/arg-rich protein kinase 4","-","-"
"BraA10002642",-2.57722916050587,4.76654008616598,143.235040921695,2.04381512082053e-11,7.95083701160656e-10,FALSE,"68.96903","11.56270","BraA10002642","AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA09000394",-3.2850213740534,4.12027484099641,142.744779403233,2.11550359444681e-11,8.08204528558078e-10,FALSE,"41.263507"," 4.226742","BraA09000394","AT3G29100","VTI13","vesicle transport V-snare 13","-","-"
"BraA08003387",-2.28346033688771,6.00453946576054,141.549462754285,2.3019994980227e-11,8.66829476049696e-10,FALSE,"161.96519"," 33.24377","BraA08003387","AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA03006138",-1.70520582009214,6.43297133002939,141.240343114025,2.35308492975266e-11,8.80214440027409e-10,FALSE,"178.57250"," 54.75183","BraA03006138","AT4G32610","AT4G32610","copper ion binding protein","-","-"
"BraA03002359",-2.31284067400504,5.95577147485471,141.052097723408,2.38479693762675e-11,8.85299617883139e-10,FALSE,"149.82356"," 30.14774","BraA03002359","AT2G42780","AT2G42780","transcription elongation factor B polypeptide","-","-"
"BraA06000263",-1.76980350078368,5.36930734154813,140.679480346503,2.44894595067884e-11,9.04845287879929e-10,FALSE,"86.00990","25.20441","BraA06000263","AT5G45190","AT5G45190","Cyclin family protein","-","YES"
"BraA05001344",-2.04768827285456,6.55168309486814,140.298679696104,2.51644517300858e-11,9.25440351008297e-10,FALSE,"208.98095"," 50.53962","BraA05001344","AT2G32260","CCT1","phosphorylcholine cytidylyltransferase","-","-"
"BraA04002996",-3.04023247571609,8.45776794572992,140.227606339658,2.52926572283089e-11,9.27987004134223e-10,FALSE,"1220.74728"," 148.38963","BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA03000872",-1.5608537961786,6.93270620240551,138.758691344901,2.81076995680368e-11,1.00741534514071e-09,FALSE,"250.79913"," 84.99152","BraA03000872","AT5G17900","AT5G17900","microfibrillar-associated protein-like protein","-","-"
"BraA09002834",-2.56814118215496,4.55623373544997,138.732173636306,2.81615471322688e-11,1.00741534514071e-09,FALSE,"64.188959","10.821729","BraA09002834","AT4G09830","AT4G09830","nuclear receptor family 2 group C protein","-","-"
"BraA07003886",-3.16487677593505,7.82275950492283,138.17237805351,2.93248354420146e-11,1.04192530441831e-09,FALSE,"646.02118"," 72.02107","BraA07003886","AT1G76490","HMG1","hydroxy methylglutaryl CoA reductase 1","-","YES"
"BraA05002303",-2.15092055957487,7.40950254628089,138.085895958809,2.95091587713366e-11,1.04611297085774e-09,FALSE,"402.06688"," 90.51542","BraA05002303","AT1G33520","MOS2","D111/G-patch domain-containing protein","-","-"
"BraA09004419",-1.77737676736504,6.20710187854684,137.374243701369,3.10746076163657e-11,1.09177304437856e-09,FALSE,"149.40210"," 43.57416","BraA09004419","AT3G50000","CKA2","casein kinase II, alpha chain 2","-","-"
"BraA09002488",-1.72629702842492,7.44627917090628,135.626294959748,3.53160675678185e-11,1.21902391122251e-09,FALSE,"380.19429","114.90329","BraA09002488","AT2G02470","AL6","alfin-like 6","-","-"
"BraA01001803",-2.43121484486882,4.8245438105418,135.164415336953,3.65391347406989e-11,1.25299777956122e-09,FALSE,"71.81821","13.31975","BraA01001803","AT4G26400","AT4G26400","RING/U-box superfamily protein","-","-"
"BraA02003289",-2.42366349889572,5.68338114647477,134.593473101716,3.8114981452759e-11,1.29854936810915e-09,FALSE,"129.00872"," 24.02876","BraA02003289","AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA08001833",-3.31032313966778,5.11139774675753,134.503527294703,3.83699007375355e-11,1.3044108803646e-09,FALSE," 98.986628","  9.974778","BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA03006213",-2.08196114179481,7.41329405723801,134.446379353767,3.85328279106054e-11,1.307126533002e-09,FALSE,"409.52265"," 96.70571","BraA03006213","AT4G33740","AT4G33740","myb-like protein X","-","-"
"BraA04000569",-1.82820064620532,6.83897768681243,134.019276018086,3.97745483482329e-11,1.33486437313686e-09,FALSE,"243.76691"," 68.64865","BraA04000569","AT3G54300","VAMP727","vesicle-associated membrane protein 727","-","-"
"BraA07000905",-3.69694084191722,6.67377805132086,133.572307175257,4.11207230386166e-11,1.37710676729325e-09,FALSE,"351.72032"," 27.10753","BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA01001623",-1.76112965508028,5.92895726807496,133.323463302713,4.18915708794957e-11,1.39697738483742e-09,FALSE,"141.22728"," 41.67249","BraA01001623","AT4G24520","ATR1","P450 reductase 1","-","YES"
"BraA04003105",-2.06306419767498,7.72527055464509,132.326121491837,4.51423535554317e-11,1.4927324474002e-09,FALSE,"459.8016","110.0276","BraA04003105","AT2G43160","AT2G43160","ENTH/VHS family protein","-","-"
"BraA03004556",-2.59456599998484,5.64528341709063,131.512011673132,4.79992560542461e-11,1.56300822582192e-09,FALSE,"123.83266"," 20.50074","BraA03004556","AT2G15910","AT2G15910","CSL zinc finger domain-containing protein","-","-"
"BraA08002778",-2.29100823441047,5.15256324087675,131.389860800451,4.84445992794105e-11,1.56896706308214e-09,FALSE,"80.40679","16.41497","BraA08002778","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA05002550",-1.59868065989401,5.80980447577288,130.773639423847,5.07607476984909e-11,1.62815087548594e-09,FALSE,"110.34710"," 36.44029","BraA05002550","AT3G22270","AT3G22270","Topoisomerase II-associated protein PAT1","-","-"
"BraA01004496",-1.33574376955362,5.35438473820681,130.766259548725,5.07892045656669e-11,1.62815087548594e-09,FALSE,"73.73175","29.21337","BraA01004496","AT3G06670","AT3G06670","binding protein","-","-"
"BraA04001122",-1.23177208703504,5.77127476184923,130.60761299024,5.14051564414778e-11,1.64454707802614e-09,FALSE," 93.45378"," 39.79038","BraA04001122","AT5G37720","ALY4","ALWAYS EARLY 4","-","-"
"BraA09004665",-1.83295436405487,6.68763361008101,129.152981943954,5.74465885538915e-11,1.79183673858105e-09,FALSE,"199.27923"," 55.92304","BraA09004665","AT3G52660","AT3G52660","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA05004019",-1.85074475140027,5.82118191774571,128.139997550885,6.21076690117584e-11,1.89086017455527e-09,FALSE,"123.20215"," 34.15380","BraA05004019","AT3G10730","SUN2","SAD1/UNC-84 domain protein 2","-","-"
"BraA07000242",-1.90037095855534,5.7826619833761,128.020366755241,6.2684702512677e-11,1.9040549443545e-09,FALSE,"122.78169"," 32.89837","BraA07000242","AT2G18250","COAD","4-phosphopantetheine adenylyltransferase","-","YES"
"BraA10000416",-1.54941132704481,5.82032598855546,127.45947670554,6.54688969978501e-11,1.97032588670394e-09,FALSE,"107.32140"," 36.65925","BraA10000416","AT1G05380","AT1G05380","Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein","-","-"
"BraA06000360",-1.81408475206123,5.77855116429944,127.365590035647,6.59479267278148e-11,1.97974822126254e-09,FALSE,"114.58976"," 32.56707","BraA06000360","AT5G43720","AT5G43720","rRNA-processing EFG1-like protein (DUF2361)","-","-"
"BraA08002505",-2.03205256193255,3.62868748060632,126.401155703524,7.10952031938481e-11,2.09950937761945e-09,FALSE,"28.068576"," 6.856963","BraA08002505","AT4G38910","BPC5","basic pentacysteine 5","YES","-"
"BraA04000401",-1.82840381352741,7.16561483673399,124.757379105665,8.09025659351424e-11,2.34945828010912e-09,FALSE,"286.20909"," 80.58857","BraA04000401","AT3G56680","AT3G56680","Single-stranded nucleic acid binding R3H protein","-","-"
"BraA09006605",-1.57740711827188,5.71748962247502,124.665515102962,8.14924262798074e-11,2.36222981518263e-09,FALSE,"103.69659"," 34.72932","BraA09006605","AT1G09320","AT1G09320","agenet domain-containing protein","-","-"
"BraA09000095",-1.94555483535784,8.94032964599429,124.623805005255,8.17617881282871e-11,2.36568114915301e-09,FALSE,"1106.6464"," 287.2957","BraA09000095","AT4G01000","AT4G01000","Ubiquitin-like superfamily protein","-","-"
"BraA05000394",-2.07633964302844,4.84251574341857,124.389578123358,8.32924908932987e-11,2.39331733049478e-09,FALSE,"64.83667","15.36782","BraA05000394","AT1G54380","AT1G54380","spliceosome protein-like protein","-","-"
"BraA03003581",-2.94822821487899,4.72548741503224,124.317372288498,8.37706207379905e-11,2.40172963645896e-09,FALSE,"75.610882"," 9.777510","BraA03003581","AT3G07880","SCN1","Immunoglobulin E-set superfamily protein","-","-"
"BraA08002129",-1.99652307916571,6.68279033462175,123.934716053474,8.63547508782109e-11,2.43823516919359e-09,FALSE,"227.36061"," 56.97120","BraA08002129","AT4G28260","AT4G28260","acyl-UDP-N-acetylglucosamine O-acyltransferase","-","-"
"BraA05004510",-1.99193316248756,5.67412861863659,123.818304812357,8.71579720877637e-11,2.44976157260965e-09,FALSE,"121.52635"," 30.56102","BraA05004510","AT3G04560","AT3G04560","nucleolar/coiled-body phosphoprotein","-","-"
"BraA10002837",-1.85874538307583,5.88007791640671,123.257310088347,9.1144229215949e-11,2.54815305125939e-09,FALSE,"121.86351"," 33.59588","BraA10002837","AT5G23150","HUA2","Tudor/PWWP/MBT domain-containing protein","-","-"
"BraA06001483",-1.98988782631488,5.62413240145452,122.876400215354,9.39635404075942e-11,2.61304969260695e-09,FALSE,"105.50577"," 26.54662","BraA06001483","AT1G11480","AT1G11480","eukaryotic translation initiation factor-like protein","-","-"
"BraA01003887",-1.69082568055272,7.79894687867051,122.742203283337,9.49792512219732e-11,2.63199544759482e-09,FALSE,"478.9720","148.3605","BraA01003887","AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA03001683",-3.76372694503726,6.73335552499583,122.514304575206,9.67316028887956e-11,2.66181019138049e-09,FALSE,"321.03378"," 23.63748","BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA10002262",-2.28954820079258,4.90984896493924,122.112685025287,9.99058050438711e-11,2.72959407611078e-09,FALSE,"73.97452","15.13077","BraA10002262","AT5G13970","AT5G13970","midasin-like protein","-","-"
"BraA09000856",-2.30451978825596,5.75333696909003,122.093282217043,1.00061993768483e-10,2.72959407611078e-09,FALSE,"122.85311"," 24.84285","BraA09000856","AT5G63860","UVR8","Regulator of chromosome condensation (RCC1) family protein","-","YES"
"BraA04000074",-1.63479716263187,5.86685583568955,121.533890327036,1.0468101980998e-10,2.84573273196732e-09,FALSE,"116.53176"," 37.53752","BraA04000074","AT3G62290","ARFA1E","ADP-ribosylation factor A1E","-","-"
"BraA09006975",-7.11215534291982,6.22321497600425,121.121334833707,1.08235867644642e-10,2.92218277311605e-09,FALSE,"188.4547347","  1.3484011","BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA01002210",-2.22972014212214,5.95777148245235,120.97188539675,1.09555798851816e-10,2.93766315830935e-09,FALSE,"152.62311"," 32.53580","BraA01002210","AT4G16430","AT4G16430","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06003767",-2.7444903877522,4.90363045445795,120.767945895266,1.11385271263826e-10,2.98163974437521e-09,FALSE,"76.607782","11.412767","BraA06003767","AT5G26230","MAKR1","membrane-associated kinase regulator","-","-"
"BraA09005308",-2.68337574351565,6.78469552957665,120.354917824824,1.1519289355938e-10,3.04327828125646e-09,FALSE,"289.59567"," 45.08112","BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA06002912",-2.26552110366204,6.73669791724269,119.661419763857,1.21907938157849e-10,3.1821408733077e-09,FALSE,"246.93471"," 51.36150","BraA06002912","AT3G49490","AT3G49490","hypothetical protein","-","-"
"BraA09006863",-1.51921557041749,6.46236676471183,119.361757130557,1.2494006965753e-10,3.24514306338206e-09,FALSE,"161.87157"," 56.47152","BraA09006863","AT1G04300","AT1G04300","TRAF-like superfamily protein","-","YES"
"BraA08003166",-11.1106020629779,2.51150046584934,182.395936216296,1.34790935876856e-10,3.47804808311757e-09,FALSE,"26.86990426"," 0.00000000","BraA08003166","AT1G20900","ESC","Putative AT-hook DNA-binding family protein","-","YES"
"BraA04001691",-1.46556181309416,5.73660278951848,118.399820899966,1.35240217760565e-10,3.47823697312302e-09,FALSE,"104.23448"," 37.73430","BraA04001691","AT2G23070","AT2G23070","Protein kinase superfamily protein","-","-"
"BraA06001207",-1.29526797976369,4.5330344896078,118.05383769605,1.39167491385933e-10,3.55600051041328e-09,FALSE,"40.21375","16.38173","BraA06001207","AT1G08370","DCP1","decapping 1","-","-"
"BraA03002883",-2.12623796052189,4.33449108837303,117.913486136124,1.40795799884767e-10,3.57507439936597e-09,FALSE,"40.235915"," 9.203408","BraA03002883","AT4G10610","CID12","CTC-interacting domain 12","-","-"
"BraA07002276",-2.79547406450325,4.48588908008422,117.911846844478,1.40814940197318e-10,3.57507439936597e-09,FALSE,"62.915352"," 9.061513","BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA10003020",-2.09731575397467,5.15221800679782,117.872204198055,1.41278668041885e-10,3.5803090663324e-09,FALSE,"84.13916","19.66504","BraA10003020","AT5G03970","AT5G03970","F-box associated ubiquitination effector family protein","-","-"
"BraA06001664",-3.09420822098545,8.88445785364537,117.70804004989,1.43216745580408e-10,3.59526567055122e-09,FALSE,"1357.6641"," 158.9618","BraA06001664","AT1G14740","TTA1","class I heat shock protein, putative (DUF1423)","-","-"
"BraA02002760",-3.39075212361804,5.83168107621139,117.479038660316,1.45968673441955e-10,3.65269780600377e-09,FALSE,"167.36961"," 15.94416","BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA09006915",-2.12073740714758,5.58174527263083,117.343350798767,1.47626306525554e-10,3.68151873337193e-09,FALSE,"113.57026"," 26.10552","BraA09006915","AT1G03140","AT1G03140","splicing factor Prp18 family protein","-","-"
"BraA01004530",-2.17705199931986,5.01855972015513,116.613578683365,1.56899557468412e-10,3.85874849148875e-09,FALSE,"76.49244","16.91328","BraA01004530","AT3G07290","AT3G07290","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA08001963",-1.95496942132345,5.95735484878341,116.388290556161,1.59888679387339e-10,3.9131352701312e-09,FALSE,"144.44449"," 37.24070","BraA08001963","AT4G29940","PRHA","pathogenesis related homeodomain protein A","YES","-"
"BraA04000473",-1.78092873702643,7.63067932600217,116.3842725137,1.59942549045556e-10,3.9131352701312e-09,FALSE,"415.0532","120.7844","BraA04000473","AT3G55460","SCL30","SC35-like splicing factor 30","-","-"
"BraA08003995",-1.54818197992182,7.08001531697405,116.35363015582,1.6035401837577e-10,3.9131352701312e-09,FALSE,"267.75965"," 91.55143","BraA08003995","AT1G03140","AT1G03140","splicing factor Prp18 family protein","-","-"
"BraA05000435",-1.55945048766286,6.53189626450453,116.321355912858,1.60788644496247e-10,3.91766759190547e-09,FALSE,"178.27910"," 60.48836","BraA05000435","AT2G43070","SPPL3","SIGNAL PEPTIDE PEPTIDASE-LIKE 3","-","-"
"BraA01000674",-1.98597321865356,4.39771195885338,116.017071640843,1.64949818549415e-10,4.00380866780468e-09,FALSE,"47.91563","12.09148","BraA01000674","AT4G31720","TAFII15","TBP-associated factor II 15","-","-"
"BraA03000503",-3.82463832118267,7.61820441753417,115.865706477632,1.6706322456921e-10,4.03309072809718e-09,FALSE,"676.39083"," 47.72301","BraA03000503","AT5G11520","ASP3","aspartate aminotransferase 3","-","YES"
"BraA01003986",-3.13889472555581,4.10919984966978,115.611323435343,1.70681547895308e-10,4.09531640834168e-09,FALSE,"50.954429"," 5.778061","BraA01003986","AT3G15358","AT3G15358","transmembrane protein","-","-"
"BraA08000821",-2.29051442653149,4.5863279429414,115.366225210878,1.74248450330406e-10,4.1565727275498e-09,FALSE,"54.69703","11.18137","BraA08000821","AT1G33050","AT1G33050","hypothetical protein","-","-"
"BraA07000928",-2.40057304032853,6.63610292893446,115.363344517148,1.74290851345799e-10,4.1565727275498e-09,FALSE,"247.96053"," 46.96805","BraA07000928","AT3G23280","XBAT35","hypothetical protein","-","-"
"BraA07000758",-2.04573257691646,5.59409012505507,115.289640847921,1.75379518407697e-10,4.17307739579825e-09,FALSE,"106.23486"," 25.73874","BraA07000758","AT3G24800","PRT1","proteolysis 1","-","-"
