"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.D_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03002180",2.54355867039224,7.86470082831801,355.69927985877,1.39347423094876e-15,1.57302850976759e-12,FALSE," 50.61252","294.94969","BraA03002180","AT2G39190","ATATH8","Protein kinase superfamily protein","-","-"
"BraA01002230",2.59038069939337,6.72304219076014,353.675745576585,1.48312217686942e-15,1.57302850976759e-12,FALSE," 26.2507","157.9030","BraA01002230","AT1G54350","ABCD2","ABC transporter family protein","-","-"
"BraA04002623",3.04372306224938,6.75708713247123,351.284445644609,1.59721999747016e-15,1.57302850976759e-12,FALSE," 19.18909","158.31768","BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA06002613",6.14883096222119,5.87198419318427,351.076923482553,1.60756217254289e-15,1.57302850976759e-12,FALSE,"  1.384731"," 95.141109","BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA09001106",6.77705390186752,10.6070830398973,350.580451155592,1.6326009628464e-15,1.57302850976759e-12,FALSE,"  24.17015","2645.23405","BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA06004803",2.6001309652172,6.92550053706201,349.303846158537,1.69895074117211e-15,1.57302850976759e-12,FALSE," 24.98322","151.35844","BraA06004803","AT5G44650","CEST","death domain associated protein","-","-"
"BraA03000987",3.32213483561433,5.37464466565348,347.352141306756,1.80611683288893e-15,1.57934883053732e-12,FALSE," 7.353292","73.500848","BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA03000453",3.14410029632957,6.77050808726292,339.860342539666,2.29106741687986e-15,1.89796848114153e-12,FALSE," 18.92097","166.88692","BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA08003464",6.69161153418166,7.98803974367136,336.018879802063,2.59318469329431e-15,2.04083635362262e-12,FALSE,"  3.497761","359.119120","BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA07002023",5.93023070741233,6.99670285120533,333.464288643014,2.81791642385261e-15,2.11209545292572e-12,FALSE,"  3.367264","204.390282","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA06000973",3.58215851657228,5.89360066781633,332.00053946682,2.95615307670571e-15,2.11499315578854e-12,FALSE,"  7.590754"," 90.570549","BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA03005881",4.78258698136965,4.25186482643815,329.934474081375,3.16395982515753e-15,2.16524902817302e-12,FALSE," 1.353421","36.378669","BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA04003076",6.06840564556528,9.04005405928589,326.674950001611,3.52477814945656e-15,2.31166700301859e-12,FALSE," 13.52704","905.05674","BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA01000670",2.59012476007587,5.70341239839435,322.358700323732,4.07302032460259e-15,2.56437359636979e-12,FALSE,"11.21935","67.55569","BraA01000670","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-"
"BraA10002909",5.32396281998138,7.84565199032383,318.892344775858,4.58047805398418e-15,2.58157772150579e-12,FALSE,"  9.120594","362.739269","BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA06003059",2.63175046701192,5.49983334862175,318.250678692248,4.68174012521004e-15,2.58157772150579e-12,FALSE,"10.61382","65.60520","BraA06003059","AT5G62840","AT5G62840","Phosphoglycerate mutase family protein","-","YES"
"BraA10003025",2.69432514755773,5.59626246065255,317.272357850968,4.84083979243716e-15,2.58157772150579e-12,FALSE,"10.269499","66.187606","BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA08002692",2.55673635950156,7.61790620058872,316.001020370728,5.05642588249115e-15,2.58157772150579e-12,FALSE," 49.51358","291.44169","BraA08002692","AT4G14210","PDS3","phytoene desaturase 3","-","-"
"BraA03006568",2.19111240828927,7.71171409366734,315.790521262183,5.09311678878417e-15,2.58157772150579e-12,FALSE," 65.16561","297.50260","BraA03006568","AT5G42310","AT5G42310","Pentatricopeptide repeat (PPR-like) superfamily protein","-","-"
"BraA01000119",5.54229160743108,9.39944309652242,314.923223304515,5.24736982464018e-15,2.58157772150579e-12,FALSE," 20.14519","936.67210","BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA08002432",7.78091373578446,6.93907624463704,314.917288741994,5.24844263584404e-15,2.58157772150579e-12,FALSE,"  0.9525366","192.3881813","BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA05000807",5.89335113846083,7.52363486766713,311.368106131344,5.93483073886248e-15,2.78582358731577e-12,FALSE,"  5.251896","311.415936","BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA04001910",2.22272363665237,7.31584138748949,310.970214155557,6.01766213270243e-15,2.78582358731577e-12,FALSE," 47.68502","222.58839","BraA04001910","AT2G25870","AT2G25870","haloacid dehalogenase-like hydrolase family protein","-","-"
"BraA08003566",4.89479002174375,8.51855926149464,309.394715329893,6.35818781870723e-15,2.85936789332719e-12,FALSE," 18.09460","536.53869","BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA04001451",8.64415410249416,11.8173790627989,307.684556656243,6.75166755528596e-15,2.93036768556547e-12,FALSE,"  14.19763","5652.61949","BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA10001684",4.94356588667238,5.70448700745725,307.115454209559,6.88841196733941e-15,2.93036768556547e-12,FALSE," 2.910894","85.998243","BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA09006403",5.2981597065415,10.6908169053563,306.236171399538,7.10563673617614e-15,2.94322953230033e-12,FALSE,"  66.57958","2614.98664","BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA09003100",4.02959409285762,7.10310914188974,290.454239588434,1.2588114955879e-14,4.95342323513839e-12,FALSE," 11.12955","180.68127","BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA09000087",6.66890212184495,9.39192339081762,286.727953551885,1.44687065915991e-14,5.55457175004315e-12,FALSE,"   6.977040"," 702.387931","BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA07002742",11.3532685523417,5.81653029568302,334.265804436447,1.79698906457326e-14,6.73443044675788e-12,FALSE," 0.02416943","96.92725595","BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA03006148",3.112849685431,6.99123210101888,280.329885583088,1.84491955549861e-14,6.75326367524374e-12,FALSE," 21.59433","186.17030","BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA09000299",2.74097197233223,6.35999159209029,275.570923770484,2.21790614081586e-14,7.93405514919127e-12,FALSE," 16.86480","112.57805","BraA09000299","AT3G26290","CYP71B26","cytochrome P450, family 71, subfamily B, polypeptide 26","-","-"
"BraA04002534",4.0791481527119,6.27500240910833,273.734525539013,2.38310281855267e-14,8.33556408089312e-12,FALSE,"  6.077150","102.538684","BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA05003526",3.72301674185062,9.41762957542658,270.028321229866,2.75869496325408e-14,9.23869334502536e-12,FALSE,"  67.81111"," 894.71311","BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA10001878",5.19974323446239,4.71197765930545,269.317097562811,2.83787478135157e-14,9.24405172129739e-12,FALSE," 1.553199","56.931827","BraA10001878","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-"
"BraA03006095",5.82962342752081,6.94848505398134,267.137309411658,3.09632399511611e-14,9.24405172129739e-12,FALSE,"  3.724301","212.453720","BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA05001006",3.42258934465627,8.26491094874402,266.911358043577,3.12454271006487e-14,9.24405172129739e-12,FALSE," 41.91670","449.05561","BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA03004149",5.67382124108897,6.95760844099694,266.654031399947,3.15702046538296e-14,9.24405172129739e-12,FALSE,"  3.535355","174.799169","BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA08002568",5.41667081123705,10.585320799473,266.605549554315,3.16318041459431e-14,9.24405172129739e-12,FALSE,"  53.26454","2270.30869","BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA02001698",5.04410011505849,6.13907797634585,266.216156461756,3.21313157666659e-14,9.24405172129739e-12,FALSE,"  3.974888","130.599072","BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA09000731",4.71431640687422,4.98575096385375,266.109675124552,3.22693966066158e-14,9.24405172129739e-12,FALSE," 2.811787","73.816839","BraA09000731","AT5G61060","HDA05","histone deacetylase 5","-","-"
"BraA09006470",3.93824032803713,9.14250515653088,266.08512444609,3.23013243120303e-14,9.24405172129739e-12,FALSE," 55.13481","844.83268","BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA04001528",3.90889023744355,5.48584139739443,264.551343009098,3.43656611693801e-14,9.65920547867933e-12,FALSE," 4.797213","72.133060","BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001278",5.59462148964125,7.42782494870909,263.029275474193,3.65566393256756e-14,9.92071556872646e-12,FALSE,"  6.769836","320.786485","BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA07002219",2.51582154217184,6.71795575127942,261.651072241602,3.86718243463681e-14,1.03168561900311e-11,FALSE," 25.92819","148.18160","BraA07002219","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA06004302",3.85522222200054,8.46293656729554,260.385893406849,4.07309350213946e-14,1.06850819539459e-11,FALSE," 34.34968","496.20685","BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
"BraA02002954",9.7111015004692,4.2382756313115,258.125687818112,4.47121272047132e-14,1.15371947901998e-11,FALSE," 0.02185446","30.97424815","BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA03005774",2.89285466528615,4.84133678369642,255.800647656626,4.92527279541478e-14,1.25038377096498e-11,FALSE," 6.011794","44.585878","BraA03005774","AT4G28030","AT4G28030","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA08001067",2.71237829582129,7.4313523139216,253.947643395206,5.32303917139833e-14,1.32991486599698e-11,FALSE," 34.86402","228.39168","BraA08001067","AT2G04700","AT2G04700","ferredoxin thioredoxin reductase catalytic beta chain family protein","-","-"
"BraA03001809",6.08032917660055,3.81312609855329,253.389736677982,5.44953349289529e-14,1.34024464340894e-11,FALSE," 0.3125379","22.6299258","BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA04000162",3.23218333527739,10.9126859072333,252.6514007238,5.62198131625391e-14,1.36138439873595e-11,FALSE," 284.4009","2672.2227","BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA04001213",2.51632131466763,5.83868250268996,251.777216692509,5.83385965373546e-14,1.39128713560297e-11,FALSE,"14.80845","84.68441","BraA04001213","AT5G39040","ABCB27","transporter associated with antigen processing protein 2","-","-"
"BraA06004063",3.04825112692883,6.86393152601881,251.321328874696,5.94778233722097e-14,1.3972849848934e-11,FALSE," 20.74908","171.17095","BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA09004850",7.58617697326935,6.44844526441035,250.082248738116,6.26980897265856e-14,1.4512763710242e-11,FALSE,"  0.6832359","128.1978480","BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA02001404",4.24003452618032,4.44674395866252,248.848092414738,6.60946636203589e-14,1.50772464548471e-11,FALSE," 1.759375","32.339142","BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA06004423",2.26814260949303,5.58970961660114,246.89415081132,7.18878550970503e-14,1.59003434037637e-11,FALSE,"16.15126","77.70752","BraA06004423","AT2G03390","AT2G03390","uvrB/uvrC motif-containing protein","-","-"
"BraA07003829",5.55516279634489,8.22511746167431,246.789745147213,7.22125554233095e-14,1.59003434037637e-11,FALSE,"  7.172466","334.381151","BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA03000586",3.83867183497971,7.18463863047571,246.08225532268,7.44552570546044e-14,1.59003434037637e-11,FALSE," 16.00060","227.38646","BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA05003370",2.44050941356146,9.20588885872612,246.051994292337,7.45528549651412e-14,1.59003434037637e-11,FALSE,"141.2275","766.4844","BraA05003370","AT3G17930","DAC","transmembrane protein","-","-"
"BraA09004965",2.72278600565016,6.42059640754607,245.989813132437,7.47538381117228e-14,1.59003434037637e-11,FALSE," 20.00027","131.71644","BraA09004965","AT3G56010","AT3G56010","transmembrane protein","-","-"
"BraA04000964",4.85919901608542,6.79609815171692,245.374984809384,7.67730806770983e-14,1.61121105314337e-11,FALSE,"  6.566476","186.256982","BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07003591",2.92551910647103,6.51750929313367,244.588739725756,7.94420705570398e-14,1.64528709285238e-11,FALSE," 18.00243","136.93427","BraA07003591","AT1G73060","LPA3","Low PSII Accumulation 3","-","-"
"BraA01002293",2.23573372503746,7.05576765578094,243.199167188114,8.44088882351425e-14,1.71909701055225e-11,FALSE," 39.80261","187.46215","BraA01002293","AT4G15545","AT4G15545","PH-response transcription factor","-","-"
"BraA05001825",3.45628307712623,7.37152466774394,242.889597985344,8.55607268246479e-14,1.71909701055225e-11,FALSE," 21.97324","239.96190","BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09005917",2.70596303952006,9.24574802982866,242.69791022105,8.62825056122157e-14,1.71909701055225e-11,FALSE,"136.6582","891.7026","BraA09005917","AT2G20890","PSB29","photosystem II reaction center PSB29 protein","-","YES"
"BraA09004319",2.25115133480104,5.23397612777486,242.076247428832,8.8669180309078e-14,1.74456612258111e-11,FALSE,"11.42694","54.26223","BraA09004319","AT1G22700","AT1G22700","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03003901",4.40434906219343,8.5609845846274,241.42478299528,9.12474347141269e-14,1.74550304704538e-11,FALSE," 26.26755","555.06161","BraA03003901","AT3G14415","GOX2","Aldolase-type TIM barrel family protein","-","-"
"BraA06001796",2.86410776638743,4.11680499352511,241.284754934351,9.18121783080645e-14,1.74550304704538e-11,FALSE," 4.038307","29.263496","BraA06001796","AT1G16080","AT1G16080","nuclear protein","-","YES"
"BraA09005567",4.07824033300473,8.25738889760998,241.227624168207,9.20436803715165e-14,1.74550304704538e-11,FALSE," 24.50067","412.57308","BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA06000927",2.91126475643879,5.80572984910062,240.4799010785,9.51327262288482e-14,1.7826060843358e-11,FALSE,"10.83198","80.75258","BraA06000927","AT1G51100","CRR41","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel protein","-","-"
"BraA01000215",3.05102080663672,7.42802554160545,239.821598377483,9.79456819488326e-14,1.81372356926427e-11,FALSE," 30.84042","255.37613","BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA01002037",4.10832415753898,9.25643685938331,238.396077919276,1.04351609259128e-13,1.9098771276031e-11,FALSE," 49.74899","856.06363","BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA09003620",4.27225205308292,6.12723103414901,237.559849970102,1.08320152263733e-13,1.95972321451857e-11,FALSE,"  7.059098","134.338871","BraA09003620","AT1G31190","IMPL1","myo-inositol monophosphatase like 1","-","-"
"BraA03000235",3.55337799783585,7.66897999109289,237.05013071024,1.10819373723778e-13,1.98215561637758e-11,FALSE," 27.32365","319.90677","BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA03002946",6.25762519418355,5.68996930187287,234.802418214099,1.22612228892577e-13,2.16844548625748e-11,FALSE,"  1.437081","100.012524","BraA03002946","AT4G12320","CYP706A6","cytochrome P450, family 706, subfamily A, polypeptide 6","-","-"
"BraA05002362",5.05925352140042,4.22216361575118,233.875218073831,1.27868156287474e-13,2.23217678666882e-11,FALSE," 1.005665","32.769068","BraA05002362","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA05000754",6.58883898778418,7.94300524302003,233.648921840119,1.2918776227171e-13,2.23217678666882e-11,FALSE,"  4.248010","401.553012","BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA09005883",6.42997419148975,4.48482303548752,233.431374123078,1.30470307734137e-13,2.23217678666882e-11,FALSE," 0.4320158","34.2199002","BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA09005291",2.57975556104402,5.97407730899969,232.60064482605,1.35496590506473e-13,2.24496456270725e-11,FALSE,"12.93139","77.00115","BraA09005291","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA09003335",2.76026234883427,5.11137763604507,229.277357683277,1.57812819872178e-13,2.58747269248758e-11,FALSE," 6.613725","44.867297","BraA09003335","AT1G34000","OHP2","one-helix protein 2","-","-"
"BraA01003682",2.16321182683838,7.97883808022437,228.736416609941,1.61809074946141e-13,2.62564416458996e-11,FALSE," 85.88038","384.70992","BraA01003682","AT3G19170","PREP1","presequence protease 1","-","-"
"BraA04001564",5.02905224250341,5.14400464141162,227.729002466539,1.69547548949392e-13,2.68130158858625e-11,FALSE," 1.986126","63.822008","BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA07003967",7.76849860307571,9.84074620748935,227.646696285516,1.70197320967762e-13,2.68130158858625e-11,FALSE,"   7.82892","1692.36021","BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA08002764",4.03496228805017,6.04380452365064,227.627465515204,1.70349529135086e-13,2.68130158858625e-11,FALSE,"  6.600248","107.497427","BraA08002764","AT1G29700","AT1G29700","Metallo-hydrolase/oxidoreductase superfamily protein","-","-"
"BraA09003275",3.88459745722283,3.4024042121761,226.332897647999,1.80943826376686e-13,2.79678305477137e-11,FALSE," 1.159012","16.626809","BraA09003275","AT3G01660","AT3G01660","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA08002200",2.04141505609945,5.20659741034501,226.297890829778,1.81240070893697e-13,2.79678305477137e-11,FALSE,"12.59258","51.90515","BraA08002200","AT1G64280","NPR1","regulatory protein (NPR1)","-","YES"
"BraA05000178",2.6493422278658,4.70054242296884,225.792179358613,1.85578934711907e-13,2.83593440035477e-11,FALSE," 4.938630","30.624171","BraA05000178","AT2G46910","AT2G46910","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA08002004",4.61852797968215,4.67404742340337,225.030314889312,1.92329979419717e-13,2.91084026544841e-11,FALSE," 1.677304","39.213224","BraA08002004","AT4G29070","AT4G29070","Phospholipase A2 family protein","-","-"
"BraA01000384",2.29650266222274,6.73067441685112,224.762011329351,1.94770604946387e-13,2.91970411605346e-11,FALSE," 31.78631","155.68420","BraA01000384","AT4G34730","AT4G34730","ribosome-binding factor A family protein","-","-"
"BraA02000306",3.1124596264568,3.98947116571309,224.049204184222,2.01419587249597e-13,2.94574887205467e-11,FALSE," 2.607808","22.910169","BraA02000306","AT5G09230","SRT2","sirtuin 2","-","-"
"BraA01002846",10.1330990737491,8.02502296602867,223.996365329071,2.01922185716972e-13,2.94574887205467e-11,FALSE,"  0.3608619","472.4820094","BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA03001437",5.38705895297277,10.1397564090551,223.837219431223,2.03444214958767e-13,2.94574887205467e-11,FALSE,"  34.69874","1449.02103","BraA03001437","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA07002006",6.32027402323945,8.25679677582112,223.780046000354,2.03994045142286e-13,2.94574887205467e-11,FALSE,"  5.798610","457.674020","BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA09004880",2.49150207083987,6.08791784612232,222.317769596807,2.18619769620432e-13,3.12825015802327e-11,FALSE,"17.28203","97.29046","BraA09004880","AT3G55040","GSTL2","glutathione transferase lambda 2","-","-"
"BraA03004636",2.88236664913389,10.0903668997246,221.328177886964,2.29162091488975e-13,3.2495597477806e-11,FALSE," 184.7171","1361.6057","BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA04003129",8.7568201892212,5.09895600712998,219.875190411871,2.45654628220928e-13,3.42626278773786e-11,FALSE," 0.06173992","37.19727059","BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA02000298",2.46461292525719,8.39938962097706,219.847861029629,2.45976934570761e-13,3.42626278773786e-11,FALSE," 97.35411","537.40171","BraA02000298","AT5G08650","AT5G08650","Small GTP-binding protein","-","-"
"BraA03000567",3.38956675906416,4.97702598632732,218.622589087215,2.60909811504487e-13,3.57189208176868e-11,FALSE," 5.088374","52.234972","BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA09004114",6.48102383159646,6.4919468750567,218.61776511958,2.60970514233417e-13,3.57189208176868e-11,FALSE,"  1.576221","127.942044","BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA02002440",4.419963052823,5.66188639941414,218.289441300445,2.65138271600185e-13,3.57940488590798e-11,FALSE," 3.919139","81.688255","BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA09000210",4.50621118781279,6.60129127303639,218.21699732287,2.6606758046457e-13,3.57940488590798e-11,FALSE,"  7.143413","159.321714","BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA05001505",2.35029380432682,9.04541839497069,217.935066612848,2.69717996434623e-13,3.59442817717404e-11,FALSE,"143.6699","732.5532","BraA05001505","AT2G30950","VAR2","FtsH extracellular protease family","-","YES"
"BraA10000931",2.52256251517209,5.70361464194866,217.779801321339,2.71751558502993e-13,3.59442817717404e-11,FALSE,"12.81933","73.58845","BraA10000931","AT5G53580","PLR1","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA04000314",2.17936225379132,5.48481208661431,216.252177373356,2.92671483971816e-13,3.80714806422841e-11,FALSE,"12.05124","54.51528","BraA04000314","AT3G58010","PGL34","plastoglobulin 34kD","-","-"
"BraA09006174",3.5809655876609,6.85933273073181,214.942723316415,3.11999293455301e-13,3.9918582004602e-11,FALSE," 17.31130","206.13698","BraA09006174","AT1G16160","WAKL5","wall associated kinase-like 5","-","-"
"BraA06000577",3.14255644701006,4.78421550150077,214.866836360884,3.13161131678731e-13,3.9918582004602e-11,FALSE," 4.593060","40.769668","BraA06000577","AT3G44020","AT3G44020","thylakoid lumenal P17.1 protein","-","-"
"BraA01000743",2.45587210648319,6.66362190606832,214.781107968785,3.14479299146801e-13,3.9918582004602e-11,FALSE," 26.83665","147.28141","BraA01000743","AT4G30920","LAP2","Cytosol aminopeptidase family protein","-","YES"
"BraA07000073",2.20698490935532,4.3906461147915,212.833951090025,3.46102098495925e-13,4.35119018301378e-11,FALSE," 7.212361","33.261768","BraA07000073","AT2G20050","AT2G20050","protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein","-","-"
"BraA01004807",10.7630485080223,7.94126191607919,212.704920433839,3.48316367890557e-13,4.35119018301378e-11,FALSE,"  0.3860996","707.6967008","BraA01004807","AT3G01500","CA1","carbonic anhydrase 1","-","-"
"BraA09006906",2.61799217379523,5.73995531242552,212.488198664486,3.52070190222373e-13,4.35507701892755e-11,FALSE,"13.22021","81.11904","BraA09006906","AT1G03680","THM1","thioredoxin M-type 1","-","YES"
"BraA06000196",3.12784409748097,8.85808195477422,212.368558068973,3.54161282352431e-13,4.35507701892755e-11,FALSE," 73.34785","640.74529","BraA06000196","AT5G45930","CHLI2","magnesium chelatase i2","-","-"
