"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01000674",2.18543715587862,4.39771195885338,136.148023598943,3.39877582210778e-11,1.29846435533923e-09,FALSE,"10.57363","47.91563","BraA01000674","AT4G31720","TAFII15","TBP-associated factor II 15","-","-"
"BraA09006975",8.33283503313826,6.22321497600425,135.544387929642,3.55296741768737e-11,1.34109609482972e-09,FALSE,"  0.6107671","188.4547347","BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA03000872",1.54244598142684,6.93270620240551,135.374834871434,3.59763271093116e-11,1.35007784227908e-09,FALSE," 86.07577","250.79913","BraA03000872","AT5G17900","AT5G17900","microfibrillar-associated protein-like protein","-","-"
"BraA03005620",2.8871277566314,7.18428656730513,135.324264495079,3.61107224650251e-11,1.35007784227908e-09,FALSE," 51.29493","379.31755","BraA03005620","AT4G25700","BETA-OHASE 1","beta-hydroxylase 1","-","-"
"BraA09003548",2.86091683111513,5.91601376730706,133.988791572698,3.98648231810482e-11,1.45585224331717e-09,FALSE," 22.83205","165.57522","BraA09003548","AT1G55850","CSLE1","cellulose synthase like E1","-","-"
"BraA05001344",1.99704790853444,6.55168309486814,133.566394399229,4.1138859410068e-11,1.49199457860477e-09,FALSE," 52.28444","208.98095","BraA05001344","AT2G32260","CCT1","phosphorylcholine cytidylyltransferase","-","-"
"BraA07001790",1.46971339116104,7.0823910640279,133.269816968673,4.20598001992775e-11,1.51839737416658e-09,FALSE," 92.81972","257.13196","BraA07001790","AT2G26990","FUS12","proteasome family protein","-","-"
"BraA02003621",2.73872719045582,3.64033569208413,132.832644380968,4.34584026560069e-11,1.56529807278158e-09,FALSE," 4.474852","29.852860","BraA02003621","AT3G26170","CYP71B19","cytochrome P450, family 71, subfamily B, polypeptide 19","-","-"
"BraA10002262",2.41090059705537,4.90984896493924,132.498819094855,4.45603843883849e-11,1.59404647789359e-09,FALSE,"13.93055","73.97452","BraA10002262","AT5G13970","AT5G13970","midasin-like protein","-","-"
"BraA07003945",1.87523501401697,3.87862863101748,131.976255752703,4.63468227973974e-11,1.64063042861471e-09,FALSE," 9.173633","33.685807","BraA07003945","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA09001196",2.1598912264306,5.08743869773012,131.457643168462,4.81969236489072e-11,1.69713552177584e-09,FALSE,"16.79710","74.91965","BraA09001196","AT2G18090","AT2G18090","PHD finger family protein / SWIB complex BAF60b domain-containing protein / GYF domain-containing protein","-","-"
"BraA07001656",1.90154628549805,7.36966536502062,131.1241184142,4.94290365213885e-11,1.72504277641462e-09,FALSE," 95.64857","357.49275","BraA07001656","AT5G67250","SKIP2","SKP1/ASK1-interacting protein 2","-","YES"
"BraA07000928",2.58236589840398,6.63610292893446,131.095207019905,4.95374418640029e-11,1.72504277641462e-09,FALSE," 41.35271","247.96053","BraA07000928","AT3G23280","XBAT35","hypothetical protein","-","-"
"BraA01000519",6.07053144608608,8.26908612176699,130.324687268494,5.25238611445732e-11,1.81299468073593e-09,FALSE,"  18.03179","1213.45195","BraA01000519","AT4G33150","AT4G33150","lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme","-","-"
"BraA03004194",4.78917860829583,4.48308960906184,130.129919621865,5.33093401357319e-11,1.82410655160091e-09,FALSE," 2.875199","78.133201","BraA03004194","AT3G20250","PUM5","pumilio 5","-","-"
"BraA09004178",2.02686110617975,6.01195606880727,129.16788649712,5.73809100857664e-11,1.93399469967872e-09,FALSE," 35.10328","143.25170","BraA09004178","AT1G24120","ARL1","ARG1-like 1","-","-"
"BraA03003709",5.14064445908297,4.47593795468156,128.566832694488,6.00953983067982e-11,2.00576013421691e-09,FALSE," 1.852363","69.769135","BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA05002514",1.8411948756257,4.66974295756857,128.541968653123,6.02106538921894e-11,2.00576013421691e-09,FALSE,"16.49826","59.04301","BraA05002514","AT3G22590","PHP","PLANT HOMOLOGOUS TO PARAFIBROMIN","-","-"
"BraA10002575",2.3403267689551,3.78190044627851,128.528163878885,6.02747486330748e-11,2.00576013421691e-09,FALSE," 6.570146","33.529869","BraA10002575","AT5G05080","UBC22","ubiquitin-conjugating enzyme 22","-","-"
"BraA05000394",2.11621736769057,4.84251574341857,127.63714527547,6.45727049903935e-11,2.12186717442337e-09,FALSE,"14.89612","64.83667","BraA05000394","AT1G54380","AT1G54380","spliceosome protein-like protein","-","-"
"BraA08002046",3.33073474685937,4.8208869253487,127.241205731394,6.65884340465079e-11,2.16213412759009e-09,FALSE," 7.839845","80.151819","BraA08002046","AT1G54290","AT1G54290","Translation initiation factor SUI1 family protein","-","-"
"BraA07000242",1.89890377556409,5.7826619833761,127.234664682078,6.6622303169072e-11,2.16213412759009e-09,FALSE," 32.88598","122.78169","BraA07000242","AT2G18250","COAD","4-phosphopantetheine adenylyltransferase","-","YES"
"BraA08003995",1.62326321239685,7.08001531697405,127.083576697521,6.74098578481241e-11,2.17870875262726e-09,FALSE," 86.90981","267.75965","BraA08003995","AT1G03140","AT1G03140","splicing factor Prp18 family protein","-","-"
"BraA01000110",5.05562766779943,6.72713315361319,126.896910022253,6.83968625146743e-11,2.20607913110855e-09,FALSE," 11.58099","387.18044","BraA01000110","AT4G38060","AT4G38060","hypothetical protein","-","-"
"BraA10002966",1.99105489842792,6.16618494369115,126.585610521874,7.00779612627363e-11,2.25107573525606e-09,FALSE," 39.70603","158.00741","BraA10002966","AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-"
"BraA02001604",1.93881936090381,7.14183285515054,126.482451999422,7.06449026104718e-11,2.2646655134192e-09,FALSE," 77.99436","299.39711","BraA02001604","AT5G53300","UBC10","ubiquitin-conjugating enzyme 10","-","-"
"BraA01001631",2.11025197137695,4.29508895007604,126.371240533276,7.12616873660986e-11,2.27517030252006e-09,FALSE,"10.100839","43.684590","BraA01001631","AT4G24590","AT4G24590","RING finger protein","-","-"
"BraA06001007",2.05166736187977,3.79512220951706,126.237462469646,7.20113888364454e-11,2.28981668744576e-09,FALSE," 6.904843","28.685313","BraA06001007","AT1G49590","AT1G49590","C2H2 and C2HC zinc fingers superfamily protein","-","-"
"BraA09000429",2.48865650406615,7.10606888114929,126.166657418746,7.24116487450311e-11,2.2910981583668e-09,FALSE," 66.59569","373.88007","BraA09000429","AT5G48160","OBE2","potyvirus VPg interacting protein (DUF1423)","-","-"
"BraA07001107",1.55618789211352,6.48865119769337,126.153134845932,7.24883661287589e-11,2.2910981583668e-09,FALSE," 64.29208","189.17334","BraA07001107","AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA09003573",2.53017020618135,4.40470226775047,125.945540362613,7.36772565508894e-11,2.31681245695286e-09,FALSE," 9.727896","56.159050","BraA09003573","AT1G31830","PUT2","Amino acid permease family protein","-","-"
"BraA09004419",1.69835484453662,6.20710187854684,125.665030813584,7.53174990565994e-11,2.36154867559935e-09,FALSE," 45.96625","149.40210","BraA09004419","AT3G50000","CKA2","casein kinase II, alpha chain 2","-","-"
"BraA04000569",1.76712823656171,6.83897768681243,125.451392565897,7.65933239577545e-11,2.38256703378469e-09,FALSE," 71.57065","243.76691","BraA04000569","AT3G54300","VAMP727","vesicle-associated membrane protein 727","-","-"
"BraA09005308",2.7418545433323,6.78469552957665,124.600244266896,8.19143695759677e-11,2.51331808406575e-09,FALSE," 43.30814","289.59567","BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA01001004",2.39642980916711,5.51147848220242,123.923320833411,8.64330201652806e-11,2.61901742529153e-09,FALSE," 21.84404","115.13262","BraA01001004","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA04002650",1.66883856325842,4.77202627870994,123.837747159628,8.70232600652777e-11,2.61901742529153e-09,FALSE,"17.31596","55.04479","BraA04002650","AT2G36480","AT2G36480","pre-mRNA cleavage complex 2 Pcf11-like protein","-","-"
"BraA06004471",2.87371498849927,5.29247473534855,123.086718561652,9.23953383885567e-11,2.74396721931299e-09,FALSE," 14.58993","107.36998","BraA06004471","AT2G02370","AT2G02370","SNARE associated Golgi protein family","-","-"
"BraA01001803",2.31961322339861,4.8245438105418,123.055429072754,9.26268319181894e-11,2.74566164668983e-09,FALSE,"14.37751","71.81821","BraA01001803","AT4G26400","AT4G26400","RING/U-box superfamily protein","-","-"
"BraA05004019",1.81497961297344,5.82118191774571,122.97638997754,9.32144087434681e-11,2.74755579329998e-09,FALSE," 34.97429","123.20215","BraA05004019","AT3G10730","SUN2","SAD1/UNC-84 domain protein 2","-","-"
"BraA04001122",1.19645732820901,5.77127476184923,122.821929104264,9.4374392128935e-11,2.77654753665315e-09,FALSE," 40.81025"," 93.45378","BraA04001122","AT5G37720","ALY4","ALWAYS EARLY 4","-","-"
"BraA01001016",2.09074322931763,4.01393092480036,122.489124310045,9.69273623058086e-11,2.84103665306039e-09,FALSE," 9.206727","39.059183","BraA01001016","AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA10002642",2.36889824442261,4.76654008616598,122.109319909352,9.9932874561615e-11,2.90747402144144e-09,FALSE,"13.33847","68.96903","BraA10002642","AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA07003782",4.51742542635153,3.26733767534992,121.636816549823,1.03814042937428e-10,2.99273449786653e-09,FALSE," 1.370075","30.537072","BraA07003782","AT1G75540","BBX21","salt tolerance homolog2","YES","-"
"BraA06000263",1.64310466492476,5.36930734154813,121.540406432591,1.04625900252006e-10,3.00598398426415e-09,FALSE,"27.52006","86.00990","BraA06000263","AT5G45190","AT5G45190","Cyclin family protein","-","YES"
"BraA07000012",2.65889632338179,5.73784109703752,121.536894338353,1.04655605042996e-10,3.00598398426415e-09,FALSE," 22.57336","142.78932","BraA07000012","AT2G20740","AT2G20740","Tetraspanin family protein","-","-"
"BraA03002867",1.63291426027926,4.34466467904146,121.055486312853,1.08815298001727e-10,3.08741187029875e-09,FALSE,"11.67642","36.26767","BraA03002867","AT4G10170","AT4G10170","SNARE-like superfamily protein","-","-"
"BraA10003068",4.56674931194017,5.25192723027491,120.74596099925,1.11584463178924e-10,3.14756173913308e-09,FALSE,"  5.435176","130.508163","BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA01003715",1.98837375365931,3.79588819378979,120.0609570901,1.17988902415582e-10,3.27538857852074e-09,FALSE," 8.274740","32.655265","BraA01003715","AT5G57030","LUT2","Lycopene beta/epsilon cyclase protein","-","YES"
"BraA08003167",2.96872948366235,3.12534429821024,119.818877036568,1.20346820813559e-10,3.33496295705179e-09,FALSE," 3.447257","27.193037","BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA01004605",1.6985707186261,5.05208355901189,119.48777585317,1.23655084888787e-10,3.39514235619732e-09,FALSE,"20.34373","66.05845","BraA01004605","AT3G04600","AT3G04600","Nucleotidylyl transferase superfamily protein","-","-"
"BraA08002778",2.18245044882059,5.15256324087675,119.485160266301,1.23681609089767e-10,3.39514235619732e-09,FALSE,"17.61321","80.40679","BraA08002778","AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA01000462",2.59616528113911,5.17232931907992,119.472243318269,1.23812688212024e-10,3.39514235619732e-09,FALSE,"15.59400","94.40795","BraA01000462","AT4G33790","CER4","Jojoba acyl CoA reductase-related male sterility protein","-","-"
"BraA09001507",1.69014868115257,5.29805893821514,119.397418663193,1.24574971784945e-10,3.40467253035476e-09,FALSE,"24.33272","78.67341","BraA09001507","AT1G58030","CAT2","cationic amino acid transporter 2","-","-"
"BraA05003382",2.17036438692638,6.25495577160391,119.135438606999,1.27284354359594e-10,3.46019989226254e-09,FALSE," 38.11339","171.88470","BraA05003382","AT3G17820","GLN1.3","glutamine synthetase 1.3","-","-"
"BraA07003495",2.21511847777857,4.82819409424005,119.010195787966,1.28602164604048e-10,3.48966121233022e-09,FALSE,"15.36392","70.79896","BraA07003495","AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA09001972",1.43519488936566,6.72295527627631,118.969531575416,1.29033216364434e-10,3.48966121233022e-09,FALSE," 70.76840","191.45400","BraA09001972","AT1G56290","AT1G56290","CwfJ-like family protein","-","-"
"BraA03000503",3.88576571079793,7.61820441753417,118.648840295112,1.32488138071522e-10,3.57695247555017e-09,FALSE," 45.71588","676.39083","BraA03000503","AT5G11520","ASP3","aspartate aminotransferase 3","-","YES"
