"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA09000780",-1.64925071644415,8.2650572338841,12.9342389428868,0.00150593366028197,0.034960760785897,"BraA09000780",-2.91274062339986,8.2650572338841,27.4559959859866,2.5017634595193e-05,0.00782074135096276,"462.69333","327.29526","147.50163"," 43.50674","AT5G62360","AT5G62360","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-","phyB_sig"
"BraA08003627",-1.27542027805775,7.39338410070565,12.9130750999227,0.00151686898472237,0.0350356721344117,"BraA08003627",-2.60423197895306,7.39338410070565,36.8940646391734,3.25932006916033e-06,0.00320259901840554,"284.90023","254.74786","117.62496"," 41.86901","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES","phyB_sig"
"BraA10001524",-1.14868502705939,5.36368486634468,12.573872870786,0.00170452002019579,0.0366518375927347,"BraA10001524",-1.9153290592822,5.36368486634468,25.0149548662886,4.52362033579435e-05,0.00975366905279494,"67.134282","61.022222","30.228367","16.190717","AT5G60100","PRR3","pseudo-response regulator 3","-","YES","phyB_sig"
"BraA08002996",-1.90542848489803,2.42065718927107,11.6141711577875,0.00238780332514768,0.0444781353110349,"BraA08002996",-3.77453414163852,2.42065718927107,28.8706423192466,1.79922272355677e-05,0.00703193756461621," 7.9531905","10.9716716"," 2.0930035"," 0.7851178","AT1G26840","ORC6","origin recognition complex protein 6","-","-","phyB_sig"
"BraA05004548",-0.817385718180012,3.86928957129374,10.9509146854438,0.00303372829222182,0.0509614549835341,"BraA05004548",-1.6761482037208,3.86928957129374,32.7566611139618,7.61866735141087e-06,0.00444140089300767,"21.285247","18.137069","12.047946"," 5.635532","AT3G03720","CAT4","cationic amino acid transporter 4","-","-","phyB_sig"
"BraA02002362",-0.786350771522937,3.91692676441293,10.4900533112181,0.00359462699191209,0.0549903665934685,"BraA02002362",-1.68187283652035,3.91692676441293,33.9700650026495,5.90025731245294e-06,0.00386958542075039,"13.669322","12.328670"," 7.876387"," 3.841084","AT1G73200","AT1G73200","testis-expressed sequence 2-like protein (DUF2404)","-","-","phyB_sig"
"BraA08000335",-1.06723432355807,8.44291676477116,10.38066337823,0.00374386343205219,0.0560155992590318,"BraA08000335",-1.95558214458573,8.44291676477116,24.8602829996062,4.70161856653959e-05,0.00986713016497775,"540.96317","383.47096","258.20430"," 98.83481","AT3G19320","AT3G19320","Leucine-rich repeat (LRR) family protein","-","-","phyB_sig"
"BraA04000272",-0.715161546657618,6.34368960365058,8.89696651707056,0.00660885181085971,0.0757989035336938,"BraA04000272",-1.42191657730775,6.34368960365058,25.6591140330854,3.85734640761341e-05,0.00948598079210657," 87.49299"," 92.60649"," 53.26544"," 34.57024","AT3G58680","MBF1B","multiprotein bridging factor 1B","-","-","phyB_sig"
"BraA08000141",-0.528013168465881,4.13720365950748,8.75746125001207,0.00698330214312179,0.0780775736016446,"BraA08000141",-1.05691463728406,4.13720365950748,26.0484228734575,3.50699106160708e-05,0.00890323214672507,"20.50896","21.05766","14.22543","10.10425","AT1G53710","AT1G53710","Calcineurin-like metallo-phosphoesterase superfamily protein","-","-","phyB_sig"
"BraA06004622",-1.32493328968177,6.42529722819829,8.65635387891153,0.00726926825800226,0.0798452773070171,"BraA06004622",-2.78356449358741,6.42529722819829,25.4238816836791,4.08738327687228e-05,0.00960230041462233," 71.036470"," 58.792771"," 28.339251","  8.555152","AT5G47240","NUDT8","nudix hydrolase homolog 8","-","-","phyB_sig"
"BraA05003243",-0.840746672178648,4.09348097208593,8.48282900866617,0.00779057441307081,0.0823105178338653,"BraA05003243",-1.84071166283047,4.09348097208593,27.3733863360878,2.55114934537607e-05,0.00782074135096276,"32.193217","15.467902","17.979438"," 4.309414","AT3G58970","MGT6","magnesium transporter 6","-","-","phyB_sig"
"BraA09000033",-0.701627324893043,4.24746843148282,7.95584115071069,0.0096434651060741,0.0928367833453249,"BraA09000033",-1.53222225064285,4.24746843148282,27.3244994388792,2.58087387857622e-05,0.00782074135096276,"27.218942","25.239081","16.704053"," 8.703139","AT4G00340","RLK4","receptor-like protein kinase 4","-","-","phyB_sig"
"BraA02003691",-0.763012619527748,3.52480622653666,7.22154052336427,0.013086975628577,0.110746772254732,"BraA02003691",-1.72044345189084,3.52480622653666,26.6298372824477,3.04658671935884e-05,0.00841285525661547,"15.655758","18.878078"," 9.167881"," 5.699967","AT3G27060","TSO2","Ferritin/ribonucleotide reductase-like family protein","-","-","phyB_sig"
"BraA03003975",-0.681471364563614,6.71918742433218,6.98817978321478,0.0144505937496046,0.117517012474696,"BraA03003975",-1.631247950505,6.71918742433218,28.7928791964651,1.83167215530008e-05,0.00703193756461621,"147.34868","147.94318"," 91.85637"," 47.74892","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-","phyB_sig"
"BraA05002562",-0.674707649817639,5.26017617854772,5.73994634512892,0.0250226454225635,0.158048330237219,"BraA05002562",-1.74846422878771,5.26017617854772,27.4409174947106,2.51069954824413e-05,0.00782074135096276,"38.31655","40.75270","23.99919","12.13028","AT3G22200","POP2","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","YES","phyB_sig"
"BraA07004109",-0.569150693817104,5.72536094603191,5.57444533459639,0.0269820513261371,0.165380641695248,"BraA07004109",-1.48194657146319,5.72536094603191,27.2747854080818,2.61148817585341e-05,0.00782074135096276,"59.38834","56.72745","40.00181","20.28505","AT1G79440","ALDH5F1","aldehyde dehydrogenase 5F1","-","-","phyB_sig"
"BraA09006514",-0.913613479963439,7.5872832614345,5.50571874198147,0.0278455217796481,0.168378222363297,"BraA09006514",-2.45801805763381,7.5872832614345,27.2395692779072,2.63341354257323e-05,0.00782074135096276,"333.865641","315.781452","177.170522"," 57.424341","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES","phyB_sig"
"BraA08003521",-0.524548996582679,4.78697623370207,4.94278736975889,0.0362039970112993,0.193432081791531,"BraA08003521",-1.45796487106906,4.78697623370207,27.5020885228778,2.47466114059117e-05,0.00782074135096276,"37.13954","35.91227","25.81795","13.08842","AT1G12450","AT1G12450","SNARE associated Golgi protein family","-","-","phyB_sig"
"BraA01002849",-0.471989394889058,5.41422362176584,3.81223321186701,0.0630332222438674,0.258707410200384,"BraA01002849",-1.43016226517242,5.41422362176584,25.2445476778409,4.27278303324657e-05,0.00969752083393362,"56.23309","51.67055","40.48969","19.15233","AT1G62810","CuAO1","Copper amine oxidase family protein","-","-","phyB_sig"
"BraA08003559",-0.191691437110683,5.60221581701374,1.43550339724737,0.242950662048869,0.512948978360876,"BraA08003559",-1.00700835168223,5.60221581701374,29.1961444422474,1.67002420348943e-05,0.00691741604287464,"59.62051","63.89854","52.17151","31.78144","AT1G11930","AT1G11930","Putative pyridoxal phosphate-dependent enzyme, YBL036C type","-","-","phyB_sig"
"BraA09003696",-0.18103260743868,4.13269486524916,1.3294572895779,0.260629222751859,0.530493206532299,"BraA09003696",-1.03793448887247,4.13269486524916,32.4018882508076,8.21882178426079e-06,0.00449733173568141,"15.620622","17.882566","13.733503"," 8.690617","AT1G30540","AT1G30540","Actin-like ATPase superfamily protein","-","-","phyB_sig"
"BraA04002129",-0.246677537570681,5.28083511596932,1.11046122919941,0.302820222081507,0.571062284718915,"BraA04002129",-1.39606083206087,5.28083511596932,25.7986560257358,3.727571326466e-05,0.00931301153628173,"48.80012229","63.37599876","41.17649542","24.08267647","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-","phyB_sig"
