"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01000225",1.63922341011494,2.95101397447416,27.3731346643993,2.55130141128688e-05,0.00489520452889309,"BraA01000225",-0.212044781686244,2.95101397447416,0.367085349949543,0.550472364315736,0.860597750694453," 4.420959"," 7.665304","13.928685"," 6.631101","AT4G36710","HAM4","GRAS family transcription factor","YES","YES","WT_sig"
"BraA06004037",3.55740531469051,7.68404691799705,27.304757861716,2.5929839049721e-05,0.00489520452889309,"BraA06004037",1.63970425231566,7.68404691799705,5.18775724630328,0.0322633893375433,0.263407367440267,"   7.100635","  18.268266","  84.873477","  57.008027","AT5G48180","NSP5","nitrile specifier protein 5","-","-","WT_sig"
"BraA01001448",2.64620970312828,3.38839214503815,27.1760031292516,2.67349820874047e-05,0.00489520452889309,"BraA01001448",1.11383314452414,3.38839214503815,4.55435108727284,0.0436097205659479,0.300519451361599," 1.230001"," 3.653472"," 8.151540"," 7.874428","AT4G22920","NYE1","non-yellowing 1","-","YES","WT_sig"
"BraA04001291",1.66033431010895,6.01204847418984,27.0838262349509,2.73280876707766e-05,0.00489520452889309,"BraA04001291",1.10738781887644,6.01204847418984,9.38638395445884,0.00545984445066425,0.1108855970113," 36.07513"," 58.32690","114.40466","125.69486","AT5G39720","AIG2L","avirulence induced protein 2 like protein","-","-","WT_sig"
"BraA03004194",2.04720139417838,4.48308960906184,27.0776463293202,2.7368360771448e-05,0.00489520452889309,"BraA03004194",1.39238846555785,4.48308960906184,10.1335537890235,0.00410662748401466,0.093961481335153," 2.875199"," 2.948696","11.667917"," 7.830469","AT3G20250","PUM5","pumilio 5","-","-","WT_sig"
"BraA03001480",1.24079559530434,5.39219820214326,26.9912637332122,2.79381088305696e-05,0.00494096441565355,"BraA03001480",0.634941216329911,5.39219820214326,5.47910841224179,0.0281880946440926,0.247075665218168,"31.18169","45.76404","73.83120","71.07563","AT5G54160","OMT1","O-methyltransferase 1","-","YES","WT_sig"
"BraA05000234",4.26075360533668,3.93913482585775,26.7652582638994,2.94907334346001e-05,0.00504547982891963,"BraA05000234",2.0911050298601,3.93913482585775,6.41624290351512,0.0185080361326562,0.20313081431519," 1.325497"," 4.018687","26.153484","17.135310","AT2G46270","GBF3","G-box binding factor 3","YES","-","WT_sig"
"BraA05000036",1.67147515172788,3.94984389152673,26.5349854124097,3.11697449149304e-05,0.00513126595706283,"BraA05000036",0.994423419231457,3.94984389152673,7.43304278824503,0.0119731944466289,0.16515542111471,"10.009937","14.438228","32.229864","28.790681","AT3G04940","CYSD1","cysteine synthase D1","-","-","WT_sig"
"BraA05003586",1.73459703488911,5.09748302767607,26.3251360525702,3.27906997767775e-05,0.00526658790292324,"BraA05003586",1.64331956913596,5.09748302767607,18.2714768355418,0.000278931908134892,0.0228666053856417," 19.153333"," 33.537940"," 63.692753","104.749419","AT3G15354","SPA3","SPA1-related 3","-","YES","WT_sig"
"BraA08001639",2.38939550519502,7.87438486357197,26.2825742535207,3.31305234782407e-05,0.00526741858128797,"BraA08001639",2.19842116499005,7.87438486357197,16.9997519187907,0.000407429591910707,0.0280739323643487," 83.17338","186.89822","436.56959","857.80155","AT4G35090","CAT2","catalase 2","-","YES","WT_sig"
"BraA06001267",1.25023325890498,3.80490198948648,26.0948592020517,3.46756887989774e-05,0.00534416922533508,"BraA06001267",0.471884350177153,3.80490198948648,3.02597633779359,0.0951773032253054,0.426078143562658," 6.141248","12.076956","14.670308","16.768959","AT1G56330","SAR1B","secretion-associated RAS 1B","-","-","WT_sig"
"BraA08001195",1.7234365674766,3.60364307670932,26.0280662262488,3.52442639117359e-05,0.00534416922533508,"BraA08001195",1.11433247449405,3.60364307670932,8.89522253109367,0.00661339428938689,0.121181404091909," 4.830848"," 8.642867","16.114023","18.718201","AT4G15430","AT4G15430","ERD (early-responsive to dehydration stress) family protein","-","-","WT_sig"
"BraA06002127",1.4187058331434,5.73394895203828,25.6105281617849,3.90367894976069e-05,0.00558437129281782,"BraA06002127",0.890976529055712,5.73394895203828,7.82929404564261,0.010157545501273,0.152956486494239,"34.45876","51.75308","92.43590","95.99458","AT1G19570","DHAR1","dehydroascorbate reductase","-","-","WT_sig"
"BraA01000666",1.99766910357479,2.72973782166365,25.4090758500263,4.10235339874624e-05,0.00576527165145231,"BraA01000666",0.8085372483624,2.72973782166365,3.73923926122134,0.0654246583296165,0.358934596705894," 1.662126"," 4.422737"," 6.473733"," 7.756924","AT4G31820","ENP","Phototropic-responsive NPH3 family protein","-","YES","WT_sig"
"BraA07000744",2.47555913642481,5.22640558206703,25.2882689857741,4.22675421247081e-05,0.00581618715843929,"BraA07000744",1.54850325769708,5.22640558206703,8.01603534164972,0.00940905959978173,0.146735418801397," 18.563798"," 30.216237","103.519224"," 88.432640","AT4G22100","BGLU3","beta glucosidase 2","-","-","WT_sig"
"BraA03002090",2.35929520498294,3.53126983167681,25.2666580804622,4.24943788577203e-05,0.00581618715843929,"BraA03002090",1.40604120905313,3.53126983167681,7.60728730645348,0.0111340579872141,0.158732562920865," 4.5122912","11.8707387","23.4116780","31.5013342","AT2G37970","SOUL-1","SOUL heme-binding family protein","-","-","WT_sig"
"BraA07003327",1.80981698273198,6.36108718310199,24.9304818821108,4.619905642973e-05,0.00621515511285427,"BraA07003327",1.48584122592971,6.36108718310199,12.9484333231032,0.00149864774920578,0.0561564723920991," 35.09281"," 46.97959","123.49362","131.61362","AT1G69870","NRT1.7","nitrate transporter 1.7","-","-","WT_sig"
"BraA09005887",1.19571125447966,4.8878213383773,24.7749217659379,4.8031064994238e-05,0.00640685561872293,"BraA09005887",1.00476166039507,4.8878213383773,13.5260408316404,0.00123249973990438,0.0515945369842952,"17.53739","23.33160","40.16516","46.80989","AT2G21300","AT2G21300","ATP binding microtubule motor family protein","-","-","WT_sig"
"BraA02000554",2.71399715542586,4.34865993443709,24.6822505706516,4.91599176169279e-05,0.00644119374352067,"BraA02000554",1.1760402099899,4.34865993443709,4.09397468553105,0.0546903883350374,0.330589020041658," 2.537107"," 5.079460","17.118751","11.538438","AT5G13800","PPH","pheophytinase","-","-","WT_sig"
"BraA04001985",6.26055638344718,4.97894038531775,24.6566616546822,4.94766872836378e-05,0.00644119374352067,"BraA04001985",0.793569649365701,4.97894038531775,0.582981123358017,0.452832006123812,0.806930517452849,"  0.1842789","  2.2235951"," 17.2602511","  3.8740362","AT3G57020","AT3G57020","Calcium-dependent phosphotriesterase superfamily protein","-","-","WT_sig"
"BraA06002036",1.17422071710136,3.6480350056778,24.5685322367134,5.05847728152677e-05,0.00644119374352067,"BraA06002036",0.661014176503704,3.6480350056778,6.15155823391174,0.0208015864986189,0.214418448911763," 8.716099","12.660171","19.603812","20.028702","AT1G18610","AT1G18610","Galactose oxidase/kelch repeat superfamily protein","-","-","WT_sig"
"BraA05004440",6.66691889134769,3.79369366654764,24.443518318909,5.22032165775931e-05,0.0064515137391923,"BraA05004440",4.22007369434474,3.79369366654764,8.05418210257608,0.00926376546478971,0.14607518345559," 0.1402886"," 0.1767153","16.8695364"," 3.5779893","AT3G05400","AT3G05400","Major facilitator superfamily protein","-","-","WT_sig"
"BraA05001641",2.0423123797609,4.99831308373845,24.4145420526625,5.25863378675325e-05,0.0064515137391923,"BraA05001641",1.95774195258053,4.99831308373845,17.4570719975255,0.000354999249347959,0.025639029522317,"11.496930","18.123165","47.682049","70.259108","AT5G37260","RVE2","Homeodomain-like superfamily protein","YES","-","WT_sig"
"BraA06002590",1.46595447552559,6.07973098683705,24.3800428312419,5.30464787745358e-05,0.0064515137391923,"BraA06002590",1.16565804657047,6.07973098683705,11.8139791788584,0.00222399061729287,0.0689382682523271," 49.43831"," 72.28459","137.02946","162.17258","AT3G47430","PEX11B","peroxin 11B","-","-","WT_sig"
"BraSca001053",1.62721343751772,3.05991908424009,24.2149167493369,5.53104137633147e-05,0.00659534782298919,"BraSca001053",0.0870434213364894,3.05991908424009,0.0582753353443949,0.811361148028867,0.962036047073994," 3.153037"," 9.014404","10.059311"," 9.603854","AT3G21240","4CL2","4-coumarate:CoA ligase 2","-","-","WT_sig"
"BraA10001878",1.26037583387193,4.71197765930545,24.1595545013627,5.60928192316286e-05,0.00663835319327695,"BraA10001878",0.372768552828232,4.71197765930545,1.64901093446145,0.211754496280604,0.595767411255375,"23.812559","32.484392","56.931827","42.039593","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-","WT_sig"
"BraA02000016",1.47539321185648,4.88148959894833,23.8321387365259,6.09734830813698e-05,0.00700527462555299,"BraA02000016",1.19239890086767,4.88148959894833,12.1591011976032,0.00196926100932571,0.0651940548174153,"14.32130","22.12947","40.00403","50.62139","AT5G01820","SR1","serine/threonine protein kinase 1","-","-","WT_sig"
"BraA06001229",3.64769548704666,6.25546188711668,23.7389957061551,6.24450222918761e-05,0.00712235254256616,"BraA06001229",3.94741150281715,6.25546188711668,21.6848614803709,0.000107066301297737,0.0146443765735134,"  1.923421","  2.102762"," 25.498658"," 32.939230","AT1G08630","THA1","threonine aldolase 1","-","YES","WT_sig"
"BraA08001402",3.67695607307742,2.49206966966993,23.687962450426,6.32676398322756e-05,0.00715047499520619,"BraA08001402",0.8656987016076,2.49206966966993,1.10266111308777,0.304485580816612,0.69324149674473," 0.3285585"," 0.5854140"," 4.9588978"," 1.0947871","AT4G18830","OFP5","ovate family protein 5","-","YES","WT_sig"
"BraA07002023",1.26574839099612,6.99670285120533,23.6675384078525,6.36001587883651e-05,0.00715047499520619,"BraA07002023",1.41254248870611,6.99670285120533,22.0913905439829,9.60314465193066e-05,0.0139631597178548," 85.038986","140.647945","204.390282","374.421482","AT3G56290","AT3G56290","potassium transporter","-","-","WT_sig"
"BraA02001516",1.4499109867005,4.5012030096854,23.4944008982008,6.64966160926205e-05,0.00736121534288623,"BraA02001516",1.22692022998169,4.5012030096854,12.9794324496,0.00148286966369339,0.0561564723920991,"16.115731","19.525154","44.149213","45.722665","AT5G54390","HL","HAL2-like protein","-","-","WT_sig"
"BraA07003116",1.51889489398336,3.95217783943677,23.4452221675893,6.73452991979427e-05,0.00736121534288623,"BraA07003116",1.51568429058205,3.95217783943677,17.914096870974,0.000309867256647136,0.0238011322140838,"10.338871","11.133135","29.652200","31.855257","AT1G67300","AT1G67300","Major facilitator superfamily protein","-","-","WT_sig"
"BraA01000739",1.76118081735479,7.75064368050902,23.0594555850711,7.44264018063557e-05,0.00780981042954693,"BraA01000739",0.988321336121932,7.75064368050902,5.68395516855733,0.0256672030604013,0.236667203179719," 99.65364","193.98196","338.00483","384.92552","AT4G30960","SIP3","SOS3-interacting protein 3","-","-","WT_sig"
"BraA06001861",5.58637745648809,1.95765832682657,23.0124477788916,7.53432515158319e-05,0.00785212707214114,"BraA06001861",4.17962052880512,1.95765832682657,12.2287078489891,0.00192185774891045,0.0644990212534127," 0.09014388"," 0.14377828"," 5.06166980"," 2.84535216","AT1G16850","AT1G16850","transmembrane protein","-","-","WT_sig"
"BraA02003621",1.1115901509084,3.64033569208413,22.9759706677982,7.60631813016639e-05,0.00785212707214114,"BraA02003621",0.562551815331891,3.64033569208413,4.70311491968478,0.0405889416407315,0.290472727475998," 4.474852"," 5.710550"," 9.675386"," 8.455252","AT3G26170","CYP71B19","cytochrome P450, family 71, subfamily B, polypeptide 19","-","-","WT_sig"
"BraA01002299",1.30722624972638,4.09242571033261,22.9627344339192,7.63262669655397e-05,0.00785212707214114,"BraA01002299",0.814918512248161,4.09242571033261,7.16486271371813,0.0134045668209688,0.17404639355927," 8.426369","14.829169","20.724603","26.106239","AT4G15490","UGT84A3","UDP-Glycosyltransferase superfamily protein","-","-","WT_sig"
"BraA03002461",2.20820317252659,3.0544306707766,22.7729046208211,8.02103789191553e-05,0.00801383297139248,"BraA03002461",0.843657142053388,3.0544306707766,2.90622224458005,0.10157918428122,0.435995806615013," 2.110322"," 4.858122"," 9.905821"," 8.711899","AT2G44670","AT2G44670","senescence-associated family protein (DUF581)","-","-","WT_sig"
"BraSca000802",1.93047161349797,4.36575267145728,22.5983930134962,8.39714635442511e-05,0.00819349392318984,"BraSca000802",0.977035111922997,4.36575267145728,4.94790132555493,0.0361164140879344,0.277033312740783," 5.167423","21.255845","20.298966","41.856384","AT3G05640","AT3G05640","Protein phosphatase 2C family protein","-","-","WT_sig"
"BraA05003737",1.06202992571328,5.3491460842337,22.5894124394898,8.41701405885335e-05,0.00819349392318984,"BraA05003737",0.795028811635137,5.3491460842337,9.78072055212413,0.00469318901916881,0.101953496095915,"23.25376","37.43758","48.69361","65.01376","AT3G13810","IDD11","indeterminate(ID)-domain 11","YES","-","WT_sig"
"BraA08001310",2.82715286982202,5.46190506349765,22.5749375642862,8.44914460317186e-05,0.00819349392318984,"BraA08001310",1.79323597174127,5.46190506349765,7.45754449295364,0.0118510867632612,0.164875688644738,"11.98962","18.98740","86.49686","65.75961","AT4G17230","SCL13","SCARECROW-like 13","YES","-","WT_sig"
"BraA07002470",1.15129337512287,6.93312319109593,22.3707620326172,8.91687801224213e-05,0.00850616120682977,"BraA07002470",1.28662433281823,6.93312319109593,20.9763391500261,0.000129745810490475,0.0158310004427912," 59.40427"," 76.01674","132.00767","185.48036","AT1G79270","ECT8","evolutionarily conserved C-terminal region 8","-","-","WT_sig"
"BraA07002711",3.42134980364429,3.69790586909417,22.1780377313909,9.38433958655782e-05,0.0088448805444563,"BraA07002711",3.28142676306427,3.69790586909417,15.9725862534839,0.000558740900169616,0.0332801120741518," 3.398014"," 3.937456","37.566262","38.395161","AT1G73480","AT1G73480","alpha/beta-Hydrolases superfamily protein","-","-","WT_sig"
"BraA03005881",1.00880575400598,4.25186482643815,22.096749376913,9.58945236770765e-05,0.00893124143595967,"BraA03005881",0.75439332883002,4.25186482643815,9.49401093582809,0.00523779082305674,0.109195798085978,"18.058780","21.288337","36.378669","35.899052","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-","WT_sig"
