"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003610","AT3G19390","AT3G19390","Granulin repeat cysteine protease family protein","-","-"
"BraA06000717","AT1G54095","AT1G54095","DUF1677 family protein, putative (DUF1677)","-","-"
"BraA07000517","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA03005170","AT4G18780","IRX1","cellulose synthase family protein","-","YES"
"BraA10002843","AT5G08280","HEMC","hydroxymethylbilane synthase","-","YES"
"BraA01000282","AT4G35920","MCA1","PLAC8 family protein","-","-"
"BraA01003488","AT3G21055","PSBTN","photosystem II subunit T","-","-"
"BraA04001468","AT5G39210","CRR7","chlororespiratory reduction 7","-","-"
"BraA03001904","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA03000615","AT5G13630","GUN5","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)","-","-"
"BraA08003076","AT1G22740","RABG3B","RAB GTPase homolog G3B","-","-"
"BraA06004855","AT5G44030","CESA4","cellulose synthase A4","-","YES"
"BraA08001086","AT1G31330","PSAF","photosystem I subunit F","-","YES"
"BraA10003140","AT5G02160","AT5G02160","transmembrane protein","-","YES"
"BraA04002479","AT2G33800","EMB3113","Ribosomal protein S5 family protein","-","-"
"BraA01003986","AT3G15358","AT3G15358","transmembrane protein","-","-"
"BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA02003402","AT2G02130","LCR68","low-molecular-weight cysteine-rich 68","-","-"
"BraA03000990","AT5G19940","AT5G19940","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA09006613","AT1G08980","AMI1","amidase 1","-","YES"
"BraA09006751","AT1G06680","PSBP-1","photosystem II subunit P-1","-","-"
"BraA06002572","AT3G47590","AT3G47590","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06004117","AT3G29185","AT3G29185","glutamate NMDA receptor subunit epsilon-1, putative (DUF3598)","-","-"
"BraA09003235","AT1G34630","AT1G34630","transmembrane protein","-","-"
"BraA03003763","AT3G11945","HST","homogentisate prenyltransferase","-","-"
"BraA02002869","AT1G64860","SIGA","sigma factor A","-","YES"
"BraA06004798","AT5G44720","AT5G44720","Molybdenum cofactor sulfurase family protein","-","-"
"BraA06001340","AT1G09890","AT1G09890","Rhamnogalacturonate lyase family protein","-","-"
"BraA02000026","AT2G04660","APC2","anaphase-promoting complex/cyclosome 2","-","YES"
"BraA06004908","AT5G43150","AT5G43150","elongation factor","-","-"
"BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05001915","AT1G51340","AT1G51340","MATE efflux family protein","-","YES"
"BraA08000987","AT5G40870","UK/UPRT1","uridine kinase/uracil phosphoribosyltransferase 1","-","-"
"BraA06000911","AT1G51400","AT1G51400","Photosystem II 5 kD protein","-","-"
"BraA03005918","AT4G30020","AT4G30020","PA-domain containing subtilase family protein","-","-"
"BraA07002482","AT1G78995","AT1G78995","hypothetical protein","-","YES"
"BraA08002092","AT2G20260","PSAE-2","photosystem I subunit E-2","-","-"
"BraA06000855","AT1G52220","AT1G52220","CURVATURE THYLAKOID protein","-","-"
"BraA10000541","AT2G30570","PSBW","photosystem II reaction center W","-","-"
"BraA09005523","AT2G26340","AT2G26340","hypothetical protein","-","-"
"BraA06002684","AT3G46130","MYB48","myb domain protein 48","YES","-"
"BraA10002278","AT5G13730","SIG4","sigma factor 4","-","-"
"BraA04002720","AT2G37660","AT2G37660","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA05003403","AT3G17640","AT3G17640","Leucine-rich repeat (LRR) family protein","-","-"
"BraA08003881","AT1G05680","UGT74E2","Uridine diphosphate glycosyltransferase 74E2","-","-"
"BraA08003838","AT1G06680","PSBP-1","photosystem II subunit P-1","-","-"
"BraA03003819","AT3G13000","AT3G13000","ubiquinone biosynthesis protein (Protein of unknown function, DUF547)","-","-"
"BraA07001164","AT1G27480","AT1G27480","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA02001705","AT5G51890","AT5G51890","Peroxidase superfamily protein","-","-"
"BraA05000722","AT2G46090","LCBK2","Diacylglycerol kinase family protein","-","-"
"BraA03003616","AT3G09410","AT3G09410","Pectinacetylesterase family protein","-","-"
"BraA06003704","AT5G25350","EBF2","EIN3-binding F box protein 2","-","-"
"BraA09005783","AT5G43745","AT5G43745","ion channel POLLUX-like protein, putative (DUF1012)","-","-"
"BraA09006187","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES"
"BraA03006266","AT4G34050","CCoAOMT1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA07001538","AT1G20850","XCP2","xylem cysteine peptidase 2","-","YES"
"BraA01001916","AT4G27450","AT4G27450","aluminum induced protein with YGL and LRDR motifs","-","-"
"BraA08002898","AT5G13090","AT5G13090","hypothetical protein","-","-"
"BraA06002586","AT3G47470","LHCA4","light-harvesting chlorophyll-protein complex I subunit A4","-","YES"
"BraA03000853","AT5G17420","IRX3","Cellulose synthase family protein","-","YES"
"BraA02003018","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA07000443","AT2G16630","AT2G16630","Pollen Ole e 1 allergen and extensin family protein","-","-"
"BraA03003517","AT3G06850","BCE2","2-oxoacid dehydrogenases acyltransferase family protein","-","-"
"BraA03000979","AT5G19760","AT5G19760","Mitochondrial substrate carrier family protein","-","-"
"BraA09006646","AT1G08380","PSAO","photosystem I subunit O","-","YES"
"BraA03005776","AT4G28080","AT4G28080","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05000369","AT2G42300","AT2G42300","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA03002875","AT4G10340","LHCB5","light harvesting complex of photosystem II 5","-","YES"
"BraA09005792","AT2G22610","AT2G22610","Di-glucose binding protein with Kinesin motor domain-containing protein","-","-"
"BraA08002767","AT1G29660","AT1G29660","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA01000131","AT4G37760","SQE3","squalene epoxidase 3","-","YES"
"BraA09000345","AT3G27690","LHCB2.3","photosystem II light harvesting complex protein 2.3","-","-"
"BraA03001091","AT5G22340","AT5G22340","NF-kappa-B inhibitor-like protein","-","-"
"BraA08003169","AT1G20850","XCP2","xylem cysteine peptidase 2","-","YES"
"BraA09006385","AT1G13780","AT1G13780","F-box/RNI-like/FBD-like domains-containing protein","-","-"
"BraA05000991","AT2G37040","PAL1","PHE ammonia lyase 1","-","YES"
"BraA10000990","AT5G54270","LHCB3","light-harvesting chlorophyll B-binding protein 3","-","YES"
"BraA06001774","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES"
"BraA02001487","AT5G54730","G18F","yeast autophagy 18 F-like protein","-","-"
"BraA04003045","AT1G50900","GDC1","Ankyrin repeat family protein","-","YES"
"BraA07001729","AT5G66570","PSBO1","PS II oxygen-evolving complex 1","-","YES"
"BraA09004802","AT3G54210","AT3G54210","Ribosomal protein L17 family protein","-","-"
"BraA01000042","AT4G39350","CESA2","cellulose synthase A2","-","-"
"BraA05003527","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-"
"BraA09002859","AT4G08160","AT4G08160","glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein","-","-"
"BraA02003164","AT5G46780","AT5G46780","VQ motif-containing protein","-","-"
"BraA01001535","AT4G23800","3xHMG-box2","HMG (high mobility group) box protein","-","-"
"BraA07001973","AT3G54890","LHCA1","chlorophyll a-b binding protein 6","-","YES"
"BraA06004315","AT3G26490","AT3G26490","Phototropic-responsive NPH3 family protein","-","-"
"BraA01004594","AT3G04730","IAA16","indoleacetic acid-induced protein 16","-","-"
"BraA02000474","AT5G12270","AT5G12270","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA09000227","AT4G02740","AT4G02740","F-box/RNI-like superfamily protein","-","-"
"BraA04001952","AT2G26730","AT2G26730","Leucine-rich repeat protein kinase family protein","-","-"
"BraA05001183","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA05001265","AT2G33330","PDLP3","plasmodesmata-located protein 3","-","-"
"BraA01000022","AT4G38950","AT4G38950","ATP binding microtubule motor family protein","-","-"
"BraA07003767","AT1G75280","AT1G75280","NmrA-like negative transcriptional regulator family protein","-","-"
"BraA05000363","AT2G42190","AT2G42190","rho GTPase-activating gacO-like protein","-","-"
"BraA07001929","AT2G28900","OEP16-1","outer plastid envelope protein 16-1","-","-"
"BraA08002463","AT4G39660","AGT2","alanine:glyoxylate aminotransferase 2","-","-"
"BraA02004501","AT5G65660","AT5G65660","hydroxyproline-rich glycoprotein family protein","-","-"
"BraA05001184","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA05001455","AT2G31390","AT2G31390","pfkB-like carbohydrate kinase family protein","-","-"
"BraA05003740","AT3G13790","ATBFRUCT1","Glycosyl hydrolases family 32 protein","-","-"
"BraA10002305","AT5G13320","PBS3","Auxin-responsive GH3 family protein","-","-"
"BraA08002244","AT4G24810","AT4G24810","Protein kinase superfamily protein","-","-"
"BraA08003050","AT1G23460","AT1G23460","Pectin lyase-like superfamily protein","-","-"
"BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA03005976","AT4G30610","BRS1","alpha/beta-Hydrolases superfamily protein","-","YES"
"BraA01002292","AT4G15550","IAGLU","indole-3-acetate beta-D-glucosyltransferase","-","-"
"BraA01001341","AT4G21870","AT4G21870","HSP20-like chaperones superfamily protein","-","-"
"BraA01003228","AT3G24110","AT3G24110","Calcium-binding EF-hand family protein","-","-"
"BraA03004131","AT3G19100","AT3G19100","Protein kinase superfamily protein","-","-"
"BraA03000096",NA,NA,NA,NA,NA
"BraA02003025","AT4G04540","CRK39","cysteine-rich RLK (RECEPTOR-like protein kinase) 39","-","-"
"BraA05002015","AT1G49560","AT1G49560","Homeodomain-like superfamily protein","YES","-"
"BraA05001182","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA03006599","AT1G59720","CRR28","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA01000023","AT4G38970","FBA2","fructose-bisphosphate aldolase 2","-","YES"
"BraA10001413","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA09005303","AT3G60130","BGLU16","beta glucosidase 16","-","-"
"BraA06000665","AT1G55670","PSAG","photosystem I subunit G","-","-"
"BraA10001989","AT5G17700","AT5G17700","MATE efflux family protein","-","-"
"BraA01000330","AT4G35350","XCP1","xylem cysteine peptidase 1","-","YES"
"BraA03002208","AT2G39730","RCA","rubisco activase","-","YES"
"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA03000917","AT5G18600","AT5G18600","Thioredoxin superfamily protein","-","-"
"BraA02004500","AT5G65640","bHLH093","beta HLH protein 93","YES","-"
"BraA02003103","AT4G11320","AT4G11320","Papain family cysteine protease","-","-"
"BraA02003627","AT3G26280","CYP71B4","cytochrome P450, family 71, subfamily B, polypeptide 4","-","-"
"BraA08002247","AT4G24780","AT4G24780","Pectin lyase-like superfamily protein","-","-"
"BraA06000759","AT1G53520","FAP3","Chalcone-flavanone isomerase family protein","-","-"
"BraA03004707","AT5G61270","PIF7","phytochrome-interacting factor7","YES","-"
"BraA07002281","AT3G61470","LHCA2","photosystem I light harvesting complex protein","-","-"
"BraA09002798","AT4G10340","LHCB5","light harvesting complex of photosystem II 5","-","YES"
"BraA03003954","AT3G15630","AT3G15630","plant/protein","-","-"
"BraSca000243","AT5G23960","TPS21","terpene synthase 21","-","-"
"BraA01003545","AT5G15830","bZIP3","basic leucine-zipper 3","YES","-"
"BraA08000220","AT1G52230","PSAH2","photosystem I subunit H2","-","-"
"BraA01004409","AT3G09085","AT3G09085","transmembrane protein (DUF962)","-","-"
"BraA10002523","AT5G65360","AT5G65360","Histone superfamily protein","-","-"
"BraA10000097","AT1G02250","NAC005","NAC domain containing protein 5","YES","-"
"BraA06000573",NA,NA,NA,NA,NA
"BraA03003710","AT3G10986","AT3G10986","LURP-one-like protein (DUF567)","-","-"
"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA05000665","AT2G45400","BEN1","NAD(P)-binding Rossmann-fold superfamily protein","-","YES"
"BraA08002841","AT1G28190","AT1G28190","hypothetical protein","-","-"
"BraA10001175","AT3G24255","AT3G24255","RNA-directed DNA polymerase (reverse transcriptase)-related family protein","-","-"
"BraA02002435","AT1G74670","GASA6","Gibberellin-regulated family protein","-","YES"
"BraA08001679","AT4G34590","GBF6","G-box binding factor 6","YES","YES"
"BraA04002607","AT3G52470","AT3G52470","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","-","-"
"BraA02001144","AT5G60020","LAC17","laccase 17","-","YES"
"BraA05000930","AT2G37770","ChlAKR","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA03000257","AT5G06280","AT5G06280","hypothetical protein","-","-"
"BraA03004068","AT3G17700","CNBT1","cyclic nucleotide-binding transporter 1","-","-"
"BraA07002218","AT3G59960","ASHH4","histone-lysine N-methyltransferase ASHH4","-","-"
"BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA07000017","AT2G20670","AT2G20670","sugar phosphate exchanger, putative (DUF506)","-","-"
"BraA05001633","AT2G29130","LAC2","laccase 2","-","YES"
"BraA05000316","AT2G41640","AT2G41640","Glycosyltransferase family 61 protein","-","-"
"BraA04002069","AT2G28605","AT2G28605","Photosystem II reaction center PsbP family protein","-","YES"
"BraA09005769","AT2G22900","AT2G22900","Galactosyl transferase GMA12/MNN10 family protein","-","-"
"BraA07003608","AT1G73325","AT1G73325","Kunitz family trypsin and protease inhibitor protein","-","-"
"BraA01004052","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA01004624","AT3G04070","NAC047","NAC domain containing protein 47","YES","YES"
"BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA02001173","AT5G59970","AT5G59970","Histone superfamily protein","-","-"
"BraA10003180",NA,NA,NA,NA,NA
"BraA03004924","AT5G42650","AOS","allene oxide synthase","-","YES"
"BraA03001349","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA08002357","AT4G37220","AT4G37220","Cold acclimation protein WCOR413 family","-","-"
"BraA07002366","AT3G45140","LOX2","lipoxygenase 2","-","YES"
"BraA06001729","AT1G15410","AT1G15410","aspartate-glutamate racemase family","-","-"
"BraA07003548","AT1G72450","JAZ6","jasmonate-zim-domain protein 6","-","YES"
"BraA07004131","AT1G80920","J8","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA08001710","AT4G34138","UGT73B1","UDP-glucosyl transferase 73B1","-","-"
"BraA10002729","AT5G06860","PGIP1","polygalacturonase inhibiting protein 1","-","-"
"BraA07003706","AT1G74470","AT1G74470","Pyridine nucleotide-disulfide oxidoreductase family protein","-","-"
"BraA06003537","AT5G23530","CXE18","carboxyesterase 18","-","-"
"BraA09004891","AT3G55120","TT5","Chalcone-flavanone isomerase family protein","-","YES"
"BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA01001785","AT4G26140","BGAL12","beta-galactosidase 12","-","-"
"BraA06004037","AT5G48180","NSP5","nitrile specifier protein 5","-","-"
"BraA10003064","AT5G03260","LAC11","laccase 11","-","YES"
"BraA02001391","AT5G56550","OXS3","oxidative stress 3","-","-"
"BraA07000291","AT4G38470","STY46","ACT-like protein tyrosine kinase family protein","-","-"
"BraA05002269","AT1G34180","NAC016","NAC domain containing protein 16","YES","-"
"BraA03001255","AT5G58250","EMB3143","YCF54","-","-"
"BraA08002387","AT4G37650","SHR","GRAS family transcription factor","YES","YES"
"BraA01000181","AT4G36900","RAP2.10","related to AP2 10","YES","-"
"BraA02000094","AT5G03260","LAC11","laccase 11","-","YES"
"BraA02004139","AT5G25160","ZFP3","zinc finger protein 3","YES","-"
"BraA01001556","AT4G24000","CSLG2","cellulose synthase like G2","-","-"
"BraA02000844","AT5G18460","AT5G18460","carboxyl-terminal peptidase (DUF239)","-","-"
"BraA09006703","AT1G07370","PCNA1","proliferating cellular nuclear antigen 1","-","YES"
"BraA04001733","AT2G23770","LYK4","protein kinase family protein / peptidoglycan-binding LysM domain-containing protein","-","-"
"BraA01000278","AT4G36010","AT4G36010","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA08002952",NA,NA,NA,NA,NA
"BraA03002639","AT3G62440","SAF1","F-box/RNI-like superfamily protein","-","-"
"BraA09003671","AT1G30730","AT1G30730","FAD-binding Berberine family protein","-","-"
"BraA03001246","AT5G58350","WNK4","with no lysine (K) kinase 4","-","-"
"BraA06002079","AT1G19200","AT1G19200","cyclin-dependent kinase, putative (DUF581)","-","-"
"BraA06002143","AT1G19770","PUP14","purine permease 14","-","-"
"BraA05003638","AT3G14840","AT3G14840","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA03000302","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA06000985","AT3G19820","DWF1","cell elongation protein / DWARF1 / DIMINUTO (DIM)","-","YES"
"BraA09005550","AT3G63190","RRF","ribosome recycling factor, chloroplast precursor","-","-"
"BraA10000335","AT1G04830","AT1G04830","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
"BraA04000397","AT3G56710","SIB1","sigma factor binding protein 1","-","-"
"BraA08004017","AT1G02400","GA2OX6","gibberellin 2-oxidase 6","-","-"
"BraA07001513","AT3G43660","AT3G43660","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA02002842","AT1G80130","AT1G80130","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA06001570","AT1G13740","AFP2","ABI five binding protein 2","-","YES"
"BraA09004157","AT3G07040","RPM1","NB-ARC domain-containing disease resistance protein","-","YES"
"BraA01002310",NA,NA,NA,NA,NA
"BraA05003637","AT3G14840","AT3G14840","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA08001647","AT4G34950","AT4G34950","Major facilitator superfamily protein","-","-"
"BraSca001092","AT5G67070","RALFL34","ralf-like 34","-","-"
"BraA05000792","AT2G39710","AT2G39710","Eukaryotic aspartyl protease family protein","-","-"
"BraA05003235","AT3G19010","AT3G19010","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA03000085","AT5G02540","AT5G02540","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA04002350","AT2G32020","AT2G32020","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA06003924","AT5G49450","bZIP1","basic leucine-zipper 1","YES","-"
"BraA02000113","AT5G03610","AT5G03610","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA02003820","AT3G29240","AT3G29240","PPR containing protein (DUF179)","-","-"
"BraA03002109","AT2G38310","PYL4","PYR1-like 4","-","YES"
"BraA03004552",NA,NA,NA,NA,NA
"BraA05000760","AT2G40000","HSPRO2","ortholog of sugar beet HS1 PRO-1 2","-","-"
