"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA06002244",-2.93975419802789,6.53466724803957,303.416114671072,7.85405082163903e-15,6.80667596203018e-12,"BraA06002244",-3.03604136708144,6.53466724803957,242.389268687452,8.74585953078229e-14,1.52955365571681e-10,"105.31237","118.50140"," 13.72675"," 14.44500","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-","Both_sig"
"BraA05003526",-3.9941746683947,9.41762957542658,303.077629546323,7.94948694305492e-15,6.80667596203018e-12,"BraA05003526",-3.48793306517519,9.41762957542658,181.737914423632,1.79882113146065e-12,7.97178816489139e-10,"1079.80383"," 756.66664","  67.81111","  67.41512","AT3G15850","FAD5","fatty acid desaturase 5","-","-","Both_sig"
"BraA08003464",-6.21946404447868,7.98803974367136,301.775382471459,8.32857352265065e-15,6.80667596203018e-12,"BraA08003464",-6.55021955364596,7.98803974367136,246.066014321743,7.45076202853605e-14,1.52955365571681e-10,"258.747717","333.898631","  3.497761","  3.533537","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-","Both_sig"
"BraA08002432",-7.55005207352444,6.93907624463704,300.724245393926,8.64888940537507e-15,6.80667596203018e-12,"BraA08002432",-6.34720064121042,6.93907624463704,188.745221902402,1.21504044514544e-12,6.3749122021964e-10,"164.0091147","152.3280542","  0.9525366","  1.8426552","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-","Both_sig"
"BraA07003370",-3.2319757531159,6.94236209490025,297.583869382943,9.68826394546261e-15,7.17388732831617e-12,"BraA07003370",-3.16671043733388,6.94236209490025,218.35358066606,2.64318435973579e-13,3.20028629401857e-10,"127.86146","177.24569"," 13.64576"," 19.71933","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-","Both_sig"
"BraA09006403",-5.16156699597424,10.6908169053563,294.429906969161,1.08701219037407e-14,7.17388732831617e-12,"BraA09006403",-4.45417616151231,10.6908169053563,176.208610268742,2.47532266408462e-12,8.48730995916923e-10,"2378.76661","2111.03043","  66.57958","  96.27426","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-","Both_sig"
"BraA04003076",-5.65123091229047,9.04005405928589,294.258769676217,1.09385829656663e-14,7.17388732831617e-12,"BraA04003076",-4.88469126412024,9.04005405928589,178.045973385887,2.22401025530521e-12,8.33474319488189e-10,"677.73621","526.71786"," 13.52704"," 17.80403","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-","Both_sig"
"BraA06002613",-5.47642630233476,5.87198419318427,290.216164494298,1.26999643331741e-14,7.99589754416641e-12,"BraA06002613",-4.52774885618439,5.87198419318427,176.173551779067,2.48040824727945e-12,8.48730995916923e-10," 59.659192"," 75.852772","  1.384731","  3.274142","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-","Both_sig"
"BraA01002230",-2.31185796858219,6.72304219076014,286.996975780933,1.43231893560006e-14,8.02844651601739e-12,"BraA01002230",-1.94312720519487,6.72304219076014,156.604564411255,8.28714702449236e-12,1.89454101666711e-09,"130.1784","107.0022"," 26.2507"," 27.7933","AT1G54350","ABCD2","ABC transporter family protein","-","-","Both_sig"
"BraA09003100",-3.99881874639405,7.10310914188974,286.60784647725,1.45341916839989e-14,8.02844651601739e-12,"BraA09003100",-2.94129613727209,7.10310914188974,129.70435164116,5.50703774280986e-11,5.20377755480332e-09,"176.90101","166.39829"," 11.12955"," 21.65085","AT4G04850","KEA3","K  efflux antiporter 3","-","-","Both_sig"
"BraA01000670",-2.42684673147445,5.70341239839435,285.1192993882,1.53730558791068e-14,8.02844651601739e-12,"BraA01000670",-2.35680352956555,5.70341239839435,205.499927785758,5.00143802538222e-13,4.14329655365874e-10,"60.38715","66.58559","11.21935","12.98514","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-","Both_sig"
"BraA03004376",-3.38415237815037,8.01382098673585,284.168143817546,1.5936526495597e-14,8.02844651601739e-12,"BraA03004376",-3.12884010473878,8.01382098673585,186.343459004495,1.38786808875078e-12,6.98644272470844e-10,"429.49958","308.78331"," 41.17974"," 35.26748","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-","Both_sig"
"BraA05000807",-5.54536522368567,7.52363486766713,283.973279974807,1.60547111756155e-14,8.02844651601739e-12,"BraA05000807",-4.76408922018845,7.52363486766713,172.163778591041,3.14430209173675e-12,9.0778888329901e-10,"244.749686","244.455325","  5.251896","  8.939496","AT2G39470","PnsL1","PsbP-like protein 2","-","-","Both_sig"
"BraA08003566",-4.63349234462931,8.51855926149464,283.963508650498,1.60606624827975e-14,8.02844651601739e-12,"BraA08003566",-4.3598817639735,8.51855926149464,194.717422368683,8.78569582982272e-13,5.76498297802052e-10,"447.67905","541.63725"," 18.09460"," 26.35259","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES","Both_sig"
"BraA04002623",-2.70004337844775,6.75708713247123,283.538053208038,1.63221276056262e-14,8.02844651601739e-12,"BraA04002623",-2.55149898450014,6.75708713247123,193.376851216782,9.44156575040835e-13,5.76498297802052e-10,"124.73636","130.75207"," 19.18909"," 22.28613","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-","Both_sig"
"BraA10002909",-4.87561665350029,7.84565199032383,278.294537155167,1.99536663734129e-14,9.51729420356116e-12,"BraA10002909",-5.7164406372172,7.84565199032383,263.302183505627,3.6152890420963e-14,1.13809299045192e-10,"265.867992","270.041713","  9.120594","  5.128057","AT5G09650","PPa6","pyrophosphorylase 6","-","-","Both_sig"
"BraA10003025",-2.50377957991354,5.59626246065255,276.587894325639,2.13180736928352e-14,9.86901411544781e-12,"BraA10003025",-2.72274665671844,5.59626246065255,242.534368926198,8.69035312488631e-14,1.52955365571681e-10,"58.026006","57.468244","10.269499"," 8.678963","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-","Both_sig"
"BraA07002742",-11.2109195423263,5.81653029568302,325.73088730451,2.3274380525486e-14,1.04668214134614e-11,"BraA07002742",-12.2312979110266,5.81653029568302,229.594021609607,7.37155859164646e-13,5.52515867773882e-10,"87.79642552","58.43215772"," 0.02416943"," 0.00000000","AT1G72610","GER1","germin-like protein 1","-","-","Both_sig"
"BraA03004149",-5.75572965470629,6.95760844099694,272.49261955555,2.50237374433755e-14,1.08381210719981e-11,"BraA03004149",-5.65525859538395,6.95760844099694,199.428763311097,6.84543107284631e-13,5.38735425433005e-10,"184.996942","146.070025","  3.535355","  2.876861","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-","Both_sig"
"BraA08003415",-3.67188138355997,6.92498702925403,272.037275232675,2.54771588096525e-14,1.08381210719981e-11,"BraA08003415",-3.34090590019187,6.92498702925403,173.356924690642,2.92856424130902e-12,9.0778888329901e-10,"219.06922","142.15206"," 17.15193"," 14.03598","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-","Both_sig"
"BraA04001910",-2.05236939009956,7.31584138748949,267.962915184856,2.99554514758221e-14,1.24078633218273e-11,"BraA04001910",-1.8020712266095,7.31584138748949,157.908742164369,7.61632733680735e-12,1.81637867092951e-09,"197.82663","183.59121"," 47.68502"," 52.64639","AT2G25870","AT2G25870","haloacid dehalogenase-like hydrolase family protein","-","-","Both_sig"
"BraA04002534",-4.00274185164171,6.27500240910833,264.857819327621,3.39419861465673e-14,1.36986374858197e-11,"BraA04002534",-3.85187600048857,6.27500240910833,189.392179575577,1.17258733763131e-12,6.3749122021964e-10," 97.273369","108.108979","  6.077150","  7.475326","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-","Both_sig"
"BraA07003829",-5.81282189561806,8.22511746167431,264.102303258867,3.49968247878356e-14,1.37712505540133e-11,"BraA07003829",-6.15105886070232,8.22511746167431,215.154141675709,3.08787072258e-13,3.4716489409578e-10,"399.638344","411.523218","  7.172466","  5.773370","AT1G76100","PETE1","plastocyanin 1","-","-","Both_sig"
"BraA08002568",-5.35942285357098,10.585320799473,262.406879466686,3.74958727094442e-14,1.43419185397309e-11,"BraA08002568",-5.05967512723395,10.585320799473,180.72297863777,1.9061312378323e-12,8.03592523236616e-10,"2181.96621","2043.94030","  53.26454","  61.24969","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-","Both_sig"
"BraA10001684",-4.49744469293528,5.70448700745725,261.906865832807,3.82694141466772e-14,1.43419185397309e-11,"BraA10001684",-3.81273444833004,5.70448700745725,156.511323594714,8.33750703465382e-12,1.89454101666711e-09,"63.159123","61.817923"," 2.910894"," 4.383786","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-","Both_sig"
"BraA06004302",-3.86329818979994,8.46293656729554,261.22897815791,3.93459406943258e-14,1.44024443378765e-11,"BraA06004302",-2.97425554751837,8.46293656729554,126.15499066876,7.24778322957792e-11,6.23388568489379e-09,"499.02539","382.78463"," 34.34968"," 48.68498","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-","Both_sig"
"BraA04000162",-3.28136048428199,10.9126859072333,259.25510862836,4.26723357389026e-14,1.52650582847801e-11,"BraA04000162",-2.81677662889375,10.9126859072333,149.203720501188,1.35407715016208e-11,2.36813048261679e-09,"2764.8631","2344.8559"," 284.4009"," 332.7764","AT3G60750","AT3G60750","Transketolase","-","-","Both_sig"
"BraA06003059",-2.34092879186288,5.49983334862175,255.672453303923,4.95172481562787e-14,1.72021480540056e-11,"BraA06003059",-2.01614141102489,5.49983334862175,147.764467664033,1.49341651996735e-11,2.41689944857125e-09,"53.62317","53.64519","10.61382","13.25688","AT5G62840","AT5G62840","Phosphoglycerate mutase family protein","-","YES","Both_sig"
"BraA09004850",-7.68011088485913,6.44844526441035,254.82803577262,5.1298675912449e-14,1.72021480540056e-11,"BraA09004850",-5.19839581892806,6.44844526441035,118.754082481842,1.31343375917275e-10,8.79721164654429e-09,"136.8072131"," 79.5007111","  0.6832359","  2.1128719","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-","Both_sig"
"BraA04000314",-2.38323487904304,5.48481208661431,254.79674723202,5.13660075310205e-14,1.72021480540056e-11,"BraA04000314",-1.98013597370562,5.48481208661431,136.793839226975,3.24181811133639e-11,3.89513107423166e-09,"62.82701","52.63116","12.05124","13.32988","AT3G58010","PGL34","plastoglobulin 34kD","-","-","Both_sig"
"BraA03006148",-2.92428238150516,6.99123210101888,250.937574455044,6.04555339767905e-14,1.98243771832225e-11,"BraA03006148",-2.95690497613993,6.99123210101888,192.518912897467,9.88910676026391e-13,5.76498297802052e-10,"163.37989","157.97398"," 21.59433"," 20.34432","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES","Both_sig"
"BraA09000299",-2.59861601585348,6.35999159209029,249.828471763934,6.33807214561227e-14,1.99904803192618e-11,"BraA09000299",-2.4700306845142,6.35999159209029,172.370477010954,3.10572452998493e-12,9.0778888329901e-10,"102.04385","104.47104"," 16.86480"," 18.82442","AT3G26290","CYP71B26","cytochrome P450, family 71, subfamily B, polypeptide 26","-","-","Both_sig"
"BraA08002093",-4.62788038068777,3.84379616079605,249.75078903077,6.35912897882486e-14,1.99904803192618e-11,"BraA08002093",-3.60897503946715,3.84379616079605,133.331263200521,4.18671721299781e-11,4.5717282261863e-09,"21.5808917","18.4899054"," 0.8811168"," 1.4873280","AT4G28730","GrxC5","Glutaredoxin family protein","-","-","Both_sig"
"BraA03004636",-3.08373702417444,10.0903668997246,249.000219528854,6.56653899961511e-14,1.99904803192618e-11,"BraA03004636",-2.76331410225116,10.0903668997246,154.156533392367,9.72625647796293e-12,2.0186794208036e-09,"1565.5949","1323.1696"," 184.7171"," 194.8687","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-","Both_sig"
"BraA04003129",-9.32615312556695,5.09895600712998,248.866610149579,6.60422475604584e-14,1.99904803192618e-11,"BraA04003129",-8.27020045392505,5.09895600712998,177.354976197237,2.31511413386778e-12,8.47439452722763e-10,"55.12792850","52.44084170"," 0.06173992"," 0.14668345","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-","Both_sig"
"BraA06000973",-3.03685569267752,5.89360066781633,247.810733370033,6.91044165633752e-14,2.05227078624061e-11,"BraA06000973",-2.94502007060915,5.89360066781633,179.522099493125,2.04216651394312e-12,8.03592523236616e-10," 62.046912"," 74.211381","  7.590754","  9.648983","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-","Both_sig"
"BraA09005291",-2.66602478026443,5.97407730899969,246.48231292145,7.31779522637651e-14,2.07468560681418e-11,"BraA09005291",-2.06146052979057,5.97407730899969,117.236072948473,1.48951342538724e-10,9.64812399818731e-09,"81.76965","76.98608","12.93139","18.42821","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-","Both_sig"
"BraA05004167",-3.54438360210348,5.1323383287686,246.282327607723,7.38134650454854e-14,2.07468560681418e-11,"BraA05004167",-2.74314350498264,5.1323383287686,120.21128095994,1.16549997534601e-10,8.26349982520103e-09,"61.934213","45.798961"," 5.362437"," 6.808846","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-","Both_sig"
"BraA03000235",-3.63013280483406,7.66897999109289,245.659695412572,7.58307535555426e-14,2.09399308941095e-11,"BraA03000235",-3.53358825025016,7.66897999109289,175.391707565731,2.59682277283595e-12,8.69659371158252e-10,"337.35773","199.11401"," 27.32365"," 17.16122","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-","Both_sig"
"BraA09001262",-5.19188904332107,5.90414612071197,245.021459251219,7.79609105580138e-14,2.11569781410886e-11,"BraA09001262",-3.55897255038065,5.90414612071197,103.939962569023,4.77268235240584e-10,2.10425826966017e-08,"97.002362","74.311872"," 2.591863"," 6.335270","AT4G29840","MTO2","Pyridoxal-5'-phosphate-dependent enzyme family protein","-","-","Both_sig"
"BraA08002692",-2.22237171101387,7.61790620058872,244.507392483087,7.97239129092929e-14,2.12687184608859e-11,"BraA08002692",-1.81272126555152,7.61790620058872,125.788131041218,7.45928540440226e-11,6.34644066298873e-09,"231.16140","213.71198"," 49.51358"," 60.82283","AT4G14210","PDS3","phytoene desaturase 3","-","-","Both_sig"
"BraA01002037",-4.15959282585522,9.25643685938331,243.194001229337,8.44279708637763e-14,2.2148271023264e-11,"BraA01002037",-3.68342673300998,9.25643685938331,149.764728190347,1.30364524471636e-11,2.30554788222871e-09,"887.03075","720.82655"," 49.74899"," 56.08567","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-","Both_sig"
"BraA05001563",-3.37897802631687,5.59054542304874,242.509238533841,8.69993900386428e-14,2.24486950689875e-11,"BraA05001563",-2.52510825318904,5.59054542304874,110.787168490656,2.58223682470465e-10,1.41618145020388e-08,"67.333458","57.305967"," 6.416251"," 9.945518","AT2G29970","AT2G29970","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","-","-","Both_sig"
"BraA08001067",-2.62153455681387,7.4313523139216,238.753060824583,1.0270579511688e-13,2.60740195990272e-11,"BraA08001067",-2.37371249188432,7.4313523139216,150.340435599693,1.25400534231651e-11,2.26874069977723e-09,"214.40544","231.18636"," 34.86402"," 44.58682","AT2G04700","AT2G04700","ferredoxin thioredoxin reductase catalytic beta chain family protein","-","-","Both_sig"
"BraA07003594",-4.14204581077326,7.16470813110013,232.914978954044,1.33570416829682e-13,3.33714025539555e-11,"BraA07003594",-3.84832667269943,7.16470813110013,156.163651789369,8.52823810375726e-12,1.89454101666711e-09,"213.70562","195.67823"," 12.24550"," 13.55688","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-","Both_sig"
"BraA03003901",-4.28987446887273,8.5609845846274,231.436673747981,1.42896232385541e-13,3.51435421523189e-11,"BraA03003901",-3.08693500790574,8.5609845846274,100.913797939103,6.32877478725755e-10,2.51552816038974e-08,"512.73611","454.14518"," 26.26755"," 53.42250","AT3G14415","GOX2","Aldolase-type TIM barrel family protein","-","-","Both_sig"
"BraA09005883",-6.38682205758346,4.48482303548752,230.143243642417,1.51637368461885e-13,3.6361738063771e-11,"BraA09005883",-6.74275753296865,4.48482303548752,179.806680717878,2.00900189482387e-12,8.03592523236616e-10,"33.1990569","28.4601304"," 0.4320158"," 0.2463888","AT2G21370","XK-1","xylulose kinase-1","-","-","Both_sig"
"BraA09005567",-3.96190522846544,8.25738889760998,230.024312935287,1.52469803825215e-13,3.6361738063771e-11,"BraA09005567",-3.68532581321884,8.25738889760998,153.925678038848,9.87536946644707e-12,2.0186794208036e-09,"380.58858","432.54489"," 24.50067"," 33.61233","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-","Both_sig"
"BraA03001437",-5.46734463059054,10.1397564090551,228.81800702946,1.61199342885237e-13,3.78698157763229e-11,"BraA03001437",-4.54245353291715,10.1397564090551,129.868887188277,5.43821331675232e-11,5.18772591549585e-09,"1531.92611","1767.17758","  34.69874","  75.78374","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-","Both_sig"
"BraA09004114",-6.66386375680558,6.4919468750567,228.159518255329,1.66192425989216e-13,3.82733635370938e-11,"BraA09004114",-6.28224646654662,6.4919468750567,159.252489721166,6.98635610778385e-12,1.71820695525809e-09,"145.247408","108.789322","  1.576221","  1.367330","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-","Both_sig"
"BraA07002023",-4.6644823164162,6.99670285120533,227.954602060634,1.67780310296028e-13,3.82733635370938e-11,"BraA07002023",-4.45704773678151,6.99670285120533,165.587039184588,4.68984565409251e-12,1.25115543382061e-09," 85.038986","140.647945","  3.367264","  6.407719","AT3G56290","AT3G56290","potassium transporter","-","-","Both_sig"
"BraA05000178",-2.66244170399783,4.70054242296884,226.980686632934,1.75555770917528e-13,3.92932395649215e-11,"BraA05000178",-2.3910198634764,4.70054242296884,144.316053706071,1.89489327349734e-11,2.82739906021713e-09,"30.853146","32.417932"," 4.938630"," 6.168166","AT2G46910","AT2G46910","Plastid-lipid associated protein PAP / fibrillin family protein","-","-","Both_sig"
"BraA05001006",-3.11338832844223,8.26491094874402,226.775423383204,1.77243965000599e-13,3.92932395649215e-11,"BraA05001006",-3.30573345088587,8.26491094874402,188.920536477834,1.20337387804479e-12,6.3749122021964e-10,"362.41041","410.03165"," 41.91670"," 41.43648","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-","Both_sig"
"BraA05001825",-3.31125542168073,7.37152466774394,225.566311963228,1.8755314849734e-13,4.0744202128274e-11,"BraA05001825",-2.52099585020794,7.37152466774394,105.550785586866,4.11833820435898e-10,1.95838801621179e-08,"217.02088","186.40472"," 21.97324"," 32.44370","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-","Both_sig"
"BraA05000276",-3.13774668490005,7.63356869096261,225.34731803834,1.89489081516662e-13,4.0744202128274e-11,"BraA05000276",-2.71778976318476,7.63356869096261,132.189954899338,4.56070390308233e-11,4.75400526056396e-09,"266.78279","316.83215"," 30.33305"," 48.12009","AT2G40840","DPE2","disproportionating enzyme 2","-","-","Both_sig"
"BraA04000967",-4.12878933005316,9.35914943509849,225.11631787517,1.91554698697095e-13,4.0744202128274e-11,"BraA04000967",-3.63472090166384,9.35914943509849,137.238937315446,3.13823299762865e-11,3.85904588927149e-09,"1020.88060"," 848.83551","  58.49478","  68.30207","AT4G12800","PSAL","photosystem I subunit l","-","-","Both_sig"
"BraA07002006",-6.31365195180902,8.25679677582112,223.405879442335,2.07632448514156e-13,4.28473779804201e-11,"BraA07002006",-5.61314316316046,8.25679677582112,142.674353027347,2.12602411476748e-11,3.0152357877201e-09,"455.618711","366.881882","  5.798610","  7.447516","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES","Both_sig"
"BraA02002954",-9.11312817182902,4.2382756313115,223.283341090728,2.0883928742552e-13,4.28473779804201e-11,"BraA02002954",-6.03812174666279,4.2382756313115,133.346640196091,4.18191167661697e-11,4.5717282261863e-09,"20.39864878","19.48823248"," 0.02185446"," 0.27449437","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-","Both_sig"
"BraA03000987",-2.60376979900433,5.37464466565348,223.205572440767,2.09609155304469e-13,4.28473779804201e-11,"BraA03000987",-2.5309087587294,5.37464466565348,160.665092187158,6.38458970826848e-12,1.64743347554338e-09,"44.645763","42.772580"," 7.353292"," 7.384077","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-","Both_sig"
"BraA09003335",-2.72161051782284,5.11137763604507,222.685937545947,2.14833048261638e-13,4.33522074312587e-11,"BraA09003335",-2.29871992711969,5.11137763604507,125.333779555,7.73057002003629e-11,6.48709447063974e-09,"43.681267","42.424622"," 6.613725"," 8.630337","AT1G34000","OHP2","one-helix protein 2","-","-","Both_sig"
"BraA04003031",-3.63074947425301,8.69699700828263,220.780334866536,2.35234835128126e-13,4.68683076571734e-11,"BraA04003031",-3.03260946437266,8.69699700828263,122.073629482094,1.00220464767169e-10,7.33707030434992e-09,"663.35088","520.37114"," 53.65107"," 63.54791","AT2G42220","AT2G42220","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-","Both_sig"
