"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA02004336","AT5G62350","AT5G62350","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA02002979","AT1G56220","AT1G56220","Dormancy/auxin associated family protein","-","-"
"BraA01004131","AT3G13520","AGP12","arabinogalactan protein 12","-","-"
"BraA09000385","AT3G28900","AT3G28900","Ribosomal protein L34e superfamily protein","-","-"
"BraA03005328","AT4G21990","42463","APS reductase 3","-","-"
"BraA10001625","AT5G22500","FAR1","fatty acid reductase 1","-","-"
"BraA01000085","AT4G39840","AT4G39840","cell wall integrity/stress response component-like protein","-","-"
"BraA03002436","AT2G44040","AT2G44040","Dihydrodipicolinate reductase, bacterial/plant","-","-"
"BraA08002887","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA09003960","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA03004626","AT5G23240","AT5G23240","DNAJ heat shock N-terminal domain-containing protein","-","-"
"BraA09003086","AT4G04610","42461","APS reductase 1","-","-"
"BraA09003624","AT1G31070","GlcNAc1pUT1","N-acetylglucosamine-1-phosphate uridylyltransferase 1","-","-"
"BraA08003080","AT1G22570","AT1G22570","Major facilitator superfamily protein","-","-"
"BraA07001065","AT1G29470","AT1G29470","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA10000323","AT1G04680","AT1G04680","Pectin lyase-like superfamily protein","-","-"
"BraA03002048","AT5G28540","BIP1","heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA01001141","AT4G19200","AT4G19200","proline-rich family protein","-","-"
"BraA08000550","AT1G45010","AT1G45010","TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein","-","-"
"BraA10002161","AT5G15490","UGD3","UDP-glucose 6-dehydrogenase family protein","-","-"
"BraA01004753","AT3G02230","RGP1","reversibly glycosylated polypeptide 1","-","-"
"BraA02003639","AT3G26410","TRM11","tRNA modification 11 protein","-","-"
"BraA04001553","AT2G21650","MEE3","Homeodomain-like superfamily protein","-","-"
"BraA02000885","AT5G19260","FAF3","FANTASTIC four-like protein (DUF3049)","-","-"
"BraA03004719","AT5G61380","TOC1","CCT motif -containing response regulator protein","-","-"
"BraA07003035","AT5G38890","AT5G38890","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA10000040","AT1G01600","CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4","-","-"
"BraA03000886","AT5G18130","AT5G18130","transmembrane protein","-","-"
"BraA07001252","AT1G25550","AT1G25550","myb-like transcription factor family protein","YES","-"
"BraA01000432","AT4G34200","EDA9","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA03004184","AT3G20080","CYP705A15","cytochrome P450, family 705, subfamily A, polypeptide 15","-","-"
"BraA08001402","AT4G18830","OFP5","ovate family protein 5","-","YES"
"BraA03001554","AT5G52882","AT5G52882","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03006089","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
"BraA01001637","AT4G24670","TAR2","tryptophan aminotransferase related 2","-","YES"
"BraSca001142","AT3G51840","ACX4","acyl-CoA oxidase 4","-","-"
"BraA08002383","AT4G37580","HLS1","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","YES"
"BraA03006559","AT4G39780","AT4G39780","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA08002512","AT4G38770","PRP4","proline-rich protein 4","-","-"
"BraA02002558","AT1G76680","OPR1","12-oxophytodienoate reductase 1","-","YES"
"BraA09001387","AT1G63245","CLE14","CLAVATA3/ESR-RELATED 14","-","-"
"BraA09002715","AT4G11280","ACS6","1-aminocyclopropane-1-carboxylic acid (acc) synthase 6","-","-"
"BraA09004107","AT1G26680","AT1G26680","transcriptional factor B3 family protein","YES","-"
"BraA03000209","AT5G05110","AT5G05110","Cystatin/monellin family protein","-","-"
"BraA06003855","AT5G27330","AT5G27330","Prefoldin chaperone subunit family protein","-","-"
"BraA05000861","AT2G38540","LP1","lipid transfer protein 1","-","-"
"BraA01000487","AT5G42560","AT5G42560","Abscisic acid-responsive (TB2/DP1, HVA22) family protein","-","-"
"BraA08003947","AT1G04250","AXR3","AUX/IAA transcriptional regulator family protein","-","YES"
"BraA01003655","AT4G12730","FLA2","FASCICLIN-like arabinogalactan 2","-","-"
"BraA09001053","AT2G10940","AT2G10940","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA02002034","AT1G68760","NUDX1","nudix hydrolase 1","-","-"
"BraA05000878","AT2G38400","AGT3","alanine:glyoxylate aminotransferase 3","-","YES"
"BraA05000671","AT2G45470","FLA8","FASCICLIN-like arabinogalactan protein 8","-","-"
"BraA04002023","AT2G28000","CPN60A","chaperonin-60alpha","-","-"
"BraA08003641","AT1G10470","ARR4","response regulator 4","-","YES"
"BraA04000150","AT2G45550","CYP76C4","cytochrome P450, family 76, subfamily C, polypeptide 4","-","-"
"BraA09001658","AT1G62750","SCO1","Translation elongation factor EFG/EF2 protein","-","YES"
"BraA03003599","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA07001048","AT1G29660","AT1G29660","GDSL-like Lipase/Acylhydrolase superfamily protein","-","-"
"BraA01001732","AT4G25640","DTX35","detoxifying efflux carrier 35","-","-"
"BraA03000599","AT5G13330","Rap2.6L","related to AP2 6l","YES","-"
"BraA09001679","AT1G62440","LRX2","leucine-rich repeat/extensin 2","-","-"
"BraA09006866","AT1G04240","SHY2","AUX/IAA transcriptional regulator family protein","-","YES"
"BraA03001687","AT2G30140","UGT87A2","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA07003163","AT1G24575","AT1G24575","DEAD-box ATP-dependent RNA helicase-like protein","-","-"
"BraA02003033","AT4G12580","AT4G12580","hypothetical protein","-","-"
"BraA07001934","AT2G28950","EXPA6","expansin A6","-","YES"
"BraA09001538","AT5G42170","AT5G42170","SGNH hydrolase-type esterase superfamily protein","-","-"
"BraA04001155","AT5G38200","AT5G38200","Class I glutamine amidotransferase-like superfamily protein","-","-"
"BraA05000493","AT2G43340","AT2G43340","hypothetical protein (DUF1685)","-","-"
"BraA06001525","AT1G62480","AT1G62480","Vacuolar calcium-binding protein-like protein","-","-"
"BraA10000250","AT1G03850","GRXS13","Glutaredoxin family protein","-","-"
"BraA05000290","AT2G41170","AT2G41170","F-box family protein","-","-"
"BraA08003917","AT1G04770","AT1G04770","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA08001844","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
"BraA04002781","AT2G38530","LTP2","lipid transfer protein 2","-","YES"
"BraA09006984","AT1G01070","UMAMIT28","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA05000998","AT2G36970","AT2G36970","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA05002723","AT5G38520","AT5G38520","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA10002732",NA,NA,NA,NA,NA
"BraA07001815","AT2G27420","AT2G27420","Cysteine proteinases superfamily protein","-","-"
"BraA05003822",NA,NA,NA,NA,NA
"BraA03000184","AT2G05220","AT2G05220","Ribosomal S17 family protein","-","-"
"BraA10003155","AT5G02020","SIS","E3 ubiquitin-protein ligase RLIM-like protein","-","-"
"BraA03002147","AT2G38750","ANNAT4","annexin 4","-","-"
"BraA03000138","AT5G03760","ATCSLA09","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA09001034","AT5G66400","RAB18","Dehydrin family protein","-","YES"
"BraA08003426","AT1G14700","PAP3","purple acid phosphatase 3","-","-"
"BraA03002350","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA02003806","AT3G29030","EXPA5","expansin A5","-","YES"
"BraA03003281","AT3G02230","RGP1","reversibly glycosylated polypeptide 1","-","-"
"BraA04001015","AT5G35735","AT5G35735","Auxin-responsive family protein","-","-"
"BraA08002132","AT4G28140","AT4G28140","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA03000013","AT5G01790","AT5G01790","hypothetical protein","-","-"
"BraA01000668","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
"BraA01001469","AT4G23060","IQD22","IQ-domain 22","-","-"
"BraA09002365",NA,NA,NA,NA,NA
"BraA09006529","AT1G11050","AT1G11050","Protein kinase superfamily protein","-","-"
"BraA06003092","AT5G63140","PAP29","purple acid phosphatase 29","-","-"
"BraA08003034","AT1G23870","TPS9","trehalose-phosphatase/synthase 9","-","-"
