"","logFC","logCPM","F","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA02001404",3.6585932028981,4.45493833684142,196.319152738499,3.16185257231239e-11,5.82896710306722e-09,"BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA04001451",7.52165421049687,11.8262671485409,194.711123652591,3.3881229159612e-11,5.82896710306722e-09,"BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA04001564",5.27798122787883,5.15027464626915,194.673127883647,3.39368232359446e-11,5.82896710306722e-09,"BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA03005569",6.89012739153632,4.22471017611632,194.648411621558,3.39730415256976e-11,5.82896710306722e-09,"BraA03005569","AT4G25130","PMSR4","peptide met sulfoxide reductase 4","-","-"
"BraA03001809",5.73855749195132,3.81895096684757,193.435523596769,3.58041672598557e-11,5.9937699574584e-09,"BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA03000235",3.27344403293543,7.67584018812471,190.809312026981,4.01562050151759e-11,6.44793920529397e-09,"BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA03006095",5.42609165104449,6.95434724903875,189.80631409781,4.19706421328592e-11,6.67121236972396e-09,"BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA10002437",3.38558685515577,4.96218519465231,188.561198104218,4.43507943426456e-11,6.90994158193932e-09,"BraA10002437","AT5G11450","PPD5","PsbP domain protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)","-","-"
"BraA01004802",4.89753908707449,5.22446710361873,187.308763076076,4.6896957868625e-11,7.06826015974007e-09,"BraA01004802","AT3G01440","PnsL3","PsbQ-like 1","-","-"
"BraA05001006",3.02031538274969,8.27172096357279,183.907402676997,5.46689972940042e-11,7.81381934875345e-09,"BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA05001456",8.60840159829003,4.27240090668472,182.934475109199,5.71475508377704e-11,7.95817575206332e-09,"BraA05001456","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA01000537",4.20542670738417,11.6761791209245,182.680645108727,5.78145178094272e-11,7.98043203727321e-09,"BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA10001878",5.22253962919973,4.71826228512148,182.289845098725,5.88583360337636e-11,7.9925276809935e-09,"BraA10001878","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-"
"BraA06000349",9.04586699862699,5.42701177146686,181.940191692369,5.98099945693574e-11,7.9925276809935e-09,"BraA06000349","AT5G43850","ARD4","RmlC-like cupins superfamily protein","-","-"
"BraA07003829",5.42251451195307,8.23410450228164,180.73088598816,6.32353823492119e-11,8.29226647205999e-09,"BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA07003149",3.26598272748189,4.131883723003,179.781403301224,6.60775275628178e-11,8.53711151878052e-09,"BraA07003149","AT4G01935","AT4G01935","insulin-induced protein","-","-"
"BraA08003681",4.12319771458992,7.15387837572847,179.252966758111,6.77205200376812e-11,8.66382197815408e-09,"BraA08003681","AT1G09780","iPGAM1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","-","-"
"BraA08000983",3.24763550776506,8.08546084619023,178.774996517299,6.92457078010490e-11,8.78616467635849e-09,"BraA08000983","AT5G40950","RPL27","ribosomal protein large subunit 27","-","-"
"BraA03003709",-4.63205260082767,4.45908717389105,177.219151793576,7.44804488838115e-11,9.22853813886344e-09,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA04001598",4.56974966811147,5.70166288612712,176.854248860642,7.57708049899908e-11,9.31507333845699e-09,"BraA04001598","AT2G22240","MIPS2","myo-inositol-1-phosphate synthase 2","-","-"
"BraA03002283",3.17311927567938,3.81300057700004,175.586726083616,8.04494266297271e-11,9.51563627740024e-09,"BraA03002283","AT2G40890","CYP98A3","cytochrome P450, family 98, subfamily A, polypeptide 3","-","YES"
"BraA01001771",4.72854926116659,4.38366737645228,175.435044600609,8.10304563530524e-11,9.51563627740024e-09,"BraA01001771","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA09000210",4.26681844652507,6.60718319839489,174.997216587454,8.27338744915819e-11,9.64370554814469e-09,"BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA09006470",3.43847948131967,9.14970140864173,173.917614171729,8.71064706473097e-11,1.00051636650078e-08,"BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA02002440",4.47495914494237,5.66894181462839,173.591744056747,8.84762232283897e-11,1.00888539762459e-08,"BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA06000196",3.04798019047705,8.86413540636531,173.407970084965,8.92592195371487e-11,1.01049142347955e-08,"BraA06000196","AT5G45930","CHLI2","magnesium chelatase i2","-","-"
"BraA07002708",5.55909916709509,8.60991805621115,172.867979149717,9.16047645198259e-11,1.0223351592085e-08,"BraA07002708","AT1G73600","AT1G73600","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA08002568",5.0033040402292,10.5929136045647,172.682039506436,9.24281872313403e-11,1.02332317509407e-08,"BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA10001271",5.89942086361686,4.25101364190925,169.937071181347,1.05590465581722e-10,1.12268349080674e-08,"BraA10001271","AT5G57170","AT5G57170","Tautomerase/MIF superfamily protein","-","-"
"BraA10003048",-3.06129207124173,6.98613109738917,169.305636792104,1.08904355407917e-10,1.13491320311191e-08,"BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA02000812",4.82233128977464,3.94512143416426,169.04270404066,1.1031816768508e-10,1.14079932649471e-08,"BraA02000812","AT5G17990","TRP1","tryptophan biosynthesis 1","-","-"
"BraA09006403",4.43282946378956,10.6985073450438,168.744910057428,1.11944074017371e-10,1.1438649017775e-08,"BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA05004680",3.75165656341008,8.99897210140604,168.594030393593,1.12777985227281e-10,1.14495121002355e-08,"BraA05004680","AT3G01120","MTO1","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA08003837",5.00412742816173,5.8057859088255,168.353810037023,1.14119939751828e-10,1.15114831534279e-08,"BraA08003837","AT1G06690","AT1G06690","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA05000807",4.87301788327524,7.52994704945782,167.827394350863,1.17123063183755e-10,1.17391625621629e-08,"BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA09003100",3.33697927474185,7.10875622121495,167.276785805761,1.20358327471998e-10,1.19870800069579e-08,"BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA09004850",6.08302449639251,6.45667721723921,166.582639981146,1.24579105477741e-10,1.23294138603631e-08,"BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA05001097",6.82793376694993,5.28441818004705,166.373399426556,1.25883414259896e-10,1.23806337924607e-08,"BraA05001097","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA05004368",3.6878041184147,5.30932232888868,165.488181834168,1.31571588827921e-10,1.27803118629393e-08,"BraA05004368","AT3G06150","AT3G06150","cytochrome P450 family protein","-","-"
"BraA08003167",-4.0311132938157,3.11541605640267,164.057309509409,1.41378810699365e-10,1.3484788288932e-08,"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA01000237",5.16343386045085,6.83713322781001,164.055054213282,1.41394894997063e-10,1.3484788288932e-08,"BraA01000237","AT4G36530","AT4G36530","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09004431",3.17254097512028,5.41048898302175,163.648994116259,1.44324192215255e-10,1.348988242506e-08,"BraA09004431","AT3G50240","KICP-02","ATP binding microtubule motor family protein","-","-"
"BraA04001908",3.93842662063409,4.26883011031499,163.631708409378,1.44450375830164e-10,1.348988242506e-08,"BraA04001908","AT2G25840","OVA4","Nucleotidylyl transferase superfamily protein","-","-"
"BraA09005567",3.45854576708509,8.26468478494514,163.449016042403,1.45791517093039e-10,1.348988242506e-08,"BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA01004807",10.2804375944346,7.94560699538275,163.345055693042,1.46560851109745e-10,1.348988242506e-08,"BraA01004807","AT3G01500","CA1","carbonic anhydrase 1","-","-"
"BraA03004200",7.11069170303404,7.22375312862832,163.340874850326,1.46591884512281e-10,1.348988242506e-08,"BraA03004200","AT3G20390","AT3G20390","endoribonuclease L-PSP family protein","-","-"
"BraA07001149",7.17869877062894,3.80191070106859,162.091375819537,1.56201822994827e-10,1.41263901531414e-08,"BraA07001149","AT4G27830","BGLU10","beta glucosidase 10","-","-"
"BraA03001813",4.6708389063876,5.45389479027049,161.678128829716,1.59532316748993e-10,1.42820618754562e-08,"BraA03001813","AT2G32640","AT2G32640","Lycopene beta/epsilon cyclase protein","-","-"
"BraA08003014",-12.0242678545105,7.41996949473311,161.652877643337,1.59738363629912e-10,1.42820618754562e-08,"BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05000931",5.67438313826121,3.18228933532296,160.828358763128,1.6663130616778e-10,1.44641595853579e-08,"BraA05000931","AT2G37770","ChlAKR","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA05002362",4.52120266239577,4.22720028576039,160.1553178419,1.72502877550133e-10,1.46730015196156e-08,"BraA05002362","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA01004338",3.89335334365916,9.25857211883676,159.389858337408,1.79461292307991e-10,1.48631731355713e-08,"BraA01004338","AT5G04590","SIR","sulfite reductase","-","-"
"BraA09004114",6.52417779973581,6.50015183077419,159.048278756859,1.82666442846768e-10,1.50494196054279e-08,"BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA02004452",3.29347737831551,7.19318266208996,156.99604128831,2.03312832588247e-10,1.60066621402522e-08,"BraA02004452","AT2G29180","AT2G29180","transmembrane protein","-","YES"
"BraA06001278",4.63380941781241,7.43399994389454,156.862191521065,2.04746733715979e-10,1.60066621402522e-08,"BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA02001516",3.00498647709108,4.50604461738527,155.851454414068,2.15943926529072e-10,1.64161918482995e-08,"BraA02001516","AT5G54390","HL","HAL2-like protein","-","-"
"BraA04003129",6.42771414848207,5.10860647988539,155.851130882439,2.15947617729918e-10,1.64161918482995e-08,"BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA10001563",3.5680745160152,5.86219615288847,155.64593168385,2.18302916498898e-10,1.64364339427113e-08,"BraA10001563","AT5G60540","PDX2","pyridoxine biosynthesis 2","-","YES"
"BraA02004188",3.52350104886253,3.29964349155146,155.036827316537,2.25463805898543e-10,1.66877710213035e-08,"BraA02004188","AT5G24270","SOS3","Calcium-binding EF-hand family protein","-","YES"
"BraA06004302",3.37567480441357,8.46931298567625,154.979559399764,2.26150361651863e-10,1.66877710213035e-08,"BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
"BraA01000258",6.44079420413128,6.67173592627865,154.971260570248,2.2625004433123e-10,1.66877710213035e-08,"BraA01000258","AT4G36220","FAH1","ferulic acid 5-hydroxylase 1","-","YES"
"BraA01001464",3.33697977849133,4.69088540802049,154.913640261635,2.26943505246502e-10,1.66877710213035e-08,"BraA01001464","AT4G22990","AT4G22990","Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","-","-"
"BraA09005883",6.59416764433874,4.49193285963247,154.473158696159,2.32323290548471e-10,1.68772357793054e-08,"BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA08001424",-5.44602148523734,6.08390000659371,154.439699914715,2.32737682009994e-10,1.68772357793054e-08,"BraA08001424","AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA05000754",6.45955885922847,7.95049055317089,154.168254826671,2.36130039399759e-10,1.70446894495165e-08,"BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA03003168",3.86260006128013,7.33421341191826,153.003782399553,2.51318640844452e-10,1.79761369651286e-08,"BraA03003168","AT4G01040","AT4G01040","Glycosyl hydrolase superfamily protein","-","-"
"BraA09005843",3.72592889693394,5.74910682497928,152.158088742047,2.6302865277907e-10,1.85606227808585e-08,"BraA09005843","AT2G21970","42615","stress enhanced protein 2","-","-"
"BraA07001383",5.39140553432901,3.54046336877545,152.057379152703,2.64463017005e-10,1.85785269446012e-08,"BraA07001383","AT1G23310","GGT1","glutamate:glyoxylate aminotransferase","-","-"
"BraA09003275",3.60336313800166,3.40872073501553,151.918275713206,2.664584995229e-10,1.86355153266327e-08,"BraA09003275","AT3G01660","AT3G01660","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA06003621",5.01712946083818,3.17817756122181,151.715794015498,2.6939308244809e-10,1.87562849801401e-08,"BraA06003621","AT5G24420","PGL5","6-phosphogluconolactonase 5","-","-"
"BraA06003462",4.78831142393276,2.98417004603635,151.477767063924,2.7288876478123e-10,1.88184905804047e-08,"BraA06003462","AT2G17640","ATSERAT3;1","Trimeric LpxA-like enzymes superfamily protein","-","-"
"BraA07000520",-3.5431284608414,6.04130306165166,151.175223795124,2.77404775309449e-10,1.89565862921427e-08,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA02002954",7.11310570812397,4.24646076063314,150.957869864569,2.80700353349641e-10,1.89565862921427e-08,"BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA07003594",3.73136079852968,7.17204471944832,150.865202803298,2.82118582882285e-10,1.89565862921427e-08,"BraA07003594","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA09001209",10.7989187173303,3.86948898179797,182.640431636098,2.82839606044783e-10,1.89565862921427e-08,"BraA09001209","AT2G18230","PPa2","pyrophosphorylase 2","-","-"
"BraA10002910",6.38689743331928,5.8651668442694,150.760336862289,2.83733106781968e-10,1.89565862921427e-08,"BraA10002910","AT5G09660","PMDH2","peroxisomal NAD-malate dehydrogenase 2","-","YES"
"BraA08002073",3.33006427323706,10.1337011201543,150.704081792731,2.84603436413256e-10,1.89565862921427e-08,"BraA08002073","AT1G55480","ZKT","protein containing PDZ domain, a K-box domain, and a TPR region","-","-"
"BraA03004376",3.04299624508519,8.02178114992463,150.645991302901,2.85505271430974e-10,1.89565862921427e-08,"BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA09006174",3.08633203069304,6.8650788774584,150.339845214269,2.90310772224485e-10,1.91436451055174e-08,"BraA09006174","AT1G16160","WAKL5","wall associated kinase-like 5","-","-"
"BraA06003369",5.88915985872854,5.95252553161485,150.311786824608,2.90755667273682e-10,1.91436451055174e-08,"BraA06003369","AT5G65880","AT5G65880","transmembrane protein","-","-"
"BraA08002764",3.49546087508543,6.04883280739366,150.119782943684,2.93820463586793e-10,1.92648283958407e-08,"BraA08002764","AT1G29700","AT1G29700","Metallo-hydrolase/oxidoreductase superfamily protein","-","-"
"BraA06001882",3.01961918454702,5.76637138869621,149.612553891194,3.02090748795719e-10,1.96433885249977e-08,"BraA06001882","AT1G17100","HBP1","SOUL heme-binding family protein","-","-"
"BraA04002558",4.0148525980586,4.39194345009551,149.337015776445,3.06691369002802e-10,1.97681688029974e-08,"BraA04002558","AT2G35410","AT2G35410","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA06001724",-10.8631239041032,4.47661470396981,149.272579678844,3.0777842887229e-10,1.97681688029974e-08,"BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA10001411",5.8086179216847,5.53601637577631,148.85074374194,3.15001429902913e-10,2.00682692346245e-08,"BraA10001411","AT5G58770","cPT4","Undecaprenyl pyrophosphate synthetase family protein","-","-"
"BraA08002262",3.04299370957988,8.00412012581393,147.356552250696,3.42140165194473e-10,2.1113402507844e-08,"BraA08002262","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA07002742",12.0898124019991,5.82599428474362,177.057629259145,3.57079533448497e-10,2.17790834819595e-08,"BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA06004308",3.35925995224318,5.62114579873062,146.392020945346,3.61032496339956e-10,2.19351635614114e-08,"BraA06004308","AT3G26570","PHT2;1","phosphate transporter 2;1","-","-"
"BraA03006305",5.94244051189555,3.72718862432617,146.298589442669,3.6292317338228e-10,2.19652271397829e-08,"BraA03006305","AT4G34610","BLH6","BEL1-like homeodomain 6","YES","-"
"BraA07004037",3.07968392469557,7.36147135873704,144.403866215012,4.03736650766003e-10,2.39743393828446e-08,"BraA07004037","AT1G78510","SPS1","solanesyl diphosphate synthase 1","-","-"
"BraA09006307",5.40471283232653,4.32315555639579,143.227567221968,4.31624544516603e-10,2.55339993703506e-08,"BraA09006307","AT1G14150","PnsL2","PsbQ-like 2","-","-"
"BraA03003722",5.30143329323263,6.27051941750647,142.728154866051,4.4410555112774e-10,2.5703285509942e-08,"BraA03003722","AT3G11170","FAD7","fatty acid desaturase 7","-","-"
"BraA03004059",7.43155268280463,3.86095096076661,142.6568504168,4.45919988829064e-10,2.5703285509942e-08,"BraA03004059","AT3G17609","HYH","HY5-homolog","YES","-"
"BraA01000954",6.44865747243394,6.33699125141633,142.499203438918,4.49960790968504e-10,2.5785091248442e-08,"BraA01000954","AT4G28660","PSB28","photosystem II reaction center PSB28 protein","-","-"
"BraA09003620",3.69543712981002,6.13294896762405,142.473772738538,4.50616426876051e-10,2.5785091248442e-08,"BraA09003620","AT1G31190","IMPL1","myo-inositol monophosphatase like 1","-","-"
"BraA09004670",5.28528354520803,4.86611969543533,141.573190889637,4.74532162972795e-10,2.68273622120317e-08,"BraA09004670","AT3G52740","AT3G52740","hypothetical protein","-","-"
"BraA07000900",3.9049716474374,5.64392344023115,141.53232314484,4.75650359504122e-10,2.68273622120317e-08,"BraA07000900","AT3G23530","AT3G23530","Cyclopropane-fatty-acyl-phospholipid synthase","-","-"
"BraA06004753",-3.08107857762648,7.46354286259128,141.278296472394,4.82666772117988e-10,2.71258725930309e-08,"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA01002266",3.20225758525028,5.96923627446831,140.696877485205,4.9916222822414e-10,2.77555364782158e-08,"BraA01002266","AT4G15810","AT4G15810","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
