"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07003829",-6.20147915378645,8.23410450228164,220.638506319244,1.17930067519775e-11,4.78005469250783e-09,"BraA07003829","BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA07000048",-3.56633015482817,4.85056445251659,219.250379287424,1.2441372929471e-11,4.78005469250783e-09,"BraA07000048","BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA08003566",-4.35077475082855,8.52662044561117,218.981078269622,1.25716843436088e-11,4.78005469250783e-09,"BraA08003566","BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA06003776",-3.20475837744072,5.13196639418391,218.251697939694,1.29322906318618e-11,4.78005469250783e-09,"BraA06003776","BraA06003776","AT5G26667","PYR6","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA05001006",-3.33286731554979,8.27172096357279,216.434205541646,1.3881817955549e-11,4.96464289428453e-09,"BraA05001006","BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA05001097",-7.79151941451732,5.28441818004705,214.960185922805,1.47088378421141e-11,5.14351716185571e-09,"BraA05001097","BraA05001097","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA04001451",-7.96224083643263,11.8262671485409,208.849322064041,1.87714873711593e-11,6.03484644709787e-09,"BraA04001451","BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA05003526",-3.53577851535551,9.42449353335112,208.822609329558,1.8791781641319e-11,6.03484644709787e-09,"BraA05003526","BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA01002037",-3.69685512966293,9.26311943650433,206.811427361728,2.03919738967735e-11,6.41776202479256e-09,"BraA01002037","BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA02000929",-3.50688294562602,6.61391592467606,205.823418144068,2.12330075761155e-11,6.44094510139962e-09,"BraA02000929","BraA02000929","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA06000973",-3.00222587003033,5.89970698131406,204.656320380914,2.22764379981777e-11,6.49151904332083e-09,"BraA06000973","BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA01000119",-4.3251046235926,9.40575204555094,201.665608519532,2.52195974999345e-11,6.81532835533134e-09,"BraA01000119","BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA10000072",-9.35778488346816,5.16229742592474,200.976101175883,2.59577737094066e-11,6.81532835533134e-09,"BraA10000072","BraA10000072","AT1G01190","CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","-","-"
"BraA07003370",-3.19996998324926,6.9493374174952,200.392888288809,2.66008895664939e-11,6.81532835533134e-09,"BraA07003370","BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA02001332",-3.0817486046978,8.19967881050554,193.393776742877,3.5869113598564e-11,8.30053487627946e-09,"BraA02001332","BraA02001332","AT5G57345","AT5G57345","transmembrane protein","-","-"
"BraA03001809",-5.73937118960563,3.81895096684757,192.933008804749,3.65946865310252e-11,8.345709960177e-09,"BraA03001809","BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA10002206",-4.26153848655901,5.546941736644,191.134876077372,3.95860976018381e-11,8.54865478644106e-09,"BraA10002206","BraA10002206","AT5G14760","AO","L-aspartate oxidase","-","-"
"BraA03004149",-5.74376315283937,6.9649952962094,191.062153184855,3.97126622309166e-11,8.54865478644106e-09,"BraA03004149","BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA06002613",-4.55888693209886,5.87898480934895,190.784038324517,4.02008422849923e-11,8.54865478644106e-09,"BraA06002613","BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA03003709",4.82432136705097,4.45908717389105,188.188564131482,4.50919473971409e-11,9.02628925474768e-09,"BraA03003709","BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA10001684",-3.80229725898877,5.71077647301716,188.097634589573,4.52748809933196e-11,9.02628925474768e-09,"BraA10001684","BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06003357",-8.48007362087126,6.9975110757676,185.234982176806,5.14772011144811e-11,1.00005584782404e-08,"BraA06003357","BraA06003357","AT5G65730","XTH6","xyloglucan endotransglucosylase/hydrolase 6","-","-"
"BraA04001908",-4.201640243664,4.26883011031499,183.288190375367,5.62323149304089e-11,1.06611049125893e-08,"BraA04001908","BraA04001908","AT2G25840","OVA4","Nucleotidylyl transferase superfamily protein","-","-"
"BraA08003963",3.00300123047289,8.80225688348234,179.100074524807,6.82043018406596e-11,1.2413708200818e-08,"BraA08003963","BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA09005567",-3.66830553741829,8.26468478494514,178.965916027334,6.86319657772731e-11,1.2413708200818e-08,"BraA09005567","BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA08002568",-5.09951138320842,10.5929136045647,176.378083479511,7.74920492643138e-11,1.32771515615992e-08,"BraA08002568","BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA07000520",3.86702581668692,6.04130306165166,174.780161415687,8.35930508992367e-11,1.3786701728127e-08,"BraA07000520","BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA04000964",-3.91359011956344,6.80276343126002,172.96028860386,9.11990030067759e-11,1.42644688211486e-08,"BraA04000964","BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09006403",-4.46701855734155,10.6985073450438,169.268690127449,1.09101801494732e-10,1.65079418107798e-08,"BraA09006403","BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA08002093",-3.72784614914803,3.85122820045657,168.360683998996,1.14081294108961e-10,1.69356909820623e-08,"BraA08002093","BraA08002093","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA03001437",-4.54503953665671,10.1481756628418,167.225340080304,1.20665640661136e-10,1.72617683767603e-08,"BraA03001437","BraA03001437","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA07002708",-5.43417522896423,8.60991805621115,166.933049646878,1.22428257263927e-10,1.73561356423887e-08,"BraA07002708","BraA07002708","AT1G73600","AT1G73600","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA08000983",-3.1235038375285,8.08546084619023,166.659059399553,1.24106485606585e-10,1.74369612277251e-08,"BraA08000983","BraA08000983","AT5G40950","RPL27","ribosomal protein large subunit 27","-","-"
"BraA09005883",-6.79452807088142,4.49193285963247,164.119317479321,1.40937377009016e-10,1.92851353444685e-08,"BraA09005883","BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA05000807",-4.80720458691412,7.52994704945782,163.254272918736,1.47236352319896e-10,1.95641926462158e-08,"BraA05000807","BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA09000210",-4.09974823781722,6.60718319839489,163.122466570443,1.48223259884158e-10,1.95641926462158e-08,"BraA09000210","BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA04001564",-4.77255492437904,5.15027464626915,162.887305030834,1.50002324247465e-10,1.95641926462158e-08,"BraA04001564","BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA06004753",3.3429486878365,7.46354286259128,162.344697817479,1.54198389986418e-10,1.97273647546851e-08,"BraA06004753","BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA09006470",-3.30887743688202,9.14970140864173,161.90336421264,1.57707409649701e-10,1.98534703859816e-08,"BraA09006470","BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA03004376",-3.17869430248167,8.02178114992463,161.456295615847,1.61352584326314e-10,2.01511449758641e-08,"BraA03004376","BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA03005881",-3.49486986664533,4.25728001971169,160.631982641162,1.68321242865091e-10,2.04383914330209e-08,"BraA03005881","BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA08003014",11.8565004760113,7.41996949473311,160.581838703483,1.68755803544401e-10,2.04383914330209e-08,"BraA08003014","BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05000931",-5.66635864712563,3.18228933532296,160.571227664824,1.68847921091301e-10,2.04383914330209e-08,"BraA05000931","BraA05000931","AT2G37770","ChlAKR","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA07003594",-3.87823219483722,7.17204471944832,160.140703206364,1.72632895476876e-10,2.07370323910239e-08,"BraA07003594","BraA07003594","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA02002440",-4.27276859302422,5.66894181462839,159.654258846752,1.77023161807958e-10,2.07883318970897e-08,"BraA02002440","BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA01004802",-4.44755648778906,5.22446710361873,158.930816221847,1.83783264227956e-10,2.14223218214156e-08,"BraA01004802","BraA01004802","AT3G01440","PnsL3","PsbQ-like 1","-","-"
"BraA10001878",-4.81293194853831,4.71826228512148,158.189981570614,1.91004032383994e-10,2.19389741138287e-08,"BraA10001878","BraA10001878","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-"
"BraA03003892",-8.22371075879721,5.09691520308665,157.560921371094,1.97382910156677e-10,2.21184328732188e-08,"BraA03003892","BraA03003892","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA01000237",-5.02712237546929,6.83713322781001,157.48305498129,1.98188804977367e-10,2.21184328732188e-08,"BraA01000237","BraA01000237","AT4G36530","AT4G36530","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA02001404",-3.2281938220639,4.45493833684142,155.739571022589,2.17224597303074e-10,2.39148771907628e-08,"BraA02001404","BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA01000537",-3.81607220539803,11.6761791209245,155.38512127137,2.21337755396154e-10,2.39148771907628e-08,"BraA01000537","BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA05003475",-3.46682041375239,3.71349778862039,155.278806226973,2.2258826104113e-10,2.39148771907628e-08,"BraA05003475","BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA07003365",-4.60332586883198,4.79389976364118,155.007910999076,2.25810179391425e-10,2.39148771907628e-08,"BraA07003365","BraA07003365","AT1G56130","AT1G56130","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA05000754",-6.51090866807539,7.95049055317089,154.555697528475,2.31304531904242e-10,2.3946106013455e-08,"BraA05000754","BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA03005538",-3.19351856030453,7.54049989296376,153.948832693116,2.38912356319278e-10,2.40594034941249e-08,"BraA03005538","BraA03005538","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA01001284",-3.67324411047391,7.33659120514876,151.286381138942,2.75735984645995e-10,2.6783836138206e-08,"BraA01001284","BraA01001284","AT4G21280","PSBQA","photosystem II subunit QA","-","-"
"BraA02004452",-3.22820092971715,7.19318266208996,151.171927778629,2.77454428720998e-10,2.67854165052369e-08,"BraA02004452","BraA02004452","AT2G29180","AT2G29180","transmembrane protein","-","YES"
"BraA07002742",-12.2210077014271,5.82599428474362,182.66060322187,2.82604897368788e-10,2.68796199587975e-08,"BraA07002742","BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA08003681",-3.69154821613294,7.15387837572847,149.538837326733,3.03314036111998e-10,2.829131096588e-08,"BraA08003681","BraA08003681","AT1G09780","iPGAM1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","-","-"
"BraA09006514",-5.74198660211342,7.59530555274714,149.490026968325,3.04127041799738e-10,2.829131096588e-08,"BraA09006514","BraA09006514","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES"
"BraA09004114",-6.29854703169676,6.50015183077419,149.217168385966,3.08716656114492e-10,2.83963450677422e-08,"BraA09004114","BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA05004368",-3.46583456719934,5.30932232888868,148.785688387355,3.16132003776523e-10,2.87552208753027e-08,"BraA05004368","BraA05004368","AT3G06150","AT3G06150","cytochrome P450 family protein","-","-"
"BraA05003559",-3.56181736237165,5.60439855908326,148.248596920072,3.25639824772201e-10,2.94498177161802e-08,"BraA05003559","BraA05003559","AT3G15520","AT3G15520","Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA03001864",-4.48543195502802,6.54338473763903,146.891099956665,3.51116430733447e-10,3.10402705282108e-08,"BraA03001864","BraA03001864","AT3G61580","SLD1","Fatty acid/sphingolipid desaturase","-","-"
"BraA10001271",-5.45324007263112,4.25101364190925,146.357166559817,3.61736527811941e-10,3.13466730940513e-08,"BraA10001271","BraA10001271","AT5G57170","AT5G57170","Tautomerase/MIF superfamily protein","-","-"
"BraA06003273",-6.03565580225567,7.57708810352744,146.31696355134,3.62550489521945e-10,3.13466730940513e-08,"BraA06003273","BraA06003273","AT5G65010","ASN2","asparagine synthetase 2","-","-"
"BraA06001724",10.1140945588132,4.47661470396981,146.149174896049,3.65969592225916e-10,3.14693852637542e-08,"BraA06001724","BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA04000967",-3.6605770786233,9.36645890801117,145.922574788619,3.70644032576582e-10,3.16981222642669e-08,"BraA04000967","BraA04000967","AT4G12800","PSAL","photosystem I subunit l","-","-"
"BraA07002023",-4.50057083442945,7.00049644933774,143.801942982831,4.17748925404596e-10,3.45984057377196e-08,"BraA07002023","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA09003100",-3.02483265305713,7.10875622121495,142.136484084844,4.59413150759933e-10,3.62473271559874e-08,"BraA09003100","BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA04002996",3.35938842713032,8.44748002095191,142.0897363272,4.6064732695051e-10,3.62473271559874e-08,"BraA04002996","BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA08003837",-4.50172164176481,5.8057859088255,141.745505332598,4.69849372194425e-10,3.64214271963127e-08,"BraA08003837","BraA08003837","AT1G06690","AT1G06690","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA07003002",-3.7850020899462,4.49077292863267,141.650423520587,4.72426928642297e-10,3.64417164172313e-08,"BraA07003002","BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA10000194",-3.27164578080674,4.95388057492731,141.170879523007,4.85668189886199e-10,3.72803640782889e-08,"BraA10000194","BraA10000194","AT1G03310","DBE1","debranching enzyme 1","-","-"
"BraA03000494",-9.158918706887,2.38124922974916,169.264259552181,5.00146443043192e-10,3.75692946972731e-08,"BraA03000494","BraA03000494","AT5G11410","AT5G11410","Protein kinase superfamily protein","-","-"
"BraA03005569",-5.79559124248594,4.22471017611632,140.655255519124,5.00366858137503e-10,3.75692946972731e-08,"BraA03005569","BraA03005569","AT4G25130","PMSR4","peptide met sulfoxide reductase 4","-","-"
"BraA10001844",-3.49526297147206,6.2557558563698,140.621294744312,5.01352146082594e-10,3.75692946972731e-08,"BraA10001844","BraA10001844","AT5G19290","AT5G19290","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09006307",-5.36433384650565,4.32315555639579,140.620694117098,5.0136959115578e-10,3.75692946972731e-08,"BraA09006307","BraA09006307","AT1G14150","PnsL2","PsbQ-like 2","-","-"
"BraA01004807",-9.30483759018782,7.94560699538275,140.163641562723,5.14841920026654e-10,3.77801200736712e-08,"BraA01004807","BraA01004807","AT3G01500","CA1","carbonic anhydrase 1","-","-"
"BraA06001997",4.15470444459756,7.12336761018472,140.090722239338,5.17028249201221e-10,3.77801200736712e-08,"BraA06001997","BraA06001997","AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA01000383",-4.55848317955082,6.90062442371361,140.054840020348,5.18107880136824e-10,3.77801200736712e-08,"BraA01000383","BraA01000383","AT4G34740","ASE2","GLN phosphoribosyl pyrophosphate amidotransferase 2","-","YES"
"BraA03003008",-3.16600372914718,8.78051695102014,139.842071175213,5.24561320526391e-10,3.77801200736712e-08,"BraA03003008","BraA03003008","AT4G03520","ATHM2","Thioredoxin superfamily protein","-","-"
"BraA09002953",-4.84694417598492,9.02876792531874,139.07549740177,5.48562350365231e-10,3.84869445036481e-08,"BraA09002953","BraA09002953","AT4G09650","ATPD","F-type H -transporting ATPase subunit delta","-","-"
"BraA03002984",-3.66164204115054,10.9053981071141,137.8620656005,5.89084504049839e-10,4.04796233874597e-08,"BraA03002984","BraA03002984","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA05003445",-7.57110986503136,5.05421319999664,137.546341160999,6.00164984348395e-10,4.0705263893401e-08,"BraA05003445","BraA05003445","AT1G59660","AT1G59660","Nucleoporin autopeptidase","-","-"
"BraA09004850",-5.35382287930086,6.45667721723921,137.474591004547,6.02715206352468e-10,4.0705263893401e-08,"BraA09004850","BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA03002853",-4.35175005755039,9.19329255621965,135.773695773633,6.66834845566186e-10,4.39050758570272e-08,"BraA03002853","BraA03002853","AT4G09650","ATPD","F-type H -transporting ATPase subunit delta","-","-"
"BraA06000349",-7.64775711766804,5.42701177146686,135.364337878797,6.83373535025664e-10,4.44362229221646e-08,"BraA06000349","BraA06000349","AT5G43850","ARD4","RmlC-like cupins superfamily protein","-","-"
"BraA09001209",-10.3313898964366,3.86948898179797,161.943867283696,6.95489869207122e-10,4.45627936677584e-08,"BraA09001209","BraA09001209","AT2G18230","PPa2","pyrophosphorylase 2","-","-"
"BraA08003565",3.21032914847167,5.33245346663211,135.067147674237,6.95665573316543e-10,4.45627936677584e-08,"BraA08003565","BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA05002362",-4.12415233635722,4.22720028576039,134.779059464674,7.07815687492065e-10,4.50938771594135e-08,"BraA05002362","BraA05002362","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA03006095",-4.36299613466816,6.95434724903875,134.560527920382,7.17189304350317e-10,4.51169991492072e-08,"BraA03006095","BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA06000926",-3.48371711752002,6.74593345623666,134.416599429015,7.23438113679657e-10,4.5174691098663e-08,"BraA06000926","BraA06000926","AT1G51110","AT1G51110","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA07000900",-3.80451530090524,5.64392344023115,134.065277406588,7.3894633634875e-10,4.56002335246429e-08,"BraA07000900","BraA07000900","AT3G23530","AT3G23530","Cyclopropane-fatty-acyl-phospholipid synthase","-","-"
"BraA03000614",-4.1221354913403,5.04674146230488,133.759517036452,7.52743891503487e-10,4.60712478526318e-08,"BraA03000614","BraA03000614","AT5G13630","GUN5","magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH)","-","-"
"BraA03003168",-3.58459207209712,7.33421341191826,133.702192894047,7.55362350405376e-10,4.60712478526318e-08,"BraA03003168","BraA03003168","AT4G01040","AT4G01040","Glycosyl hydrolase superfamily protein","-","-"
"BraA08001298",-4.35083901016503,8.4422009053277,133.065046137603,7.85156440955862e-10,4.72726167479019e-08,"BraA08001298","BraA08001298","AT4G16980","AT4G16980","arabinogalactan-protein family","-","-"
"BraA04002224",-3.39680974495946,8.81101852055901,133.024922885602,7.87075850784843e-10,4.72726167479019e-08,"BraA04002224","BraA04002224","AT2G30570","PSBW","photosystem II reaction center W","-","-"
"BraA03006305",-5.6611160795752,3.72718862432617,132.800622245674,7.97902264177779e-10,4.75598107162937e-08,"BraA03006305","BraA03006305","AT4G34610","BLH6","BEL1-like homeodomain 6","YES","-"
"BraA04002558",-3.76342455718809,4.39194345009551,132.692178396916,8.03195734250401e-10,4.76946719779786e-08,"BraA04002558","BraA04002558","AT2G35410","AT2G35410","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA05004075",-6.60894087194908,7.03089075767205,132.563396196483,8.09532647958453e-10,4.78902471739632e-08,"BraA05004075","BraA05004075","AT3G10060","AT3G10060","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA07000870",-4.03635321765158,5.71202904513505,132.286302623667,8.2335635582262e-10,4.80610114786395e-08,"BraA07000870","BraA07000870","AT3G23820","GAE6","UDP-D-glucuronate 4-epimerase 6","-","-"
"BraA03003893",-8.81158878376274,4.95033033828283,132.25515311289,8.24926654362201e-10,4.80610114786395e-08,"BraA03003893","BraA03003893","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA10002910",-5.88012060508482,5.8651668442694,132.20049155385,8.27690271397516e-10,4.80610114786395e-08,"BraA10002910","BraA10002910","AT5G09660","PMDH2","peroxisomal NAD-malate dehydrogenase 2","-","YES"
"BraA03003122",-3.83765781736871,5.35626655639654,131.474099528774,8.65407776463475e-10,4.94014691802078e-08,"BraA03003122","BraA03003122","AT4G01900","GLB1","nitrogen regulatory P-II-like protein","-","-"
"BraA03002365",3.06551037396405,3.83341125329224,131.04510922821,8.88576169412306e-10,5.00882843260583e-08,"BraA03002365","BraA03002365","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA02002181",-3.39397098596531,5.9352182842761,130.853948706644,8.99121087183196e-10,5.00882843260583e-08,"BraA02002181","BraA02002181","AT1G70700","TIFY7","TIFY domain/Divergent CCT motif family protein","-","-"
"BraA02000750",-4.40093123407174,7.25533368090883,130.641707744891,9.10991792147459e-10,5.04766438071564e-08,"BraA02000750","BraA02000750","AT5G17170","ENH1","rubredoxin family protein","-","YES"
"BraA06001278",-4.14903131335568,7.43399994389454,130.01625703721,9.46996699666499e-10,5.15638064565814e-08,"BraA06001278","BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
