"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA02001456","AT5G55220","AT5G55220","trigger factor type chaperone family protein","-","-"
"BraA06003462","AT2G17640","ATSERAT3;1","Trimeric LpxA-like enzymes superfamily protein","-","-"
"BraA06003369","AT5G65880","AT5G65880","transmembrane protein","-","-"
"BraA08001201","AT4G15630","AT4G15630","Uncharacterized protein family (UPF0497)","-","-"
"BraA09000036","AT4G00370","ANTR2","Major facilitator superfamily protein","-","-"
"BraA01003610","AT3G19390","AT3G19390","Granulin repeat cysteine protease family protein","-","-"
"BraA01004592","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA07003789","AT1G75680","GH9B7","glycosyl hydrolase 9B7","-","-"
"BraA02001088","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA03000034","AT5G01500","TAAC","thylakoid ATP/ADP carrier","-","-"
"BraA10001970","AT5G17920","ATMS1","Cobalamin-independent synthase family protein","-","-"
"BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA04002705","AT2G37540","AT2G37540","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA08000920","AT5G33320","CUE1","Glucose-6-phosphate/phosphate translocator-like protein","-","YES"
"BraA06001089","AT1G48600","PMEAMT","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA02002503","AT1G75800","AT1G75800","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA08002054","AT1G55210","AT1G55210","Disease resistance-responsive (dirigent-like protein) family protein","-","-"
"BraA10000984","AT5G54180","PTAC15","plastid transcriptionally active 15","-","-"
"BraA02001305","AT5G57800","CER3","Fatty acid hydroxylase superfamily","-","-"
"BraA03005961","AT4G30470","AT4G30470","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA01001964","AT4G27740","AT4G27740","Yippee family putative zinc-binding protein","-","-"
"BraA09002744","AT4G11010","NDPK3","nucleoside diphosphate kinase 3","-","-"
"BraA03001585","AT5G52120","PP2-A14","phloem protein 2-A14","-","-"
"BraA06002253","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA03000600","AT5G13370","AT5G13370","Auxin-responsive GH3 family protein","-","-"
"BraA06002572","AT3G47590","AT3G47590","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA08002394","AT2G02760","UBC2","ubiquiting-conjugating enzyme 2","-","-"
"BraA03004666","AT5G60920","COB","COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family","-","-"
"BraA01001668","AT4G25030","AT4G25030","Serine/Threonine-kinase","-","-"
"BraA01003277","AT3G23605","AT3G23605","Ubiquitin-like superfamily protein","-","-"
"BraA07003805","AT1G75840","ARAC5","RAC-like GTP binding protein 5","-","-"
"BraA06003456","AT2G17710","AT2G17710","Big1","-","-"
"BraA06002958","AT5G62070","IQD23","IQ-domain 23","-","-"
"BraA08003115","AT1G21920","AT1G21920","Histone H3 K4-specific methyltransferase SET7/9 family protein","-","-"
"BraA05003015","AT3G20250","PUM5","pumilio 5","-","-"
"BraA09005560","AT3G63440","CKX6","cytokinin oxidase/dehydrogenase 6","-","YES"
"BraA04001646","AT2G22670","IAA8","indoleacetic acid-induced protein 8","-","-"
"BraA10000754","AT5G51440","AT5G51440","HSP20-like chaperones superfamily protein","-","-"
"BraA09002432","AT1G79850","RPS17","ribosomal protein S17","-","YES"
"BraA10002792","AT2G17360","AT2G17360","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA07001251","AT1G25520","AT1G25520","Uncharacterized protein family (UPF0016)","-","-"
"BraA06003255","AT5G64850","AT5G64850","sorbin/SH3 domain protein","-","-"
"BraA04000460","AT3G55646","AT3G55646","TPRXL","-","-"
"BraA07004039","AT1G78560","AT1G78560","Sodium Bile acid symporter family","-","-"
"BraA03004533","AT2G15220","AT2G15220","Plant basic secretory protein (BSP) family protein","-","-"
"BraA03001723","AT2G30860","GSTF9","glutathione S-transferase PHI 9","-","-"
"BraA05000373","AT1G75350","emb2184","Ribosomal protein L31","-","-"
"BraA01000213","AT4G36860","AT4G36860","LIM domain-containing protein","-","YES"
"BraA07002912","AT1G68660","AT1G68660","Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein","-","-"
"BraA03001730","AT5G28540","BIP1","heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA07002286","AT3G61570","GDAP1","GRIP-related ARF-binding domain-containing protein 1","-","-"
"BraA01001959","AT4G27720","AT4G27720","Major facilitator superfamily protein","-","-"
"BraA09002789","AT4G10480","AT4G10480","Nascent polypeptide-associated complex (NAC), alpha subunit family protein","-","-"
"BraA06002584","AT3G47490","AT3G47490","HNH endonuclease","-","-"
"BraA09006287","AT1G14360","UTR3","UDP-galactose transporter 3","-","-"
"BraA01000920","AT4G29000","AT4G29000","Tesmin/TSO1-like CXC domain-containing protein","YES","-"
"BraA06001623","AT1G14350","FLP","Duplicated homeodomain-like superfamily protein","YES","YES"
"BraA09004014","AT1G25220","ASB1","anthranilate synthase beta subunit 1","-","-"
"BraA06002982","AT5G62220","GT18","glycosyltransferase 18","-","-"
"BraA08003068","AT5G28010","AT5G28010","Polyketide cyclase/dehydrase and lipid transport superfamily protein","-","-"
"BraA03003781","AT3G12320","AT3G12320","hypothetical protein","-","-"
"BraA08000030","AT1G55850","CSLE1","cellulose synthase like E1","-","-"
"BraA06001199","AT1G08280","AT1G08280","Glycosyltransferase family 29 (sialyltransferase) family protein","-","-"
"BraA09003090","AT4G21980","APG8A","Ubiquitin-like superfamily protein","-","YES"
"BraA10001688","AT5G21170","AKINBETA1","5'-AMP-activated protein kinase beta-2 subunit protein","-","-"
"BraA08000867","AT1G32060","PRK","phosphoribulokinase","-","-"
"BraA05000690","AT2G45750","AT2G45750","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA05003136","AT3G19180","PARC6","plastid division protein","-","-"
"BraA02004436","AT5G64570","XYL4","beta-D-xylosidase 4","-","-"
"BraA09004689","AT3G52960","AT3G52960","Thioredoxin superfamily protein","-","YES"
"BraA03005037","AT4G16720","AT4G16720","Ribosomal protein L23/L15e family protein","-","-"
"BraA03001724","AT2G30870","GSTF10","glutathione S-transferase PHI 10","-","-"
"BraA10000770","AT5G51560","AT5G51560","Leucine-rich repeat protein kinase family protein","-","-"
"BraA08000336","AT1G49780","PUB26","plant U-box 26","-","-"
"BraA05000379","AT2G42380","BZIP34","Basic-leucine zipper (bZIP) transcription factor family protein","YES","-"
"BraA01001042","AT4G18220","AT4G18220","Drug/metabolite transporter superfamily protein","-","-"
"BraA05000979","AT2G37270","RPS5B","ribosomal protein 5B","-","-"
"BraA09004802","AT3G54210","AT3G54210","Ribosomal protein L17 family protein","-","-"
"BraA08003718","AT1G56330","SAR1B","secretion-associated RAS 1B","-","-"
"BraA06002468","AT3G48720","DCF","HXXXD-type acyl-transferase family protein","-","-"
"BraA03002369","AT2G43010","PIF4","phytochrome interacting factor 4","YES","YES"
"BraA03002351","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA09005078","AT3G57190","PrfB3","peptide chain release factor","-","-"
"BraA04003081","AT2G42490","AT2G42490","Copper amine oxidase family protein","-","-"
"BraA02001839","AT5G49630","AAP6","amino acid permease 6","-","-"
"BraA02003951","AT5G49360","BXL1","beta-xylosidase 1","-","-"
"BraA08001511","AT4G21534","SPHK2","Diacylglycerol kinase family protein","-","-"
"BraA07001989","AT3G55120","TT5","Chalcone-flavanone isomerase family protein","-","YES"
"BraA03003482","AT3G06450","AT3G06450","HCO3- transporter family","-","-"
"BraA06000415","AT5G42830","AT5G42830","HXXXD-type acyl-transferase family protein","-","-"
"BraA05002485","AT3G22840","ELIP1","Chlorophyll A-B binding family protein","-","YES"
"BraA09001533","AT1G64390","GH9C2","glycosyl hydrolase 9C2","-","-"
"BraA04002667","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA08002150","AT1G65010","AT1G65010","WEB family protein (DUF827)","-","-"
"BraA06000367","AT1G33140","PGY2","Ribosomal protein L6 family","-","YES"
"BraA09002173","AT5G44400","AT5G44400","FAD-binding Berberine family protein","-","-"
"BraA09003898","AT1G28260","AT1G28260","Telomerase activating protein Est1","-","-"
"BraA03004928","AT4G15480","UGT84A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA09002431","AT1G79850","RPS17","ribosomal protein S17","-","YES"
"BraA07002563","AT5G55230","MAP65-1","microtubule-associated proteins 65-1","-","-"
"BraA01001156","AT4G19420","AT4G19420","Pectinacetylesterase family protein","-","-"
"BraA01000786","AT4G30530","GGP1","Class I glutamine amidotransferase-like superfamily protein","-","-"
"BraA10000323","AT1G04680","AT1G04680","Pectin lyase-like superfamily protein","-","-"
"BraA05004079","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA01002172","AT4G16660","AT4G16660","heat shock protein 70 (Hsp 70) family protein","-","-"
"BraA01001647","AT4G24780","AT4G24780","Pectin lyase-like superfamily protein","-","-"
"BraA05004621","AT3G02830","ZFN1","zinc finger protein 1","YES","-"
"BraA03006411","AT4G36040","J11","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA03000788","AT5G16370","AAE5","acyl activating enzyme 5","-","-"
"BraA08002732","AT2G18110","AT2G18110","Translation elongation factor EF1B/ribosomal protein S6 family protein","-","-"
"BraA06002313","AT1G21400","AT1G21400","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein","-","-"
"BraA10002947","AT5G04830","AT5G04830","Nuclear transport factor 2 (NTF2) family protein","-","-"
"BraA05003891","AT3G12145","FLR1","Leucine-rich repeat (LRR) family protein","-","-"
"BraA08002614","AT1G12200","FMO","Flavin-binding monooxygenase family protein","-","-"
"BraA09006743","AT1G06830","AT1G06830","Glutaredoxin family protein","-","-"
"BraA03000217","AT5G05170","CEV1","Cellulose synthase family protein","-","-"
"BraA04000783","AT3G51870","AT3G51870","Mitochondrial substrate carrier family protein","-","-"
"BraA06001637","AT1G14460","AT1G14460","AAA-type ATPase family protein","-","-"
"BraA05001241","AT2G33570","GALS1","glycosyltransferase family protein (DUF23)","-","-"
"BraA07001061","AT1G29470","AT1G29470","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA06000836","AT1G52560","AT1G52560","HSP20-like chaperones superfamily protein","-","-"
"BraA03002090","AT2G37970","SOUL-1","SOUL heme-binding family protein","-","-"
"BraA09000354","AT3G28180","CSLC04","Cellulose-synthase-like C4","-","-"
"BraA09006121","AT1G17180","GSTU25","glutathione S-transferase TAU 25","-","-"
"BraA03004847","AT3G51240","F3H","flavanone 3-hydroxylase","-","YES"
"BraA09003930","AT1G27950","LTPG1","glycosylphosphatidylinositol-anchored lipid protein transfer 1","-","-"
"BraA05001119","AT2G35130","AT2G35130","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA10000417","AT1G05385","LPA19","photosystem II 11 kDa protein-like protein","-","-"
"BraA03003986","AT3G16000","MFP1","MAR binding filament-like protein 1","-","-"
"BraA03002322","AT2G41710","AT2G41710","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA01004775","AT3G01175","AT3G01175","transmembrane protein","-","-"
"BraA04001504","AT2G21060","GRP2B","glycine-rich protein 2B","-","-"
"BraA05001409","AT2G32060","AT2G32060","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","-","-"
"BraA07001589","AT1G20070","AT1G20070","hypothetical protein","-","-"
"BraA01000253","AT4G36360","BGAL3","beta-galactosidase 3","-","-"
"BraA01002310",NA,NA,NA,NA,NA
"BraA03001884","AT2G33830","AT2G33830","Dormancy/auxin associated family protein","-","-"
"BraA06003227","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA05004523","AT3G04000","AT3G04000","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03002046","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA05004316","AT3G06730","TRX z","Thioredoxin z","-","-"
"BraA09006453","AT1G12020","AT1G12020","hypothetical protein","-","-"
"BraA05000230","AT2G46330","AGP16","arabinogalactan protein 16","-","-"
"BraA08001055","AT5G40160","EMB506","Ankyrin repeat family protein","-","-"
"BraA07000808","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA01003090","AT1G60950","FED A","2Fe-2S ferredoxin-like superfamily protein","-","-"
"BraA09004759","AT5G59970","AT5G59970","Histone superfamily protein","-","-"
"BraA05000793","AT2G39705","RTFL8","ROTUNDIFOLIA like 8","-","-"
"BraA07001536","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA03001162","AT3G45980","HTB9","Histone superfamily protein","-","-"
"BraA04002408","AT2G32960","PFA-DSP2","Phosphotyrosine protein phosphatases superfamily protein","-","-"
"BraA01002527","AT3G49790","AT3G49790","Carbohydrate-binding protein","-","-"
"BraA09006916","AT1G03090","MCCA","methylcrotonyl-CoA carboxylase alpha chain","-","YES"
"BraA01003061","AT1G60600","ABC4","UbiA prenyltransferase family protein","-","-"
"BraA03004343","AT3G23810","SAHH2","S-adenosyl-l-homocysteine (SAH) hydrolase 2","-","YES"
"BraA09001078","AT2G14750","APK","APS kinase","-","-"
"BraA10002484","AT5G10930","CIPK5","CBL-interacting protein kinase 5","-","-"
"BraA05003408","AT3G17580","AT3G17580","SsrA-binding protein","-","-"
"BraA04000595","AT3G54030","BSK6","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA05004632","AT3G02580","STE1","sterol 1","-","-"
"BraA02002979","AT1G56220","AT1G56220","Dormancy/auxin associated family protein","-","-"
"BraA03003153","AT4G00810","AT4G00810","60S acidic ribosomal protein family","-","-"
"BraA09000711","AT5G23310","FSD3","Fe superoxide dismutase 3","-","-"
"BraA02000240","AT5G07090","AT5G07090","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA06001588","AT1G14020","AT1G14020","O-fucosyltransferase family protein","-","-"
"BraA03002516","AT2G45720","AT2G45720","ARM repeat superfamily protein","-","-"
"BraA09005956","AT2G20060","AT2G20060","Ribosomal protein L4/L1 family","-","-"
"BraA03002436","AT2G44040","AT2G44040","Dihydrodipicolinate reductase, bacterial/plant","-","-"
"BraA09000860","AT5G63980","SAL1","SAL1 phosphatase-like protein","-","YES"
"BraA03003665","AT3G08770","LTP6","lipid transfer protein 6","-","-"
"BraA02004336","AT5G62350","AT5G62350","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA01004508","AT3G06840","AT3G06840","hypothetical protein","-","-"
"BraA04002043","AT2G28310","AT2G28310","trimethylguanosine synthase (DUF707)","-","-"
"BraA09006486","AT1G11530","CXXS1","C-terminal cysteine residue is changed to a serine 1","-","-"
"BraA10000040","AT1G01600","CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4","-","-"
"BraA08000550","AT1G45010","AT1G45010","TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein","-","-"
"BraA06003724","AT5G25610","RD22","BURP domain-containing protein","-","YES"
"BraA06003955","AT5G49100","AT5G49100","vitellogenin-like protein","-","-"
"BraA02002034","AT1G68760","NUDX1","nudix hydrolase 1","-","-"
"BraA09001074","AT3G32980","AT3G32980","Peroxidase superfamily protein","-","-"
"BraA10000314","AT1G04570","AT1G04570","Major facilitator superfamily protein","-","-"
"BraA05004121","AT3G09450","AT3G09450","fusaric acid resistance family protein","-","-"
"BraA01001141","AT4G19200","AT4G19200","proline-rich family protein","-","-"
"BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA01004753","AT3G02230","RGP1","reversibly glycosylated polypeptide 1","-","-"
"BraA09002946","AT4G09350","NdhT","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA02002521","AT1G76160","sks5","SKU5 similar 5","-","-"
"BraA03003599","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA01000432","AT4G34200","EDA9","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA04002290","AT2G31230","ERF15","ethylene-responsive element binding factor 15","YES","-"
"BraA06002411","AT3G49260","iqd21","IQ-domain 21","-","-"
"BraA03006559","AT4G39780","AT4G39780","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA03005486","AT4G23820","AT4G23820","Pectin lyase-like superfamily protein","-","-"
"BraA08002887","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA03002350","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA07003584","AT1G73010","PS2","inorganic pyrophosphatase 1","-","-"
"BraA03005248","AT4G20200","AT4G20200","Terpenoid cyclases/Protein prenyltransferases superfamily protein","-","-"
"BraA02001022","AT5G21170","AKINBETA1","5'-AMP-activated protein kinase beta-2 subunit protein","-","-"
"BraA07003918","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA07003035","AT5G38890","AT5G38890","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA02004287","AT5G61420","MYB28","myb domain protein 28","YES","-"
"BraA09003960","AT1G27400","AT1G27400","Ribosomal protein L22p/L17e family protein","-","-"
"BraA05003641","AT4G36840","AT4G36840","Galactose oxidase/kelch repeat superfamily protein","-","-"
"BraA09004118","AT1G69530","EXPA1","expansin A1","-","YES"
"BraA02003639","AT3G26410","TRM11","tRNA modification 11 protein","-","-"
"BraA06001385","AT1G10370","ERD9","Glutathione S-transferase family protein","-","YES"
"BraA07001227","AT1G25230","AT1G25230","Calcineurin-like metallo-phosphoesterase superfamily protein","-","-"
"BraA07001579","AT1G20190","EXPA11","expansin 11","-","YES"
"BraA02000954","AT5G20250","DIN10","Raffinose synthase family protein","-","-"
"BraA03002642","AT2G27710","AT2G27710","60S acidic ribosomal protein family","-","-"
"BraA03002292","AT2G27030","CAM5","calmodulin 5","-","-"
"BraA03002048","AT5G28540","BIP1","heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA10000330","AT1G04770","AT1G04770","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03001372","AT5G55970","AT5G55970","RING/U-box superfamily protein","-","-"
"BraA07004125","AT1G79700","WRI4","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA02000717","AT5G16590","AT5G16590","Leucine-rich repeat protein kinase family protein","-","-"
"BraA02002493","AT1G75680","GH9B7","glycosyl hydrolase 9B7","-","-"
"BraA05000861","AT2G38540","LP1","lipid transfer protein 1","-","-"
"BraA01004734","AT3G02510","AT3G02510","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA04002869","AT2G39980","AT2G39980","HXXXD-type acyl-transferase family protein","-","-"
"BraA03003316","AT3G02830","ZFN1","zinc finger protein 1","YES","-"
"BraA07002881","AT1G69490","NAP","NAC-like, activated by AP3/PI","YES","YES"
"BraA06003003","AT5G62410","SMC2","structural maintenance of chromosomes 2","-","-"
"BraA04002023","AT2G28000","CPN60A","chaperonin-60alpha","-","-"
"BraA10002732",NA,NA,NA,NA,NA
"BraA02003806","AT3G29030","EXPA5","expansin A5","-","YES"
"BraA08000541","AT1G45201","TLL1","triacylglycerol lipase-like 1","-","-"
"BraA10001128","AT5G55730","FLA1","FASCICLIN-like arabinogalactan 1","-","-"
"BraA01000085","AT4G39840","AT4G39840","cell wall integrity/stress response component-like protein","-","-"
"BraA01001637","AT4G24670","TAR2","tryptophan aminotransferase related 2","-","YES"
"BraA07000531","AT2G15480","UGT73B5","UDP-glucosyl transferase 73B5","-","-"
"BraA06002385","AT3G49570","LSU3","response to low sulfur 3","-","-"
"BraA04003133","AT2G43590","AT2G43590","Chitinase family protein","-","-"
"BraA04000150","AT2G45550","CYP76C4","cytochrome P450, family 76, subfamily C, polypeptide 4","-","-"
"BraA05000290","AT2G41170","AT2G41170","F-box family protein","-","-"
"BraSca000199","AT5G51190","AT5G51190","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA08003628","AT1G10740","AT1G10740","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03006435","AT4G36410","UBC17","ubiquitin-conjugating enzyme 17","-","-"
"BraA09001848","AT1G59725","AT1G59725","DNAJ heat shock family protein","-","-"
"BraA03001518","AT5G53420","AT5G53420","CCT motif family protein","-","-"
"BraA05004410","AT3G05800","AIF1","AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1","-","YES"
"BraA03000619","AT5G13740","ZIF1","zinc induced facilitator 1","-","-"
"BraA07001934","AT2G28950","EXPA6","expansin A6","-","YES"
"BraA09003488","AT1G32450","NRT1.5","nitrate transporter 1.5","-","-"
"BraA03004522","AT2G14580","PRB1","basic pathogenesis-related protein 1","-","-"
"BraA01001355","AT4G21990","42463","APS reductase 3","-","-"
"BraA09001538","AT5G42170","AT5G42170","SGNH hydrolase-type esterase superfamily protein","-","-"
"BraA01002372","AT4G14690","ELIP2","Chlorophyll A-B binding family protein","-","YES"
"BraA03000520","AT5G11790","NDL2","N-MYC downregulated-like 2","-","-"
"BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA05001202","AT2G34180","CIPK13","CBL-interacting protein kinase 13","-","-"
"BraA03000138","AT5G03760","ATCSLA09","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA09000099","AT1G64780","AMT1;2","ammonium transporter 1;2","-","-"
"BraA04002105","AT2G28950","EXPA6","expansin A6","-","YES"
"BraA09000961","AT5G67360","ARA12","Subtilase family protein","-","-"
"BraA05003585","AT3G16530","AT3G16530","Legume lectin family protein","-","-"
"BraA09002715","AT4G11280","ACS6","1-aminocyclopropane-1-carboxylic acid (acc) synthase 6","-","-"
"BraA06003145","AT5G63810","BGAL10","beta-galactosidase 10","-","-"
"BraA09006529","AT1G11050","AT1G11050","Protein kinase superfamily protein","-","-"
"BraA02003876","AT5G48170","SLY2","F-box family protein","-","-"
"BraA06002102","AT1G19320","AT1G19320","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA10001955","AT5G18030","AT5G18030","SAUR-like auxin-responsive protein family","-","YES"
"BraA01000091","AT4G39940","AKN2","APS-kinase 2","-","-"
"BraA09006866","AT1G04240","SHY2","AUX/IAA transcriptional regulator family protein","-","YES"
"BraA01003185","AT1G61800","GPT2","glucose-6-phosphate/phosphate translocator 2","-","-"
"BraA09003086","AT4G04610","42461","APS reductase 1","-","-"
"BraA05003569","AT3G15450","AT3G15450","aluminum induced protein with YGL and LRDR motifs","-","-"
"BraA09001529","AT1G64450","AT1G64450","Glycine-rich protein family","-","-"
"BraA08003034","AT1G23870","TPS9","trehalose-phosphatase/synthase 9","-","-"
"BraA09000962","AT5G67360","ARA12","Subtilase family protein","-","-"
"BraA04003301","AT2G46680","HB-7","homeobox 7","YES","YES"
"BraA03000184","AT2G05220","AT2G05220","Ribosomal S17 family protein","-","-"
"BraA10000246","AT1G03820","AT1G03820","E6-like protein","-","-"
"BraA06003091","AT5G63140","PAP29","purple acid phosphatase 29","-","-"
"BraA07001815","AT2G27420","AT2G27420","Cysteine proteinases superfamily protein","-","-"
"BraA06003092","AT5G63140","PAP29","purple acid phosphatase 29","-","-"
"BraA03004917","AT4G15280","UGT71B5","UDP-glucosyl transferase 71B5","-","-"
"BraA03000013","AT5G01790","AT5G01790","hypothetical protein","-","-"
"BraA03005328","AT4G21990","42463","APS reductase 3","-","-"
"BraA01003511","AT3G20820","AT3G20820","Leucine-rich repeat (LRR) family protein","-","-"
"BraA03002147","AT2G38750","ANNAT4","annexin 4","-","-"
"BraA03003281","AT3G02230","RGP1","reversibly glycosylated polypeptide 1","-","-"
"BraA03000311","AT5G07460","PMSR2","peptidemethionine sulfoxide reductase 2","-","-"
"BraA09000187","AT4G02330","ATPMEPCRB","Plant invertase/pectin methylesterase inhibitor superfamily","-","-"
"BraA05002370",NA,NA,NA,NA,NA
"BraA02001345","AT5G57290","AT5G57290","60S acidic ribosomal protein family","-","-"
"BraA09004889","AT3G55110","ABCG18","ABC-2 type transporter family protein","-","-"
"BraA10003155","AT5G02020","SIS","E3 ubiquitin-protein ligase RLIM-like protein","-","-"
"BraA03004772","AT3G49790","AT3G49790","Carbohydrate-binding protein","-","-"
"BraA05003235","AT3G19010","AT3G19010","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-"
"BraA06004957","AT4G39330","CAD9","cinnamyl alcohol dehydrogenase 9","-","-"
"BraA10001086","AT5G55410","AT5G55410","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA03004821","AT3G50890","HB28","homeobox protein 28","YES","-"
"BraA03002237","AT2G40140","CZF1","zinc finger (CCCH-type) family protein","YES","-"
"BraA06002134","AT1G19670","CLH1","chlorophyllase 1","-","-"
