"","logFC","logCPM","F","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09006403",-5.22529430249266,10.6985073450438,286.842456977254,1.24863109366949e-12,2.84760273767871e-10,"BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA09004850",-7.74038514899432,6.45667721723921,285.280276656064,1.30885285809855e-12,2.94230122500554e-10,"BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA03003901",-4.3487808358775,8.56755135920914,282.364931197488,1.43004990550059e-12,3.10924870455888e-10,"BraA03003901","AT3G14415","GOX2","Aldolase-type TIM barrel family protein","-","-"
"BraA06000973",-3.07316233366254,5.89970698131406,278.748693111678,1.59801668727548e-12,3.32048580323378e-10,"BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA05003475",-4.21720093364325,3.71349778862039,277.153545874456,1.67897215225663e-12,3.42237336713604e-10,"BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA09005567",-4.0106123624387,8.26468478494514,276.82135460463,1.69639757649092e-12,3.42237336713604e-10,"BraA09005567","AT2G26500","AT2G26500","cytochrome b6f complex subunit (petM)","-","-"
"BraA06003776",-3.11921039094956,5.13196639418391,273.882085488834,1.85962792826827e-12,3.63649527889507e-10,"BraA06003776","AT5G26667","PYR6","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA09003521",-3.31446178958465,6.2781565971284,273.46298998542,1.88429006163153e-12,3.63649527889507e-10,"BraA09003521","AT1G32080","LrgB","membrane protein","-","-"
"BraA02001404",-3.93899904974237,4.45493833684142,273.046840321487,1.90913835831771e-12,3.63649527889507e-10,"BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA03002964",-4.45974794020986,6.04002207676619,272.89855316271,1.91808025005269e-12,3.63649527889507e-10,"BraA03002964","AT4G04020","FIB","fibrillin","-","YES"
"BraA07003370",-3.26364777498627,6.9493374174952,271.974877482766,1.97483604760109e-12,3.69952619583938e-10,"BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA05000807",-5.56482250073495,7.52994704945782,268.972530527678,2.17258401310889e-12,3.84132382362713e-10,"BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA07000653",-3.12565817492999,6.11500793746386,268.47148044791,2.20767716247441e-12,3.86000086985526e-10,"BraA07000653","AT2G05310","AT2G05310","transmembrane protein","-","-"
"BraA07003829",-5.80868523021171,8.23410450228164,267.163381488196,2.30229602360532e-12,3.98120112389597e-10,"BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA10000072",-7.45218514055572,5.16229742592474,265.894685826456,2.39838004636438e-12,4.10227265321629e-10,"BraA10000072","AT1G01190","CYP78A8","cytochrome P450, family 78, subfamily A, polypeptide 8","-","-"
"BraA04000964",-4.32580987843886,6.80276343126002,263.989227348002,2.55115642901136e-12,4.26876714105213e-10,"BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05001006",-3.1467458598469,8.27172096357279,262.997351382015,2.63493318881772e-12,4.30670945462743e-10,"BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA03004149",-5.81778244546875,6.9649952962094,261.057308724425,2.80776273337175e-12,4.41829543723379e-10,"BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA06004302",-3.89170067798264,8.46931298567625,259.51109053512,2.95452994546349e-12,4.56087216846314e-10,"BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
"BraA04000162",-3.33004312643909,10.9203499967473,259.492602596278,2.95633554386909e-12,4.56087216846314e-10,"BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA03003709",5.22049218108535,4.45908717389105,258.976280677055,3.0072592073527e-12,4.59439134824292e-10,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA08002568",-5.40883946076317,10.5929136045647,256.589110378423,3.25570139061714e-12,4.92612664257224e-10,"BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA10002552",-3.17043564234063,5.47523161567759,255.834020078524,3.3389628468655e-12,5.00399231983576e-10,"BraA10002552","AT5G10030","TGA4","TGACG motif-binding factor 4","YES","-"
"BraA05004167",-3.57610492950396,5.14051238109084,254.386120470178,3.50530755110757e-12,5.155095291984e-10,"BraA05004167","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA10002909",-4.91037484764967,7.85309034052208,252.846492869874,3.6923438699625e-12,5.33052505850733e-10,"BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA06003357",-8.6772517051177,6.9975110757676,248.644183221891,4.26170116689379e-12,6.04163329389555e-10,"BraA06003357","AT5G65730","XTH6","xyloglucan endotransglucosylase/hydrolase 6","-","-"
"BraA05001563",-3.42426059354564,5.59796011622868,248.155065872034,4.33406951700998e-12,6.08936767139902e-10,"BraA05001563","AT2G29970","AT2G29970","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA07000900",-4.73659115738996,5.64392344023115,247.371656827305,4.45283787278786e-12,6.20087228019379e-10,"BraA07000900","AT3G23530","AT3G23530","Cyclopropane-fatty-acyl-phospholipid synthase","-","-"
"BraA04000967",-4.21572624760916,9.36645890801117,246.045045884709,4.66228035612866e-12,6.4355827793018e-10,"BraA04000967","AT4G12800","PSAL","photosystem I subunit l","-","-"
"BraA06001302",3.63830208981215,8.94584262594024,245.130022336915,4.81310601092842e-12,6.58600314677997e-10,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA03003008",-3.73183467384582,8.78051695102014,244.084551836751,4.99209463149192e-12,6.77203457941007e-10,"BraA03003008","AT4G03520","ATHM2","Thioredoxin superfamily protein","-","-"
"BraA03004376",-3.41749549013673,8.02178114992463,243.749477488396,5.05101364294401e-12,6.77303971256402e-10,"BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA08003963",3.04731056196553,8.80225688348234,243.143690825069,5.1595025193635e-12,6.82268333148774e-10,"BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA05001825",-3.36884538131839,7.37721467236257,242.210133833462,5.33178816783803e-12,6.90522109507244e-10,"BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA09006514",-6.71790240399215,7.59530555274714,242.094520126386,5.35356490594075e-12,6.90522109507244e-10,"BraA09006514","AT1G10760","SEX1","Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein","-","YES"
"BraA07003594",-4.19341992635358,7.17204471944832,239.062274912249,5.96148351080997e-12,7.4452305179449e-10,"BraA07003594","AT1G73110","AT1G73110","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA03002984",-4.30737443882793,10.9053981071141,238.702275721975,6.03860659468085e-12,7.48216640739353e-10,"BraA03002984","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA09006470",-3.47748188865915,9.14970140864173,236.581192447485,6.51610286731394e-12,7.88749190154248e-10,"BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA06001223",-3.12247560355063,8.03771738601658,235.981978196545,6.65847939235891e-12,7.99830776474503e-10,"BraA06001223","AT1G08550","NPQ1","non-photochemical quenching 1","-","YES"
"BraA09003092",-3.93283536391945,8.01313005853179,235.480151065255,6.78037404960518e-12,8.02225308605918e-10,"BraA09003092","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","-","YES"
"BraA03006354",-3.31035080599936,4.98721446349066,234.423363175327,7.0452483917876e-12,8.24833830854619e-10,"BraA03006354","AT4G35270","AT4G35270","Plant regulator RWP-RK family protein","YES","-"
"BraA09002953",-5.67097522695737,9.02876792531874,234.302390319561,7.07629430384936e-12,8.24833830854619e-10,"BraA09002953","AT4G09650","ATPD","F-type H -transporting ATPase subunit delta","-","-"
"BraA01000237",-5.56978425572514,6.83713322781001,233.634295121663,7.25050827241157e-12,8.32802906384442e-10,"BraA01000237","AT4G36530","AT4G36530","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03001809",-5.67130077767315,3.81895096684757,233.046994783753,7.40758951974714e-12,8.38603084048496e-10,"BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA06000926",-4.10648756031996,6.74593345623666,228.295638306433,8.82667023405286e-12,9.72901715919797e-10,"BraA06000926","AT1G51110","AT1G51110","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA09001039",-4.76066674941328,11.3623951719875,227.911456521436,8.95397706999113e-12,9.72901715919797e-10,"BraA09001039","AT5G66190","FNR1","ferredoxin-NADP[ ]-oxidoreductase 1","-","YES"
"BraA03005881",-3.80223611860241,4.25728001971169,227.694800077999,9.02666818278409e-12,9.72901715919797e-10,"BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA08002073",-3.60121483769183,10.1337011201543,227.267941429412,9.17180826307343e-12,9.81820236923289e-10,"BraA08002073","AT1G55480","ZKT","protein containing PDZ domain, a K-box domain, and a TPR region","-","-"
"BraA07001400",-3.12924379255001,6.71462665063427,226.811684840827,9.32981298852955e-12,9.85328437500007e-10,"BraA07001400","AT1G23090","AST91","sulfate transporter 91","-","-"
"BraA06001278",-4.97393081939246,7.43399994389454,226.046052691714,9.60178670614533e-12,1.00062063316492e-09,"BraA06001278","AT1G09340","CRB","chloroplast RNA binding protein","-","YES"
"BraA08002004",-4.05140088588643,4.68006488701144,225.699249031328,9.72786577746264e-12,1.00343598424415e-09,"BraA08002004","AT4G29070","AT4G29070","Phospholipase A2 family protein","-","-"
"BraA08000983",-3.16104817257723,8.08546084619023,225.621626074884,9.75633614573939e-12,1.00343598424415e-09,"BraA08000983","AT5G40950","RPL27","ribosomal protein large subunit 27","-","-"
"BraA05004474",-3.08311731289379,6.42897597253167,224.256075978842,1.02726137531197e-11,1.03621698730186e-09,"BraA05004474","AT3G05030","NHX2","sodium hydrogen exchanger 2","-","YES"
"BraA09006975",8.2929340527058,6.20923685132622,222.754024017962,1.0875780058048e-11,1.09007181524486e-09,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA06003273",-6.74493857115766,7.57708810352744,222.533625629261,1.0967543982343e-11,1.09231184877309e-09,"BraA06003273","AT5G65010","ASN2","asparagine synthetase 2","-","-"
"BraA04002224",-3.8836523062357,8.81101852055901,220.970703892692,1.16434615615275e-11,1.13099698229751e-09,"BraA04002224","AT2G30570","PSBW","photosystem II reaction center W","-","-"
"BraA09004114",-6.74466000885547,6.50015183077419,219.825337557072,1.21681428888932e-11,1.17471102147008e-09,"BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA10002206",-3.81923351594385,5.546941736644,218.251591764382,1.29323439533109e-11,1.23335372393516e-09,"BraA10002206","AT5G14760","AO","L-aspartate oxidase","-","-"
"BraA01001284",-3.82628874932843,7.33659120514876,216.893094632098,1.36349842411054e-11,1.28479108992835e-09,"BraA01001284","AT4G21280","PSBQA","photosystem II subunit QA","-","-"
"BraA09000210",-4.11393011292655,6.60718319839489,215.64562051543,1.43176560743922e-11,1.32530962345079e-09,"BraA09000210","AT4G02530","AT4G02530","chloroplast thylakoid lumen protein","-","-"
"BraA02004452",-3.36725828861526,7.19318266208996,214.531453775217,1.49595383200208e-11,1.35289250002211e-09,"BraA02004452","AT2G29180","AT2G29180","transmembrane protein","-","YES"
"BraA08003681",-3.85366318264307,7.15387837572847,212.150466540282,1.64410299769011e-11,1.45346094222762e-09,"BraA08003681","AT1G09780","iPGAM1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","-","-"
"BraA09005382",-3.15151803583178,3.64583514469874,211.169914372156,1.70978783550239e-11,1.50308499326623e-09,"BraA09005382","AT3G61220","SDR1","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03000567",-3.28460520657562,4.98275656264716,210.932692884039,1.72611265736214e-11,1.50900604312503e-09,"BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA03006095",-4.9319906396459,6.95434724903875,210.62592889183,1.74748010494876e-11,1.51089818304801e-09,"BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA05001589",-4.81794888474243,5.26832433287339,210.451683738346,1.75974760253948e-11,1.51280494969391e-09,"BraA05001589","AT2G29670","AT2G29670","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA09005883",-6.41108447658549,4.49193285963247,210.183025902043,1.77884973963574e-11,1.51307997313016e-09,"BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA04003031",-3.6865749090546,8.70354031114938,209.840028963061,1.80357265680530e-11,1.52586125416604e-09,"BraA04003031","AT2G42220","AT2G42220","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA07002742",-11.2126956229855,5.82599428474362,260.364851753075,1.90400312167513e-11,1.5936911235468e-09,"BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA08000895",-5.46800703875504,3.03203831712714,207.501185476484,1.98267415705797e-11,1.63347437358452e-09,"BraA08000895","AT2G06520","PSBX","photosystem II subunit X","-","-"
"BraA07002708",-5.19641139125732,8.60991805621115,207.368829631482,1.99338407214045e-11,1.63374436245844e-09,"BraA07002708","AT1G73600","AT1G73600","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA05000132",-3.20518906708959,7.75947006505911,205.37654617448,2.16259832491123e-11,1.75238340237327e-09,"BraA05000132","AT2G47400","CP12-1","CP12 domain-containing protein 1","-","YES"
"BraA04003312",-5.54801713065156,10.0083109141133,205.009459433483,2.19548367218834e-11,1.75238340237327e-09,"BraA04003312","AT2G46810","AT2G46810","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA07001630",3.19299128113952,4.66072845021605,204.78250776735,2.21609238098806e-11,1.75238340237327e-09,"BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA01002648",-3.99609150652082,7.37482602135614,204.115194156169,2.27794258090726e-11,1.78336838075406e-09,"BraA01002648","AT3G46780","PTAC16","plastid transcriptionally active 16","-","YES"
"BraA08002764",-3.59554588235321,6.04883280739366,203.065294391556,2.37916661811182e-11,1.83577189451529e-09,"BraA08002764","AT1G29700","AT1G29700","Metallo-hydrolase/oxidoreductase superfamily protein","-","-"
"BraA09006307",-5.83478514737733,4.32315555639579,202.614983867771,2.42410331830937e-11,1.86076535692275e-09,"BraA09006307","AT1G14150","PnsL2","PsbQ-like 2","-","-"
"BraA07002264",-3.8611311461979,5.84399255542297,202.259055926598,2.46028806022207e-11,1.87029434375143e-09,"BraA07002264","AT3G61080","AT3G61080","Protein kinase superfamily protein","-","-"
"BraA08000221",-4.949125542431,5.16608749133068,201.842450349051,2.50340463342642e-11,1.89392188998068e-09,"BraA08000221","AT1G52191","AT1G52191","Thioesterase superfamily protein","-","-"
"BraA10002002",-4.00268730876909,5.32324606410726,200.581500438056,2.63909910744346e-11,1.94953901789739e-09,"BraA10002002","AT5G17520","RCP1","root cap 1 (RCP1)","-","-"
"BraA10001844",-3.66116756579489,6.2557558563698,200.524069276315,2.64547085858775e-11,1.94953901789739e-09,"BraA10001844","AT5G19290","AT5G19290","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06001326",-3.05624680878623,6.42565630704669,200.472075014271,2.65125412957576e-11,1.94953901789739e-09,"BraA06001326","AT1G09800","AT1G09800","Pseudouridine synthase family protein","-","-"
"BraA07002006",-6.32914784317224,8.26458969381336,198.517914437178,2.87912470147329e-11,2.07825258267815e-09,"BraA07002006","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA01004053",-8.50023388518249,7.12997429907666,198.019576840756,2.94065576709906e-11,2.08256504025609e-09,"BraA01004053","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA03001864",-4.57874690665878,6.54338473763903,197.165064121283,3.04958920508129e-11,2.11126060880462e-09,"BraA03001864","AT3G61580","SLD1","Fatty acid/sphingolipid desaturase","-","-"
"BraA02002440",-4.08176107438127,5.66894181462839,196.91345557448,3.08251190341554e-11,2.11126060880462e-09,"BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA06003049",-5.77200132154359,4.35825882392443,196.584863338106,3.12610303758118e-11,2.11126060880462e-09,"BraA06003049","AT5G62720","AT5G62720","Integral membrane HPP family protein","-","-"
"BraA05004612",-4.58799904720521,3.79973093206018,196.428491907633,3.14708711315738e-11,2.11126060880462e-09,"BraA05004612","AT3G02720","DJ1D","Class I glutamine amidotransferase-like superfamily protein","-","-"
"BraA10001053",3.41076731589556,5.07171002927162,196.385101574123,3.15293748772931e-11,2.11126060880462e-09,"BraA10001053","AT5G54960","PDC2","pyruvate decarboxylase-2","-","-"
"BraA07002023",-4.69653949586024,7.00049644933774,195.274511251437,3.30686450791284e-11,2.17930340252653e-09,"BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA03005538",-3.10929526894277,7.54049989296376,195.25284910843,3.30994860958211e-11,2.17930340252653e-09,"BraA03005538","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA07003149",-3.07102932292216,4.131883723003,193.667493054929,3.54456561019754e-11,2.28228336170113e-09,"BraA07003149","AT4G01935","AT4G01935","insulin-induced protein","-","-"
"BraA05004368",-3.43080546573657,5.30932232888868,193.564536420086,3.5604282752046e-11,2.28228336170113e-09,"BraA05004368","AT3G06150","AT3G06150","cytochrome P450 family protein","-","-"
"BraA10000194",-3.36334691324003,4.95388057492731,193.516342001154,3.56788070016827e-11,2.28228336170113e-09,"BraA10000194","AT1G03310","DBE1","debranching enzyme 1","-","-"
"BraA05000754",-6.24089443936451,7.95049055317089,193.420791029758,3.58270720746278e-11,2.28248909379086e-09,"BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA02002181",-3.63762771906404,5.9352182842761,193.311671755772,3.59972274407436e-11,2.28408214115944e-09,"BraA02002181","AT1G70700","TIFY7","TIFY domain/Divergent CCT motif family protein","-","-"
"BraA10002910",-6.70467076940529,5.8651668442694,192.978847962184,3.65217790384181e-11,2.29882685979419e-09,"BraA10002910","AT5G09660","PMDH2","peroxisomal NAD-malate dehydrogenase 2","-","YES"
"BraA01004807",-9.36401749183552,7.94560699538275,191.269556092576,3.93528847441374e-11,2.40995910843029e-09,"BraA01004807","AT3G01500","CA1","carbonic anhydrase 1","-","-"
"BraA04001564",-4.41054496667816,5.15027464626915,191.168016033848,3.95285703378738e-11,2.40995910843029e-09,"BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA03003892",-7.63630844341269,5.09691520308665,191.06164954958,3.97135403055759e-11,2.40995910843029e-09,"BraA03003892","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA01000629",-3.28675638809817,12.276289391905,190.889421898462,4.00150815310482e-11,2.41255679299837e-09,"BraA01000629","AT4G32260","PDE334","ATPase, F0 complex, subunit B/B', bacterial/chloroplast","-","-"
