"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07002556",-2.3946701018408,4.60178575710692,2.7360718821687e-06,0.000871932129165872,"BraA07002556","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA09006044",-3.06319132410018,5.71540016436222,3.04252704157376e-06,0.000939007365379822,"BraA09006044",NA,NA,NA,NA,NA
"BraA06002283",-2.16402905190353,2.84363608274495,3.52715734483295e-06,0.00104749918127681,"BraA06002283","AT1G21130","IGMT4","O-methyltransferase family protein","-","-"
"BraA10000123",-4.14383746085285,4.17381377558814,4.61910795065577e-06,0.001248141529656,"BraA10000123",NA,NA,NA,NA,NA
"BraA01000668",-2.69668594557239,4.74376547503699,5.52295697540291e-06,0.00144885571321403,"BraA01000668","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
"BraA05004697",-3.05627854700896,5.25278169008453,7.8012635377632e-06,0.00194907758864116,"BraA05004697","AT3G01290","HIR2","SPFH/Band 7/PHB domain-containing membrane-associated protein family","-","-"
"BraA01000533",-3.00762215115925,3.12465572344783,1.01851133669986e-05,0.00235755418230231,"BraA01000533",NA,NA,NA,NA,NA
"BraA02002165",-3.33547637073102,3.65276775843238,1.18662686250791e-05,0.00252398740755061,"BraA02002165",NA,NA,NA,NA,NA
"BraA03002443",-2.13359048041517,3.72261073786118,1.83984683092976e-05,0.00353160842912614,"BraA03002443","AT2G44180","MAP2A","methionine aminopeptidase 2A","-","-"
"BraA04000417",-3.24795302291199,4.01462800896196,2.0501475480463e-05,0.0038415860007439,"BraA04000417","AT3G56400","WRKY70","WRKY DNA-binding protein 70","YES","YES"
"BraA06004357",-3.07075060641649,3.40636723051595,2.51144730047976e-05,0.00449206596699448,"BraA06004357","AT3G25882","NIMIN-2","NIM1-interacting 2","-","-"
"BraA04000209",-3.24273110196676,2.20028356743246,2.8322518062861e-05,0.00484561341640687,"BraA04000209","AT3G60130","BGLU16","beta glucosidase 16","-","-"
"BraA10002640",-2.07548872812583,5.01279376407744,3.06628604157982e-05,0.00518960669832972,"BraA10002640",NA,NA,NA,NA,NA
"BraA05000465",-2.38796826469595,3.34853292278388,7.14820680510154e-05,0.0096993771648533,"BraA05000465",NA,NA,NA,NA,NA
"BraA03001729",-3.37315633790114,3.71571524192876,7.84071252419592e-05,0.0103708248009112,"BraA03001729","AT1G04010","PSAT1","phospholipid sterol acyl transferase 1","-","YES"
"BraA06004018",-2.95137241995749,-0.151742869688991,7.94085058991267e-05,0.0104157490237688,"BraA06004018",NA,NA,NA,NA,NA
"BraA04000235",-2.4067801629884,0.0823134953318434,8.39334392505192e-05,0.0109149832475709,"BraA04000235","AT3G59700","HLECRK","lectin-receptor kinase","-","-"
"BraA10003178",-2.9133220519253,-0.461330218193145,8.76551791552148e-05,0.0110375401592246,"BraA10003178","AT5G01490","CAX4","cation exchanger 4","-","-"
"BraA08000823",-2.0539672390684,2.32055113755788,9.09312700778344e-05,0.0111817046173837,"BraA08000823","AT1G33030","AT1G33030","O-methyltransferase family protein","-","-"
"BraA01000351",-4.29003643261191,3.81451723990574,9.92491234249406e-05,0.0119250473489203,"BraA01000351","AT4G35180","LHT7","LYS/HIS transporter 7","-","-"
"BraA07002277",-2.50332031325367,5.9866322795079,0.00012451658554527,0.0142349896635785,"BraA07002277","AT3G61390","AT3G61390","RING/U-box superfamily protein","-","-"
"BraA03002182",-2.2548432755882,2.1528333349724,0.00015884638685069,0.0165578948942375,"BraA03002182","AT2G39200","MLO12","Seven transmembrane MLO family protein","-","YES"
"BraA10002318",-2.28367346954937,1.03769490615838,0.00016359691378995,0.0169408909411435,"BraA10002318","AT5G13210","AT5G13210","Uncharacterized conserved protein UCP015417, vWA","-","-"
"BraA04000397",-2.63198558310403,4.35932423680202,0.0001693942233048,0.0172017101601132,"BraA04000397","AT3G56710","SIB1","sigma factor binding protein 1","-","-"
"BraA07002315",-5.53619863594266,-1.62600682415724,0.000191912123735333,0.0181969688409285,"BraA07002315","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA08001997",-2.41047977279246,2.14239565666447,0.000244305059416707,0.0213631201956609,"BraA08001997","AT4G29270","AT4G29270","HAD superfamily, subfamily IIIB acid phosphatase","-","-"
"BraA04002351",-2.07134174192212,1.98358625554283,0.000252772836529254,0.021981461032986,"BraA04002351","AT2G32030","AT2G32030","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA05000147",-2.59575299943411,-0.561124926276024,0.000346975680752005,0.0278812613040063,"BraA05000147","AT2G47190","MYB2","myb domain protein 2","YES","-"
"BraA06000723",-3.50367807736827,2.33683140289595,0.000620215278496831,0.0399264201259966,"BraA06000723","AT1G54040","ESP","epithiospecifier protein","-","YES"
