"gene.ID","logFC","logCPM","F","PValue","FDR","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07001107",-1.902287124498,6.46933148883809,223.200904140553,7.26712285230964e-12,8.9192084442233e-10,"AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA02002078",-1.7966850674892,5.52387714439452,216.539556497413,9.4517014843418e-12,1.05667215158857e-09,"AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA09004147",-2.27664288415346,6.95282465863744,213.050915376755,1.08790917345232e-11,1.14804919925578e-09,"AT1G27090","AT1G27090","glycine-rich protein","-","-"
"BraA03004700",-2.86772417078646,4.8822707270751,211.655496552363,1.15155316100029e-11,1.19841129192948e-09,"AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA03000452",-2.1032103469175,5.64336021121972,211.134817124424,1.17634767839063e-11,1.21812213739966e-09,"AT5G10450","GRF6","G-box regulating factor 6","-","YES"
"BraA08003963",-2.88361146345977,8.79968649250454,207.808377269551,1.34940758740838e-11,1.33656454151068e-09,"AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA07000520",-3.72014349348978,6.04813747981451,204.081330476267,1.57754844158442e-11,1.50241998776084e-09,"AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA09000394",-3.33638753740937,4.10670298292027,196.878725366501,2.14969609559811e-11,1.86002248762039e-09,"AT3G29100","VTI13","vesicle transport V-snare 13","-","-"
"BraA09006975",-7.0862417152426,6.22143463703442,195.617388479311,2.27183065555385e-11,1.9197866257295e-09,"AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA08003167",-3.73839107213412,3.10859847956363,194.69602502722,2.36589889753676e-11,1.97885536307677e-09,"AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08003682",-2.18079170400632,6.94784936949371,191.063234691468,2.78113998942624e-11,2.22666299120296e-09,"AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA10003048",-2.89698646980701,6.98524359462637,190.98958039834,2.79035392335136e-11,2.22666299120296e-09,"AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA05002014",-2.94697050716756,4.06818979774397,189.543952624308,2.97821285482906e-11,2.35989406668789e-09,"AT1G49600","RBP47A","RNA-binding protein 47A","-","-"
"BraA09002521",-2.40923049833917,4.70896882599577,189.424509013385,2.99434972111027e-11,2.36153967591112e-09,"AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA08003014",-11.851376010071,7.44644199497574,188.0522726654,3.18684743747986e-11,2.47742816998052e-09,"AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA09006846",-2.17901618300437,4.74020344812694,187.972554745313,3.19844399770091e-11,2.47742816998052e-09,"AT1G04590","AT1G04590","PPR containing-like protein","-","-"
"BraA05000899",-4.87420952281002,8.93768759171452,186.560614691274,3.4117747511898e-11,2.56827030687064e-09,"AT2G38170","CAX1","cation exchanger 1","-","-"
"BraA03000218",-2.69974877854063,5.64735780759541,180.620221110473,4.49905791305575e-11,3.09203181856135e-09,"AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA07001790",-1.58510912135037,7.06193984272384,180.576952740939,4.50826879786373e-11,3.09203181856135e-09,"AT2G26990","FUS12","proteasome family protein","-","-"
"BraA04002942",-2.3637886908227,4.81069566581095,179.940650776214,4.64616174423182e-11,3.15087899909871e-09,"AT2G40650","AT2G40650","PRP38 family protein","-","-"
"BraA08002185",-2.00964078080016,4.42888756630713,178.004407779979,5.09531164468006e-11,3.40389288878094e-09,"AT4G26780","AR192","Co-chaperone GrpE family protein","-","-"
"BraA05000969",-2.43034040107651,5.62465090866763,177.786854937857,5.14870995113624e-11,3.40389288878094e-09,"AT2G37410","TIM17-2","translocase inner membrane subunit 17-2","-","-"
"BraA04000401",-1.84112301241459,7.14584571764806,176.975516359619,5.35338442935713e-11,3.50421682806296e-09,"AT3G56680","AT3G56680","Single-stranded nucleic acid binding R3H protein","-","-"
"BraA10002642",-2.63739976188276,4.75048232214277,175.546262674456,5.73620537106091e-11,3.68013425837127e-09,"AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA07003495",-2.50665378754976,4.81239870527942,174.603473594499,6.00527699133331e-11,3.81451621848939e-09,"AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA02003289",-2.48814416957488,5.66793617799531,174.483387207847,6.04054114839804e-11,3.81451621848939e-09,"AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA01001678",-2.16031799810564,6.00275430038873,174.153218128865,6.13868438542193e-11,3.85083081877732e-09,"AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-"
"BraA03005909",-3.11042321546188,8.02782321640821,173.292069402212,6.40306882932374e-11,3.96165762664707e-09,"AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA01001016",-2.39859944994145,3.99596807416815,173.031616088388,6.48549517170992e-11,4.00169228040233e-09,"AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA09003406",-2.08210757848152,4.78320512839956,171.168909615936,7.11039372813709e-11,4.25925786637984e-09,"AT1G33230","AT1G33230","TMPIT-like protein","-","-"
"BraA08002252",-2.35217537979869,5.60128215960123,170.543985165472,7.33474611054214e-11,4.34752155943237e-09,"AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-"
"BraA01004530",-2.18528820618253,4.99967921532416,170.215293692066,7.45588434496696e-11,4.39471235771025e-09,"AT3G07290","AT3G07290","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA02003047",-2.79040908408644,5.1756115314846,168.315716436941,8.20083918347118e-11,4.6736305423945e-09,"AT4G12400","Hop3","stress-inducible protein","-","-"
"BraA10001764",-2.69749970526303,4.97156834273181,167.461456649569,8.56240606333031e-11,4.81007005294001e-09,"AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-"
"BraA07001112",-2.10962202176533,4.04169750768302,167.061668036751,8.73764896072159e-11,4.8457618774458e-09,"AT1G28440","HSL1","HAESA-like 1","-","-"
"BraA06001724",-8.14430250976713,4.48672579980701,166.819973547521,8.84551618901224e-11,4.8721534657674e-09,"AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA03001284",-9.73382774361674,4.68250244854298,226.8647115241,9.02720747986286e-11,4.95066804803313e-09,"AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA05000076",-1.6239347160349,4.49287929262915,166.409926726638,9.03190557405859e-11,4.95066804803313e-09,"AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA06001323",-2.05013841171054,8.75740678130886,166.12329312987,9.16477705849043e-11,4.98718458582866e-09,"AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA07001008",-2.25024256501811,6.12934746021259,165.113089262266,9.65060266231384e-11,5.16444454793918e-09,"AT1G30410","ABCC12","multidrug resistance-associated protein 13","-","-"
"BraA10003020",-2.11390556886841,5.13310397102244,164.151604545274,1.01395940533247e-10,5.38782241191132e-09,"AT5G03970","AT5G03970","F-box associated ubiquitination effector family protein","-","-"
"BraA07002414",-2.63729006023378,6.11150468509617,163.582410886199,1.04419583805079e-10,5.4712470094434e-09,"AT1G80490","TPR1","TOPLESS-related 1","-","-"
"BraA05002442",-2.18657297667218,6.65090080972286,163.289815886819,1.0601262227763e-10,5.48888178597036e-09,"AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-"
"BraA09005009",-2.24213657433968,6.16545882818534,163.265006332677,1.06148930387371e-10,5.48888178597036e-09,"AT3G56510","AT3G56510","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA01001145",-1.71465316353398,5.99709499299176,163.246788152565,1.06249147824648e-10,5.48888178597036e-09,"AT4G19210","ABCE2","RNAse l inhibitor protein 2","-","-"
"BraA08002778",-2.33633824005243,5.13622481312923,162.993578814664,1.0765293808826e-10,5.53787312265873e-09,"AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA09006080",-1.29361638173968,6.55234960969992,161.793493245591,1.1459144871334e-10,5.79583854931145e-09,"AT1G18070","AT1G18070","Translation elongation factor EF1A/initiation factor IF2gamma family protein","-","-"
"BraA06002456",-1.88905023519599,6.58722942276611,161.642132738698,1.15501170794667e-10,5.81876024815617e-09,"AT3G48860","AT3G48860","coiled-coil protein","-","-"
"BraA09003548",-2.62960621819605,5.90035489575727,161.402196484036,1.1695968183985e-10,5.856542117493e-09,"AT1G55850","CSLE1","cellulose synthase like E1","-","-"
"BraA06001028",-2.32342795764525,5.58779293175911,160.113793151541,1.25148539938127e-10,6.19092740743711e-09,"AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-"
"BraA08001963",-1.99835276189202,5.93600542349799,160.01034536731,1.25833058261921e-10,6.19092740743711e-09,"AT4G29940","PRHA","pathogenesis related homeodomain protein A","YES","-"
"BraA05000849",-1.37705686386983,6.14048095825664,159.448733132897,1.29622337204998e-10,6.33606329242527e-09,"AT2G38770","EMB2765","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA07002547",-2.30640821965089,5.4504195296924,158.91676822689,1.33328342491964e-10,6.48912491055176e-09,"AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA09003891",-5.21392786885347,9.69828716995405,158.479610862179,1.36461724011108e-10,6.5666034294024e-09,"AT1G28330","DYL1","dormancy-associated protein-like 1","-","-"
"BraA05002380",-2.0813592409967,5.67935519283645,158.451647906358,1.36664907754467e-10,6.5666034294024e-09,"AT3G48110","EDD1","glycine-tRNA ligase","-","-"
"BraA03006213",-2.12166728609021,7.39325832423252,158.251631687491,1.381280611392e-10,6.61975098998612e-09,"AT4G33740","AT4G33740","myb-like protein X","-","-"
"BraA04002996",-3.049626843661,8.44262407079525,156.842231158861,1.48943252297986e-10,6.992901178057e-09,"AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA09002834",-2.57952548515769,4.54133284226608,156.663598071512,1.50379682488709e-10,7.04569371295126e-09,"AT4G09830","AT4G09830","nuclear receptor family 2 group C protein","-","-"
"BraA01000548",-2.05524800344643,4.76319793571485,156.290058509719,1.53433213271853e-10,7.14429330993455e-09,"AT4G32910","AT4G32910","nuclear pore complex Nup85-like protein","-","-"
"BraA08001524",-1.62346176568638,5.57402084706354,156.135488049969,1.54716782218177e-10,7.17447452327122e-09,"AT5G53400","BOB1","HSP20-like chaperones superfamily protein","-","YES"
"BraA05002514",-2.21940778077961,4.65116669422863,155.220512262119,1.62562536375512e-10,7.4429320001395e-09,"AT3G22590","PHP","PLANT HOMOLOGOUS TO PARAFIBROMIN","-","-"
"BraA05000394",-2.09048393191499,4.82523528322464,154.293483235767,1.70963258142018e-10,7.67947021812193e-09,"AT1G54380","AT1G54380","spliceosome protein-like protein","-","-"
"BraA03004318",-1.76636630059014,5.73144106786967,154.274779089667,1.7113762722476e-10,7.67947021812193e-09,"AT3G22960","PKP-ALPHA","Pyruvate kinase family protein","-","-"
"BraA01004308",-5.39739874422976,4.1483533194252,154.247969558613,1.71387901958706e-10,7.67947021812193e-09,"AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA10001873",-2.31326955473079,4.06616319129751,154.104817401494,1.72731143400205e-10,7.69386077200559e-09,"AT5G18940","AT5G18940","Mo25 family protein","-","-"
"BraA04001423",-1.78405170662398,6.25035538181617,152.427422606882,1.89369829112439e-10,8.14578828732613e-09,"AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
"BraA09001455",-5.95681363634643,5.27801314906909,151.002775165476,2.04900673888627e-10,8.61689370284332e-09,"AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","-","-"
"BraA07001630",-2.67579828032399,4.65426337026907,149.916323551898,2.17692995583131e-10,8.98749711015328e-09,"AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA08001424",-4.52909151930363,6.09365899033589,149.28487108288,2.25532572727711e-10,9.24356096172396e-09,"AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA01004134",-2.08650775181642,5.22418001259645,148.730101808309,2.3267849028006e-10,9.44621955634769e-09,"AT3G13570","SCL30A","SC35-like splicing factor 30A","-","-"
"BraA07003945",-1.7307491002322,3.85851362064025,148.674740019498,2.3340523900465e-10,9.44621955634769e-09,"AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA06000360",-1.84299313408418,5.75828088963385,148.14145659936,2.4053589938154e-10,9.64835207057428e-09,"AT5G43720","AT5G43720","rRNA-processing EFG1-like protein (DUF2361)","-","-"
"BraA05003854",-1.85060044192855,5.36331713302881,145.933300719836,2.72738788309903e-10,1.06561592671324e-08,"AT3G12680","HUA1","floral homeotic protein (HUA1)","YES","-"
"BraA10002833",-1.4880788733465,6.12680478476729,145.727636597881,2.75973026900396e-10,1.07453428732615e-08,"AT5G23090","NF-YB13","nuclear factor Y, subunit B13","YES","-"
"BraA06000263",-1.78572788888485,5.35074658827578,145.564109213824,2.78574931232927e-10,1.0809377443356e-08,"AT5G45190","AT5G45190","Cyclin family protein","-","YES"
"BraA03000536",-3.08510715798933,4.02410837687948,143.906629026495,3.06535931913512e-10,1.17330524583099e-08,"AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA03000072",-2.5302272581041,3.86519803617199,143.801806259278,3.08405946189134e-10,1.17846556392372e-08,"AT5G02290","NAK","Protein kinase superfamily protein","-","-"
"BraA02003725",-1.60801323985573,5.70713559900997,143.745799880837,3.09410259628362e-10,1.17882895559522e-08,"AT3G27430","PBB1","N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein","-","-"
"BraA02003610",-2.36425409013977,4.5534355150907,143.713773210046,3.09986192276984e-10,1.17882895559522e-08,"AT3G25910","AT3G25910","MAP kinase kinase kinase, putative (DUF1644)","-","-"
"BraA05002303",-2.19391440485524,7.38981706876546,143.698468635819,3.10261831885187e-10,1.17882895559522e-08,"AT1G33520","MOS2","D111/G-patch domain-containing protein","-","-"
"BraA03004556",-2.59379356326128,5.62924421987228,143.376100304036,3.16131269428395e-10,1.18611655059579e-08,"AT2G15910","AT2G15910","CSL zinc finger domain-containing protein","-","-"
"BraA07001930",-2.47070927169716,8.46591363286122,142.375989058883,3.35136859345714e-10,1.23666596317063e-08,"AT2G28910","CXIP4","CAX interacting protein 4","-","-"
"BraA10001053",-2.83427969562679,5.05939947851022,141.279110318242,3.57448138729264e-10,1.30197601885854e-08,"AT5G54960","PDC2","pyruvate decarboxylase-2","-","-"
"BraA01001623",-1.77247120992654,5.90950026100977,140.742961566432,3.68948032709748e-10,1.33240034657188e-08,"AT4G24520","ATR1","P450 reductase 1","-","YES"
"BraA01001004",-2.13620420979144,5.49179877908356,140.724972024503,3.69340927668599e-10,1.33240034657188e-08,"AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA09004831",-1.77127523023004,4.82077518745166,140.482125660266,3.7469030446967e-10,1.34739349456028e-08,"AT3G54650","FBL17","RNI-like superfamily protein","-","-"
"BraA03006138",-1.73478405962493,6.41165964943117,140.291177777683,3.78956706363816e-10,1.36056904607537e-08,"AT4G32610","AT4G32610","copper ion binding protein","-","-"
"BraA01003556",-2.32811002717538,4.91256866322062,139.500475400658,3.97204934062926e-10,1.4170740957256e-08,"AT3G19990","AT3G19990","E3 ubiquitin-protein ligase","-","-"
"BraA09000556",-3.91472108500918,3.68348924783709,139.182832987905,4.04807706020711e-10,1.43738560142543e-08,"AT5G27920","AT5G27920","F-box family protein","-","-"
"BraA03002440",-2.15167848004958,5.12004996989788,138.452299163598,4.22911620965381e-10,1.49461864417233e-08,"AT2G44120","AT2G44120","Ribosomal protein L30/L7 family protein","-","-"
"BraA05000962",-1.85703661682571,5.51450667063727,138.362591351813,4.25195839497464e-10,1.49800275247601e-08,"AT2G37480","AT2G37480","hypothetical protein","-","-"
"BraA04002840",-2.55938866010213,7.13796796291081,138.116216921482,4.3153979487808e-10,1.5132706813248e-08,"AT2G39570","ACR9","ACT domain-containing protein","-","-"
"BraA04001691",-1.48735613310164,5.7154302372976,137.015412177176,4.61193604541471e-10,1.59009697272672e-08,"AT2G23070","AT2G23070","Protein kinase superfamily protein","-","-"
"BraA01000462",-2.2006773969484,5.1540604316796,136.341286374817,4.80463113997643e-10,1.64149750429785e-08,"AT4G33790","CER4","Jojoba acyl CoA reductase-related male sterility protein","-","-"
"BraA10000200",-1.38436905021769,5.57873151257918,136.160799234136,4.85772279538629e-10,1.65154837519389e-08,"AT1G03365","AT1G03365","RING/U-box superfamily protein","-","-"
"BraA09004419",-1.80937435630692,6.18755399598204,136.141956707917,4.86330279194056e-10,1.65154837519389e-08,"AT3G50000","CKA2","casein kinase II, alpha chain 2","-","-"
"BraA09006467",-1.86230071709643,4.83135916069868,136.025968938844,4.89780785629487e-10,1.66076869097158e-08,"AT1G11890","SEC22","Synaptobrevin family protein","-","-"
"BraA01003887",-1.70698825061683,7.77936298492091,135.858086955058,4.94823174439622e-10,1.67284307610329e-08,"AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA06004574",-1.77556515953325,5.64606995110703,135.782400278398,4.97115215184351e-10,1.67444028677077e-08,"AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA02002262",-2.90862369003845,8.47045933423208,135.132891598104,5.17274717112946e-10,1.72295205554007e-08,"AT1G72150","PATL1","PATELLIN 1","-","-"
"BraA01002149",-3.44076596736092,6.23238226505389,134.226729055873,5.46928375404915e-10,1.80574320201304e-08,"AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA09002488",-1.75701977739612,7.42619470595399,134.083166382421,5.51796770969572e-10,1.81650531761018e-08,"AT2G02470","AL6","alfin-like 6","-","-"
"BraA05000251",-1.72155615207356,6.56929892585439,133.949259608317,5.56380983588407e-10,1.82893038608108e-08,"AT2G40430","AT2G40430","Nop53 protein","-","-"
"BraA08002431",-4.30902282426187,5.24747074339757,133.637547831769,5.67216370859126e-10,1.85913603818747e-08,"AT4G40060","HB16","homeobox protein 16","YES","YES"
"BraA04002430",-1.56673610810556,4.68739557583291,133.28285236862,5.79830876331626e-10,1.88136791382142e-08,"AT2G33340","MAC3B","MOS4-associated complex 3B","-","-"
"BraA02001299",-1.30439074233291,6.18006783237169,132.793476919596,5.97747842450071e-10,1.9339454908381e-08,"AT5G57870","eIFiso4G1","MIF4G domain-containing protein / MA3 domain-containing protein","-","-"
"BraA05001344",-2.09157871234875,6.53387626662813,132.719846498653,6.00496239929749e-10,1.9372866551905e-08,"AT2G32260","CCT1","phosphorylcholine cytidylyltransferase","-","-"
"BraA06001997",-3.47360826097403,7.12618938613074,132.654518000817,6.02946464686431e-10,1.94241654950266e-08,"AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA03004778",-2.29274234573788,3.8133666026099,132.119200397268,6.23446193986056e-10,1.99423305931829e-08,"AT5G67500","VDAC2","voltage dependent anion channel 2","-","YES"
"BraA04003296",-4.80381799822015,8.82432351141203,132.066089246275,6.25521758856542e-10,1.99804213299254e-08,"AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA06004753",-2.586762821333,7.46447585046611,131.968058314569,6.29372887507705e-10,2.00750394330318e-08,"AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA04000504",-7.80826412324921,2.93741745801777,131.920274680703,6.31259566311815e-10,2.01068191622281e-08,"AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA03001098",-2.10645727627544,4.09353115691333,131.824837949021,6.35046534014205e-10,2.0198951940342e-08,"AT5G22480","AT5G22480","ZPR1 zinc-finger domain protein","-","-"
"BraA06004383",-2.35577205518793,5.24305726935647,131.781856923589,6.36760244218898e-10,2.02249741141988e-08,"AT3G25585","AAPT2","aminoalcoholphosphotransferase","-","-"
"BraA02000212",-4.04451664042676,4.88038058740432,131.040606235178,6.67134875781707e-10,2.09539734350185e-08,"AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA09004695",-2.07731883391482,5.52168853526977,130.889483657915,6.7352231827318e-10,2.11252146021712e-08,"AT3G53030","SRPK4","ser/arg-rich protein kinase 4","-","-"
"BraA09003594",-2.98525571240501,4.94197705576324,130.568339938355,6.87321935951309e-10,2.14389382314757e-08,"AT1G31480","SGR2","shoot gravitropism 2 (SGR2)","-","-"
"BraA01000229",-1.78852098119709,8.18735054638036,129.668846214821,7.27667838246709e-10,2.23881781895442e-08,"AT3G50690","AT3G50690","Leucine-rich repeat (LRR) family protein","-","-"
"BraA09000797",-2.49473585419188,6.57985565838126,128.86345023019,7.66025680867538e-10,2.3314229044517e-08,"AT5G62810","PEX14","peroxin 14","-","-"
"BraA03000088",-1.74858520049255,5.92514946816825,128.718678174961,7.73155129640172e-10,2.34001836533045e-08,"AT5G03340","AtCDC48C","ATPase, AAA-type, CDC48 protein","-","-"
"BraA07002469",-1.61008245403533,6.77651448009605,128.436728754602,7.87251763316574e-10,2.36416310784285e-08,"AT1G79280","NUA","nuclear pore anchor","-","-"
"BraA07000758",-2.04664807921564,5.57608592508017,128.241577292798,7.97175282893883e-10,2.38235133868057e-08,"AT3G24800","PRT1","proteolysis 1","-","-"
"BraA06004667",-1.69779737023537,6.06905961440614,128.234689353478,7.97528057407126e-10,2.38235133868057e-08,"AT5G46840","AT5G46840","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08001833",-3.32872170379509,5.09846064240715,128.137470183577,8.02525733615968e-10,2.39105853229565e-08,"AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA05004019",-1.88472340356462,5.80255650873293,127.863241680967,8.16810564689182e-10,2.4207077935311e-08,"AT3G10730","SUN2","SAD1/UNC-84 domain protein 2","-","-"
"BraA04002500",-2.09701063630332,5.93465179818603,127.843079774431,8.17871871081887e-10,2.4207077935311e-08,"AT1G29350","AT1G29350","RNA polymerase II degradation factor-like protein (DUF1296)","-","-"
"BraA05004538",-2.30877540558336,5.68611794545176,127.769197076778,8.21774059801466e-10,2.42589850882307e-08,"AT3G03880","AT3G03880","sterol O-acyltransferase, putative (DUF1639)","-","-"
"BraA03003103",-1.5848176655026,6.06567741094159,127.268458264952,8.48770539404187e-10,2.47326259243416e-08,"AT4G02080","SAR2","secretion-associated RAS super family 2","-","-"
"BraA07002073",-1.8835132931347,7.38148182225205,126.521594356408,8.90878597215925e-10,2.56943950969696e-08,"AT3G57330","ACA11","autoinhibited Ca2 -ATPase 11","-","-"
"BraA06004606",-1.72478291349781,4.90796932732548,126.487891802835,8.9283252117537e-10,2.57179041144176e-08,"AT5G47540","AT5G47540","Mo25 family protein","-","-"
"BraA09000438",-1.56378717650683,5.72233884190005,126.467735794828,8.94003342937363e-10,2.57188248325535e-08,"AT5G48385","AT5G48385","FRIGIDA-like protein","-","-"
"BraA04001122",-1.24836866971925,5.74865727160809,126.428339095242,8.96296727364774e-10,2.57519961756726e-08,"AT5G37720","ALY4","ALWAYS EARLY 4","-","-"
"BraA09006604",-1.68693566507484,5.40186971345201,126.093187540622,9.16072214635897e-10,2.6054985923328e-08,"AT1G09320","AT1G09320","agenet domain-containing protein","-","-"
"BraA02004098",-1.91747403848411,3.66374690068872,125.632674014948,9.44036737819631e-10,2.66725686496718e-08,"AT5G25800","AT5G25800","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","-","-"
"BraA01004068",-1.75117952716169,3.26381728228058,125.62245710198,9.44667776167604e-10,2.66725686496718e-08,"AT3G14120","AT3G14120","nuclear pore complex protein","-","-"
"BraA03000872",-1.58819083887271,6.91139609883319,125.459151133316,9.54817849663727e-10,2.6919664792704e-08,"AT5G17900","AT5G17900","microfibrillar-associated protein-like protein","-","-"
"BraA10002837",-1.86294794944831,5.86169191499165,124.958586242635,9.86689481021291e-10,2.76484966707988e-08,"AT5G23150","HUA2","Tudor/PWWP/MBT domain-containing protein","-","-"
"BraA03002359",-2.34898976207304,5.93881370259444,124.579375922833,1.01161840225939e-09,2.82390338420566e-08,"AT2G42780","AT2G42780","transcription elongation factor B polypeptide","-","-"
"BraA04003105",-2.08991239041749,7.70722479424667,124.486628950626,1.01782106468629e-09,2.82933627913824e-08,"AT2G43160","AT2G43160","ENTH/VHS family protein","-","-"
"BraA09005163",-2.39525758849473,4.33364613870674,124.418040772818,1.02243512669086e-09,2.83308619215458e-08,"AT3G58180","AT3G58180","ARM repeat superfamily protein","-","-"
"BraA06001664",-3.19754390934796,8.87146558513695,124.110751890806,1.04339320635145e-09,2.87703892295907e-08,"AT1G14740","TTA1","class I heat shock protein, putative (DUF1423)","-","-"
"BraA03004213",-3.72737663291795,6.906615087478,123.589209935451,1.08006102883725e-09,2.96534267654908e-08,"AT3G20770","EIN3","Ethylene insensitive 3 family protein","YES","YES"
"BraA10002349",-1.80465210150946,4.9374673725875,123.580714730062,1.08066998308457e-09,2.96534267654908e-08,"AT5G12480","CPK7","calmodulin-domain protein kinase 7","-","-"
"BraA06002524",-2.15969790717878,7.62706472390544,123.391784001294,1.09431161716199e-09,2.99549566671143e-08,"AT3G48000","ALDH2B4","aldehyde dehydrogenase 2B4","-","-"
"BraA09005095",-1.8674072678786,6.18374417297011,123.021806742951,1.12158110587114e-09,3.05164651974553e-08,"AT3G57410","VLN3","villin 3","-","-"
